time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 39.805194 300.292366 276.256924 269.938730
198002 40.603697 300.344085 276.443375 270.124072
198003 40.313110 300.548535 276.538135 270.193379
198004 41.174406 300.770328 276.622706 270.211306
198005 42.108835 300.708148 276.409730 269.964672
198006 41.853087 300.386904 276.278736 269.848202
198007 41.035436 300.032851 276.106416 269.762704
198008 40.829433 299.829645 276.054495 269.705190
198009 40.458335 299.904186 276.220667 269.860174
198010 40.563826 300.151202 276.278761 269.875316
198011 40.596716 300.320127 276.467703 270.073566
198012 40.470351 300.393150 276.598695 270.231787
198101 40.194682 300.403646 276.669214 270.349254
198102 40.897728 300.537771 276.686461 270.331838
198103 41.332503 300.723714 276.989429 270.670358
198104 42.240628 300.856531 276.800896 270.453940
198105 42.610947 300.737981 276.641841 270.219850
198106 41.871394 300.423783 276.268303 269.871731
198107 41.070682 300.036408 276.152023 269.766226
198108 41.395686 299.871491 276.169202 269.826443
198109 41.392274 299.973766 276.333884 269.956622
198110 41.333047 300.163450 276.539894 270.177141
198111 41.086892 300.291607 276.635977 270.284486
198112 41.328137 300.348442 276.514391 270.185561
198201 39.941325 300.411280 276.562434 270.254715
198202 40.726162 300.513295 276.728410 270.445969
198203 41.246104 300.613259 276.921661 270.636468
198204 41.623007 300.676290 276.690097 270.307343
198205 41.532083 300.564181 276.191210 269.715294
198206 40.642362 300.273967 275.818561 269.326591
198207 40.160629 299.885584 275.724544 269.296522
198208 40.359219 299.734178 275.661715 269.228127
198209 40.350147 299.830824 275.901067 269.483530
198210 40.082975 300.019315 276.130203 269.711326
198211 39.830996 300.190856 276.034609 269.593331
198212 39.657717 300.200195 276.173068 269.772292
198301 39.202288 300.194113 276.125540 269.790614
198302 39.434647 300.321917 276.185208 269.832284
198303 40.688854 300.470245 276.502446 270.146474
198304 41.368027 300.595677 276.503625 270.103896
198305 41.877819 300.511554 276.151321 269.675514
198306 40.877324 300.219449 275.813408 269.296275
198307 40.580621 299.924215 275.697998 269.255371
198308 40.243447 299.828843 275.972388 269.585645
198309 39.480967 299.974848 276.186354 269.783637
198310 40.337931 300.274707 276.249667 269.806890
198311 41.116679 300.488179 276.497804 270.095798
198312 42.013434 300.570739 276.699784 270.371478
198401 41.901208 300.558410 277.107411 270.839721
