time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 40.020335 300.141106 276.726619 270.551272
198002 39.299001 300.116429 276.608203 270.365973
198003 39.582883 300.159305 276.890670 270.623109
198004 39.500045 300.367813 276.862649 270.489290
198005 39.389343 300.335123 276.509472 270.101990
198006 38.866957 300.036348 276.320021 269.926385
198007 38.972008 299.739223 276.106210 269.752605
198008 38.988381 299.580841 276.261262 269.937344
198009 38.608548 299.566215 276.536442 270.222673
198010 39.069495 299.713177 276.578368 270.231558
198011 38.976335 299.851616 276.395803 270.048762
198012 38.557448 299.757442 276.082326 269.792454
198101 38.806971 299.658213 275.875548 269.644021
198102 38.533183 299.763204 275.901674 269.625878
198103 38.583129 300.086796 276.224779 269.866469
198104 38.656893 300.342701 276.516063 270.078692
198105 39.720197 300.388905 276.520156 270.082338
198106 39.259569 300.212304 276.326030 269.903270
198107 39.315558 299.998239 276.113291 269.743546
198108 39.168478 299.983806 276.538011 270.183327
198109 39.916235 300.112206 276.700418 270.401060
198110 40.297985 300.346166 277.071783 270.732250
198111 40.411878 300.573761 277.358506 271.047926
198112 40.417566 300.543678 277.347042 271.113381
198201 39.973393 300.445314 277.129177 270.930579
198202 40.383334 300.480160 277.543692 271.356891
198203 39.856477 300.572965 277.591910 271.351040
198204 40.956805 300.731565 277.321058 271.007870
198205 41.741415 300.802674 277.276569 270.875944
198206 41.527427 300.576831 277.001948 270.645132
198207 40.636673 300.249410 276.788556 270.457523
198208 40.226456 300.080117 276.660020 270.352438
198209 40.286583 300.136314 276.799939 270.494919
198210 40.285870 300.267347 277.253970 270.909557
198211 40.180276 300.460024 277.241929 270.893341
198212 39.525368 300.454536 277.233155 270.928148
198301 40.073339 300.404902 276.979092 270.740296
198302 40.206546 300.461152 277.148770 270.875663
198303 39.704973 300.585823 277.216118 270.919663
198304 41.097144 300.798086 277.257255 270.892560
198305 41.470493 300.816096 277.146409 270.785606
198306 40.850943 300.572781 276.913525 270.539101
198307 40.883475 300.346952 276.767162 270.402583
198308 40.610279 300.198662 276.808823 270.510645
198309 41.127370 300.274652 277.041306 270.705653
198310 41.104054 300.494744 277.427087 271.072246
198311 41.536931 300.683569 277.584076 271.285174
198312 41.555852 300.665720 277.419427 271.155385
198401 40.571932 300.670252 277.522267 271.303805
198402 40.817972 300.726585 277.717661 271.521887
198403 40.880802 300.903782 277.807126 271.592401
198404 41.127257 301.061346 277.810818 271.482129
198405 41.707569 301.038485 277.579518 271.221704
198406 41.572083 300.739139 277.392460 271.091949
198407 40.846339 300.431193 277.207794 270.924787
198408 40.372734 300.213890 277.101439 270.829191
198409 40.907883 300.325590 277.216445 270.882699
198410 40.869456 300.567578 277.445211 271.067015
198411 40.602802 300.694325 277.709290 271.390985
198412 41.279561 300.708402 277.476234 271.183067
198501 42.080441 300.681647 277.439893 271.254943
198502 40.600752 300.725631 277.567668 271.373770
198503 40.138774 300.803989 277.729856 271.506874
198504 40.988288 300.958921 277.581733 271.240853
198505 42.377010 301.022732 277.429963 271.037066
198506 41.911166 300.685933 277.341958 270.996363
198507 40.863054 300.292827 276.823500 270.524543
198508 40.936331 300.122198 276.672519 270.356849
198509 41.040322 300.182492 276.840221 270.570243
198510 40.739407 300.358241 277.290090 270.931300
198511 40.903593 300.414085 277.474421 271.176413
198512 39.935707 300.312603 277.293454 271.100753
198601 40.351430 300.253294 276.804813 270.622130
198602 40.077914 300.260721 276.876563 270.666719
198603 39.152714 300.362244 276.892980 270.590084
198604 40.164123 300.551632 277.033415 270.678954
198605 40.667923 300.570685 276.934032 270.554512
198606 39.779435 300.308303 276.479496 270.123407
198607 39.778550 300.029467 276.175178 269.812282
198608 39.816083 299.908487 276.377349 270.034817
198609 40.115964 299.982490 276.572353 270.220209
198610 40.060320 300.212397 277.058564 270.705167
198611 40.163413 300.370607 276.947315 270.653909
198612 40.815476 300.307190 276.980217 270.728196
198701 39.561348 300.226134 276.858004 270.651758
198702 39.650409 300.342336 276.900689 270.665478
198703 40.011812 300.600749 277.255498 270.981396
198704 40.929684 300.787304 277.380479 271.042768
198705 41.659613 300.778782 277.287307 270.899843
198706 41.313828 300.565840 277.022699 270.659838
198707 40.965418 300.272997 277.056108 270.766204
198708 40.394474 300.108448 276.875858 270.599389
198709 41.122024 300.148416 277.084167 270.813248
198710 40.024954 300.326019 277.390060 271.057077
198711 39.826479 300.450920 277.392262 271.136697
198712 39.714723 300.419950 277.277979 271.048332
198801 39.995359 300.338436 277.237879 271.058317
198802 39.886770 300.379374 277.123420 270.926596
198803 39.965260 300.549184 277.306169 271.012807
198804 40.940954 300.715573 277.405977 271.081994
198805 41.337746 300.656067 277.065506 270.717129
198806 40.161490 300.393821 276.626939 270.227134
198807 40.245337 300.143452 276.334228 269.981613
198808 40.386001 299.982473 276.425868 270.142106
198809 40.736360 300.058877 276.762692 270.428483
198810 41.283068 300.278161 277.209643 270.868839
198811 40.358074 300.387806 277.378430 271.067599
198812 40.403622 300.339346 277.301298 271.029543
198901 39.532298 300.268305 276.857165 270.657755
198902 39.909232 300.308562 276.914002 270.696199
198903 39.641510 300.523678 277.288693 270.995959
198904 40.797854 300.709903 277.187242 270.800142
198905 41.162744 300.695805 276.850598 270.450300
198906 40.281644 300.438272 276.721913 270.365175
198907 40.427294 300.184454 276.616540 270.233770
198908 40.755876 300.044322 276.539894 270.248826
198909 40.264811 300.163763 276.888909 270.543024
198910 40.149472 300.410655 277.217892 270.845213
198911 40.442604 300.514884 277.470422 271.143207
198912 40.041426 300.478339 277.292331 271.039395
199001 39.354024 300.450019 277.231489 271.006246
199002 39.681745 300.556394 277.205782 270.969751
199003 40.815528 300.738995 277.634100 271.377617
199004 41.667446 300.967781 277.737033 271.416649
199005 42.169582 300.981472 277.480999 271.159755
199006 40.601461 300.780150 277.297567 270.964049
199007 41.666837 300.480629 276.940853 270.651246
199008 41.244822 300.359752 277.049684 270.734943
199009 41.553119 300.436937 277.381120 271.114351
199010 41.389735 300.693925 277.788626 271.483606
199011 42.348108 300.819880 277.920338 271.649709
199012 40.545075 300.856243 277.647453 271.427143
199101 42.100255 300.831012 277.849331 271.643293
199102 41.846834 301.023086 277.871549 271.679279
199103 41.878069 301.189850 278.233379 272.042079
199104 42.693424 301.333507 278.371423 272.130168
199105 43.041854 301.298821 278.107464 271.785546
199106 42.359919 301.018708 277.734205 271.415353
199107 43.176721 300.714723 277.360173 271.064293
199108 42.090977 300.517652 277.186356 270.949587
199109 41.839163 300.576065 277.424650 271.137225
199110 41.795176 300.739733 277.796563 271.485491
199111 42.113687 300.874675 277.870913 271.568333
199112 42.080172 300.880568 277.763265 271.505027
199201 41.327086 300.846856 277.613654 271.380217
199202 40.737581 300.862978 277.837987 271.636118
199203 40.862365 301.009742 277.900784 271.637380
199204 41.648799 301.175064 277.779158 271.429399
199205 42.890185 301.129607 277.635720 271.255542
199206 41.601868 300.806666 277.346785 270.993695
199207 41.989283 300.502030 277.040301 270.718737
199208 41.219108 300.315058 276.866611 270.621116
199209 41.223439 300.450221 277.129501 270.782747
199210 41.950663 300.721926 277.717748 271.386710
199211 41.927288 300.932008 277.889950 271.590886
199212 42.097898 300.859973 277.791276 271.550311
199301 42.153815 300.828354 277.813288 271.628826
199302 40.740470 300.812784 277.786637 271.641633
199303 41.275427 300.920591 277.889366 271.658692
199304 41.724310 301.099605 277.855458 271.532146
199305 42.103737 301.057812 277.647451 271.284396
199306 42.234003 300.810165 277.421111 271.114527
199307 40.934557 300.527228 276.904028 270.599591
199308 41.521724 300.365140 277.126637 270.871119
199309 41.044704 300.372843 277.388087 271.099416
199310 42.273656 300.541978 277.713519 271.408527
199311 41.262356 300.675141 277.838150 271.587822
199312 40.954235 300.592974 277.496323 271.239117
199401 41.120197 300.532245 277.413104 271.223432
199402 40.575136 300.492958 277.319231 271.157396
199403 39.926905 300.585923 277.473673 271.253434
199404 40.401108 300.725189 277.412990 271.096846
199405 40.793105 300.666356 277.189888 270.830344
199406 39.952342 300.406825 276.720830 270.348542
199407 39.968129 300.143844 276.399908 270.036847
199408 40.544228 299.982501 276.675814 270.400686
199409 39.992906 299.996545 276.849782 270.543452
199410 40.254540 300.136733 277.091284 270.744218
199411 40.094200 300.198344 277.091164 270.816023
199412 38.752061 300.136201 276.743037 270.479907
199501 38.924614 300.085385 276.477125 270.251355
199502 39.625832 300.144907 276.783283 270.598790
199503 40.216796 300.306683 276.865342 270.582590
199504 39.914581 300.540601 276.865120 270.515521
199505 40.426248 300.569972 276.834912 270.490527
199506 39.415393 300.286516 276.559618 270.218515
199507 39.488003 300.076869 276.335891 269.967760
199508 39.920531 300.007975 276.494591 270.204943
199509 40.157843 300.078470 276.831138 270.506335
199510 40.165602 300.340456 276.950725 270.590925
199511 40.467660 300.450181 277.155227 270.863039
199512 40.452878 300.340520 277.082972 270.838213
