time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 39.319016 299.935139 277.521796 270.935971
198002 39.907616 300.095733 277.603790 270.993193
198003 40.813092 300.398829 277.852609 271.235786
198004 42.006375 300.652466 277.888968 271.196269
198005 41.850087 300.463638 277.836794 271.172403
198006 41.363096 299.947268 277.639286 270.997458
198007 40.477406 299.550398 277.449455 270.825265
198008 41.059711 299.351281 277.544827 270.986237
198009 40.691900 299.454092 277.619311 271.040862
198010 40.408510 299.654250 277.525436 270.915295
198011 40.088921 299.808165 277.367916 270.703538
198012 39.654088 299.791596 277.142249 270.458962
198101 39.442997 299.689731 277.182324 270.574895
198102 39.392780 299.769346 277.413073 270.847042
198103 40.527854 300.167596 277.516576 270.884984
198104 41.516188 300.467749 277.706854 271.034975
198105 42.155322 300.285187 277.923160 271.276826
198106 41.522914 299.746853 277.419247 270.800772
198107 41.212705 299.393367 277.301477 270.703097
198108 39.746602 299.261996 277.267008 270.670243
198109 40.511842 299.376397 277.551945 270.974270
198110 39.843587 299.719177 277.244234 270.592950
198111 40.696424 299.905219 277.490944 270.827513
198112 40.724531 299.851458 277.552422 270.939489
198201 39.273665 299.753198 277.417071 270.837840
198202 39.542240 299.946697 277.512926 270.903145
198203 40.789641 300.360702 277.594026 270.959211
198204 42.119424 300.576589 277.848987 271.200620
198205 42.805178 300.257219 277.931541 271.309808
198206 40.858755 299.706448 277.348058 270.699188
198207 40.207280 299.274297 277.000679 270.370057
198208 39.664823 299.125520 277.288306 270.693383
198209 39.480399 299.268423 277.277502 270.657747
198210 39.161667 299.536284 277.159441 270.490208
198211 39.287633 299.698838 277.146325 270.456681
198212 40.235431 299.647116 277.189460 270.533187
198301 38.938752 299.567423 277.328001 270.754310
198302 38.693904 299.858291 277.086889 270.431069
198303 40.984109 300.170881 277.571611 270.912753
198304 41.615287 300.460159 277.597996 270.906644
198305 42.244168 300.194965 277.691417 271.034139
198306 38.958242 299.741880 277.010641 270.314955
198307 40.266407 299.442362 277.098499 270.452213
198308 40.050749 299.362005 277.355970 270.760062
198309 40.090056 299.496517 277.627576 271.052133
198310 40.569076 299.858079 277.539612 270.908684
198311 40.087994 299.984728 277.503046 270.864804
198312 40.555707 299.913846 277.561239 270.944403
198401 39.923591 299.838708 277.548769 270.983264
198402 39.338154 300.069070 277.598856 271.060113
198403 41.122529 300.402080 277.770317 271.138725
198404 42.501041 300.521648 277.905891 271.268878
198405 41.542964 300.374924 277.799731 271.147289
198406 41.172072 299.834277 277.452880 270.814988
198407 39.934046 299.515477 277.208615 270.558723
198408 39.894613 299.469443 277.320472 270.694159
198409 41.017345 299.629055 277.581750 270.980408
198410 40.389269 299.903193 277.467272 270.834936
198411 40.196174 300.011949 277.642678 271.015169
198412 40.368247 300.109762 277.536357 270.908824
198501 40.438946 300.068020 277.690689 271.122722
198502 40.465279 300.092173 277.909549 271.380152
198503 41.145000 300.525997 278.144555 271.566989
198504 42.424586 300.718356 277.973932 271.334202
198505 42.191682 300.399445 278.047682 271.421251
198506 41.813025 299.847830 277.690717 271.105703
198507 41.566076 299.397941 277.520190 270.943941
