time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 40.573398 300.340213 277.295629 270.581102
198002 40.488641 300.411535 277.526604 270.829528
198003 40.442880 300.806174 277.525241 270.749443
198004 42.086889 301.046136 277.798822 271.023085
198005 42.688657 301.006521 277.693467 270.906784
198006 42.506444 300.789932 277.625460 270.863088
198007 42.107700 300.496527 277.359414 270.613640
198008 42.220820 300.363928 277.464453 270.759952
198009 42.439060 300.439657 277.621660 270.919336
198010 42.393998 300.744198 277.897920 271.184028
198011 42.044166 300.939842 277.908281 271.173496
198012 41.895835 300.890988 278.007681 271.316349
198101 42.663637 300.943432 278.021026 271.353762
198102 42.302903 301.028879 278.250519 271.626010
198103 41.883797 301.190680 278.419544 271.770144
198104 43.024432 301.381863 278.434262 271.721033
198105 44.131989 301.303091 278.400563 271.678746
198106 42.638102 300.998053 277.775721 271.028176
198107 41.825862 300.650880 277.573531 270.837001
198108 42.347085 300.567324 277.578783 270.869298
198109 43.457838 300.681720 278.042566 271.364817
198110 42.985941 300.974686 278.096373 271.382994
198111 42.598455 301.206054 278.299944 271.610440
198112 43.185740 301.216460 278.322582 271.667330
198201 42.621773 301.072809 278.421250 271.848929
198202 41.475375 301.073322 278.496864 271.912995
198203 41.634540 301.273790 278.435101 271.772758
198204 43.654297 301.461921 278.449652 271.738153
198205 44.579580 301.387288 278.335440 271.609858
198206 44.145066 301.044336 278.089515 271.378951
198207 42.367399 300.637765 277.738814 271.050531
198208 42.068496 300.364346 277.778047 271.125827
198209 41.448175 300.422139 277.591071 270.891470
198210 41.617305 300.742253 277.735600 270.999375
198211 41.789590 300.932881 277.748086 270.996969
198212 41.693048 301.020168 278.028722 271.320036
198301 41.633276 301.058369 278.079426 271.418261
198302 41.572331 301.154330 278.332112 271.705277
198303 41.823065 301.333400 278.698131 272.097265
198304 44.160924 301.521783 278.638795 271.974515
198305 43.938618 301.503086 278.394433 271.678840
198306 44.657700 301.006323 278.279646 271.608386
198307 43.157302 300.500570 277.799778 271.146995
198308 42.063504 300.400768 277.648724 270.978100
198309 41.165627 300.510829 277.621629 270.936341
198310 41.809892 300.668241 277.916018 271.217614
198311 41.807594 300.855239 277.883226 271.166915
198312 41.578342 300.915465 277.947539 271.259047
198401 41.557927 300.939536 278.012377 271.369405
198402 41.595949 300.929931 278.243147 271.616942
198403 41.615490 301.066683 278.385244 271.760833
198404 43.435175 301.314008 278.366776 271.654672
198405 43.623124 301.265153 278.180200 271.440971
198406 43.576948 300.882244 277.955070 271.255868
198407 43.014669 300.487529 277.722704 271.057247
198408 42.223158 300.326584 277.504561 270.839041
198409 42.310351 300.341822 277.732208 271.071611
198410 42.000824 300.622512 277.736963 271.026365
198411 41.678631 300.800116 277.964923 271.258864
198412 42.051590 300.784676 277.953947 271.284344
198501 41.862705 300.813076 278.039153 271.381702
198502 40.554994 300.832585 278.060568 271.418515
198503 41.332928 300.933824 278.086871 271.415376
198504 42.884888 301.094417 278.101100 271.359995
198505 43.172702 301.072123 277.815091 271.022648
198506 42.874592 300.801852 277.606318 270.847659
198507 42.608410 300.418770 277.529079 270.813828
198508 42.087250 300.253797 277.497421 270.818871
198509 41.401209 300.353805 277.622521 270.935666
198510 41.632001 300.522167 277.782601 271.084325
198511 41.676351 300.737323 277.763469 271.032039
198512 41.816545 300.779048 277.835006 271.134174
198601 41.598877 300.765913 277.878407 271.215072
198602 41.670507 300.803048 278.036670 271.386461
198603 41.350667 300.964693 278.061201 271.384039
198604 42.783180 301.138891 278.088929 271.347150
198605 43.366054 301.115702 277.937653 271.166808
198606 42.917087 300.832894 277.621167 270.871624
198607 42.163888 300.411457 277.697857 271.021280
198608 41.909560 300.312626 277.586350 270.902517
198609 42.358056 300.343847 277.577592 270.878142
198610 41.695657 300.570945 277.788152 271.074152
198611 41.500670 300.742589 277.676077 270.951096
198612 41.828936 300.751850 277.770357 271.069611
198701 41.576934 300.774185 277.889711 271.233746
198702 41.113175 300.836395 278.101992 271.464382
198703 41.106029 301.076734 278.155131 271.487090
198704 43.360194 301.218331 278.317283 271.600575
198705 44.067625 301.238238 278.221759 271.491045
198706 43.789387 300.878202 277.935536 271.219736
198707 42.173972 300.560386 277.646409 270.952759
198708 41.121375 300.459168 277.594107 270.913860
198709 41.957891 300.508804 277.632067 270.939388
198710 42.885465 300.748365 277.900236 271.203858
198711 41.966394 300.915147 278.097363 271.414209
198712 42.289732 300.933861 278.092482 271.425662
198801 41.840072 300.908157 278.133884 271.503671
198802 41.568600 300.974706 278.146912 271.503532
198803 42.587992 301.052650 278.403714 271.751149
198804 43.687384 301.249776 278.333527 271.620469
198805 44.242042 301.246474 278.119005 271.376724
198806 44.030372 300.925199 277.952621 271.228178
198807 42.446568 300.516384 277.767657 271.081494
198808 42.883426 300.393239 277.641812 270.970622
198809 41.959334 300.546577 277.796393 271.115900
198810 42.533180 300.780338 277.921959 271.229591
198811 41.850663 300.913615 277.940969 271.228632
198812 42.011645 300.991498 277.974139 271.278234
198901 42.209821 300.972683 278.104987 271.453548
198902 41.367046 301.013927 278.310064 271.698405
198903 42.412670 301.249189 278.472433 271.793060
198904 43.986755 301.431254 278.535483 271.841226
198905 45.168523 301.346815 278.436172 271.725602
198906 44.525405 301.047877 278.146887 271.443119
198907 43.419121 300.696423 277.826697 271.135931
198908 43.466413 300.539458 278.077436 271.438750
198909 42.211378 300.656156 277.978325 271.306294
198910 43.449815 300.879922 278.132693 271.444499
198911 42.693110 301.048124 278.254640 271.572848
198912 41.950793 301.033253 278.131555 271.475661
199001 42.840949 300.922874 278.323543 271.724529
199002 41.620424 300.924248 278.222230 271.622716
199003 42.784511 301.062210 278.427856 271.778044
199004 43.307488 301.216547 278.351189 271.642172
199005 44.008039 301.171040 278.093993 271.345164
199006 43.688169 300.775690 277.902795 271.185585
199007 43.238234 300.356194 277.585839 270.886547
199008 42.817800 300.198880 277.524963 270.850159
199009 42.293869 300.280189 277.724680 271.029226
199010 41.801346 300.456576 277.704006 270.998055
199011 40.878660 300.558537 277.706413 270.984194
199012 41.545980 300.604690 277.572345 270.851285
199101 40.935131 300.607582 277.692922 271.039339
199102 40.758131 300.738407 277.806057 271.143863
199103 42.121406 300.957061 278.097841 271.416551
199104 43.375931 301.218479 278.149914 271.422909
199105 43.691086 301.228330 278.025191 271.266068
199106 43.290256 300.923405 277.766957 271.016321
199107 42.712714 300.594240 277.560299 270.842230
199108 42.726537 300.447750 277.821723 271.136047
199109 41.902614 300.488671 277.594613 270.835607
199110 42.101287 300.646492 277.868499 271.136865
199111 42.735176 300.777930 277.911295 271.175298
199112 41.300786 300.676896 277.747666 271.020185
199201 40.934550 300.589647 277.610376 270.918343
