time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 46.009002 301.033769 278.210410 271.616203
198002 45.740692 301.145051 278.765322 272.261162
198003 46.337579 301.397849 278.687438 272.107616
198004 48.321503 301.473763 278.552644 271.910790
198005 47.452448 301.257125 278.121027 271.448709
198006 45.940370 300.566098 277.496347 270.814767
198007 44.490744 300.047045 277.224155 270.563354
198008 43.038129 299.714510 277.181896 270.568768
198009 42.375918 299.848488 277.024142 270.336246
198010 43.353377 300.215279 277.099840 270.371537
198011 43.530065 300.632754 277.342028 270.595562
198012 44.784619 300.674439 277.672363 271.019113
198101 44.378915 300.746815 277.753411 271.142276
198102 44.710783 300.850010 278.151173 271.560169
198103 46.200892 301.123471 278.433058 271.809377
198104 46.552131 301.255288 278.168384 271.490370
198105 47.135853 301.032835 277.829435 271.118434
198106 45.222162 300.631949 277.419718 270.717644
198107 43.821389 300.118659 277.244060 270.591830
198108 43.348455 299.886054 277.167578 270.514623
198109 43.022295 299.891775 277.102052 270.434641
198110 43.548845 300.251732 277.203273 270.484632
198111 44.829928 300.587280 277.329488 270.613145
198112 44.637377 300.789583 277.687212 271.016383
198201 44.170618 300.860191 277.994998 271.404008
198202 44.387179 300.997642 278.309996 271.737307
198203 45.481312 301.203122 278.301860 271.659178
198204 47.482421 301.285012 278.185120 271.494587
198205 46.270348 301.017640 277.727401 270.981936
198206 45.191195 300.425270 277.439059 270.779599
198207 42.806547 299.923843 276.900747 270.212256
198208 43.170518 299.692919 277.024901 270.386166
198209 42.617999 299.800734 276.839696 270.140803
198210 43.759248 300.073070 277.112969 270.399964
198211 44.191828 300.401322 277.107450 270.343253
198212 43.638583 300.576064 277.257361 270.541870
198301 44.435316 300.607392 277.588593 270.963217
198302 44.193014 300.870741 277.956627 271.324159
198303 46.009188 301.133712 278.258166 271.635909
198304 46.601173 301.422062 278.097451 271.407394
198305 46.410183 301.326505 277.968331 271.269008
198306 46.137462 300.797412 277.843362 271.212078
198307 44.541867 300.339267 277.422726 270.802973
198308 44.875953 300.004539 277.316746 270.688848
198309 43.843114 300.041241 277.352566 270.738666
198310 44.260025 300.371117 277.250712 270.545324
198311 45.844112 300.706406 277.683095 271.008964
198312 45.816893 300.881782 277.951791 271.335423
198401 46.549244 300.977801 278.544191 272.030440
198402 46.315532 301.110701 278.801322 272.293642
198403 46.701770 301.269154 278.721828 272.142402
198404 47.617877 301.264879 278.314917 271.630439
198405 45.592438 300.919925 277.670670 270.970228
198406 43.778948 300.417747 277.002017 270.263096
198407 43.036052 299.777162 276.880369 270.166020
198408 41.670048 299.528262 276.727867 270.026594
198409 41.294461 299.624572 276.501314 269.740146
198410 42.072576 299.902692 276.659696 269.864964
198411 43.250500 300.049854 276.897500 270.120975
198412 41.867900 300.118667 276.763230 269.969786
198501 41.945118 300.019233 276.855243 270.165164
198502 42.285778 300.153191 276.977730 270.260655
198503 43.605078 300.482916 277.393139 270.651946
198504 44.216696 300.659239 277.292789 270.504713
198505 44.005521 300.456462 277.038701 270.258178
198506 42.724370 300.006440 276.624858 269.875752
198507 42.055627 299.644428 276.350319 269.605986
198508 41.824884 299.626701 276.437473 269.700480
198509 42.883406 299.678583 276.919786 270.250352
198510 42.755044 300.019656 276.860697 270.108524
198511 43.453710 300.427664 277.112796 270.349577
198512 44.221501 300.694616 277.388210 270.675583
198601 44.559638 300.762143 277.688053 271.079737
198602 45.336956 300.833492 278.178869 271.611198
198603 46.142372 301.160181 278.411245 271.785934
198604 47.556094 301.392329 278.300340 271.635356
198605 47.429558 301.113769 278.043849 271.371759
198606 45.194159 300.565545 277.502369 270.818965
198607 43.639232 300.153523 277.049517 270.386386
198608 44.049063 299.932238 277.341242 270.722358
198609 43.524067 300.088355 277.080728 270.402169
198610 44.072842 300.519986 277.326723 270.596791
198611 45.052352 300.877379 277.640790 270.916497
198612 46.111124 301.013796 278.045084 271.424840
198701 46.298699 301.104595 278.364862 271.835208
198702 46.664123 301.305563 278.791182 272.295705
198703 47.849868 301.442488 279.184070 272.690281
198704 47.855989 301.459656 278.576000 271.954684
198705 46.242875 301.291768 277.804374 271.075641
198706 45.931506 300.552162 277.405245 270.715632
198707 43.682795 300.013119 277.171192 270.523156
198708 42.928559 299.781981 277.180841 270.550146
