time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 42.098530 300.684862 272.225709 266.740185
198002 41.647071 300.786531 272.164180 266.665204
198003 42.373778 300.981267 272.092504 266.715163
198004 43.385015 301.250801 275.650488 269.497926
198005 43.755763 301.224249 275.649523 269.469486
198006 42.881660 300.921108 274.501669 268.554482
198007 42.424958 300.423785 274.022021 268.177812
198008 41.206318 300.206263 274.699839 268.653044
198009 41.498391 300.213186 274.419267 268.477858
198010 41.622212 300.368207 274.377455 268.345590
198011 41.145134 300.540396 275.119059 268.915253
198012 41.413758 300.601969 270.995874 265.620647
198101 40.798692 300.577559 271.801479 266.253976
198102 41.592123 300.615606 268.693703 263.819844
198103 41.946419 300.756244 271.153746 265.852016
198104 42.056058 300.944731 274.949417 268.868772
198105 42.615014 300.922549 273.772959 267.766742
198106 42.105210 300.660386 273.405611 267.515687
198107 41.888345 300.265683 274.072297 268.051572
198108 41.155856 300.049013 274.128918 268.174015
198109 41.314686 299.998910 273.219195 267.426095
198110 41.175766 300.218842 273.061630 267.212468
198111 40.811077 300.363778 273.742003 267.754330
198112 40.559398 300.274775 269.956666 264.714957
198201 40.274527 300.153754 269.744474 264.531089
198202 39.602762 300.270055 269.880456 264.617985
198203 40.837567 300.526380 271.346470 265.827486
198204 41.205592 300.867310 273.437748 267.457658
198205 42.708451 300.888059 274.408014 268.280629
198206 41.944597 300.614489 272.964790 267.080914
198207 40.836309 300.257134 273.234534 267.315848
198208 41.611314 300.016292 272.531077 266.834838
198209 41.417204 299.989856 271.185531 265.748835
198210 40.546185 300.181973 271.949277 266.257058
198211 40.823497 300.389195 270.710576 265.222842
198212 39.860701 300.403638 271.063755 265.595063
198301 40.338374 300.291436 268.732543 263.826144
198302 39.904101 300.451802 273.229704 267.304049
198303 41.432401 300.663464 271.804888 266.215120
198304 41.602846 300.989437 274.806337 268.603716
198305 42.760979 301.055986 274.829642 268.638721
198306 43.628553 300.777603 274.260902 268.271974
198307 41.991693 300.337738 274.125507 268.153826
198308 41.728582 300.142134 273.515707 267.648128
198309 41.818554 300.158496 274.526906 268.396005
198310 41.915579 300.301629 272.860639 267.065944
198311 40.753148 300.426117 274.745128 268.559984
198312 40.632230 300.477853 273.074175 267.254754
198401 40.485263 300.476642 267.959264 263.120845
198402 40.748264 300.571339 272.047605 266.475327
198403 40.769103 300.841128 273.521732 267.651587
198404 43.625801 301.020635 272.107418 266.530734
198405 43.364816 301.124271 274.599821 268.459701
198406 42.772849 300.930253 274.390831 268.390702
198407 42.039077 300.493261 273.778072 267.957726
198408 42.243410 300.232588 273.635457 267.890358
198409 42.063174 300.243776 273.706988 267.846313
198410 41.141291 300.427524 274.304059 268.305235
198411 41.318514 300.650101 273.325532 267.459705
198412 41.435865 300.763324 274.849102 268.698468
198501 42.580153 300.689583 268.561043 263.787698
198502 41.761792 300.848991 273.565694 267.797765
198503 42.691631 301.074939 275.487427 269.448390
198504 44.243760 301.304694 276.308356 270.156482
198505 44.410621 301.408807 275.984890 269.835472
198506 43.415476 301.238869 275.064074 269.092678
198507 44.683268 300.795045 273.947473 268.320957
198508 43.206279 300.532739 275.127583 269.215365
198509 42.693709 300.587134 274.400771 268.518119
198510 42.764924 300.809539 275.407566 269.265614
198511 43.851658 300.983994 273.263418 267.581500
198512 42.795780 301.006472 275.345113 269.258694
198601 42.243380 300.944861 274.683712 268.760801
198602 42.428136 301.009660 270.208342 265.108663
198603 42.831793 301.193359 274.189375 268.371115
198604 43.603961 301.503922 276.237510 270.063734
198605 44.266617 301.527983 275.866161 269.732645
198606 44.836201 301.234018 275.233033 269.279118
198607 43.891831 300.810771 275.039635 269.107217
198608 43.773542 300.556932 274.341619 268.583739
198609 43.020302 300.522963 274.098592 268.301363
198610 42.311575 300.760454 275.698334 269.518640
198611 43.104526 301.015466 275.455551 269.273950
198612 42.819414 301.098740 275.399524 269.230875
198701 43.063322 301.064777 271.578661 266.249989
198702 42.429290 301.207998 272.178873 266.796132
198703 43.519288 301.369683 274.869996 268.951567
198704 44.923839 301.524327 274.788590 268.983934
198705 44.883979 301.569332 275.571112 269.448182
198706 44.007222 301.225979 274.748969 268.851293
198707 44.311143 300.700794 274.118954 268.365943
198708 42.598346 300.411738 274.455467 268.610674
198709 41.798528 300.445867 274.135783 268.253960
198710 42.067985 300.633223 274.875565 268.824550
198711 41.528476 300.852569 275.203286 269.032411
198712 41.977177 300.925921 275.111332 268.984986
198801 42.196050 300.913893 270.547484 265.303783
198802 41.537949 300.924657 272.201678 266.687685
198803 42.888116 301.114824 270.829555 265.570162
198804 43.786118 301.431278 275.458229 269.241198
198805 44.365836 301.516182 274.715987 268.714398
198806 44.475950 301.158000 274.287999 268.518268
198807 43.211808 300.738217 274.631456 268.699925
198808 42.210691 300.495778 274.177609 268.371095
198809 43.040990 300.448082 272.837423 267.300226
198810 42.298229 300.715258 275.743546 269.576457
