time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 42.994643 300.281223 273.685203 267.817891
198002 43.684247 300.395450 273.010239 267.291294
198003 44.734710 300.678280 274.803155 268.827732
198004 45.954302 300.990239 275.032712 269.014638
198005 45.945293 301.184452 274.962219 268.941793
198006 47.039905 300.994778 274.836753 268.946489
198007 46.752510 300.612755 275.104196 269.282765
198008 45.535911 300.345172 274.895997 269.108107
198009 45.089948 300.261713 275.278329 269.375287
198010 45.373928 300.494777 275.072199 269.104084
198011 45.179422 300.663170 275.045238 269.059312
198012 45.150073 300.669811 274.615604 268.714172
198101 44.492674 300.580231 274.191374 268.383639
198102 44.814205 300.800728 274.630635 268.723202
198103 46.151467 301.057670 274.217059 268.512162
198104 47.603982 301.370602 275.475257 269.533865
198105 48.319087 301.456079 275.652292 269.708375
198106 47.645725 301.157293 275.134753 269.432609
198107 46.073870 300.607099 275.260430 269.522299
198108 45.590188 300.209055 274.993720 269.174188
198109 45.545605 300.108677 274.319296 268.501680
198110 44.649364 300.243648 274.518744 268.576973
198111 44.017989 300.322688 274.301160 268.316102
198112 43.651340 300.287545 273.190650 267.355819
198201 43.013929 300.237249 273.381295 267.460186
198202 42.692710 300.371020 273.723633 267.818838
198203 45.410404 300.578657 273.613308 267.814601
198204 45.827889 300.850174 273.928147 268.037629
198205 46.128351 300.923660 274.132220 268.179533
198206 45.746065 300.629831 274.018122 268.140729
198207 45.689629 300.239057 274.348405 268.468116
198208 44.266207 299.997255 274.596508 268.657408
198209 44.707027 299.991367 273.774221 267.978328
198210 44.398003 300.069761 274.417700 268.453320
198211 42.714955 300.148256 273.924370 267.961532
198212 42.923656 300.125160 273.553244 267.577653
198301 42.665765 300.117100 272.127114 266.472261
198302 42.666592 300.265687 273.139731 267.312685
198303 43.109185 300.498790 273.992114 268.041418
198304 45.073621 300.786439 273.923690 268.003206
198305 45.366929 300.869369 274.148075 268.161242
198306 45.852734 300.623665 273.642439 267.826158
198307 44.633479 300.246942 273.625231 267.830446
198308 44.379338 300.051997 274.123776 268.268951
198309 44.986645 300.124243 274.863257 268.901417
198310 44.401325 300.347538 275.142730 269.077858
198311 45.554950 300.525354 274.273264 268.379070
198312 43.876572 300.568240 274.400144 268.501270
198401 43.936607 300.505917 273.942023 268.144783
198402 44.629127 300.618329 273.954184 268.145836
198403 45.587663 300.901508 274.861573 268.926208
198404 47.416962 301.153265 275.498110 269.536575
198405 47.861035 301.263883 275.613945 269.596907
198406 46.904707 300.979108 274.889831 269.099994
198407 44.974476 300.529081 274.709737 268.898972
198408 44.691376 300.202039 274.261547 268.610312
198409 44.621463 300.254117 274.749759 268.817945
198410 45.479823 300.427021 274.856303 268.887271
198411 44.595312 300.704036 274.993376 268.948036
198412 45.191892 300.773767 274.331621 268.486095
198501 45.152265 300.797604 275.331214 269.319040
198502 45.979508 300.880029 275.432593 269.567710
198503 46.591214 301.166204 275.839722 269.999160
198504 47.796671 301.462381 276.143800 270.216200
198505 48.302122 301.579786 276.130010 270.182819
198506 47.671167 301.249574 275.498168 269.701289
198507 46.714175 300.760222 275.541642 269.689825
198508 45.849011 300.376765 275.047152 269.251596
198509 45.922701 300.281050 275.004028 269.056207
198510 44.965637 300.456765 275.057986 269.035388
198511 45.925587 300.615630 274.960887 268.970756
198512 44.587951 300.652905 274.601843 268.621394
198601 44.184985 300.553100 273.032269 267.442317
198602 43.430603 300.539811 274.208188 268.401368
198603 44.508842 300.714240 274.251627 268.389010
198604 46.547804 300.950185 274.329825 268.448326
198605 47.112915 300.995639 274.250683 268.327624
198606 46.299885 300.691340 273.806065 267.975350
198607 44.790712 300.246955 273.507069 267.774312
198608 44.356938 299.961651 273.345828 267.682112
198609 43.516709 299.936864 273.347898 267.607655
198610 43.563039 300.156639 274.540286 268.526074
198611 44.370503 300.299514 274.011198 268.081563
198612 42.798788 300.372828 273.822348 267.888429
198701 42.949002 300.358343 272.053318 266.445087
198702 43.448513 300.388015 272.486491 266.883006
198703 44.680239 300.756492 274.483264 268.620335
198704 46.335576 301.062203 274.537366 268.600027
198705 46.514750 301.196314 274.696646 268.741835
198706 46.648439 300.950756 274.369091 268.588718
198707 45.826053 300.515492 274.057966 268.401444
