time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 36.931424 299.572090 274.455057 267.452919
198002 36.600293 299.737041 274.618176 267.634288
198003 37.772208 299.974928 274.877133 267.896719
198004 38.008685 300.225170 274.760732 267.716739
198005 37.439049 300.102878 274.567765 267.499591
198006 36.755627 299.705472 274.499895 267.460368
198007 36.318848 299.323349 274.317476 267.304210
198008 35.508232 299.076357 274.463800 267.489574
198009 35.489897 299.116658 274.289387 267.304392
198010 35.906085 299.434321 274.169783 267.110835
198011 36.242725 299.595079 274.090000 266.993008
198012 36.377157 299.562231 274.205930 267.134298
198101 36.428559 299.587892 274.457797 267.449542
198102 36.322373 299.776535 274.545435 267.544561
198103 37.321844 300.048303 274.835862 267.830695
198104 37.587275 300.222997 274.863050 267.833904
198105 37.835732 300.134944 274.637496 267.576847
198106 36.620831 299.735923 274.476179 267.431737
198107 36.780972 299.430019 274.364858 267.356305
198108 35.747725 299.174748 274.659648 267.721507
198109 35.733516 299.252781 274.484915 267.508333
198110 35.928002 299.629181 274.235007 267.177201
198111 37.053653 299.725259 274.239675 267.151368
198112 37.190814 299.815478 274.356434 267.275679
198201 37.535616 299.888229 274.745219 267.763715
198202 37.757950 300.004472 275.098983 268.174179
198203 38.377352 300.243976 275.264747 268.326959
198204 39.019256 300.459057 275.243047 268.256316
198205 38.827516 300.301909 275.077011 268.071332
198206 37.561946 299.857707 274.832863 267.828193
198207 36.668827 299.400186 274.584847 267.627579
198208 36.005357 299.119835 274.438115 267.484436
198209 36.078274 299.209838 274.399790 267.417066
198210 36.009500 299.422336 274.295233 267.273799
198211 35.914170 299.477011 274.206615 267.136629
198212 35.970310 299.431180 274.233727 267.170315
198301 35.989461 299.357515 274.218385 267.192509
198302 36.354299 299.561905 274.305010 267.284132
198303 36.650622 299.815683 274.498022 267.452491
198304 37.194631 299.945197 274.533798 267.461316
198305 36.858660 299.777144 274.414485 267.321160
198306 35.681962 299.303428 274.059223 266.978264
198307 35.663449 298.920139 273.858544 266.821824
198308 35.387202 298.768579 273.878490 266.873421
198309 34.772828 298.907822 273.899820 266.875046
198310 35.583784 299.169970 273.991215 266.930310
198311 35.796389 299.311319 273.976900 266.873486
198312 35.456347 299.349627 273.989332 266.897725
198401 35.570950 299.277250 274.133101 267.121898
198402 36.223123 299.409462 274.291024 267.285644
198403 36.298833 299.750760 274.325259 267.262871
198404 37.199214 299.981672 274.445149 267.369215
198405 37.305846 299.743888 274.398213 267.326249
198406 35.972393 299.376388 274.078208 266.997168
198407 35.534449 299.083053 273.947586 266.917300
198408 35.394915 298.910188 274.142837 267.152751
198409 34.767011 299.058512 274.195124 267.193502
198410 35.569064 299.329951 274.149605 267.106657
198411 36.484437 299.576439 273.984967 266.884296
198412 36.930220 299.606508 274.280607 267.224801
198501 36.554883 299.599388 274.555453 267.575406
198502 37.483625 299.848772 274.728432 267.771074
198503 37.801128 300.075150 274.996334 268.020636
198504 37.959999 300.316700 274.956389 267.941169
198505 38.047754 300.261147 274.842384 267.802792
198506 37.170424 299.785243 274.661139 267.644899
198507 36.576931 299.335760 274.351644 267.356108
198508 36.547993 299.199636 274.502692 267.545090
198509 35.434097 299.183969 274.491012 267.523894
198510 35.261030 299.377597 274.243499 267.187278
198511 35.905647 299.496881 274.199646 267.123111
198512 35.825984 299.439821 274.081798 267.018645
198601 35.857384 299.502295 274.142572 267.085914
198602 35.669287 299.719677 274.397336 267.378036
198603 36.465412 300.051831 274.599019 267.569529
198604 38.189477 300.147262 274.738476 267.704464
198605 37.819221 299.981701 274.492587 267.421843
198606 36.610037 299.468336 274.362216 267.326366
198607 35.581224 299.082661 274.061279 267.039135
198608 34.989932 298.986692 273.992078 266.979986
198609 35.165078 299.069483 274.146890 267.143712
198610 35.718038 299.333299 274.105725 267.059214
198611 36.229611 299.507419 274.041648 266.960227
198612 36.878367 299.589912 274.144091 267.062178
198701 36.812669 299.635196 274.516456 267.509656
198702 36.453736 299.748050 274.800076 267.847450
198703 37.602883 300.199468 274.945910 267.958423
198704 38.385680 300.297275 275.039085 268.046775
198705 38.170400 300.077499 274.802136 267.771826
198706 36.396445 299.575249 274.526938 267.511338
198707 36.079644 299.168292 274.239678 267.238144
198708 35.178695 298.997261 274.220409 267.246359
198709 35.095193 298.966280 274.267482 267.289894
198710 35.175055 299.235447 274.088543 267.044614
198711 35.623435 299.342348 274.055047 266.981201
198712 35.588331 299.398924 274.004048 266.921606
198801 36.776444 299.448059 274.207885 267.163623
198802 36.182845 299.726452 274.513240 267.503843
198803 37.032273 300.109118 274.750566 267.740322
198804 38.002673 300.279993 274.804377 267.755371
198805 38.082342 300.088076 274.685596 267.623239
198806 37.305572 299.647924 274.522537 267.479044
198807 36.166431 299.313176 274.178130 267.153890
198808 35.958630 299.204437 274.414072 267.434758
198809 36.392281 299.311479 274.594735 267.629819
198810 36.530934 299.556379 274.427138 267.399194
198811 37.209075 299.641444 274.528647 267.495787
198812 37.437417 299.732148 274.477634 267.431116
198901 37.363079 299.679414 274.796475 267.832205
198902 36.976412 299.845644 274.810317 267.856847
198903 38.347547 300.225623 274.956021 267.979707
198904 38.834629 300.435575 275.147391 268.151301
198905 38.995585 300.285034 275.042122 268.030739
198906 37.662960 299.815705 274.765968 267.764193
198907 36.368881 299.395475 274.479448 267.508337
198908 36.177613 299.262499 274.475703 267.503229
198909 36.422550 299.368267 274.663931 267.703836
198910 36.595924 299.574876 274.539250 267.525272
198911 37.186898 299.747142 274.478186 267.422982
198912 36.836029 299.720303 274.574926 267.545226
199001 36.653555 299.677962 274.521510 267.532556
199002 35.850085 299.782220 274.523284 267.521017
199003 38.144501 300.104431 274.840803 267.833866
199004 38.004454 300.371833 274.971129 267.942366
199005 38.132417 300.208300 274.817519 267.767637
199006 37.090593 299.800617 274.542830 267.514910
199007 36.493681 299.425619 274.529804 267.551234
199008 37.043136 299.267369 274.617867 267.686780
199009 36.111230 299.248601 274.621030 267.677060
199010 36.603186 299.461445 274.466833 267.463076
199011 36.898191 299.669601 274.380804 267.314955
199012 37.445437 299.767332 274.509515 267.454131
199101 37.336783 299.780358 274.626805 267.631175
199102 37.547388 299.933894 274.942478 267.991089
199103 37.318887 300.244507 275.154677 268.187709
199104 39.090605 300.513717 275.110266 268.099925
199105 38.917667 300.350146 275.035425 268.016821
199106 37.569644 299.959808 274.740889 267.714842
199107 36.751925 299.469351 274.690019 267.737436
199108 36.359812 299.269939 274.688390 267.766337
199109 36.218361 299.332058 274.566613 267.607935
199110 36.296110 299.583075 274.417924 267.394704
199111 36.231260 299.639740 274.287696 267.233130
199112 36.023923 299.588722 274.342236 267.287217
199201 36.254833 299.568115 274.446249 267.428930
199202 35.957131 299.658251 274.558343 267.582428
199203 37.272960 300.017985 274.702025 267.674214
199204 38.120173 300.249760 274.799338 267.756533
199205 37.929875 300.063404 274.679521 267.634603
199206 36.980590 299.585444 274.676392 267.673143
199207 36.222348 299.232984 274.293545 267.309675
199208 35.633339 299.042860 274.330770 267.373218
199209 35.963951 299.195485 274.425086 267.450239
199210 36.594172 299.440824 274.344882 267.319630
199211 36.339728 299.578710 274.244583 267.180920
199212 36.440751 299.648495 274.260998 267.198603
199301 36.443464 299.694690 274.560880 267.574879
199302 35.834058 299.925600 274.599770 267.634708
199303 37.689690 300.279540 274.933312 267.945508
199304 39.187311 300.485122 275.148699 268.147808
199305 38.900652 300.333982 275.024083 268.018310
199306 37.057884 299.855966 274.705230 267.690390
199307 35.949997 299.419446 274.477930 267.500134
199308 35.905774 299.243010 274.437776 267.463862
199309 35.820373 299.267420 274.522257 267.558594
199310 36.091864 299.520805 274.355931 267.316645
199311 36.651514 299.736846 274.293561 267.219158
199312 36.855608 299.780249 274.421411 267.374359
199401 36.879472 299.820329 274.664620 267.669584
199402 37.817822 300.005805 275.051177 268.098951
199403 38.128667 300.335295 275.183567 268.227755
199404 39.589288 300.473532 275.299475 268.329174
199405 39.152118 300.314852 275.101617 268.113530
199406 37.653089 299.826609 274.952893 267.967829
199407 37.072838 299.424091 274.572026 267.606271
199408 36.413761 299.183239 274.605119 267.677114
199409 35.817706 299.272481 274.448670 267.467449
199410 35.718869 299.566784 274.320091 267.268425
199411 36.842352 299.726961 274.381574 267.314744
199412 37.162677 299.843238 274.476256 267.422448
199501 37.136628 299.868901 274.775156 267.791823
199502 37.277046 299.915736 274.966807 268.018870
199503 38.308650 300.221992 275.027625 268.048880
199504 38.895314 300.460106 275.079910 268.075183
199505 38.307902 300.261769 274.932950 267.897726
199506 37.604093 299.770549 274.644088 267.620588
199507 36.558906 299.408589 274.330014 267.328785
199508 35.825181 299.266675 274.407341 267.422364
199509 35.871982 299.287402 274.583473 267.620508
199510 36.395344 299.581560 274.409029 267.381362
199511 36.592797 299.748308 274.312733 267.249209
199512 36.701405 299.687797 274.475523 267.431931
199601 36.469468 299.583235 274.506775 267.531221
199602 36.854067 299.897982 274.634278 267.635698
199603 37.693015 300.216497 274.978187 267.980803
199604 38.780187 300.365546 275.047910 268.033988
199605 38.722198 300.265354 274.952252 267.930779
199606 37.436674 299.845789 274.744406 267.728078
199607 36.023142 299.484255 274.544114 267.562936
199608 36.650717 299.368921 274.439804 267.462076
199609 36.018457 299.539578 274.835764 267.872069
199610 37.197601 299.784385 274.710823 267.699539
199611 36.940080 299.926336 274.533578 267.487849
199612 37.405919 299.954725 274.687354 267.662883
199701 38.030685 299.997568 274.922795 267.961102
199702 37.647715 300.153724 275.123094 268.181460
199703 38.689061 300.331571 275.471373 268.546050
199704 39.000927 300.448765 275.405570 268.441801
199705 38.930156 300.283270 274.955825 267.943500
199706 37.247549 299.798159 274.724195 267.716064
199707 36.834663 299.466659 274.578099 267.605797
199708 36.799640 299.370157 274.685569 267.746485
199709 36.727008 299.449826 274.658630 267.699162
199710 36.378825 299.656577 274.678825 267.698384
199711 36.564780 299.753073 274.498609 267.459170
199712 36.584989 299.754103 274.556918 267.528329
199801 37.024373 299.726967 274.678253 267.704812
199802 36.471561 299.973678 274.697406 267.725614
199803 38.017213 300.257712 274.988221 268.004548
199804 39.177950 300.448938 275.053367 268.041360
199805 38.632771 300.262015 274.875791 267.841993
199806 37.289443 299.786980 274.657617 267.633178
199807 36.617446 299.407898 274.493385 267.504711
199808 36.793672 299.145750 274.653187 267.722263
199809 35.852919 299.295862 274.542635 267.582910
199810 36.985050 299.572047 274.454846 267.428972
199811 37.103980 299.718215 274.512523 267.470510
199812 37.514883 299.799623 274.439680 267.399050
199901 37.159184 299.796384 274.733323 267.748923
199902 36.697637 299.978235 274.805913 267.831124
199903 37.848383 300.321513 275.121175 268.143805
199904 39.665258 300.486425 275.281231 268.307705
199905 39.361572 300.346345 275.184562 268.192165
199906 37.888406 299.905933 274.810723 267.799458
199907 37.015278 299.467783 274.669047 267.711248
199908 36.001409 299.239800 274.624713 267.679508
199909 36.343481 299.388642 274.469014 267.488371
199910 36.403677 299.677261 274.505614 267.480150
199911 36.988078 299.768650 274.394462 267.336347
199912 37.148258 299.800096 274.463879 267.427275
200001 37.612725 299.878227 274.693384 267.715876
200002 37.014074 300.000515 274.880274 267.921256
200003 38.038541 300.335590 275.092003 268.093480
200004 38.912611 300.479351 275.032992 268.022271
200005 38.824102 300.272120 274.968189 267.933419
200006 37.008122 299.796889 274.640147 267.617622
200007 36.467430 299.436924 274.445503 267.448954
200008 36.458358 299.291958 274.550542 267.596373
200009 36.652206 299.354176 274.641185 267.689388
200010 36.616841 299.651208 274.617914 267.609950
200011 37.006012 299.793724 274.438052 267.390365
200012 37.503610 299.755724 274.625606 267.607781
200101 36.602058 299.786940 274.588240 267.576482
200102 36.506826 299.936619 274.821960 267.852232
200103 37.489162 300.238646 275.072001 268.089999
200104 38.312679 300.436553 275.123512 268.110937
200105 38.805650 300.326887 274.840806 267.810491
200106 37.632811 299.845860 274.773340 267.763379
200107 37.445764 299.500733 274.616153 267.656628
200108 37.238652 299.438754 274.721840 267.789740
200109 36.742267 299.565263 274.696424 267.728355
200110 36.732753 299.738626 274.603095 267.590588
200111 37.446731 299.980330 274.631865 267.589829
200112 37.851828 299.931075 274.777714 267.775191
200201 37.812717 299.946955 274.968488 268.000402
200202 36.710077 300.129292 275.171061 268.240501
200203 38.571745 300.358578 275.273870 268.324692
200204 39.045840 300.529287 275.258213 268.275571
200205 39.124364 300.391435 275.031923 268.012012
200206 38.197613 299.907382 274.973229 268.001699
200207 36.776722 299.457212 274.722989 267.776142
200208 36.659458 299.395934 274.606952 267.649809
200209 37.076654 299.405984 274.800524 267.859707
200210 36.759811 299.656759 274.702807 267.727867
200211 36.845563 299.765671 274.605769 267.576975
200212 37.468689 299.940449 274.554366 267.499950
200301 37.963030 299.909992 274.923966 267.964291
200302 37.498410 300.196548 275.147956 268.195458
200303 38.670805 300.461482 275.332825 268.389393
200304 40.332142 300.615675 275.457559 268.503504
200305 39.777885 300.371342 275.354011 268.379646
200306 38.114895 299.826802 275.008903 268.026509
200307 36.501186 299.520528 274.503655 267.510409
200308 36.633177 299.365437 274.641832 267.689032
200309 36.698989 299.490799 274.726022 267.773496
