time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 39.065665 299.872839 274.144149 267.339079
198002 38.561919 300.019495 274.395054 267.574174
198003 38.929080 300.370576 274.553877 267.723166
198004 39.797899 300.656608 274.356516 267.504452
198005 39.162887 300.379932 274.288624 267.427145
198006 37.680131 299.855223 274.176376 267.347171
198007 36.958928 299.485915 273.808973 266.998432
198008 37.055135 299.363887 273.891604 267.111113
198009 37.431130 299.537573 274.155411 267.362436
198010 37.639395 299.811855 274.102305 267.261734
198011 38.323379 299.910378 273.966482 267.081033
198012 38.017385 299.941479 273.952536 267.066150
198101 37.914609 300.028756 274.275097 267.417957
198102 39.220983 300.145930 274.562163 267.786649
198103 40.440791 300.504994 274.730710 267.914850
198104 40.095692 300.754217 274.913877 268.108290
198105 39.950040 300.485817 274.387773 267.557778
198106 38.312463 299.847869 274.186920 267.364148
198107 36.763645 299.408340 273.763060 266.935351
198108 37.269189 299.230270 273.958971 267.179851
198109 37.226966 299.350947 274.108368 267.337651
198110 37.020315 299.600974 274.077310 267.246961
198111 37.348633 299.666985 273.787343 266.921439
198112 37.743459 299.619485 273.625822 266.735595
198201 37.485534 299.589494 273.778306 266.901626
198202 37.120591 299.717363 273.885464 267.038071
198203 37.132381 299.985331 274.227164 267.366134
198204 38.244876 300.248353 273.975057 267.077849
198205 38.810836 300.136065 273.734700 266.820070
198206 37.511140 299.644021 273.491565 266.596650
198207 36.493621 299.271607 273.322702 266.476540
198208 36.462410 299.140018 273.641722 266.845885
198209 36.551962 299.241759 273.872033 267.074797
198210 36.973411 299.605924 273.739635 266.879255
198211 37.358023 299.722287 273.581897 266.693471
198212 37.678244 299.679549 273.786579 266.908652
198301 37.609704 299.672441 273.712828 266.866198
198302 37.231123 299.904546 273.933822 267.058656
198303 37.879416 300.269922 274.321409 267.465523
198304 39.623286 300.470384 274.280656 267.393683
198305 39.524625 300.272794 274.170987 267.318971
198306 37.104005 299.828472 273.882228 267.034935
198307 38.068222 299.415849 273.785765 266.980591
198308 37.147455 299.264922 273.913619 267.145325
198309 36.698773 299.402550 274.016501 267.220462
198310 37.460264 299.766471 274.004859 267.171502
198311 38.090168 299.918562 273.987499 267.139187
198312 37.831217 299.877492 273.996283 267.142218
198401 37.344291 299.990426 274.016554 267.136694
198402 38.199714 300.037456 274.298423 267.488785
198403 39.036695 300.296302 274.440959 267.637470
198404 39.850983 300.405537 274.427168 267.580118
198405 39.429682 300.238229 274.007246 267.115818
198406 37.523800 299.764328 273.781680 266.916833
198407 36.663933 299.280763 273.805594 267.004751
198408 36.805818 299.204488 273.821771 267.033069
198409 36.877364 299.425139 273.927626 267.119374
198410 37.424821 299.718621 273.987767 267.118877
198411 37.989843 299.978280 273.865790 266.936781
198412 38.362086 300.092244 273.838786 266.955974
198501 39.118182 300.048409 274.272829 267.458911
198502 38.908721 300.192076 274.706849 267.959476
198503 39.108906 300.473092 274.885145 268.075751
198504 39.876450 300.423486 274.643576 267.839257
198505 38.855807 300.322740 274.044146 267.156239
198506 37.674889 299.762017 273.921772 267.082317
198507 36.779295 299.271928 273.732157 266.903628
198508 36.313600 299.150595 273.669427 266.865230
198509 36.500526 299.158309 273.904293 267.102898
198510 36.335853 299.534244 273.717005 266.834336
198511 37.613578 299.632807 273.550950 266.649423
198512 36.974853 299.533366 273.578734 266.678261
198601 36.380007 299.403701 273.593970 266.722888
198602 36.415755 299.595811 273.549911 266.656077
198603 37.472395 299.848825 273.903327 267.016957
198604 38.644455 300.162576 273.809731 266.896569
198605 38.096935 299.958560 273.596278 266.665118
198606 36.852540 299.497223 273.371637 266.484349
198607 35.854841 299.088597 273.215540 266.340259
198608 36.641444 299.023223 273.396836 266.553754
198609 36.439953 299.191509 273.826604 267.021157
198610 36.475204 299.546871 273.659658 266.773996
198611 37.837961 299.745618 273.585746 266.666889
198612 37.439997 299.717390 273.831406 266.964821
198701 37.423016 299.738098 273.915675 267.077498
198702 37.371377 299.869065 274.052460 267.217848
198703 38.516100 300.234365 274.356917 267.517436
198704 39.263965 300.394870 274.286176 267.427200
198705 39.369324 300.242469 274.017921 267.141157
198706 36.865928 299.720581 273.847445 267.000486
198707 36.795176 299.395420 273.558179 266.717080
198708 36.770461 299.266960 273.949522 267.180988
198709 37.273735 299.403864 274.111107 267.343148
198710 37.520753 299.744739 273.918681 267.063732
198711 37.820609 299.952452 273.651741 266.743078
198712 37.616182 299.927640 273.951163 267.105638
198801 38.183326 299.977461 274.138452 267.312996
198802 38.413103 300.147096 274.396316 267.612180
198803 39.143156 300.418797 274.675079 267.857862
198804 40.061337 300.747228 274.517793 267.649572
198805 40.683459 300.579893 274.367426 267.500957
198806 38.566669 300.020132 274.349442 267.564398
198807 37.154008 299.523123 274.040517 267.263927
198808 36.917212 299.423719 273.841001 267.041185
198809 37.385067 299.542160 274.072599 267.278796
198810 37.630185 299.787798 274.030421 267.179754
198811 37.839678 299.925778 274.122572 267.260081
198812 38.180860 299.936773 274.155559 267.314483
198901 38.541196 299.980540 274.285117 267.478761
198902 38.476426 300.087856 274.458204 267.650856
198903 39.567155 300.490312 274.593168 267.757365
198904 40.226748 300.656094 274.486009 267.629473
198905 39.334322 300.430182 274.089121 267.209803
198906 38.358981 299.905871 274.037325 267.218229
198907 37.455426 299.395022 274.009282 267.235815
198908 37.559986 299.257763 274.013984 267.253642
198909 37.181522 299.489249 274.128691 267.347092
198910 37.596640 299.797674 274.206295 267.357219
198911 38.574489 299.943522 274.240706 267.382547
198912 37.609660 299.992165 274.062075 267.192273
199001 38.930811 299.882883 274.306882 267.528701
199002 38.445474 300.077924 274.430533 267.635011
199003 39.733153 300.490292 274.477859 267.637086
199004 40.464157 300.563814 274.757717 267.931602
199005 39.763644 300.430916 274.196957 267.328307
199006 38.301113 299.894055 274.032687 267.216884
199007 36.956731 299.439224 273.814564 267.009577
199008 36.972982 299.296386 273.992120 267.229389
199009 36.564941 299.507746 274.044716 267.254710
199010 37.763951 299.834683 274.029842 267.165666
199011 38.717001 300.094986 274.039380 267.164165
199012 38.964007 300.216835 274.326320 267.484272
199101 39.655118 300.141284 274.696541 267.927813
199102 38.658141 300.282356 274.818959 268.060393
199103 39.138027 300.580185 274.840698 268.055166
