time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 38.329736 300.096226 274.001735 267.112263
198002 39.002694 300.237134 274.496576 267.665627
198003 39.716258 300.525110 274.697454 267.843980
198004 40.162585 300.848028 274.568099 267.700857
198005 41.076217 300.734827 274.520905 267.667590
198006 39.554070 300.288861 274.477459 267.688368
198007 38.665958 299.845248 274.198479 267.400727
198008 38.525177 299.696429 274.351205 267.575946
198009 37.947488 299.822420 274.502771 267.719201
198010 38.662840 300.079192 274.449778 267.626543
198011 39.681433 300.279067 274.277823 267.421090
198012 39.404211 300.349196 274.638874 267.824772
198101 39.790843 300.392716 274.714706 267.906224
198102 40.068314 300.550855 275.008172 268.237378
198103 40.677186 300.706911 275.292807 268.539692
198104 41.315564 300.904774 275.090614 268.288254
198105 40.788879 300.767850 274.743957 267.917631
198106 39.419900 300.127470 274.657053 267.888683
198107 37.813460 299.649746 274.251816 267.482975
198108 37.259158 299.485780 274.116461 267.333902
198109 38.074231 299.496358 274.361451 267.594058
198110 37.798762 299.827468 274.101406 267.254028
198111 38.742632 299.982751 273.927487 267.057044
198112 39.108094 299.980579 274.191436 267.363072
198201 38.595214 299.885716 274.334334 267.512773
198202 38.555336 300.165878 274.326281 267.486719
198203 39.482720 300.395504 274.680017 267.859848
198204 40.239157 300.581442 274.543130 267.683533
198205 39.566936 300.366498 274.289243 267.430979
198206 38.098049 299.882626 274.313760 267.489833
198207 38.350665 299.517985 274.008172 267.211994
198208 37.210806 299.369245 274.165911 267.424235
198209 37.124230 299.420269 274.256250 267.495318
198210 37.367385 299.750117 274.107346 267.267463
198211 38.461778 299.840206 274.016886 267.131375
198212 38.143359 299.856392 273.855759 266.952745
198301 37.790945 299.720890 274.267022 267.442679
198302 37.269987 299.801319 274.203678 267.377109
198303 38.203792 300.214241 274.125025 267.251066
198304 38.651942 300.500103 273.956616 267.028285
198305 38.911351 300.401919 273.957558 267.041105
198306 37.928686 299.934328 273.985540 267.148334
198307 38.021557 299.582644 273.855168 267.011880
198308 37.569525 299.476040 274.050156 267.270648
198309 38.115701 299.772982 274.204233 267.409279
198310 38.930490 300.203976 274.345596 267.503834
198311 39.814153 300.351713 274.423593 267.575492
198312 39.126195 300.294541 274.417502 267.599686
198401 39.440511 300.348513 274.529846 267.718536
198402 39.320621 300.421642 274.937485 268.195116
198403 39.630484 300.691511 274.915508 268.099606
198404 40.792031 300.929341 274.862005 268.038689
198405 41.069211 300.861658 274.714502 267.883880
198406 39.955087 300.228596 274.748844 268.003106
198407 39.329866 299.863143 274.390643 267.639436
198408 38.341397 299.714363 274.527602 267.803242
198409 38.297715 299.839854 274.549677 267.806280
198410 38.561333 300.030333 274.500423 267.684565
198411 39.615178 300.290307 274.578713 267.764236
198412 39.755818 300.356748 274.661892 267.849870
198501 40.177603 300.301600 274.844165 268.098195
198502 39.747167 300.360898 274.843794 268.070267
198503 40.929889 300.664702 274.966110 268.193819
198504 40.851022 300.982604 274.775990 267.935041
198505 40.479119 300.853279 274.794583 267.945116
198506 39.271375 300.324644 274.482275 267.677010
198507 38.710207 299.801702 274.511301 267.773957
198508 38.362581 299.691808 274.510683 267.773642
198509 39.038377 299.919069 274.552881 267.790219
198510 39.126486 300.200085 274.627416 267.819003
198511 39.209999 300.457895 274.432071 267.573834
198512 39.163562 300.475110 274.624950 267.783885
198601 39.462090 300.427166 274.837342 268.048801
198602 39.377638 300.514062 275.064908 268.302948
198603 40.033579 300.906553 275.206729 268.417637
198604 40.963908 301.032676 275.094429 268.324180
198605 41.165637 300.779510 274.760625 267.957085
198606 38.912626 300.126248 274.412563 267.610681
198607 38.177530 299.678566 274.104754 267.306465
198608 38.190460 299.430970 274.377850 267.654205
198609 37.605714 299.543516 274.202524 267.429035
198610 37.661939 299.772368 274.181862 267.360056
198611 38.046485 299.973782 274.077835 267.194712
198612 38.086317 299.975354 274.200336 267.359872
198701 37.275513 299.929407 274.083952 267.215487
198702 38.242457 299.995332 274.321774 267.474504
198703 39.028616 300.570039 274.457652 267.592102
198704 40.847566 300.806000 274.584504 267.715064
198705 40.135988 300.581044 274.427939 267.557435
198706 38.498364 300.183261 274.176444 267.318380
198707 38.060453 299.754808 274.054217 267.251050
198708 39.137101 299.590313 274.327722 267.584087
198709 38.351790 299.710925 274.483409 267.739538
198710 38.268570 299.921433 274.399477 267.564501
198711 38.359320 300.119802 274.169534 267.278478
198712 39.284743 300.129275 274.321833 267.468096
198801 38.552197 300.124477 274.629264 267.811474
198802 39.151410 300.277125 274.715578 267.912863
198803 40.428957 300.570802 274.713958 267.887888
198804 40.379005 300.892066 274.697726 267.835280
198805 40.382025 300.601477 274.657271 267.846090
198806 38.164241 300.088141 274.425070 267.652300
198807 38.491872 299.697007 274.311393 267.559111
198808 38.039635 299.596311 274.431681 267.684759
198809 38.203042 299.797442 274.479516 267.706953
198810 38.482948 300.076556 274.496049 267.691299
198811 39.551684 300.240677 274.331449 267.475060
198812 38.788146 300.294420 274.536851 267.679707
198901 39.087945 300.331880 274.416373 267.582106
198902 39.670970 300.405321 274.759406 267.973659
198903 40.986226 300.730507 274.960817 268.170169
198904 41.089443 300.901223 275.040142 268.231385
