time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 39.931436 300.485181 277.833048 271.414311
198002 39.939427 300.590607 278.093543 271.690552
198003 40.620170 300.985295 278.299951 271.881737
198004 41.568565 301.347517 278.735310 272.304415
198005 42.484838 301.299653 278.599066 272.178845
198006 41.604542 300.828135 278.211293 271.824189
198007 40.786506 300.400263 277.828134 271.438185
198008 40.436811 300.209556 277.913396 271.548656
198009 40.982269 300.364462 278.058503 271.673135
198010 41.418904 300.625831 278.317705 271.902404
198011 42.332118 300.794360 278.363049 271.941202
198012 41.357516 300.819049 278.293394 271.881164
198101 41.669729 300.692030 278.369497 272.009482
198102 40.530606 300.640950 278.299681 271.925642
198103 40.564903 300.944827 278.435722 272.038007
198104 41.645356 301.373797 278.661340 272.229018
198105 42.829335 301.356860 278.794843 272.401938
198106 42.096638 300.854348 278.362812 271.978485
198107 41.071096 300.398071 277.961701 271.597064
198108 40.422193 300.184415 277.896513 271.535340
198109 40.494572 300.329226 278.103302 271.736721
198110 41.085447 300.653843 278.228415 271.815373
198111 41.664879 300.840238 278.347564 271.927680
198112 42.608235 300.833982 278.396107 271.994892
198201 41.131609 300.690219 278.375412 272.014141
198202 40.805015 300.636858 278.301464 271.932891
198203 41.195830 300.925048 278.492790 272.095601
198204 42.452575 301.233618 278.691453 272.260964
198205 42.807117 301.116614 278.716095 272.297628
198206 41.160156 300.597094 278.086444 271.673144
198207 40.089305 300.045061 277.581072 271.167604
198208 38.903793 299.794397 277.361135 270.950578
198209 39.973367 299.865852 277.593297 271.166643
198210 39.907250 300.095722 277.824600 271.379426
198211 39.749567 300.234339 277.740154 271.260706
198212 38.612680 300.174602 277.488330 271.009030
198301 38.824167 300.076482 277.322187 270.846125
198302 39.407040 300.172786 277.388542 270.921885
198303 39.316778 300.558236 277.824210 271.340315
198304 40.144293 300.860105 278.162856 271.681331
198305 41.161074 300.784494 278.026105 271.548490
198306 39.652942 300.336853 277.571043 271.108939
198307 39.505186 299.904751 277.253701 270.811879
198308 39.125952 299.640542 277.066674 270.639682
198309 39.614236 299.713998 277.164491 270.718644
198310 38.941301 300.045486 277.316641 270.811332
198311 39.155740 300.257881 277.561914 271.063183
198312 39.547340 300.192136 277.504525 271.019218
198401 39.535038 300.142881 277.423903 270.967391
198402 39.588733 300.304016 277.741648 271.323691
198403 40.013801 300.698320 277.973515 271.527191
198404 41.179756 301.022443 278.395194 271.951319
198405 42.179345 300.900691 278.376263 271.967336
198406 40.917350 300.506525 277.884283 271.459779
198407 39.859909 300.116943 277.496735 271.090487
198408 39.798019 299.935085 277.566689 271.160403
198409 40.464416 300.081072 277.778665 271.374614
198410 40.804722 300.363673 278.044633 271.628189
198411 40.610453 300.498794 278.142841 271.694669
198412 40.384154 300.386504 277.855677 271.420744
198501 39.722978 300.248420 277.738980 271.335391
198502 39.495839 300.285612 277.857873 271.455587
198503 40.163314 300.523986 278.136683 271.695709
198504 40.805694 300.765829 278.286314 271.828454
198505 40.666250 300.644352 277.963442 271.502321
198506 39.554553 300.100296 277.334580 270.862229
198507 38.490401 299.707426 276.986286 270.511210
198508 38.798626 299.516949 277.035864 270.592598
198509 38.718552 299.676622 277.224515 270.777756
198510 39.232399 300.001243 277.497600 271.031479
198511 39.442511 300.198792 277.561030 271.073144
198512 38.705031 300.172985 277.442448 270.958792
198601 39.067779 300.162859 277.482503 271.021623
198602 39.677328 300.263459 277.582618 271.119090
198603 40.449604 300.644602 277.999224 271.531132
198604 41.035344 301.000583 278.335740 271.881373
198605 42.051354 300.898698 278.399542 271.971888
198606 41.051760 300.457896 277.812488 271.405420
198607 39.720593 300.026976 277.446688 271.039264
198608 38.988676 299.845244 277.417920 271.037515
198609 39.582570 299.942901 277.573012 271.152363
198610 40.163619 300.210798 277.752822 271.302249
198611 40.178881 300.486410 277.893425 271.436178
198612 40.532210 300.493319 277.769906 271.305106
198701 41.202208 300.344403 277.970022 271.559155
198702 39.955227 300.459992 277.819663 271.404472
198703 39.875475 300.846392 278.084041 271.633082
198704 41.674640 301.247024 278.410459 271.962158
198705 42.024985 301.076122 278.447883 272.028646
198706 41.899263 300.652710 278.176415 271.798261
198707 41.171285 300.238697 277.796743 271.426188
198708 41.014770 300.052032 277.880232 271.521286
198709 40.295146 300.229442 278.016856 271.619321
198710 41.449993 300.547994 278.227157 271.807408
198711 41.181784 300.792158 278.305020 271.881091
198712 41.518819 300.842810 278.332492 271.909736
198801 40.796770 300.745906 278.244421 271.864515
198802 41.293996 300.893453 278.368150 271.995266
198803 41.952984 301.223289 278.780384 272.407649
198804 43.817540 301.446475 279.198913 272.835092
198805 43.853388 301.295853 278.927087 272.565531
198806 41.604643 300.856641 278.284726 271.910553
198807 40.741824 300.487698 277.882184 271.503895
198808 41.085370 300.264508 278.000389 271.655748
198809 41.651581 300.295737 278.142339 271.784500
198810 41.668360 300.604698 278.209808 271.793756
198811 40.869271 300.811391 278.284702 271.847748
198812 41.297283 300.887520 278.344793 271.923894
198901 42.142814 300.862307 278.536677 272.175490
198902 42.508966 300.982057 278.790527 272.462416
198903 42.069135 301.231480 279.030409 272.677895
198904 42.435052 301.473108 279.013561 272.618476
198905 43.039446 301.333581 278.936039 272.539812
198906 42.285652 300.876969 278.326312 271.942042
198907 40.776125 300.349978 277.922020 271.559856
198908 40.829581 300.126695 277.880224 271.522434
198909 41.323584 300.223943 278.151034 271.803500
198910 40.688398 300.491335 278.185565 271.770993
198911 41.343781 300.706834 278.287314 271.853251
198912 40.810924 300.802672 278.108870 271.678300
199001 41.012850 300.866657 278.277270 271.895944
199002 41.370256 301.078145 278.633502 272.287488
199003 42.397639 301.337781 278.959328 272.610130
199004 43.814827 301.641474 279.258500 272.886395
199005 44.339641 301.536990 279.191282 272.823241
199006 42.835418 301.149697 278.677221 272.321884
199007 41.786974 300.718703 278.368827 272.040474
199008 42.313444 300.496579 278.343027 272.040066
