time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 38.026011 299.575958 275.886157 269.230416
198002 37.225696 299.603907 275.615398 268.974507
198003 37.677588 299.864227 275.927524 269.200173
198004 38.707451 300.188607 276.124390 269.369324
198005 39.526781 300.275780 275.942416 269.144288
198006 38.761405 300.017944 275.761387 268.993848
198007 38.881652 299.613628 275.764406 269.118139
198008 38.644866 299.403485 275.915778 269.284068
198009 38.743035 299.421596 275.937895 269.281867
198010 38.820384 299.577111 276.116958 269.442244
198011 38.222475 299.708087 276.101872 269.388157
198012 38.222532 299.591824 275.828564 269.129380
198101 37.224637 299.615087 275.600164 268.919329
198102 37.845197 299.676898 275.816890 269.134069
198103 38.018680 300.008950 276.192821 269.489806
198104 39.789064 300.258095 276.262693 269.511557
198105 40.212359 300.346208 276.276398 269.503770
198106 39.870927 300.066220 276.007698 269.273503
198107 39.702306 299.625785 275.965149 269.307302
198108 39.041713 299.347379 276.085671 269.471152
198109 38.566962 299.354073 276.007447 269.367241
198110 39.139088 299.552217 276.262519 269.580902
198111 38.307622 299.774307 276.064848 269.337629
198112 37.684253 299.824514 276.062415 269.360698
198201 38.321796 299.880852 275.970863 269.311205
198202 38.059869 299.990438 276.157305 269.536660
198203 39.134229 300.082041 276.365941 269.714902
198204 39.638890 300.299872 276.430711 269.722023
198205 40.046237 300.251203 276.110416 269.356926
198206 39.049579 299.755553 275.758401 269.040842
198207 38.639280 299.265392 275.604743 268.943617
198208 37.483692 298.948635 275.570680 268.954855
198209 37.144608 298.906705 275.604450 268.946522
198210 37.827268 299.035987 275.677139 268.961919
198211 37.322913 299.156983 275.298309 268.547605
198212 37.135556 299.089743 275.243072 268.512687
198301 36.232514 299.063730 274.869460 268.158610
198302 36.372087 299.105188 275.275631 268.622783
198303 36.790535 299.419889 275.478989 268.754741
198304 37.911342 299.832867 275.363266 268.555436
198305 38.672722 299.999505 275.412400 268.559770
198306 38.576499 299.687617 275.249750 268.476202
198307 37.598516 299.206758 275.297758 268.597283
198308 37.391429 298.976531 275.363298 268.699210
198309 37.491926 299.029920 275.481168 268.789790
198310 37.475556 299.280890 275.650466 268.918549
198311 38.030281 299.351184 275.621339 268.869079
198312 37.942456 299.308830 275.476271 268.764745
198401 36.571454 299.231316 275.262773 268.543605
198402 35.873848 299.506888 275.208135 268.482036
198403 37.098178 299.895383 275.624440 268.862812
198404 39.182027 300.286093 275.966058 269.171610
198405 40.069741 300.351867 276.165432 269.368656
198406 40.079397 300.090892 275.701840 268.987930
198407 39.599403 299.613008 275.947474 269.301555
198408 38.931432 299.386164 276.109878 269.515993
198409 38.285027 299.552352 275.966772 269.289342
198410 39.679338 299.773318 276.325673 269.647549
198411 38.936799 299.851033 276.378071 269.692227
198412 39.255623 299.820165 276.223660 269.565567
198501 38.247259 299.845563 276.105920 269.471451
198502 39.398263 299.902272 276.328095 269.705479
198503 39.002679 300.164207 276.389471 269.707530
198504 39.990216 300.421124 276.595023 269.884165
198505 40.843899 300.534481 276.334312 269.560086
198506 39.572268 300.309747 275.946194 269.193355
198507 39.704071 299.825658 276.147203 269.512679
198508 39.300181 299.412274 276.085257 269.493993
198509 38.372182 299.430117 276.098659 269.466799
198510 39.017654 299.582932 276.110818 269.453845
198511 39.084506 299.699081 276.106414 269.407673
198512 38.041558 299.734170 275.924691 269.246495
198601 37.996235 299.605884 275.968656 269.339570
198602 37.111557 299.717305 275.755211 269.106806
198603 37.960959 300.023737 276.145185 269.446907
198604 39.929337 300.286408 276.163616 269.424043
198605 39.584155 300.368499 275.932620 269.151129
198606 39.622293 299.927064 275.765635 269.040156
198607 39.244904 299.525453 275.781155 269.095487
198608 39.417274 299.276609 275.983487 269.338874
198609 38.910014 299.340524 275.950354 269.297699
198610 39.005557 299.469115 276.066577 269.390184
198611 38.573957 299.589845 276.007933 269.304409
198612 37.736889 299.609323 275.772139 269.072589
198701 37.824350 299.528527 275.849039 269.221559
198702 37.963764 299.665590 275.744578 269.068013
198703 39.051090 299.798105 276.161578 269.509598
198704 38.847159 300.043014 276.233916 269.500386
198705 39.098356 300.179246 275.776248 268.972363
198706 39.104998 299.890066 275.267964 268.493149
198707 38.353333 299.491616 275.339686 268.675121
198708 37.856236 299.340972 275.622685 268.980122
198709 37.663463 299.495194 275.782601 269.090320
198710 39.389961 299.823335 276.236831 269.522837
198711 38.988245 300.030233 276.440723 269.750291
198712 39.553705 300.053128 276.233535 269.551866
198801 39.032723 300.044973 276.190560 269.544657
198802 38.515419 300.150900 276.327622 269.673925
198803 39.599333 300.375190 276.837150 270.198275
198804 40.757250 300.688105 276.823607 270.118243
198805 41.453369 300.703764 276.806334 270.078888
198806 40.477716 300.408940 276.535052 269.844665
198807 40.336755 299.984343 276.221163 269.591422
198808 40.568771 299.732637 276.480095 269.891407
198809 40.067041 299.753810 276.527812 269.917758
198810 40.211310 299.886587 276.688699 270.067531
198811 39.330228 299.964153 276.670468 270.031410
198812 38.722455 299.949907 276.376415 269.720960
198901 37.778161 299.875933 276.226031 269.596591
198902 38.941095 300.005165 276.197117 269.575950
198903 38.767090 300.161744 276.525911 269.878587
198904 40.175652 300.444367 276.745785 270.058581
198905 40.882339 300.492637 276.488023 269.752942
198906 40.048115 300.074254 276.131953 269.416069
198907 39.636853 299.636915 275.850464 269.201741
198908 39.181173 299.394444 275.889660 269.314064
