time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 40.253683 300.683164 277.401184 270.823188
198002 40.426387 300.763414 277.648941 271.096564
198003 40.724984 301.124025 277.815696 271.198372
198004 41.813291 301.433953 277.954282 271.291409
198005 42.047961 301.355423 277.883607 271.198860
198006 41.336537 300.999386 277.502108 270.812233
198007 40.666108 300.635019 277.462981 270.838926
198008 40.753247 300.391589 277.479452 270.898658
198009 40.813055 300.317060 277.581764 270.993413
198010 40.349626 300.576402 277.591300 270.965943
198011 39.664733 300.734454 277.454772 270.794099
198012 39.865378 300.788935 277.572402 270.963889
198101 40.516798 300.807829 277.460146 270.889478
198102 40.323754 300.930833 277.735818 271.160982
198103 41.044671 301.165511 278.090988 271.529754
198104 41.873227 301.474591 278.178450 271.549186
198105 41.810462 301.374921 277.930324 271.254397
198106 40.711758 301.063848 277.502709 270.810214
198107 40.947793 300.637430 277.507042 270.887565
198108 41.248333 300.429050 277.683373 271.124986
198109 40.715429 300.406083 277.704756 271.146615
198110 40.084559 300.633927 277.662183 271.059129
198111 40.770099 300.929739 277.655370 271.010890
198112 40.449466 300.983956 277.725067 271.112091
198201 41.215501 300.974587 277.750723 271.191428
198202 41.405282 300.974432 278.138970 271.648823
198203 41.249795 301.289328 277.910360 271.316851
198204 42.454376 301.575936 278.123832 271.479504
198205 43.290232 301.510438 278.001609 271.329111
198206 42.110587 301.180268 277.884132 271.246335
198207 42.055303 300.639105 277.874305 271.324320
198208 41.197502 300.372346 277.785211 271.249449
198209 41.547184 300.425647 277.766510 271.200978
198210 40.635785 300.631410 277.718399 271.108555
198211 40.512932 300.746710 277.558042 270.920483
198212 40.749638 300.833394 277.708832 271.114775
198301 40.821764 300.888297 277.657665 271.111966
198302 40.782422 301.025673 277.998562 271.495046
198303 42.385879 301.330500 278.426174 271.928041
198304 43.292285 301.589823 278.663156 272.124206
198305 42.751282 301.626460 278.411974 271.830239
198306 42.959826 301.200482 278.175472 271.604502
198307 41.399065 300.621402 277.827972 271.279615
198308 41.192711 300.306539 277.671227 271.116947
198309 40.395808 300.268749 277.575738 270.993999
198310 39.779905 300.489047 277.556679 270.924114
198311 39.937086 300.600399 277.326838 270.657539
198312 39.285125 300.546736 277.272396 270.653296
198401 39.066188 300.478625 277.143821 270.543276
198402 38.758347 300.496416 277.170913 270.558999
198403 39.938716 300.791548 277.449722 270.769653
198404 40.777077 301.058446 277.454488 270.730566
198405 40.654209 300.982506 277.301521 270.544735
198406 39.402477 300.518650 277.006065 270.283169
198407 38.793253 300.132923 276.820931 270.126904
198408 39.138036 299.914680 276.985802 270.349543
198409 39.014029 299.996810 276.986418 270.340271
198410 38.808412 300.249866 277.106972 270.420367
198411 39.035270 300.412362 277.158873 270.480267
198412 39.856019 300.412459 277.204277 270.575078
198501 39.338814 300.296852 276.970000 270.359656
198502 39.279347 300.360796 277.239154 270.636418
198503 40.004071 300.565077 277.523197 270.881878
198504 40.218277 300.978490 277.159580 270.391562
198505 40.161904 300.898269 277.165166 270.402523
198506 39.537254 300.523800 276.970378 270.264785
198507 39.929322 300.187255 277.035411 270.373340
198508 39.137323 300.033942 277.111733 270.494499
198509 39.893669 300.099830 277.233022 270.594197
198510 39.573872 300.330822 277.228237 270.569200
198511 39.736775 300.519190 277.211835 270.525619
198512 39.566168 300.622918 277.343044 270.700223
198601 39.597968 300.603525 277.321456 270.726407
198602 39.981852 300.701732 277.407351 270.827051
198603 40.132308 300.999541 277.583330 270.967124
198604 40.952907 301.296840 277.707859 271.019014
198605 41.971229 301.135575 277.740269 271.057858
198606 40.679478 300.787531 277.471008 270.804111
198607 39.913929 300.340875 277.323738 270.710264
198608 39.688834 300.145001 277.184768 270.579992
198609 39.619486 300.210453 277.420304 270.808181
198610 39.226992 300.513547 277.350660 270.696909
198611 40.885352 300.683043 277.444069 270.794968
198612 40.321798 300.777591 277.437085 270.828546
198701 41.286648 300.800091 277.595329 271.039721
198702 41.398573 300.913909 278.079994 271.586500
198703 40.969347 301.164627 278.177052 271.644265
198704 41.862271 301.489982 278.068066 271.448421
198705 42.433512 301.463284 277.926458 271.261666
198706 41.592065 301.117240 277.669104 271.006756
198707 41.301434 300.664969 277.817547 271.241737
198708 40.157009 300.461070 277.631928 271.037607
198709 40.811976 300.550778 277.675703 271.080681
198710 41.283994 300.850235 277.880355 271.269456
198711 41.543079 301.001166 277.908698 271.321204
198712 40.735625 301.002064 277.840897 271.267817
198801 41.626191 300.995397 277.801054 271.260230
198802 41.332611 301.092662 278.131707 271.630598
198803 41.502269 301.340286 278.205717 271.642516
198804 43.378102 301.544117 278.344132 271.751838
198805 43.213769 301.558916 278.192745 271.551896
198806 42.259129 301.191082 277.913438 271.279297
198807 42.132597 300.763615 277.891743 271.332173
198808 41.529112 300.565012 277.928442 271.390330
198809 41.888785 300.599143 278.010148 271.473384
198810 41.486886 300.937555 277.901235 271.280763
198811 41.860078 301.133293 277.983623 271.387334
198812 41.067308 301.225597 277.980176 271.420069
198901 41.837839 301.236017 278.453235 272.026918
198902 42.108571 301.497215 278.578610 272.151654
198903 44.178384 301.710711 279.206521 272.807173
198904 44.556119 301.927913 279.306025 272.852496
198905 45.130479 301.907953 279.078201 272.576954
198906 43.890932 301.483579 278.481660 271.927381
198907 43.018694 300.904376 278.214690 271.683060
198908 41.782223 300.505307 277.864906 271.340346
198909 41.710840 300.437602 277.766762 271.204218
198910 40.562079 300.679698 277.651306 271.026848
198911 40.416783 300.726310 277.620810 270.983938
198912 39.693164 300.600178 277.321639 270.692931
199001 39.921661 300.532538 277.293738 270.712037
199002 40.302958 300.579025 277.427981 270.833559
199003 41.044351 300.756816 277.700901 271.089184
199004 40.982019 301.097038 277.439530 270.723952
199005 41.121692 300.953139 277.436009 270.703576
199006 40.011215 300.532840 277.126649 270.400718
199007 39.135440 300.109891 276.808077 270.118314
199008 39.137141 300.037042 276.893758 270.219862
199009 39.684130 300.134830 277.300289 270.665464
199010 39.257085 300.345559 277.254260 270.578176
199011 39.114845 300.496699 277.209567 270.518057
199012 39.590796 300.423601 277.033214 270.362308
199101 39.794756 300.418848 276.947401 270.299582
199102 39.854287 300.432629 277.144358 270.512171
199103 40.663736 300.718733 277.491093 270.817879
199104 40.332132 301.073754 277.419321 270.681245
199105 41.086427 301.019401 277.302856 270.547279
199106 39.905968 300.731252 276.931146 270.171840
199107 39.446717 300.371724 277.109820 270.422883
199108 39.909343 300.225280 277.213095 270.580162
199109 39.523473 300.270050 277.311844 270.671469
199110 39.703499 300.465878 277.241774 270.558178
199111 39.689620 300.603881 277.318839 270.633186
199112 39.498250 300.690261 277.312359 270.649026
199201 39.792796 300.589705 277.327928 270.742370
199202 40.046967 300.687221 277.404977 270.790195
199203 41.035550 300.927016 277.623577 271.004408
199204 40.427894 301.216274 277.674289 270.996025
199205 41.678364 301.200322 277.596283 270.885117
199206 41.028010 300.882691 277.494989 270.806165
199207 40.730317 300.418539 277.412628 270.785059
199208 40.212899 300.174030 277.366383 270.759368
199209 39.422158 300.225985 277.267687 270.619335
199210 39.836526 300.544517 277.259101 270.566006
199211 40.343368 300.654629 277.358443 270.700375
199212 39.328605 300.726530 277.354141 270.715482
199301 39.847207 300.751768 277.465328 270.875617
199302 40.114853 300.830046 277.717259 271.188705
199303 41.458789 301.099720 277.921641 271.346626
199304 42.094364 301.436990 278.122491 271.483191
199305 42.605787 301.363242 278.187356 271.587854
199306 41.417558 301.033937 277.826522 271.204806
199307 40.963428 300.658115 277.612309 270.994806
199308 40.990747 300.479211 277.709902 271.139190
199309 40.636727 300.499320 277.704957 271.121552
199310 40.993263 300.636769 277.741004 271.140860
199311 40.349324 300.886642 277.670631 271.029895
199312 40.471981 300.868252 277.661903 271.072552
199401 40.958960 300.825440 277.751357 271.226215
199402 40.486231 300.941013 277.837396 271.298672
199403 41.975149 301.122891 278.088305 271.514630
199404 41.951332 301.305975 277.889300 271.254272
199405 41.534870 301.190006 277.670607 270.972451
199406 40.633622 300.728587 277.566794 270.927752
199407 39.516568 300.329524 277.179627 270.536891
199408 40.052806 300.111586 277.234159 270.631225
199409 39.822874 300.161299 277.443772 270.854766
199410 39.668893 300.301451 277.448107 270.832615
199411 39.421555 300.444424 277.296298 270.645580
199412 40.160255 300.435275 277.321512 270.702279
199501 39.826299 300.406327 277.117000 270.500970
199502 39.653561 300.482399 277.282543 270.673045
199503 40.371087 300.751247 277.522003 270.871008
199504 40.236143 301.046031 277.427464 270.677221
199505 40.179851 300.996165 277.246479 270.490204
199506 40.452750 300.634808 277.125486 270.397012
199507 40.351884 300.198114 277.072547 270.418145
199508 40.517543 300.013530 277.165772 270.548756
199509 39.788428 300.063284 277.164555 270.537827
199510 39.916405 300.270376 277.296143 270.648970
199511 39.494520 300.431677 277.218494 270.564754
199512 39.353104 300.415944 277.043030 270.390333
199601 39.163941 300.479412 276.832455 270.196059
199602 39.601469 300.652422 277.300198 270.707927
199603 40.988266 300.922056 277.788175 271.164164
199604 41.188524 301.223560 277.749558 271.066535
199605 41.046010 301.178821 277.538147 270.833431
199606 40.802151 300.842470 277.369852 270.687148
199607 41.239136 300.551454 277.529688 270.925256
199608 40.815142 300.423675 277.754393 271.206626
199609 41.198156 300.536167 277.860229 271.326609
199610 41.027522 300.858306 277.896330 271.291313
199611 41.766515 301.040316 277.943603 271.353376
199612 41.522575 301.136066 278.038614 271.485633
199701 41.495580 301.207036 278.026121 271.492265
199702 42.577010 301.169238 278.455816 271.995974
199703 42.099083 301.418724 278.412286 271.900596
199704 42.772605 301.708298 278.352705 271.716804
199705 43.021821 301.661626 278.281191 271.641926
199706 42.722822 301.258624 278.135132 271.524183
199707 41.037655 300.783952 277.796623 271.236333
199708 41.385299 300.554272 277.901113 271.353184
199709 40.781892 300.601738 277.994890 271.461590
199710 41.179037 300.936235 278.093636 271.514939
199711 41.390290 301.117049 277.988832 271.395698
199712 41.536693 301.221990 277.943757 271.356160
199801 42.454274 301.297102 278.145760 271.667657
199802 42.545632 301.494021 278.609393 272.134215
199803 43.468173 301.617112 279.021177 272.603125
199804 44.034719 301.849251 278.676797 272.117235
199805 44.222345 301.696900 278.664642 272.089676
199806 43.225790 301.263279 278.247295 271.667030
199807 42.216138 300.801524 277.996407 271.455626
199808 41.653225 300.571311 277.991219 271.473554
199809 41.602050 300.674601 278.009857 271.468571
199810 40.840667 300.914057 278.000361 271.420380
199811 41.874664 301.016964 277.986452 271.389502
199812 41.420725 301.055661 278.044312 271.497388
199901 41.240172 301.045627 278.018279 271.498648
199902 41.829451 301.159670 278.136960 271.627307
199903 42.617007 301.422811 278.328762 271.782573
199904 43.841393 301.650701 278.472380 271.879890
199905 42.902074 301.648961 278.219958 271.573304
199906 42.226707 301.218306 278.095353 271.493395
199907 41.455899 300.820516 277.841801 271.275403
199908 41.825708 300.583785 277.985869 271.459247
199909 41.576816 300.629574 278.048031 271.513175
199910 40.945549 300.873859 278.039720 271.474122
199911 40.880791 301.033326 277.947275 271.356404
199912 41.745013 301.067912 277.957226 271.397936
200001 41.937449 301.087089 277.747307 271.192876
200002 42.826222 301.256044 278.296346 271.787111
200003 42.978596 301.480009 278.642394 272.135407
200004 43.388681 301.870729 278.491646 271.866275
200005 43.998179 301.802253 278.482521 271.863828
