time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 37.811030 299.792555 276.239567 269.526570
198002 38.397532 299.764855 276.421981 269.720301
198003 38.100502 299.917337 276.573356 269.839741
198004 37.978062 300.352272 276.326758 269.473536
198005 37.684755 300.255599 276.257736 269.399102
198006 37.837869 299.901979 276.041071 269.208572
198007 37.247582 299.476514 275.938254 269.189972
198008 37.156770 299.287132 276.058862 269.339714
198009 36.709843 299.403499 276.154277 269.425776
198010 37.709322 299.716078 276.237250 269.465636
198011 37.145350 299.896315 276.266933 269.474318
198012 37.020621 299.973514 276.263844 269.521060
198101 37.447620 299.959071 276.242630 269.545738
198102 37.707092 300.114996 276.602837 269.907561
198103 38.624716 300.374090 276.874208 270.159388
198104 39.368649 300.596578 276.899552 270.131488
198105 38.573144 300.589609 276.542596 269.715280
198106 38.594971 300.290086 276.255591 269.431950
198107 38.407801 299.873328 276.407271 269.705669
198108 38.518614 299.696796 276.542438 269.865298
198109 38.754585 299.760842 276.664889 269.980333
198110 38.446881 299.978027 276.764478 270.063023
198111 39.164859 300.267897 276.640257 269.886280
198112 39.667974 300.308034 276.842511 270.185187
198201 39.404759 300.375961 277.108297 270.507591
198202 39.872997 300.537150 277.365304 270.807777
198203 40.006137 300.858589 277.727203 271.168000
198204 40.442546 301.148244 277.755962 271.100881
198205 41.472662 300.986573 277.573597 270.904815
198206 40.715673 300.573842 277.211529 270.530019
198207 39.692111 299.922377 276.758299 270.090894
198208 37.880686 299.601212 276.433720 269.772641
198209 38.900300 299.663029 276.353381 269.626773
198210 39.345809 299.841581 276.598328 269.857184
198211 37.795335 299.985635 276.442068 269.681816
198212 37.407885 299.899688 276.275975 269.542436
198301 37.479324 299.987921 276.158373 269.425275
198302 38.311880 300.056731 276.565561 269.870780
198303 38.833982 300.200968 276.851196 270.126421
198304 39.491182 300.481807 276.885021 270.114035
198305 39.439381 300.413768 276.671115 269.859660
198306 38.030508 300.108877 276.234871 269.425063
198307 38.471525 299.701775 276.274247 269.535909
198308 38.000526 299.451077 276.317548 269.626580
198309 38.209797 299.431058 276.355854 269.650957
198310 37.481930 299.653276 276.238287 269.471316
198311 37.800189 299.879782 276.245772 269.462133
198312 37.650028 299.752484 276.323795 269.626124
198401 37.620031 299.571025 276.084096 269.386216
198402 37.838770 299.680172 276.274216 269.550109
198403 37.715216 299.976752 276.345451 269.573257
198404 37.283994 300.248723 276.411757 269.590099
198405 38.291494 300.209428 276.101171 269.240146
198406 37.119130 299.888919 275.797212 268.940742
198407 37.157636 299.623181 275.858342 269.062149
198408 37.500924 299.559591 276.063312 269.317968
198409 38.703440 299.679322 276.450158 269.742318
198410 37.796426 299.958522 276.481321 269.747152
198411 38.077258 300.128587 276.604535 269.869237
198412 38.226474 300.205045 276.615379 269.905660
198501 39.158801 300.216915 276.616929 269.930978
198502 38.836324 300.308814 276.937122 270.298686
198503 40.201679 300.507423 277.319368 270.669863
198504 40.384657 300.689351 277.169196 270.456251
198505 39.846158 300.693832 276.780562 269.972599
198506 38.877537 300.289831 276.526191 269.757697
198507 38.178636 299.886636 276.324628 269.596228
198508 38.846069 299.798428 276.494134 269.773348
198509 38.707426 299.862788 276.671944 269.987710
198510 38.716692 300.053563 276.732434 270.020872
198511 38.502353 300.235460 276.614779 269.869868
198512 38.803730 300.321321 276.540650 269.804449
198601 39.438782 300.339551 276.870574 270.222913
198602 39.199538 300.419354 277.185686 270.605159
198603 39.327132 300.582392 277.286537 270.636498
198604 40.243258 300.835625 277.266244 270.565468
198605 40.469695 300.637537 277.146586 270.432820
198606 39.212968 300.263828 276.707239 269.956853
198607 37.945617 299.890053 276.324706 269.586191
198608 38.691026 299.678541 276.384385 269.671847
198609 38.917855 299.640298 276.593484 269.913420
198610 37.771899 299.870613 276.538473 269.803196
198611 37.780514 300.024018 276.484317 269.726908
198612 38.088319 300.022346 276.432137 269.714981
198701 38.018341 300.029324 276.417026 269.728257
198702 38.369606 300.231200 276.600638 269.899275
198703 39.450286 300.490215 277.010164 270.291017
198704 39.204553 300.742298 276.983767 270.209925
198705 38.968981 300.665324 276.704676 269.893702
198706 38.433882 300.254872 276.371001 269.583135
198707 38.481656 299.811099 276.453774 269.763663
198708 38.146114 299.610952 276.384818 269.716044
198709 38.044772 299.719431 276.485074 269.792528
198710 37.815504 299.944745 276.580092 269.861074
198711 38.717795 300.127651 276.515633 269.771978
198712 38.796502 300.261737 276.755592 270.065363
198801 38.390801 300.424161 276.739074 270.051529
198802 39.047813 300.591338 277.085553 270.438471
198803 40.385551 300.782460 277.430217 270.806987
198804 40.782209 300.861452 277.497476 270.812179
198805 40.694616 300.893600 277.261923 270.528256
198806 40.218483 300.503284 276.933091 270.197734
198807 39.634602 300.106895 276.569523 269.852579
198808 39.574410 299.841985 276.671723 270.024408
198809 39.198176 299.857275 276.819206 270.146487
198810 38.851158 300.150229 276.894600 270.178046
198811 38.247344 300.342136 276.796319 270.079365
198812 38.518376 300.269604 276.851505 270.156333
198901 38.703542 300.222601 276.668638 269.993866
198902 39.012306 300.280626 276.894182 270.251607
198903 38.985736 300.541119 277.122032 270.424971
198904 39.755371 300.797064 277.087098 270.326981
198905 39.305716 300.746272 276.806355 269.995656
198906 39.356272 300.390230 276.591636 269.820840
198907 38.801797 300.038293 276.632141 269.922098
198908 39.031890 299.852119 276.741894 270.101448
198909 38.920033 299.891599 276.832999 270.174604
198910 39.234809 300.119665 276.861376 270.153331
198911 38.656965 300.259057 276.864162 270.155355
198912 39.133831 300.288097 276.776824 270.097316
199001 39.360960 300.350296 276.808472 270.149596
199002 39.606076 300.451104 277.089747 270.488768
199003 39.885843 300.750947 277.352809 270.714809
199004 41.122767 301.053541 277.507076 270.812923
199005 41.508282 301.035249 277.366024 270.629918
199006 39.752799 300.583844 277.055837 270.350187
199007 39.675364 300.085247 276.926333 270.276718
199008 38.853802 299.777809 276.728841 270.091090
199009 38.591098 299.849018 276.762852 270.073500
199010 38.464109 300.065010 276.919339 270.240862
199011 38.496969 300.309975 276.712464 269.967013
199012 39.838621 300.469941 276.850324 270.143538
199101 39.631067 300.523001 277.046065 270.430277
199102 40.108507 300.651795 277.250424 270.646610
199103 39.898644 300.827136 277.576569 270.968273
199104 41.447013 301.091024 277.603195 270.900990
199105 41.249767 301.036370 277.488187 270.766934
199106 40.495275 300.607299 277.224752 270.534081
199107 39.317692 300.015347 276.830341 270.203031
199108 38.295953 299.705901 276.399606 269.702683
199109 38.505106 299.684957 276.472359 269.754804
199110 37.770959 299.788518 276.396661 269.645436
199111 37.739805 299.860261 276.341888 269.580235
199112 37.549227 299.832161 276.205446 269.438778
199201 37.669013 299.763070 276.028321 269.285118
199202 38.161286 299.920253 276.455647 269.744904
199203 37.625479 300.143488 276.566024 269.803381
199204 37.870728 300.394239 276.465240 269.647242
199205 38.828499 300.364778 276.385724 269.541608
199206 37.841624 299.956867 276.109339 269.300770
199207 37.546325 299.581494 275.962122 269.188135
199208 37.186394 299.425852 276.109156 269.367440
199209 37.631874 299.480027 276.317236 269.591429
199210 37.291786 299.780518 276.330894 269.544422
199211 37.756898 299.902189 276.327047 269.544281
199212 37.531998 299.924704 276.205550 269.443130
199301 37.798212 299.913381 276.239504 269.527088
199302 36.987422 300.038076 276.302064 269.591305
199303 38.384024 300.298140 276.808470 270.105341
199304 39.640758 300.646891 276.837984 270.054371
199305 39.578075 300.702660 276.680400 269.851353
199306 39.111248 300.389835 276.541450 269.758409
199307 38.948322 299.908676 276.604465 269.936060
199308 38.724267 299.689230 276.610281 269.947561
199309 38.567091 299.759572 276.751147 270.088254
199310 37.883199 300.106512 276.652375 269.933719
199311 39.338288 300.307807 276.767845 270.032405
199312 39.207249 300.440154 276.797113 270.100240
199401 39.505137 300.489131 276.962165 270.340901
199402 39.634558 300.696650 277.608130 271.069879
199403 40.152584 300.893167 277.978938 271.438988
199404 41.207972 301.150904 277.912269 271.297965
199405 41.884367 301.158143 277.813864 271.164515
199406 40.726501 300.666761 277.466940 270.831581
199407 38.960891 300.167940 276.738925 270.073250
199408 39.206606 299.920810 276.634110 269.970249
199409 39.274861 299.937519 276.780116 270.101776
199410 38.403316 300.069506 276.733877 270.039142
199411 38.672008 300.183245 276.573920 269.826293
199412 38.709998 300.119093 276.469259 269.722009
199501 38.705295 300.044031 276.345833 269.626231
199502 38.064396 300.089176 276.499016 269.803306
199503 38.791692 300.381638 276.880869 270.163764
199504 39.402787 300.735467 276.770381 269.989382
199505 40.271630 300.665849 276.850729 270.055007
199506 39.138628 300.114737 276.560692 269.792595
199507 37.265219 299.693450 276.148105 269.401480
199508 37.793698 299.472354 276.193495 269.487117
199509 38.246104 299.597290 276.396783 269.685504
199510 37.983846 299.751365 276.566994 269.868085
199511 38.096411 299.840200 276.463396 269.730820
199512 37.053121 299.879892 276.194853 269.455306
199601 37.332233 299.893104 276.116964 269.364946
199602 38.491307 300.052015 276.376209 269.660951
199603 38.451647 300.270334 276.599591 269.861938
199604 39.186502 300.546911 276.613799 269.786294
