time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 39.143748 300.181383 276.839855 270.209443
198002 38.066162 300.330250 276.910306 270.281602
198003 38.777891 300.557478 277.165540 270.513525
198004 40.193340 300.849755 277.180424 270.432311
198005 40.718738 300.887088 277.152932 270.386500
198006 39.843543 300.458941 277.022414 270.310665
198007 39.030899 300.067919 276.961566 270.315712
198008 38.436003 299.809138 276.864127 270.236958
198009 39.063667 299.977313 276.988045 270.329696
198010 38.881589 300.290651 277.061704 270.371817
198011 38.677692 300.424087 276.930460 270.210554
198012 39.411488 300.524719 277.064418 270.400639
198101 40.209314 300.544459 277.225114 270.622028
198102 39.962808 300.742949 277.458195 270.860937
198103 40.785529 300.955441 277.786951 271.214991
198104 41.085988 301.292502 277.720916 271.043236
198105 41.673441 301.159674 277.793299 271.113644
198106 40.670813 300.874939 277.364616 270.685089
198107 41.246535 300.436414 277.397128 270.796474
198108 40.390094 300.175620 277.439455 270.861945
198109 39.329345 300.224172 277.555712 270.978549
198110 39.622438 300.459388 277.314128 270.651684
198111 40.029026 300.659497 277.409655 270.763560
198112 39.829919 300.833246 277.386452 270.723613
198201 41.259478 300.880894 277.678483 271.104201
198202 41.138532 300.888514 278.041780 271.570497
198203 41.466260 301.070747 278.267021 271.741204
198204 41.630177 301.293164 278.087920 271.482625
198205 41.432170 301.254926 277.782310 271.116840
198206 40.486745 300.817599 277.506959 270.845411
198207 39.731636 300.411653 277.332232 270.700742
198208 39.914989 300.102233 277.304158 270.711321
198209 39.248492 300.175528 277.065131 270.407429
198210 39.534715 300.433867 277.270153 270.588863
198211 39.836806 300.570238 277.318654 270.644431
198212 39.106273 300.474575 277.183249 270.551330
198301 39.048859 300.459756 276.982320 270.331315
198302 39.355610 300.475821 277.435159 270.858837
198303 39.986423 300.682776 277.428981 270.774991
198304 39.758560 300.854052 277.359156 270.625421
198305 39.488647 300.889031 277.033629 270.255236
198306 39.139109 300.437198 276.927205 270.205100
198307 38.318000 300.040153 276.601453 269.898967
198308 38.986433 299.858433 276.828351 270.159492
198309 39.064609 299.912436 277.003392 270.363176
198310 38.539119 300.226036 276.905114 270.199991
198311 39.757713 300.366967 277.102679 270.417232
198312 38.634548 300.415663 277.025434 270.362913
198401 39.141167 300.385399 277.060495 270.451478
198402 39.631756 300.473376 277.134444 270.519559
198403 40.458389 300.706395 277.369286 270.719520
198404 40.081848 300.922672 277.345247 270.641283
198405 40.298279 300.881515 277.183743 270.434593
198406 39.027157 300.523617 276.943202 270.241597
198407 39.479792 300.105981 277.040502 270.413916
198408 39.155528 299.933445 276.920153 270.287165
198409 39.331175 300.063483 277.126820 270.494208
198410 39.068814 300.295092 277.135214 270.471530
198411 39.418936 300.494521 277.109880 270.412125
198412 39.999865 300.587593 277.305492 270.670204
198501 40.011038 300.669391 277.526414 270.963098
198502 40.895950 300.860362 277.782258 271.250593
198503 40.901640 301.081147 277.992436 271.456625
198504 41.296162 301.404539 277.924583 271.276108
198505 42.040871 301.306347 278.008766 271.373907
198506 40.948260 300.884690 277.751727 271.129630
198507 40.416024 300.381497 277.374643 270.754325
198508 40.161531 300.098506 277.314336 270.711438
198509 39.486836 300.088876 277.254624 270.634428
198510 38.423728 300.280653 277.051519 270.364720
198511 38.708472 300.418314 277.093709 270.407286
198512 39.166624 300.374996 277.069524 270.422109
198601 39.093245 300.279159 277.059169 270.457576
198602 39.432899 300.398468 277.193967 270.593281
198603 39.552550 300.526231 277.325367 270.672689
198604 39.834902 300.807596 277.154568 270.408949
198605 39.566196 300.704151 277.158087 270.409065
198606 37.840380 300.384671 276.690639 269.935976
198607 38.648688 300.078515 276.835525 270.146848
198608 38.970214 299.922921 276.779998 270.114279
198609 39.673858 299.953433 277.064320 270.423199
198610 38.991397 300.234924 277.128042 270.455912
198611 39.422189 300.365031 277.205145 270.541958
198612 39.129967 300.367898 276.891895 270.228321
198701 39.143553 300.352150 277.018647 270.408920
198702 39.229930 300.411821 277.166899 270.560218
198703 40.264653 300.622160 277.578387 270.947036
198704 40.740277 300.938312 277.476721 270.773185
198705 41.114911 300.962369 277.330968 270.592469
198706 40.117662 300.552632 277.152188 270.438322
198707 39.487084 300.183436 276.989516 270.314572
198708 38.569161 299.845332 277.012140 270.429226
198709 38.987163 299.856615 276.880500 270.241244
198710 38.806942 300.135643 277.173970 270.515552
198711 38.615657 300.221016 277.158968 270.508622
198712 38.285852 300.289235 277.014505 270.374870
198801 38.903549 300.345673 277.004395 270.391965
198802 39.197055 300.569036 276.991578 270.324243
198803 40.295730 300.721070 277.661946 271.061601
198804 40.635738 301.026514 277.485365 270.783271
198805 40.704948 300.995112 277.300056 270.551040
198806 40.766460 300.647759 277.163966 270.449157
198807 39.834445 300.148028 277.189293 270.583491
198808 39.544489 299.967278 277.036170 270.418567
198809 39.594895 299.978592 277.216573 270.593577
198810 39.013178 300.224677 277.264874 270.612884
198811 38.922699 300.311009 277.294248 270.666280
198812 39.377478 300.310085 277.044226 270.413547
198901 38.581168 300.370931 276.831141 270.182592
198902 38.565306 300.482459 277.112930 270.506956
198903 40.430028 300.651648 277.412187 270.763181
198904 40.107115 300.946466 277.397368 270.688933
198905 40.763105 300.880956 277.285485 270.543150
198906 39.565167 300.514738 277.004915 270.283866
198907 39.341058 300.158675 276.871056 270.196961
198908 38.265198 299.910097 276.923440 270.311772
198909 38.529259 300.015394 277.013867 270.358128
198910 39.603916 300.384047 277.076445 270.386347
198911 40.994333 300.534885 277.406118 270.759316
198912 39.478167 300.575573 277.283611 270.662197
199001 40.606098 300.529660 277.295819 270.689122
199002 40.752045 300.642137 277.617142 271.038375
199003 40.601189 300.851779 277.744007 271.142261
199004 40.792560 301.208442 277.616753 270.911495
199005 41.481680 301.132154 277.623805 270.909239
199006 40.987152 300.711971 277.494420 270.830528
199007 39.753481 300.328429 277.217202 270.577094
199008 40.260220 300.226794 277.146955 270.513700
199009 39.983620 300.305083 277.464823 270.861587
199010 39.697114 300.671375 277.518366 270.871296
199011 41.289554 300.846412 277.756279 271.144613
199012 40.880485 300.819515 277.722053 271.150606
199101 40.933848 300.621004 277.708495 271.185922
199102 39.892625 300.724245 277.629022 271.087321
199103 40.967141 300.893791 277.983901 271.408188
199104 40.939840 301.098407 277.692944 271.012839
199105 41.007699 301.041422 277.650802 270.947935
199106 39.818623 300.749802 277.213444 270.488779
