time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 40.185330 300.374260 277.173685 270.565782
198002 39.736349 300.484226 277.355656 270.764548
198003 40.244243 300.808388 277.540657 270.893320
198004 41.679065 301.076368 277.685924 270.999350
198005 41.778607 301.010564 277.483577 270.775686
198006 39.754604 300.587887 277.194801 270.522120
198007 39.903343 300.247937 277.112964 270.467812
198008 39.886476 299.990185 277.103212 270.478195
198009 39.506958 300.065251 277.213303 270.581298
198010 38.830155 300.291184 277.271580 270.614431
198011 39.088978 300.518925 277.090541 270.397568
198012 39.428108 300.551171 277.120148 270.472721
198101 40.120980 300.458691 277.227821 270.635214
198102 39.669169 300.534809 277.290253 270.697186
198103 40.170014 300.832329 277.595579 270.969469
198104 40.944213 301.188836 277.516011 270.819550
198105 41.540432 300.994440 277.563182 270.854224
198106 40.687673 300.694912 277.179939 270.464912
198107 39.352023 300.359786 276.998868 270.320947
198108 39.728967 300.193719 277.187212 270.555906
198109 39.574018 300.270556 277.441179 270.830985
198110 39.868853 300.562615 277.564726 270.932398
198111 40.265416 300.705714 277.428751 270.774881
198112 39.825728 300.770326 277.493144 270.868981
198201 40.042950 300.753662 277.509116 270.943182
198202 41.056548 300.867959 277.773461 271.209281
198203 41.415830 301.183187 278.066138 271.491273
198204 42.237531 301.446386 278.241757 271.612669
198205 43.171682 301.321084 278.126768 271.494384
198206 41.135842 300.913885 277.567757 270.905117
198207 40.445004 300.366483 277.459440 270.850254
198208 40.255119 300.051012 277.307239 270.710723
198209 39.403536 300.053388 277.194034 270.566711
198210 39.348092 300.356035 277.254774 270.586976
198211 39.240300 300.498018 277.215529 270.543526
198212 39.194123 300.556098 277.168363 270.512662
198301 40.298294 300.648175 277.201926 270.572932
198302 40.477214 300.822273 277.406514 270.788782
198303 40.620529 301.015982 277.829984 271.244236
198304 41.364314 301.209732 277.816522 271.167621
198305 41.649141 301.147796 277.763848 271.079614
198306 40.024177 300.763451 277.337114 270.668714
198307 40.393978 300.278355 277.202497 270.569806
198308 39.907638 300.038936 277.309164 270.726427
198309 39.840294 300.067601 277.256715 270.648081
198310 39.691023 300.261207 277.204846 270.543667
198311 38.949879 300.453253 277.116319 270.433570
198312 39.691184 300.526167 277.189995 270.555337
198401 40.439642 300.509883 277.230297 270.635296
198402 39.537828 300.593468 277.596504 271.024439
198403 39.900797 300.870026 277.532486 270.922697
198404 39.550903 301.106288 277.365280 270.645487
198405 40.634817 301.037969 277.359415 270.608316
198406 40.501285 300.605798 277.152438 270.443003
198407 39.823644 300.195350 277.114898 270.466444
198408 39.616968 300.040433 277.149182 270.519914
198409 39.090262 300.129726 277.258453 270.650051
198410 39.055196 300.418753 277.237441 270.580800
198411 39.638328 300.684380 277.183487 270.493099
198412 40.072679 300.818927 277.337396 270.687858
198501 40.457488 300.910639 277.575182 271.017489
198502 41.156904 301.043708 277.931455 271.424430
198503 42.138999 301.315971 278.360319 271.822232
198504 42.329889 301.508723 278.271317 271.690680
198505 43.298264 301.398632 278.214250 271.597068
198506 42.333883 301.023817 277.951574 271.353238
198507 41.748924 300.589238 277.732563 271.162428
198508 40.574274 300.309248 277.626166 271.070449
198509 40.855343 300.443913 277.538943 270.925161
198510 41.385324 300.711379 277.686713 271.071263
198511 40.818891 300.820987 277.652475 271.038427
198512 41.850965 300.838238 277.837778 271.272513
198601 41.056713 300.785846 277.689681 271.142662
198602 40.637846 300.722826 277.829693 271.318375
198603 40.186182 300.946769 277.670409 271.080812
198604 42.054304 301.178894 277.947231 271.282881
198605 40.995911 301.185891 277.543690 270.813035
198606 40.970390 300.876111 277.357834 270.651223
198607 39.426392 300.388351 277.135345 270.489033
198608 39.995270 300.171154 277.272666 270.677066
198609 39.818317 300.201140 277.311177 270.719918
198610 39.892603 300.478600 277.291391 270.632243
198611 39.365746 300.635101 277.473931 270.817555
198612 39.720339 300.634259 277.355400 270.737565
198701 40.301992 300.604502 277.375155 270.796443
198702 40.160844 300.723584 277.565814 270.974574
198703 40.608101 300.878752 277.790573 271.179132
198704 41.369536 301.188489 277.690472 271.007260
198705 40.842971 301.134769 277.449221 270.728953
198706 39.917297 300.797384 277.197685 270.480269
198707 39.679038 300.539831 277.068902 270.383054
198708 40.442788 300.246106 277.527346 270.978695
198709 40.565735 300.273282 277.487825 270.893033
198710 40.264272 300.533857 277.614223 271.003451
198711 40.173328 300.763999 277.494947 270.845869
198712 40.673696 300.800773 277.514122 270.918758
198801 40.614062 300.889723 277.573027 271.001056
198802 40.699047 300.986690 277.922032 271.405111
198803 41.737824 301.164428 278.134594 271.614533
198804 41.597478 301.535455 277.954495 271.308095
198805 42.693308 301.405005 278.104616 271.460234
198806 41.402288 301.094531 277.705264 271.064859
198807 41.025200 300.580998 277.743386 271.181424
198808 41.071794 300.326682 277.622484 271.065264
198809 40.652698 300.340140 277.477955 270.886495
198810 40.864010 300.559453 277.461224 270.818636
198811 39.759873 300.809306 277.563688 270.916450
198812 40.471043 300.797631 277.498546 270.896218
198901 40.775764 300.770592 277.609355 271.062104
198902 40.368552 300.845034 277.705065 271.155005
198903 40.786183 301.080444 277.948682 271.367224
198904 41.648324 301.309739 277.948567 271.291130
198905 42.107420 301.249879 277.877460 271.197035
198906 40.983337 300.869393 277.579585 270.926405
198907 41.034782 300.529746 277.249722 270.586280
198908 40.492809 300.237214 277.599835 271.040486
198909 39.766692 300.244634 277.539463 270.958356
198910 39.788017 300.481344 277.431879 270.792185
198911 39.999201 300.630470 277.392877 270.736075
198912 39.555418 300.748189 277.438291 270.806645
199001 40.670600 300.741201 277.478143 270.910941
199002 40.171490 300.861885 277.602060 271.036238
