time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 39.818275 300.329550 274.712521 268.283952
198002 40.116207 300.406980 275.234727 268.760098
198003 40.029863 300.698562 275.284519 268.771548
198004 41.048750 300.968193 275.409382 268.835022
198005 40.759582 301.016163 275.354766 268.774091
198006 40.661484 300.761859 274.931549 268.457943
198007 41.039794 300.401854 274.302997 267.995843
198008 40.400636 300.163464 274.680452 268.271934
198009 39.430154 300.207572 274.804760 268.338683
198010 39.811427 300.426482 275.142194 268.532239
198011 40.123500 300.598824 275.284175 268.693152
198012 40.133505 300.492919 275.178203 268.642260
198101 40.145997 300.334194 274.774546 268.341531
198102 40.339596 300.385174 274.400945 268.073393
198103 39.581610 300.643326 275.150866 268.636028
198104 40.988689 300.832685 275.237837 268.681428
198105 40.247041 300.908797 274.928770 268.353977
198106 40.852641 300.667053 274.691460 268.205313
198107 40.366458 300.292452 274.085925 267.767206
198108 39.727941 300.071482 274.299810 267.885041
198109 40.289783 300.111511 274.957422 268.443360
198110 39.622985 300.329236 275.089953 268.501176
198111 39.605211 300.452119 275.030950 268.468835
198112 39.662572 300.418702 274.923649 268.374799
198201 39.658749 300.316073 274.849094 268.368240
198202 39.434754 300.370050 274.790573 268.296581
198203 40.580339 300.652388 274.974992 268.462928
198204 39.717770 300.952476 275.086585 268.493377
198205 40.940848 300.963027 275.125612 268.540191
198206 40.765606 300.749145 275.008779 268.452230
198207 40.691929 300.430086 274.397696 268.033805
198208 40.948039 300.198073 274.145108 267.865041
198209 40.901195 300.177311 275.109957 268.586760
198210 39.478896 300.406548 274.947478 268.358138
198211 38.854537 300.567886 274.802601 268.177166
198212 39.601327 300.463474 275.009960 268.432185
198301 39.564570 300.345991 274.467361 268.075406
198302 39.540832 300.401463 274.809976 268.361809
198303 39.583350 300.636491 274.943365 268.398792
198304 41.006267 300.816651 275.273266 268.678197
198305 40.645508 300.831319 274.883817 268.323954
198306 40.670799 300.581007 274.577806 268.099064
198307 40.381604 300.233673 274.440415 268.011010
198308 40.419164 299.934512 273.550226 267.408032
198309 39.237087 299.945337 274.825085 268.275008
198310 38.986607 300.185301 274.916077 268.287074
198311 38.523008 300.329183 274.948770 268.329498
198312 38.800019 300.292366 274.890490 268.303986
198401 39.383947 300.152022 274.268181 267.860785
198402 40.042460 300.167795 274.519852 268.099634
198403 39.961775 300.443608 275.162582 268.601756
198404 40.227113 300.746654 275.020827 268.425967
198405 40.856323 300.716715 275.003030 268.484354
198406 40.918202 300.455607 274.597944 268.133999
198407 40.383484 300.115672 273.719529 267.486541
198408 40.255237 299.936676 274.064190 267.714554
198409 40.408272 300.022892 274.771616 268.276677
198410 39.720554 300.283089 275.154802 268.561094
198411 39.369463 300.512269 275.130077 268.488045
198412 39.144064 300.546267 275.061908 268.458724
198501 40.703815 300.480153 275.460907 268.955929
198502 40.730319 300.580219 275.661181 269.188459
198503 40.945295 300.808655 275.592141 269.145313
198504 41.464969 301.014087 275.505570 268.982219
198505 40.813965 300.992450 275.114333 268.577512
198506 40.851522 300.670830 274.952157 268.470307
198507 40.825793 300.248420 274.314515 267.953857
198508 39.883225 300.003056 274.413589 267.961513
198509 39.081071 300.036500 274.474040 267.969585
198510 39.080132 300.168704 274.643758 268.082601
198511 38.614616 300.226760 274.437159 267.834856
198512 38.900062 300.143670 274.411973 267.803043
198601 39.200353 299.979675 273.852335 267.450401
198602 39.651887 299.961099 273.710987 267.369157
198603 39.087831 300.180960 273.961744 267.496897
198604 39.402526 300.497505 274.500012 267.890112
198605 39.303930 300.554089 274.054353 267.494124
198606 40.005926 300.313393 273.905962 267.448923
198607 39.858723 300.007992 274.089604 267.649691
198608 39.922868 299.863690 273.833135 267.476176
198609 39.734241 299.956341 274.533448 267.994307
198610 39.472327 300.173570 274.818307 268.246075
198611 38.684862 300.349878 274.644488 268.012489
198612 39.510098 300.314020 274.644706 268.063299
198701 39.998915 300.180882 273.694356 267.417338
198702 39.505514 300.266231 275.169835 268.659888
198703 39.962344 300.544213 275.188612 268.644500
198704 40.556017 300.829372 275.319192 268.723893
198705 41.024555 300.888321 275.214295 268.615664
198706 40.647370 300.731606 274.729899 268.243979
198707 41.081007 300.414991 274.684750 268.281987
198708 41.517747 300.263385 274.572218 268.243230
198709 41.257318 300.413342 275.434577 268.925132
198710 40.810770 300.759481 275.534179 268.947105
198711 42.415253 300.909240 275.858281 269.352375
198712 42.740545 300.886767 276.010201 269.563970
198801 42.038095 300.841283 275.887083 269.504456
198802 42.366471 300.856470 275.985988 269.583754
198803 42.792717 301.027078 276.225892 269.764767
198804 41.941956 301.271674 275.657204 269.134984
198805 41.910059 301.209831 275.562564 269.035768
198806 41.793944 300.845055 275.280052 268.821679
198807 41.822120 300.388629 274.414279 268.138571
198808 40.534707 300.116576 274.304999 267.956488
198809 39.597871 300.200753 274.494634 267.998307
198810 40.588048 300.361690 275.009516 268.439902
198811 39.896215 300.451923 275.000305 268.415252
198812 40.084854 300.346360 274.713649 268.196655
198901 39.079206 300.201960 274.563915 268.046140
198902 39.345434 300.251629 274.130512 267.729051
198903 41.035537 300.513420 274.730047 268.269873
198904 41.245740 300.788818 275.073112 268.494033
198905 40.784520 300.882564 274.841175 268.255262
198906 40.345380 300.589577 274.722804 268.244938
198907 40.727808 300.217523 274.466828 268.098950
198908 39.872156 300.020563 274.186165 267.821315
198909 40.454482 300.079644 274.808017 268.299726
198910 39.425600 300.279352 275.012629 268.445662
198911 38.909328 300.438294 274.817499 268.184908
198912 40.068507 300.335690 274.693482 268.155070
199001 40.394560 300.206468 274.063922 267.723998
199002 39.854305 300.238111 273.534748 267.320576
199003 39.386201 300.558620 274.926287 268.384770
199004 39.879981 300.875611 274.886562 268.264087
199005 41.046874 300.916247 275.003945 268.414807
199006 41.180373 300.712875 274.635068 268.182006
199007 40.594305 300.393122 274.345279 267.988173
199008 41.381167 300.250300 274.339144 268.033966
199009 41.605339 300.402956 275.142208 268.660100
199010 40.924772 300.742051 275.442737 268.848214
199011 41.625835 300.931978 275.746208 269.170057
199012 41.149503 300.934123 275.676775 269.162999
199101 41.498901 300.852830 275.700724 269.256062
199102 41.879489 300.868422 276.033431 269.593386
199103 42.697933 301.000263 276.053509 269.605235
199104 42.472831 301.186331 275.925795 269.401168
199105 41.921337 301.215088 275.611051 269.039658
199106 42.334944 300.920728 275.381627 268.960847
199107 41.979781 300.518199 274.642655 268.340376
199108 41.548339 300.270020 274.418904 268.070424
