time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 37.816273 300.063205 277.023162 270.299547
198002 37.433494 300.231873 277.188268 270.461333
198003 37.957979 300.343310 277.279150 270.513996
198004 39.233847 300.619895 277.502081 270.696928
198005 39.837602 300.369858 277.433030 270.641887
198006 38.107987 299.756333 276.868201 270.120644
198007 37.678780 299.171669 276.383131 269.640555
198008 37.396448 298.903748 276.367113 269.629224
198009 36.297510 298.949276 276.245754 269.470645
198010 35.042856 299.162728 276.252034 269.424497
198011 35.830485 299.131128 276.105297 269.259095
198012 35.014282 299.090277 275.860722 269.032662
198101 34.750341 299.075020 275.684855 268.869855
198102 35.130058 299.199340 275.786306 268.939938
198103 35.835707 299.575042 276.081896 269.187938
198104 37.504386 299.964179 276.308038 269.371196
198105 36.857944 299.855117 276.318600 269.406179
198106 35.456678 299.407880 275.969423 269.131014
198107 36.110780 299.028870 275.720276 268.909881
198108 35.850105 298.944555 275.933847 269.129767
198109 36.437941 299.020236 275.985192 269.170563
198110 36.708283 299.265957 276.248039 269.402594
198111 35.864703 299.384512 276.131234 269.272577
198112 36.212545 299.396649 276.055882 269.203519
198201 36.392943 299.412754 276.119569 269.293658
198202 35.707047 299.646168 276.079659 269.269241
198203 36.882211 300.028383 276.550094 269.694011
198204 38.538541 300.370695 277.003596 270.139084
198205 39.323394 300.372391 277.120582 270.287133
198206 38.287524 299.887766 276.812119 270.035929
198207 38.024864 299.393500 276.550868 269.819463
198208 37.645071 299.184757 276.498599 269.763356
198209 37.594274 299.380876 276.441719 269.638469
198210 37.316804 299.685588 276.665493 269.848921
198211 36.745133 299.805906 276.648098 269.821396
198212 36.862555 299.785217 276.698180 269.907176
198301 37.210674 299.797503 276.601861 269.846770
198302 37.680840 299.929747 276.838630 270.078917
198303 37.306506 300.195004 276.985088 270.176422
198304 38.057503 300.407768 277.063278 270.208048
198305 38.452525 300.334549 277.023512 270.178191
198306 37.830842 299.811524 276.738745 269.960417
198307 36.567204 299.303427 276.362294 269.589124
198308 37.346592 299.028571 276.363215 269.630454
198309 36.507461 299.058605 276.357166 269.590326
198310 35.511271 299.416622 276.332161 269.511948
198311 36.312369 299.526591 276.440738 269.611325
198312 35.739124 299.548538 276.248025 269.420330
198401 35.878614 299.462206 276.131575 269.334068
198402 36.204880 299.647449 276.421911 269.624139
198403 37.752035 300.007773 276.722322 269.897852
198404 38.658391 300.260539 277.058024 270.219022
198405 38.080005 300.168369 276.859660 270.014613
198406 38.120569 299.675628 276.455112 269.677386
198407 36.973564 299.123811 276.396166 269.660082
198408 35.905324 298.870468 276.171144 269.432920
198409 36.153473 298.917826 276.218841 269.432620
198410 35.331221 299.215198 276.114093 269.269718
198411 36.191363 299.314165 276.228669 269.385353
198412 35.943748 299.280300 275.907727 269.052409
198501 35.410963 299.261990 275.748189 268.916350
198502 35.810904 299.319045 276.047018 269.237081
198503 36.266062 299.759045 276.152887 269.258552
198504 37.943895 300.101915 276.571120 269.668223
198505 38.085256 299.944534 276.651591 269.801671
198506 36.732113 299.475667 276.127660 269.306815
198507 37.051189 299.070211 275.993508 269.207166
198508 36.749427 298.819624 276.107630 269.343499
198509 35.813924 298.949659 276.009969 269.197757
198510 35.342039 299.182931 276.125808 269.288960
198511 36.030490 299.376198 276.168711 269.306226
198512 35.285268 299.341405 276.126280 269.307751
198601 35.363604 299.326768 275.997049 269.186497
198602 35.948446 299.581589 276.165879 269.330611
198603 37.134011 299.999250 276.607425 269.764470
198604 38.543182 300.297085 276.874811 270.021032
198605 39.550441 300.216328 276.813450 269.966369
198606 38.206606 299.738945 276.616293 269.829441
198607 37.846918 299.277829 276.501958 269.761548
198608 37.030557 299.190967 276.279016 269.526976
198609 37.062691 299.394976 276.482558 269.713071
198610 37.707593 299.796983 276.734164 269.928625
198611 38.092425 299.994467 276.772085 269.950762
198612 37.740219 299.987379 277.045478 270.292193
198701 37.131636 300.009491 277.217832 270.528691
198702 37.732891 300.284442 277.333867 270.624634
198703 38.835121 300.649926 277.603592 270.853746
198704 39.523116 300.816275 277.768833 271.007944
198705 40.454704 300.650780 277.521548 270.709840
198706 38.504360 299.985163 276.942509 270.187447
198707 37.783177 299.387226 276.697411 269.955577
198708 37.294626 299.216447 276.510786 269.747181
198709 37.601126 299.237224 276.578551 269.822551
198710 36.549927 299.434712 276.468450 269.659451
198711 36.521114 299.598017 276.476144 269.637770
198712 36.693172 299.649179 276.201828 269.349967
198801 36.713991 299.548651 276.251440 269.460153
198802 36.384536 299.773227 276.473860 269.670998
198803 37.771968 300.231894 276.839158 269.980454
198804 39.368552 300.549051 277.100949 270.247365
198805 39.376372 300.376129 277.159259 270.330507
198806 37.928355 299.945714 276.729716 269.943007
198807 37.540005 299.515238 276.547142 269.780043
198808 38.122224 299.402522 276.667737 269.915053
198809 37.760087 299.423986 276.744435 270.014662
198810 36.910894 299.557730 276.702832 269.898253
198811 36.915168 299.706246 276.532324 269.680931
198812 36.606797 299.618183 276.556479 269.778335
198901 36.553830 299.641161 276.386273 269.607574
198902 36.668955 299.850859 276.547443 269.732230
198903 37.737575 300.225581 276.804992 269.967751
198904 39.661433 300.469180 277.231782 270.398693
198905 39.173667 300.409772 277.177172 270.344284
198906 38.772722 299.894105 277.091842 270.358193
198907 37.428391 299.437827 276.585085 269.857972
198908 38.120827 299.189153 276.757267 270.064116
198909 36.692861 299.294884 276.491007 269.726053
198910 36.543725 299.449961 276.637385 269.842855
198911 37.468344 299.736890 276.605421 269.778086
198912 36.843049 299.695034 276.707442 269.931497
199001 36.240247 299.763024 276.669871 269.909186
199002 36.680732 299.866036 276.865315 270.109835
199003 37.600940 300.241642 276.873179 270.067903
199004 38.878645 300.539842 277.321303 270.504284
199005 39.012020 300.288513 277.221113 270.426930
199006 37.276859 299.805491 276.655614 269.856110
199007 37.717734 299.295289 276.516666 269.770014
199008 36.535022 299.101827 276.386347 269.616910
199009 36.353702 299.157841 276.259215 269.481881
199010 36.543081 299.378040 276.358281 269.537084
199011 36.226664 299.547486 276.463637 269.629336
199012 35.997033 299.593995 276.278630 269.451786
199101 35.634464 299.632521 276.263444 269.455893
199102 36.308578 299.865406 276.309717 269.486207
199103 37.764591 300.138961 276.758577 269.922019
199104 39.719151 300.543777 277.223225 270.377032
199105 40.682468 300.666035 277.531695 270.740984
199106 38.917193 300.038234 277.215579 270.499175
199107 38.024136 299.445712 276.827885 270.151924
199108 37.888720 299.176191 276.660931 269.930106
199109 37.365372 299.138925 276.383369 269.607775
199110 36.383879 299.322199 276.355805 269.518051
199111 35.826639 299.410865 276.252195 269.390653
199112 35.763229 299.479260 276.104534 269.252530
199201 36.054519 299.361718 276.004392 269.187117
199202 36.240921 299.501808 276.042536 269.202844
199203 37.052193 299.947248 276.367109 269.488242
199204 38.630521 300.211270 276.717949 269.837623
199205 38.623883 300.235939 276.805441 269.932910
199206 37.903390 299.720282 276.712762 269.931033
199207 37.246372 299.218872 276.397670 269.657804
199208 36.558436 299.050162 276.338689 269.576438
199209 36.448064 299.209733 276.306457 269.513318
199210 36.357788 299.476931 276.342743 269.515931
199211 36.411545 299.748982 276.521080 269.671902
199212 36.919452 299.763186 276.725613 269.969492
199301 36.580160 299.757267 276.687907 269.946811
199302 36.823537 299.862643 276.949089 270.205936
199303 37.049956 300.184601 276.936272 270.160382
199304 38.669424 300.417060 277.139565 270.312285
199305 38.885966 300.228907 277.049132 270.234319
199306 37.798877 299.589135 276.618945 269.857812
199307 37.020226 298.933180 276.250428 269.503083
199308 35.974739 298.784960 275.944718 269.159000
199309 36.265185 298.747453 275.820961 269.006933
199310 35.844760 298.937366 275.881658 269.028489
199311 35.147397 299.065902 275.873763 269.008209
199312 34.824446 299.075114 275.629094 268.765732
199401 35.514046 299.171983 275.596921 268.736394
199402 35.430625 299.322501 275.923867 269.116810
199403 36.035452 299.794206 276.151173 269.259408
199404 37.768391 300.066724 276.537558 269.636831
199405 37.689303 300.109573 276.719566 269.837984
199406 37.492042 299.642916 276.415590 269.631147
199407 37.391349 299.145638 276.262155 269.511076
199408 36.653159 298.932487 276.152325 269.400776
199409 36.707364 299.086836 276.229535 269.427272
199410 36.124777 299.402373 276.454013 269.632736
199411 36.721724 299.590067 276.365532 269.529047
199412 36.858775 299.591212 276.460795 269.657221
199501 36.545680 299.593379 276.489765 269.740958
199502 36.289922 299.741961 276.639494 269.892826
199503 37.175113 300.108418 276.904770 270.092873
199504 38.011302 300.302627 277.033278 270.188406
199505 38.510877 300.226798 276.917750 270.069233
199506 37.256469 299.668871 276.722725 269.962856
199507 37.059397 299.174970 276.272943 269.530622
199508 37.066676 298.872920 276.226841 269.477560
199509 36.851504 298.914226 276.232209 269.456075
199510 36.122203 299.167761 276.217865 269.381008
199511 36.329236 299.389793 276.227052 269.379239
199512 35.399989 299.349064 276.130790 269.310696
199601 35.459868 299.391272 275.950771 269.143121
199602 36.736411 299.695830 276.284675 269.442005
199603 37.249016 300.161983 276.758448 269.905270
199604 38.678912 300.421025 276.996363 270.121696
199605 39.366673 300.333583 277.038839 270.199585
199606 38.911603 299.806679 276.806916 270.055669
199607 37.153887 299.479568 276.455222 269.677090
199608 37.157362 299.363286 276.579261 269.823866
199609 37.371397 299.460044 276.713783 269.977509
199610 38.079437 299.783486 276.939884 270.159662
199611 38.059096 300.005472 277.023468 270.223373
199612 37.546605 299.937133 277.024773 270.273849
199701 37.326674 299.920100 276.781904 270.056871
199702 37.655968 300.138653 276.846001 270.085873
199703 38.577806 300.555122 277.293050 270.496793
199704 40.742623 300.849267 277.704626 270.907020
199705 40.837036 300.680151 277.735160 270.996327
199706 39.833414 300.171642 277.288843 270.564615
199707 38.060512 299.655647 276.758754 270.031825
199708 38.449511 299.245411 276.812030 270.112281
199709 37.911394 299.282114 276.739195 269.998262
199710 36.934503 299.562279 276.640592 269.816354
199711 37.291281 299.663750 276.746515 269.927167
199712 36.400513 299.683311 276.666998 269.881721
199801 37.048940 299.714369 276.354574 269.576385
199802 37.613881 299.945267 276.542434 269.745458
199803 37.792805 300.311568 276.978115 270.134115
199804 39.857802 300.640696 277.398483 270.572525
199805 39.335861 300.412673 277.434764 270.658116
199806 38.615309 299.918993 276.888113 270.164535
199807 38.270204 299.415223 276.742616 270.009606
199808 38.364731 299.193222 276.656710 269.937308
199809 37.305116 299.290533 276.612465 269.861192
199810 36.502985 299.504131 276.637145 269.843326
199811 36.702131 299.613044 276.587526 269.765108
199812 36.917239 299.471387 276.550404 269.772435
199901 35.910474 299.391034 276.328098 269.570377
199902 36.093306 299.585403 276.192718 269.377246
199903 37.207213 300.082194 276.677470 269.815570
199904 39.190287 300.456826 277.056359 270.193584
