time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 36.983115 299.865389 276.510621 269.705482
198002 37.439100 300.045931 276.588887 269.757346
198003 38.766579 300.352884 277.011363 270.166776
198004 38.962688 300.557986 277.389687 270.539789
198005 38.516896 300.437520 277.016094 270.137928
198006 38.728646 299.963601 276.633815 269.808392
198007 38.188888 299.596120 276.555861 269.770082
198008 38.252020 299.411466 276.496972 269.733048
198009 38.277013 299.473802 276.670662 269.888840
198010 37.398601 299.773272 276.822178 270.000314
198011 36.945323 299.897773 276.701833 269.872710
198012 37.036852 299.820358 276.628041 269.824304
198101 37.125707 299.900743 276.572103 269.803406
198102 37.586901 300.200027 276.733901 269.900552
198103 38.133486 300.568923 277.088671 270.252168
198104 40.188028 300.846615 277.370997 270.509608
198105 41.128374 300.922828 277.641008 270.793822
198106 39.990859 300.530225 277.453874 270.697301
198107 40.028469 300.063722 277.438655 270.769747
198108 39.394479 299.813132 277.268219 270.583668
198109 39.026323 300.028205 277.177253 270.422264
198110 39.676203 300.391194 277.353065 270.568673
198111 39.720109 300.668203 277.424175 270.626831
198112 40.082790 300.597465 277.783994 271.080788
198201 39.712244 300.672216 277.796322 271.130608
198202 39.393367 300.994176 278.375966 271.741834
198203 40.853001 301.222396 278.375558 271.719727
198204 42.549524 301.324618 278.493984 271.792800
198205 42.921339 301.172774 278.357808 271.641844
198206 40.298703 300.757545 277.779118 271.031713
198207 40.554096 300.145774 277.508974 270.828492
198208 39.156092 299.740709 277.260624 270.571059
198209 38.792844 299.840970 277.139612 270.384930
198210 38.176214 300.007558 277.071652 270.290283
198211 37.416158 300.090959 277.029766 270.195927
198212 37.363230 300.114978 276.913906 270.097773
198301 38.409867 300.098717 276.971256 270.213169
198302 38.105309 300.222129 277.011034 270.250896
198303 38.711446 300.558320 277.242574 270.434305
198304 40.133622 300.578198 277.374818 270.538423
198305 39.343424 300.592108 277.037849 270.149206
198306 37.965647 300.148876 276.837522 270.017997
198307 38.014474 299.646273 276.708932 269.972671
198308 37.742773 299.497600 276.649240 269.898498
198309 37.819801 299.632523 276.743840 269.952918
198310 37.429465 299.855654 276.812715 269.996630
198311 37.670172 299.925524 276.848154 270.020878
198312 36.797480 299.884896 276.750703 269.945887
198401 37.152586 299.900832 276.451714 269.646286
198402 38.261752 299.997141 276.873794 270.087970
198403 38.326834 300.276327 277.096254 270.300998
198404 39.247885 300.552585 277.230778 270.364189
198405 39.613070 300.483430 277.190789 270.346596
198406 38.810699 300.060786 277.113274 270.344912
198407 37.538662 299.592100 276.855883 270.154349
198408 38.098429 299.364907 276.755465 270.045658
198409 38.026082 299.428260 276.690270 269.917444
198410 37.225189 299.592631 276.601600 269.784169
198411 37.066972 299.755938 276.632353 269.789716
198412 36.762911 299.708451 276.541102 269.744397
198501 36.491455 299.678484 276.500597 269.743087
198502 37.111225 299.817602 276.591468 269.825277
198503 37.717788 300.315309 276.818536 269.946236
198504 39.417185 300.559718 277.082996 270.191534
198505 39.578978 300.567912 277.043825 270.163351
198506 39.019826 300.257844 277.015825 270.200567
198507 38.603378 299.899987 276.928347 270.177023
198508 38.912835 299.690188 276.902968 270.178230
198509 38.813007 299.706515 276.979750 270.219043
198510 38.496095 299.993421 277.110206 270.324098
198511 37.028000 300.049842 277.018235 270.218645
198512 37.478416 299.936165 276.834883 270.067059
198601 37.652012 299.942435 276.761178 270.006983
198602 38.096322 300.186108 276.927037 270.137665
198603 38.571367 300.547363 277.167788 270.327480
198604 39.902453 300.807963 277.524361 270.708411
198605 40.336529 300.861596 277.458952 270.613508
198606 39.334362 300.347221 277.325364 270.560269
198607 39.051407 299.850879 277.081261 270.373913
198608 39.080667 299.568497 277.089124 270.405074
198609 38.365312 299.719072 277.068406 270.325041
198610 37.954482 299.996105 277.023901 270.222787
198611 37.735107 300.094169 277.079480 270.276850
198612 38.453028 300.067263 277.181004 270.438055
198701 37.811647 300.091649 276.932800 270.192008
198702 38.370522 300.186303 276.995556 270.233574
198703 38.878323 300.553048 277.243438 270.413860
198704 39.314734 300.848862 277.417312 270.557336
198705 39.778047 300.753592 277.541481 270.729645
198706 39.228874 300.316392 277.218596 270.447170
198707 38.269539 299.899167 277.094739 270.378485
198708 38.916720 299.635528 277.022668 270.300141
198709 38.780712 299.735602 277.050798 270.294782
198710 37.388489 299.849902 276.952355 270.173595
198711 37.877176 299.931702 276.950841 270.139825
198712 37.489398 299.844656 276.650826 269.858035
198801 37.398430 299.906075 276.399918 269.561258
198802 37.466770 300.082767 276.642836 269.821723
198803 38.328142 300.357626 277.015233 270.181153
198804 39.898979 300.750784 277.303039 270.411694
198805 40.224587 300.761182 277.186786 270.298480
198806 39.315358 300.219853 277.284105 270.511777
198807 39.150511 299.710351 276.877013 270.122757
198808 38.576647 299.514119 276.928176 270.194646
198809 38.337715 299.483649 276.748217 270.003386
198810 37.414136 299.609879 276.668570 269.829039
198811 36.814601 299.700564 276.621401 269.767790
198812 37.568808 299.685594 276.590747 269.788907
198901 37.398933 299.810185 276.465283 269.663489
198902 37.212396 300.025857 276.621916 269.811453
198903 38.955749 300.392978 277.054018 270.204778
198904 39.202770 300.763413 277.273624 270.398331
198905 39.785955 300.833194 277.350248 270.460060
198906 40.055561 300.336901 277.319346 270.568892
198907 39.005516 299.961349 277.217710 270.500003
198908 39.228725 299.871571 277.162463 270.448959
198909 39.228691 300.011970 277.289663 270.564831
198910 38.618620 300.231763 277.347471 270.569155
198911 38.747030 300.439042 277.344354 270.561816
198912 39.579711 300.518747 277.540933 270.792580
199001 39.585365 300.560444 277.627735 270.949908
199002 39.704988 300.769319 277.748477 271.049320
199003 40.594530 300.959771 278.145477 271.459508
199004 41.937322 301.266064 278.403135 271.661350
199005 41.667452 301.198553 278.191516 271.432468
