time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 39.989653 299.908823 276.229887 269.803753
198002 39.395266 300.114571 276.541704 270.130643
198003 40.485108 300.354889 276.595574 270.127987
198004 41.662698 300.540805 276.561449 270.048001
198005 41.555409 300.291813 276.446985 269.957697
198006 40.460720 299.914859 276.057023 269.587429
198007 40.155570 299.542437 275.794816 269.349298
198008 39.542456 299.446566 275.763601 269.290941
198009 38.859743 299.555306 275.922437 269.448173
198010 39.117735 299.831450 276.094734 269.586413
198011 39.769855 300.080108 276.255500 269.744641
198012 40.592759 300.128465 276.440490 269.984556
198101 40.051910 300.194277 276.681244 270.271482
198102 40.708684 300.356972 276.858414 270.452059
198103 41.506911 300.536269 277.162969 270.792721
198104 42.581776 300.797776 277.084616 270.628279
198105 42.290322 300.618875 276.759244 270.288252
198106 41.033237 300.243105 276.356163 269.897055
198107 40.322831 299.830494 276.331683 269.913149
198108 41.203218 299.688103 276.218062 269.815093
198109 41.299280 299.760995 276.439684 270.019986
198110 40.086139 300.047969 276.507840 270.044382
198111 40.501258 300.206047 276.531856 270.081163
198112 40.237722 300.254289 276.665823 270.235422
198201 39.980085 300.221592 276.764636 270.381153
198202 40.332048 300.199280 276.930972 270.599652
198203 40.928359 300.433755 277.096268 270.690755
198204 41.378455 300.595582 276.953650 270.518292
198205 41.767848 300.289024 276.546503 270.090827
198206 40.266441 299.923402 276.005224 269.531008
198207 39.578527 299.517343 275.833282 269.383964
198208 39.715002 299.373947 275.671073 269.191829
198209 39.277217 299.499892 276.076098 269.609961
198210 39.788297 299.759338 276.168896 269.676941
198211 39.557478 299.877918 276.166153 269.643755
198212 39.311882 299.888033 276.138420 269.661188
198301 38.773908 299.903987 276.164778 269.691946
198302 39.281601 299.997462 276.246933 269.764699
198303 39.399594 300.314104 276.364729 269.871067
198304 40.198064 300.519362 276.496156 269.959830
198305 40.654688 300.393037 276.235320 269.692714
198306 39.841437 300.051623 275.975294 269.466887
198307 40.091003 299.701338 275.854297 269.411696
198308 40.324837 299.588554 276.004129 269.580249
198309 40.502357 299.706379 276.312070 269.880775
198310 40.311740 300.006233 276.467594 269.995740
198311 40.666858 300.240467 276.528822 270.051767
198312 40.826016 300.295846 276.711520 270.303595
198401 42.093982 300.302389 277.160439 270.831461
198402 41.437196 300.411404 277.321698 271.033726
198403 41.645242 300.611421 277.402325 271.090020
198404 42.494925 300.702095 277.205205 270.827540
198405 42.297175 300.427282 276.782573 270.372572
198406 40.566126 299.903438 276.121759 269.649215
198407 39.374911 299.469319 275.692407 269.217483
198408 39.032781 299.183144 275.749443 269.342054
198409 39.568273 299.293329 275.814824 269.352795
198410 38.677626 299.495401 275.796974 269.284975
198411 39.231047 299.520126 275.724461 269.214003
198412 37.752628 299.566824 275.865807 269.400770
198501 38.119158 299.619534 275.634666 269.163407
198502 38.265672 299.709677 276.011391 269.577878
198503 38.808478 299.957042 276.220342 269.734657
198504 40.242742 300.139757 276.147235 269.603436
198505 40.655780 299.981500 276.043661 269.522601
198506 38.648980 299.575903 275.529172 268.996666
198507 38.429415 299.319181 275.234454 268.681141
198508 38.980735 299.237727 275.483998 268.985064
198509 39.450869 299.367553 275.742059 269.268039
198510 39.068201 299.575849 275.819508 269.305682
198511 39.922783 299.774913 276.023002 269.508808
198512 38.995579 299.722024 276.139057 269.682511
198601 38.924974 299.686236 276.178138 269.765582
198602 38.952562 299.962020 276.114627 269.616121
198603 40.100968 300.290995 276.447978 269.944823
198604 41.979325 300.458010 276.604192 270.120409
198605 40.976914 300.301648 276.346267 269.855296
198606 40.112705 299.867621 276.155795 269.687871
198607 39.568834 299.523879 275.720561 269.262476
198608 39.536978 299.437383 275.818888 269.360191
198609 39.613540 299.562433 276.076551 269.635096
198610 39.499583 299.857520 276.150381 269.670125
198611 41.051503 300.071273 276.383606 269.904058
198612 40.324611 300.093872 276.483170 270.045043
198701 39.160294 300.123227 276.502890 270.083493
198702 39.454469 300.242105 276.644506 270.215950
198703 40.876133 300.600140 276.809976 270.366565
198704 42.513789 300.715079 277.093065 270.667271
198705 42.661041 300.612915 276.843292 270.384219
198706 41.612306 300.104009 276.436081 269.992361
198707 40.954577 299.672776 276.196421 269.791751
198708 40.232251 299.484822 276.036796 269.610471
198709 40.029599 299.534126 276.155021 269.734054
198710 40.348368 299.831769 276.231272 269.748853
198711 39.792988 299.951163 276.323717 269.841678
198712 39.789592 299.953542 276.307187 269.845711
198801 39.337880 299.921993 276.234120 269.810164
198802 40.506830 300.093452 276.472407 270.026905
198803 40.338935 300.318119 276.620679 270.179899
198804 41.000712 300.459308 276.671232 270.196018
198805 41.044610 300.226904 276.318807 269.823474
198806 39.711039 299.825953 275.911831 269.435642
198807 39.816168 299.466323 275.621838 269.161875
198808 39.335622 299.351725 275.875684 269.451638
198809 38.900163 299.506855 276.014654 269.558832
198810 39.626070 299.740205 276.119668 269.649954
198811 39.691073 299.941305 276.268205 269.780432
198812 39.318371 299.945624 276.276712 269.818468
198901 39.729949 299.978166 276.191707 269.778566
198902 40.018672 300.115341 276.474341 270.038855
198903 41.540485 300.362810 276.722521 270.255472
198904 41.399181 300.572722 276.657439 270.154246
198905 41.881833 300.400164 276.530771 270.041920
198906 41.354469 300.032366 276.390269 269.935392
198907 40.348376 299.706392 276.061982 269.615815
198908 40.366277 299.599873 276.079350 269.646585
198909 40.678752 299.774921 276.349860 269.925733
198910 40.619993 300.025116 276.554344 270.099331
198911 40.973066 300.228240 276.640496 270.172751
198912 40.789610 300.236207 276.790222 270.407940
199001 40.930421 300.211408 276.747945 270.382335
199002 40.284050 300.336601 276.884575 270.512121
199003 41.129449 300.576705 277.008305 270.587698
199004 41.808674 300.751106 276.972297 270.512804
199005 41.865233 300.432510 276.678153 270.227277
199006 41.051259 300.089624 276.225091 269.740517
199007 40.333569 299.741687 276.046116 269.602142
199008 39.759717 299.603130 276.167732 269.739686
199009 39.962399 299.759033 276.237099 269.802533
199010 40.398182 300.065560 276.467479 269.974366
199011 40.869400 300.267345 276.634862 270.163730
199012 41.137457 300.318482 276.698397 270.278028
199101 41.308204 300.282218 276.818155 270.449356
199102 40.711398 300.336480 277.138501 270.781569
199103 40.763909 300.602084 277.080017 270.687346
199104 42.345071 300.805388 277.114651 270.707855
199105 43.322614 300.564982 276.930700 270.513562
199106 40.769013 300.191767 276.418712 269.997641
199107 40.645148 299.744257 276.089695 269.676686
199108 40.120550 299.606734 275.861756 269.424377
199109 40.034854 299.781254 276.194135 269.736663
199110 40.223040 300.019015 276.352513 269.864928
199111 40.022116 300.160435 276.593636 270.110401
199112 39.819713 300.193799 276.282032 269.785808
199201 40.170735 300.153966 276.819664 270.436465
199202 40.342591 300.196253 276.818232 270.415701
199203 40.561062 300.457858 276.928774 270.521275
199204 41.119214 300.616734 276.830134 270.353831
199205 42.122642 300.398203 276.443559 269.915946
199206 40.678708 299.969068 276.132299 269.644269
199207 39.567292 299.582929 275.908040 269.452407
199208 39.386765 299.529476 275.824838 269.337470
199209 40.094081 299.678431 276.113760 269.628800
199210 40.384753 299.987018 276.410090 269.924035
199211 40.536689 300.257636 276.530614 270.056943
199212 41.696625 300.289180 276.720893 270.292091
199301 41.423088 300.281188 276.935704 270.554241
199302 40.481157 300.333946 277.121074 270.778345
199303 40.383074 300.594270 277.146713 270.756426
199304 42.588439 300.707649 277.055934 270.617255
199305 42.544741 300.565816 276.649762 270.168373
199306 41.277671 300.105021 276.350142 269.895737
199307 40.257266 299.748345 276.081942 269.627068
199308 40.131738 299.615618 276.180283 269.750171
199309 39.406167 299.792619 276.244119 269.787130
199310 40.300763 300.103665 276.406038 269.916860
199311 41.605190 300.298110 276.677475 270.215172
199312 41.698238 300.401318 276.829941 270.415506
199401 41.824332 300.476743 277.034853 270.686610
199402 42.550703 300.546932 277.445663 271.126431
199403 42.655087 300.794965 277.509219 271.172801
199404 43.065999 300.906646 277.449785 271.076023
199405 42.502932 300.659593 277.032288 270.604862
199406 41.297537 300.167208 276.561507 270.141260
199407 40.749003 299.737203 276.188799 269.781679
199408 40.204928 299.567206 276.148368 269.729340
199409 39.862702 299.601977 276.329072 269.925935
199410 39.989297 299.846351 276.300184 269.844943
199411 39.956922 300.006261 276.460092 270.003898
199412 40.589645 300.037418 276.368774 269.946155
199501 40.750644 300.041996 276.462606 270.082751
199502 40.431634 300.116076 276.583214 270.197098
199503 40.124981 300.398683 276.623203 270.154940
199504 41.056525 300.594537 276.751010 270.257846
199505 41.606596 300.477077 276.544231 270.041255
199506 41.115156 300.037456 276.208086 269.715270
199507 40.902020 299.515384 276.050017 269.639324
199508 39.637071 299.276654 275.892055 269.501474
199509 39.374669 299.414776 275.992544 269.549883
199510 39.353860 299.692426 275.937213 269.446832
199511 39.867719 299.864522 276.153474 269.663289
199512 39.453799 299.913369 276.291033 269.829234
199601 39.870259 299.882912 276.469087 270.083854
199602 39.126733 300.077503 276.586156 270.205747
199603 40.369030 300.453167 276.596625 270.132948
199604 42.053066 300.614073 276.888499 270.413830
199605 41.762206 300.344026 276.469455 269.971503
199606 39.782939 299.893051 276.108381 269.640085
199607 39.910150 299.541341 275.898419 269.445401
199608 39.990934 299.377487 275.800158 269.360963
199609 39.525244 299.417919 276.088185 269.670183
199610 40.003116 299.628806 276.183871 269.713272
199611 38.859584 299.738972 276.138577 269.632525
199612 40.293483 299.657854 276.175969 269.714331
199701 38.718924 299.702356 276.233995 269.847843
199702 38.997604 299.859446 276.308052 269.888301
199703 39.184748 300.143228 276.441478 269.970836
199704 40.468353 300.365884 276.418110 269.932920
199705 40.989829 300.079187 276.262773 269.773776
199706 39.415413 299.664789 275.874471 269.379656
199707 39.572318 299.241565 275.530555 269.052376
199708 38.739556 299.179101 275.485303 268.996413
199709 39.069408 299.294150 275.814062 269.371010
199710 39.227526 299.565735 275.974741 269.518132
199711 38.878118 299.800114 275.971769 269.497146
199712 40.155245 299.799928 276.101500 269.639531
199801 39.509196 299.875072 276.062429 269.582790
199802 40.205776 300.103615 276.616468 270.209197
199803 40.708656 300.497776 276.943828 270.531790
199804 42.504969 300.762301 277.137340 270.706121
199805 43.026296 300.660599 276.925940 270.475745
199806 42.035145 300.258036 276.589544 270.167653
199807 40.424449 299.867562 276.284853 269.874742
199808 41.361316 299.750525 276.430939 270.010384
199809 41.054604 299.928635 276.545114 270.146476
199810 41.429052 300.257032 276.725992 270.276194
199811 41.415596 300.419236 276.962323 270.542531
199812 41.265098 300.513126 276.964284 270.550383
199901 40.606260 300.572341 277.046333 270.679411
199902 41.715962 300.680585 277.295034 270.942608
199903 42.246443 301.008520 277.625680 271.249305
199904 43.692511 301.205745 277.662930 271.265268
199905 44.088708 301.014743 277.330975 270.907239
199906 41.499969 300.627936 276.916560 270.520098
199907 42.101359 300.261850 276.731754 270.343681
199908 42.077488 300.059560 276.852461 270.493938
199909 42.431257 300.141893 277.102234 270.737878
199910 41.517862 300.381069 276.961590 270.554923
199911 42.897754 300.542748 277.094660 270.666014
199912 41.471162 300.581842 277.305681 270.919951
200001 41.538358 300.555873 277.264726 270.930663
200002 41.219425 300.610658 277.421328 271.112724
200003 41.892586 300.895805 277.573113 271.211260
200004 42.740766 301.035284 277.612404 271.210860
200005 43.368005 300.857002 277.378681 270.978356
200006 41.974499 300.425962 276.943575 270.567622
200007 41.261787 299.978707 276.486501 270.096991
200008 40.971620 299.774788 276.629967 270.271669
200009 40.235586 299.850118 276.797697 270.431321
200010 41.065751 300.138333 276.759747 270.319026
200011 40.846324 300.393661 276.774924 270.328272
200012 40.996173 300.490469 276.790592 270.351884
200101 41.069701 300.468511 276.840465 270.467426
200102 40.920497 300.642138 277.189898 270.832917
200103 41.768259 300.979477 277.478820 271.130380
200104 43.673975 301.180255 277.554576 271.149343
200105 43.158506 301.033623 277.329298 270.925521
200106 42.168259 300.515089 276.911580 270.549433
200107 41.579488 300.108519 276.756402 270.390463
200108 41.258451 300.009253 276.790402 270.424224
200109 40.781862 300.162933 276.840171 270.438038
200110 41.688469 300.384657 277.042151 270.642690
200111 41.931484 300.570360 277.126099 270.726835
200112 42.374018 300.652961 277.323858 270.942343
200201 41.958783 300.696871 277.367092 271.032331
200202 42.072442 300.860024 277.715398 271.404531
200203 42.729081 301.175300 277.980911 271.659616
200204 44.724011 301.279487 278.189179 271.884835
200205 44.255670 301.059194 277.598073 271.231567
200206 42.638231 300.630430 277.019014 270.610799
200207 42.046140 300.239194 276.803286 270.409734
200208 41.898596 300.167386 276.797205 270.398865
200209 41.787900 300.262096 277.095184 270.729194
200210 41.852940 300.516332 277.173506 270.758842
200211 42.186387 300.708310 277.355268 270.958821
200212 41.965211 300.805923 277.333134 270.922225
200301 42.572810 300.800958 277.508280 271.175378
200302 41.719328 300.844692 277.692785 271.389098
200303 42.395068 301.073153 277.893417 271.602453
200304 43.889056 301.238250 277.861581 271.542026
200305 44.782290 301.087532 277.665628 271.304266
200306 43.171452 300.590123 277.333303 271.012958
200307 41.955898 300.138265 276.863488 270.500280
200308 41.186476 299.933538 276.854446 270.512564
200309 41.970520 300.029210 276.882257 270.508022
200310 41.245851 300.288252 276.965866 270.557406
200311 42.274129 300.540496 276.932486 270.483189
200312 42.295873 300.654976 277.182178 270.764878
200401 42.814698 300.760238 277.506360 271.186362
200402 42.315354 300.878396 277.814386 271.539091
200403 43.360983 301.247358 278.064228 271.763565
200404 43.713439 301.421054 278.155849 271.846824
200405 43.793781 301.135971 277.592051 271.224715
200406 42.710404 300.703610 277.145642 270.762695
200407 42.326144 300.271976 276.766523 270.381081
200408 42.126453 300.115424 276.764110 270.395636
200409 41.528981 300.172227 276.908860 270.537048
200410 42.050326 300.410439 277.174962 270.796170
200411 41.727437 300.630093 277.245565 270.839822
200412 41.364547 300.674091 277.216230 270.824200
200501 41.910352 300.644522 277.227131 270.853423
200502 42.302735 300.729237 277.337222 270.966588
200503 42.208901 301.003627 277.577349 271.186826
200504 43.417733 301.127446 277.639867 271.255188
200505 42.636516 300.901055 277.021167 270.589730
200506 42.278341 300.536976 276.736376 270.297521
200507 42.161232 300.190575 276.622227 270.247646
200508 42.030676 299.972517 276.779205 270.436509
200509 41.467640 300.060770 276.876661 270.498903
200510 41.589956 300.307944 276.916283 270.470782
200511 41.540220 300.468215 276.992360 270.564837
200512 41.114211 300.591607 277.016114 270.603965
200601 41.020578 300.612998 276.950132 270.596699
200602 41.769671 300.716717 277.102169 270.738323
200603 42.927217 300.930823 277.569285 271.216436
200604 43.505536 301.086533 277.547549 271.188253
200605 44.284218 300.814521 277.355842 270.986800
200606 42.029065 300.331968 276.879576 270.494980
200607 41.135391 299.962802 276.441892 270.045937
200608 41.312110 299.801057 276.485336 270.093303
200609 41.334407 299.883049 276.680781 270.317672
200610 41.098356 300.052168 276.691663 270.280953
200611 41.165876 300.215243 276.816502 270.382059
200612 40.813862 300.169670 276.786988 270.361068
200701 40.213313 300.183037 276.695612 270.293376
200702 40.520107 300.354379 276.769341 270.377840
200703 40.850318 300.720252 277.141553 270.690112
200704 42.331261 300.915102 277.080981 270.613843
200705 42.703709 300.621236 276.865328 270.412260
200706 41.221149 300.176557 276.549537 270.126780
200707 40.991911 299.823850 276.243481 269.830742
200708 40.399403 299.623923 276.244744 269.862163
200709 39.960644 299.689950 276.362066 269.966937
200710 40.707374 299.927001 276.483907 270.045841
200711 40.884061 299.990488 276.589503 270.176486
200712 40.205213 299.890126 276.570463 270.162795
200801 39.329611 299.936875 276.249660 269.863091
200802 39.900498 300.186979 276.473126 270.062566
200803 40.892607 300.549591 276.821644 270.353703
200804 41.854203 300.850898 276.935516 270.473338
200805 42.803813 300.755468 276.841531 270.363836
200806 41.857690 300.362792 276.577822 270.109927
200807 41.297750 299.949872 276.300292 269.874894
200808 40.784076 299.860010 276.362761 269.947803
200809 41.409568 300.073427 276.613675 270.196480
200810 41.575132 300.396807 276.830632 270.373108
200811 42.346777 300.568521 277.089415 270.649175
200812 42.019092 300.605329 277.134013 270.750906
200901 42.291049 300.573813 277.382919 271.054483
200902 40.996095 300.698192 277.543639 271.218550
200903 42.318985 301.106489 277.727919 271.357944
200904 43.823990 301.303603 277.716707 271.301159
200905 44.420976 301.074938 277.528729 271.122075
200906 43.099674 300.605534 277.116068 270.741643
200907 41.505148 300.206592 276.800167 270.445651
200908 41.010582 300.016509 276.767932 270.427441
200909 41.889490 300.173200 276.859010 270.454269
200910 41.165409 300.366210 276.867197 270.440876
200911 42.087007 300.587146 277.136884 270.703193
200912 41.488743 300.670962 277.132132 270.717749
201001 41.882752 300.754607 277.319035 270.979114
201002 42.388868 300.916007 277.657741 271.335961
201003 43.026927 301.124872 277.990937 271.696538
201004 44.378933 301.266281 278.102815 271.792245
