time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 41.995069 300.496270 277.564266 271.135026
198002 41.533910 300.635849 277.815586 271.420881
198003 42.863892 300.912406 278.024472 271.597199
198004 43.645686 301.039286 278.098508 271.633090
198005 44.104612 300.912445 277.927327 271.411984
198006 42.525162 300.417438 277.422732 270.930076
198007 42.182963 299.937323 277.096033 270.620667
198008 40.511442 299.664792 276.932394 270.461722
198009 40.702187 299.713778 276.780256 270.251884
198010 40.464323 299.913836 276.908361 270.357364
198011 40.518957 300.084875 276.893385 270.307015
198012 40.573175 300.211629 276.938094 270.382324
198101 40.907293 300.200728 277.021822 270.523956
198102 41.316015 300.262436 277.274648 270.818345
198103 41.320969 300.584336 277.446147 270.928556
198104 42.823049 300.706032 277.524425 270.971124
198105 42.292799 300.545511 277.230253 270.633811
198106 41.306988 300.126304 276.897972 270.346995
198107 40.517282 299.707618 276.734095 270.218561
198108 40.289273 299.558791 276.821517 270.330766
198109 40.754900 299.751013 276.800997 270.269943
198110 40.699492 300.040785 277.000842 270.437204
198111 40.931851 300.310307 277.083010 270.495913
198112 41.642982 300.449764 277.164799 270.623727
198201 42.546898 300.426126 277.574768 271.131278
198202 41.074677 300.625441 277.674458 271.225329
198203 41.636083 300.838159 277.799054 271.308779
198204 43.675137 300.958540 277.889980 271.380882
198205 43.410571 300.837098 277.572392 271.004227
198206 41.579970 300.424325 277.159415 270.586236
198207 40.753024 299.927385 276.838715 270.328315
198208 40.655466 299.671076 276.855670 270.365408
198209 40.806092 299.798856 276.945828 270.430989
198210 40.916975 300.085218 276.948858 270.379743
198211 41.154953 300.231971 277.091422 270.527877
198212 40.984717 300.314061 277.110554 270.569943
198301 41.702181 300.248060 277.233803 270.779721
198302 41.125027 300.471207 277.575354 271.134378
198303 41.634091 300.725325 277.689509 271.213595
198304 43.052261 300.848369 277.635007 271.094288
198305 43.147628 300.609125 277.411355 270.859590
198306 41.416133 300.194736 276.871474 270.296660
198307 40.706498 299.845012 276.694880 270.164068
198308 40.560796 299.603777 276.779488 270.311481
198309 39.740375 299.768661 276.903408 270.380164
198310 40.517603 300.134924 276.980233 270.419561
198311 42.225470 300.267390 277.122833 270.586722
198312 41.574275 300.438907 277.160771 270.640002
198401 42.499375 300.449761 277.536418 271.102714
198402 42.499096 300.623900 277.910189 271.506697
198403 43.300325 300.803954 278.172130 271.755742
198404 43.981568 300.869622 277.977835 271.495771
198405 43.127519 300.619424 277.633946 271.102919
198406 41.027153 300.189198 276.919204 270.354583
198407 40.818011 299.778271 276.655825 270.131393
198408 39.723685 299.615830 276.570346 270.031290
198409 39.704060 299.679961 276.688896 270.138118
198410 40.795665 299.850389 276.777834 270.207369
198411 40.874359 299.999372 276.977366 270.406122
198412 40.592595 300.067598 277.006087 270.458905
198501 40.534091 299.997416 277.088752 270.674731
198502 39.649946 300.192372 276.999756 270.481296
198503 40.917492 300.461327 277.089145 270.524460
198504 42.676011 300.660565 277.391057 270.832283
198505 42.885233 300.547187 277.363656 270.805165
198506 41.405860 300.107369 276.925333 270.381306
198507 40.243005 299.751581 276.659481 270.126461
198508 40.289219 299.597382 276.744071 270.226630
198509 40.330742 299.672992 276.785707 270.258662
198510 40.340125 299.897302 276.904261 270.347464
198511 40.672170 300.180579 276.742279 270.125582
198512 41.755511 300.277654 277.090071 270.549667
198601 41.605953 300.307984 277.517182 271.094818
