time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 39.364683 299.589692 276.118468 269.571283
198002 39.384722 299.759678 276.441928 269.923399
198003 40.706058 300.079911 276.722357 270.200124
198004 42.364012 300.298813 277.103663 270.578479
198005 42.263724 300.244269 276.904025 270.349772
198006 42.002079 299.760543 276.618120 270.073725
198007 40.942106 299.347717 276.318999 269.775522
198008 40.202153 299.016823 276.153999 269.625330
198009 40.174064 298.973984 276.060499 269.513693
198010 39.343556 299.150100 275.985765 269.414476
198011 38.984414 299.290262 275.867035 269.269220
198012 38.555985 299.214133 275.776502 269.179225
198101 39.585228 299.265854 275.696599 269.115803
198102 39.267268 299.486478 276.151110 269.598973
198103 40.412996 299.845052 276.495205 269.940995
198104 41.376671 300.093197 276.642619 270.062797
198105 41.721370 300.047908 276.602442 270.024496
198106 41.649780 299.677967 276.242783 269.652597
198107 40.224824 299.258490 276.114692 269.552061
198108 40.386687 299.041612 276.066545 269.529710
198109 40.165980 299.081725 276.115684 269.575864
198110 40.597086 299.307207 276.024506 269.448395
198111 39.728188 299.414681 275.944752 269.353670
198112 39.134618 299.379490 275.794663 269.203467
198201 39.295700 299.367700 276.003864 269.461859
198202 39.794940 299.602177 276.380619 269.848407
198203 40.349617 299.930729 276.537290 269.982664
198204 41.185659 300.206164 276.786772 270.215047
198205 41.841872 300.160765 276.680370 270.093798
198206 41.509675 299.782094 276.352942 269.765740
198207 40.261250 299.372256 276.236560 269.682960
198208 40.000940 299.087321 276.154720 269.632835
198209 39.850695 299.071453 276.160405 269.627697
198210 40.044557 299.257998 276.074813 269.500449
198211 39.167626 299.351182 275.958501 269.378833
198212 38.709053 299.254540 275.906493 269.343904
198301 38.632642 299.239632 275.723763 269.181656
198302 38.376243 299.414283 276.088709 269.556354
198303 39.738353 299.762823 276.241790 269.672103
198304 41.216987 300.031341 276.533159 269.947260
198305 41.156858 300.017697 276.429139 269.831527
198306 40.653869 299.681504 276.009679 269.397083
198307 39.857915 299.273753 276.020227 269.438571
198308 39.749041 299.073431 275.895278 269.331629
198309 40.224606 299.102032 276.023750 269.476704
198310 39.814404 299.283363 275.964293 269.390215
198311 38.653982 299.439518 275.750376 269.146913
198312 39.199608 299.410708 275.778528 269.183266
198401 38.081125 299.394758 275.917871 269.357413
198402 38.383725 299.528236 276.218440 269.708763
198403 40.162599 299.845222 276.552370 270.031299
198404 41.351871 300.065355 276.726237 270.169249
198405 41.766048 299.966238 276.566998 269.979171
198406 41.236639 299.629556 276.220161 269.638716
198407 39.868371 299.124418 275.881353 269.305717
198408 39.346350 298.864085 275.917516 269.376289
198409 39.103711 298.850029 275.847331 269.294821
198410 39.090106 298.952930 275.742455 269.160351
198411 38.072147 299.061023 275.599690 268.992654
198412 37.894254 299.030805 275.474613 268.854151
198501 37.120030 299.012466 275.541707 268.958830
198502 37.668209 299.295221 275.682873 269.102863
198503 39.391332 299.608700 276.184365 269.619713
198504 40.656686 299.891489 276.323966 269.719284
198505 41.552567 299.924975 276.272310 269.633444
198506 41.061645 299.617143 276.049348 269.441464
198507 40.326414 299.226128 276.019412 269.444083
198508 40.637688 299.021468 276.094463 269.541664
198509 39.865864 299.141642 276.179053 269.633797
198510 39.696852 299.341412 276.077388 269.506177
198511 39.022055 299.462646 275.954238 269.366516
198512 39.082268 299.426259 275.981223 269.402360
198601 39.334221 299.439047 276.048753 269.491894
198602 39.261134 299.646386 276.504363 269.985736
198603 40.532093 299.977518 276.722006 270.191748
198604 41.663548 300.265551 276.962543 270.412395
198605 41.932827 300.245362 276.777281 270.204462
198606 42.019624 299.885326 276.657091 270.102508
198607 41.123894 299.489121 276.462207 269.932884
198608 40.286752 299.195727 276.279817 269.773650
198609 40.747890 299.255488 276.276147 269.752533
