time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 39.280059 299.456511 274.596076 268.159956
198002 39.748406 299.725842 274.908913 268.496588
198003 40.913444 300.180384 275.227679 268.811379
198004 42.350103 300.490416 275.584618 269.147745
198005 42.567229 300.317319 275.493697 269.043736
198006 40.700948 299.763159 275.044511 268.578881
198007 39.409994 299.308394 274.788541 268.343301
198008 39.857361 299.198172 274.757412 268.320576
198009 40.637480 299.333202 275.027641 268.608534
198010 40.542112 299.591883 275.125983 268.683854
198011 40.391129 299.560416 274.961098 268.480591
198012 39.728390 299.384682 274.753571 268.270532
198101 38.408318 299.372931 274.458781 268.001765
198102 39.171551 299.679413 274.570360 268.114094
198103 41.461517 300.101139 275.289233 268.862894
198104 42.072699 300.466262 275.502083 269.066314
198105 42.360931 300.353248 275.441919 269.005384
198106 41.042122 299.879195 275.142311 268.710365
198107 40.418029 299.426243 274.938271 268.518011
198108 39.899417 299.261073 274.911418 268.496890
198109 40.714413 299.342851 275.114998 268.732537
198110 40.210312 299.678085 275.075477 268.629475
198111 39.600379 299.819449 275.026486 268.550978
198112 39.355990 299.684305 274.920454 268.439796
198201 39.831500 299.678532 274.860355 268.424477
198202 40.838000 299.953924 275.143168 268.720959
198203 42.092362 300.413481 275.604057 269.199116
198204 43.875055 300.709641 275.994074 269.611556
198205 43.260935 300.541882 275.946072 269.551333
198206 41.685241 300.026079 275.355817 268.915946
198207 40.505936 299.590394 275.036195 268.605189
198208 40.482323 299.476034 275.001181 268.585554
198209 41.356135 299.679847 275.371997 268.981116
198210 41.587913 299.915088 275.433120 269.016765
198211 41.277299 299.908658 275.381072 268.942261
198212 40.342235 299.798736 275.295680 268.844188
198301 39.339803 299.774172 274.956771 268.524728
198302 40.129752 299.874293 275.292066 268.886858
198303 41.150048 300.284830 275.438540 269.030827
198304 43.479435 300.407992 275.822485 269.413598
198305 41.376055 300.139755 275.403233 268.955083
198306 39.928626 299.628139 274.775100 268.281083
198307 39.609037 299.181370 274.658066 268.192615
198308 39.491322 299.100258 274.641130 268.190465
198309 39.662093 299.343813 274.850812 268.419476
198310 40.923427 299.575922 275.205096 268.776259
198311 40.189544 299.706177 275.016784 268.540747
198312 39.636049 299.511202 274.793051 268.309063
198401 39.354966 299.457767 274.588889 268.127231
198402 39.025366 299.633031 274.920884 268.488067
198403 40.758965 300.213883 275.269837 268.833178
198404 43.349165 300.571995 275.652849 269.235437
198405 42.616947 300.433699 275.730690 269.304166
198406 41.452186 299.968226 275.302524 268.865318
198407 40.470232 299.510036 274.896738 268.451318
198408 40.332793 299.431668 275.057458 268.646233
198409 41.142572 299.614194 275.327996 268.930078
198410 41.903910 299.766483 275.401971 268.982044
198411 40.754611 299.893228 275.243410 268.784059
198412 39.609580 299.738392 275.134367 268.658901
198501 39.492388 299.702338 274.719134 268.279771
198502 40.393494 299.914226 275.119429 268.700905
198503 41.052480 300.418157 275.400869 268.979291
198504 43.446436 300.820162 275.756012 269.353847
198505 43.362419 300.707997 275.917832 269.508336
198506 42.243753 300.245965 275.437434 269.004913
198507 41.251955 299.838501 275.224775 268.822431
198508 41.592874 299.720423 275.320011 268.940094
198509 42.305051 299.869733 275.648585 269.309063
198510 42.176473 300.185146 275.763984 269.395899
198511 41.815025 300.253903 275.834534 269.441127
198512 41.033586 300.157514 275.545688 269.149876
198601 40.892368 300.146923 275.349687 268.988048
198602 41.238164 300.302627 275.700385 269.380364
198603 43.305199 300.603562 275.979518 269.635327
198604 44.068305 300.902440 276.103889 269.743311
198605 43.719725 300.612156 276.011611 269.644776
198606 41.929918 300.063693 275.561001 269.170931
198607 40.246192 299.504122 275.086430 268.688445
198608 40.160385 299.357197 274.985272 268.574452
