time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 40.632083 300.338248 276.548578 270.104853
198002 39.975627 300.493341 276.877850 270.440644
198003 41.298225 300.649097 277.236522 270.793404
198004 41.592496 300.832719 277.226534 270.791292
198005 43.000956 300.768939 276.887923 270.386910
198006 42.255746 300.363461 276.598601 270.107219
198007 41.105806 299.942001 276.224332 269.762627
198008 40.643872 299.821491 276.148301 269.670454
198009 40.313910 299.937696 276.342522 269.877127
198010 41.213438 300.167728 276.369504 269.834733
198011 41.440660 300.324681 276.695757 270.203398
198012 41.341518 300.325733 276.713723 270.283082
198101 40.151002 300.340665 276.671299 270.244539
198102 39.428762 300.436133 276.788556 270.357449
198103 39.996644 300.634349 277.090723 270.676940
198104 41.959349 300.780012 277.074307 270.605478
198105 41.723462 300.711841 276.877786 270.389028
198106 41.748969 300.340845 276.719235 270.262738
198107 41.125579 300.016983 276.357937 269.910479
198108 41.019146 299.811705 276.420693 270.004999
198109 40.227283 299.821225 276.366986 269.933491
198110 40.525235 300.001013 276.489069 269.998061
198111 40.106387 300.109714 276.584036 270.111784
198112 39.948349 300.169733 276.404718 269.930427
198201 40.494812 300.185866 276.583520 270.152312
198202 40.370950 300.364340 276.830318 270.392675
198203 40.895599 300.526432 276.996726 270.581580
198204 41.996309 300.642389 276.934498 270.463765
198205 42.275885 300.568674 276.804490 270.316469
198206 41.318241 300.180063 276.443528 269.988245
198207 40.617828 299.778014 276.115374 269.666851
198208 39.956103 299.584386 275.954330 269.482082
198209 39.362475 299.643416 276.119228 269.634066
198210 39.815342 299.840399 276.188200 269.661633
198211 39.048581 300.073177 276.142844 269.594976
198212 39.809529 300.087657 276.208622 269.696687
198301 40.307401 300.070839 276.437879 269.977986
198302 39.079747 300.225103 276.590391 270.150880
198303 40.021673 300.443144 276.737128 270.253962
198304 41.310386 300.521519 276.706406 270.208164
198305 41.554024 300.447421 276.498566 269.950598
198306 40.912947 300.155158 276.161509 269.643315
198307 39.585908 299.826813 276.022888 269.551859
198308 39.190422 299.753577 275.944351 269.453281
198309 39.459685 299.961588 276.246735 269.766183
198310 40.205714 300.191257 276.528956 270.042353
198311 40.533062 300.346581 276.555624 270.056288
198312 40.643456 300.370958 276.618557 270.139906
198401 41.200438 300.413814 276.960667 270.537439
198402 40.919897 300.568666 277.280023 270.932054
198403 40.626633 300.843719 277.517266 271.142697
198404 41.817996 300.906862 277.408820 270.987016
198405 42.281587 300.788455 276.835311 270.365219
198406 41.934990 300.363980 276.710435 270.268382
198407 41.338347 299.852212 276.190027 269.753601
198408 40.002463 299.638213 276.103448 269.639528
198409 39.803381 299.658275 276.147323 269.696521
198410 40.512470 299.899255 276.182495 269.665597
198411 39.892958 300.071963 276.347128 269.840506
198412 39.794400 300.070288 276.290244 269.812357
198501 39.744503 300.076717 276.224804 269.742160
198502 40.153970 300.224173 276.531255 270.046989
198503 41.075481 300.489233 276.731685 270.252485
198504 41.835976 300.666026 276.743990 270.238602
198505 43.111095 300.570696 276.643560 270.121472
198506 41.195664 300.275797 276.324127 269.807890
198507 40.552844 299.921640 276.133135 269.665864
198508 40.273321 299.789234 276.220403 269.777435
198509 39.942437 299.855589 276.364218 269.912925
198510 41.019154 300.052534 276.446531 269.962977
198511 40.191091 300.300249 276.519811 270.019757
198512 40.505798 300.358670 276.603812 270.115379
198601 41.018358 300.394440 276.883642 270.470489
198602 41.239253 300.521195 277.118139 270.741443
198603 42.082826 300.758022 277.451975 271.096674
198604 42.461233 300.885175 277.472254 271.051464
198605 43.201289 300.782538 276.967552 270.499933
198606 42.433617 300.359441 276.607473 270.149678
198607 40.809546 299.959455 276.119106 269.620463
198608 41.063891 299.786094 276.129791 269.665816
198609 40.960135 299.867087 276.254719 269.785300
198610 40.053227 300.022865 276.417828 269.937407
198611 39.992189 300.232400 276.441382 269.909449
198612 39.990823 300.303258 276.471811 269.970493
198701 39.389452 300.297452 276.563984 270.110199
198702 38.832145 300.432408 276.735653 270.288092
198703 40.727780 300.690378 276.958064 270.479341
198704 41.232533 300.899743 277.092637 270.592471
198705 42.585553 300.845361 276.876197 270.367243
198706 42.715987 300.481741 276.739666 270.293395
198707 41.897046 300.113785 276.528033 270.106186
198708 40.079036 299.939546 276.412583 269.978905
198709 40.911979 300.034737 276.554827 270.112597
198710 40.754236 300.241169 276.705935 270.231358
198711 41.449091 300.468214 276.922337 270.457979
198712 41.598364 300.559822 276.820926 270.379947
198801 41.940477 300.666173 277.266522 270.873308
198802 41.223475 300.878089 277.669692 271.307506
198803 41.631563 301.146397 277.745297 271.339761
198804 43.095207 301.206130 277.651304 271.256706
198805 42.777901 301.007917 277.151525 270.695377
198806 42.214353 300.535030 276.774649 270.323798
198807 40.920828 300.134464 276.288184 269.814369
198808 41.079581 299.947764 276.225407 269.736922
198809 41.167502 300.025471 276.474543 270.016546
198810 41.177985 300.213500 276.580597 270.102288
198811 40.784919 300.391207 276.661435 270.145919
