time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 36.108491 299.775098 276.906810 270.061472
198002 37.043402 299.902492 277.011780 270.117178
198003 37.226929 300.122315 277.250706 270.325297
198004 37.847619 300.170525 277.144208 270.201983
198005 37.007470 300.095620 276.893866 269.902893
198006 36.600469 299.810417 276.586230 269.594267
198007 36.549454 299.625293 276.564463 269.612860
198008 37.019533 299.618973 276.743575 269.821157
198009 37.091559 299.743941 277.061526 270.160608
198010 37.555987 299.901292 277.387793 270.514243
198011 37.801988 299.960943 277.394896 270.517453
198012 36.461017 299.969292 276.961457 270.050693
198101 37.491397 299.814907 277.019412 270.182698
198102 37.665106 300.076434 277.151897 270.235617
198103 37.597749 300.287211 277.541016 270.670288
198104 37.940975 300.399965 277.457661 270.551089
198105 38.122480 300.288406 277.190489 270.242210
198106 36.797949 300.047608 276.801741 269.845114
198107 36.018939 299.873808 276.480535 269.517992
198108 37.089655 299.979461 276.919839 269.992179
198109 38.288701 300.305687 277.499599 270.607431
198110 39.404961 300.473012 277.949341 271.104392
198111 39.267631 300.554274 277.983242 271.160076
198112 38.442398 300.451275 277.766510 270.937071
198201 38.342990 300.332340 277.631439 270.807129
198202 37.939305 300.449880 277.785174 270.980269
198203 39.410003 300.673307 278.073014 271.257426
198204 39.547031 300.848739 278.122094 271.273764
198205 39.361299 300.730427 277.763448 270.857727
198206 37.946664 300.419807 277.382740 270.468599
198207 37.547167 300.120799 277.131194 270.234835
198208 37.529678 300.104468 277.168612 270.263505
198209 38.541840 300.255572 277.558595 270.690167
198210 38.466271 300.462879 277.715816 270.855401
198211 39.129154 300.553546 277.783714 270.916013
198212 38.658480 300.399666 277.640520 270.822605
198301 37.953334 300.363972 277.677572 270.870306
198302 37.522808 300.448262 277.680835 270.845436
198303 38.372119 300.581525 278.024829 271.184615
198304 38.751546 300.675371 277.810260 270.931435
198305 38.011187 300.531890 277.484837 270.569151
198306 37.568045 300.204471 277.170460 270.276605
198307 36.876620 299.929963 276.855128 269.938801
