time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 38.786344 299.928782 273.310383 267.077968
198002 39.355606 300.040471 273.845370 267.585062
198003 39.857526 300.405503 274.207520 267.914973
198004 41.228828 300.826064 274.026805 267.711080
198005 41.673549 300.796257 273.870527 267.629534
198006 42.324529 300.499949 274.446527 268.276763
198007 41.784459 300.210319 274.409198 268.194098
198008 40.784505 300.110546 274.076924 267.874846
198009 40.856997 300.337201 274.047325 267.807811
198010 41.795333 300.677327 274.579034 268.298060
198011 41.600947 300.807147 274.464602 268.294285
198012 41.024395 300.668292 274.548894 268.405005
198101 40.830368 300.579093 274.952814 268.737836
198102 41.032969 300.628845 274.916918 268.778306
198103 40.516227 300.929774 274.775611 268.580238
198104 42.278491 301.091800 274.395364 268.190857
198105 43.101038 300.906881 274.221247 268.125246
198106 42.263765 300.444010 274.065714 267.924391
198107 41.284217 299.957786 273.964977 267.813653
198108 40.677351 299.782836 273.521187 267.301204
198109 40.072480 299.793665 273.456966 267.230561
198110 39.634431 299.945574 273.565389 267.323944
198111 38.870481 299.983224 272.806320 266.604852
198112 37.927004 299.753600 272.808010 266.558575
198201 37.092812 299.650808 272.836280 266.550217
198202 37.075850 299.723811 272.866514 266.577564
198203 38.246957 300.058101 272.950369 266.705573
198204 39.420418 300.438928 272.933869 266.615913
198205 40.318608 300.352047 272.922194 266.683670
198206 40.390724 299.820846 273.218645 267.010355
198207 39.141507 299.373978 272.932364 266.702893
198208 37.931459 299.151895 272.643053 266.409362
198209 37.409990 299.197281 273.024556 266.756224
198210 37.411481 299.324088 272.322324 266.129428
198211 36.875399 299.360795 271.821445 265.702346
198212 35.850694 299.341572 271.979903 265.728773
198301 35.647248 299.293078 271.914631 265.610351
198302 36.710506 299.484869 272.137915 265.837130
198303 37.559322 299.807085 272.553669 266.287028
198304 38.095017 300.202204 272.660430 266.312452
198305 39.969971 300.077930 272.420603 266.230165
198306 39.144966 299.658612 272.169662 266.051082
198307 38.345151 299.321072 272.731122 266.401562
198308 38.302664 299.239546 272.689211 266.418762
198309 38.653319 299.397897 272.413672 266.215699
198310 37.969889 299.571541 272.853455 266.585502
198311 37.591982 299.619460 272.396139 266.171019
198312 36.367674 299.567582 272.446819 266.101828
198401 37.198396 299.551814 272.637970 266.350416
198402 37.424924 299.807554 272.935341 266.614608
198403 38.461356 300.156061 273.155345 266.877338
198404 39.680351 300.590822 273.052721 266.699747
198405 41.347115 300.503643 273.504421 267.247463
198406 40.614050 300.103821 273.681902 267.432630
198407 40.329270 299.792091 273.420830 267.197748
198408 40.810434 299.649588 273.855858 267.655740
198409 38.771527 299.809991 273.609551 267.356103
198410 39.622057 300.199431 273.546799 267.242717
198411 40.360488 300.331824 273.457456 267.235855
198412 39.084828 300.190102 274.094775 267.819904
198501 38.964126 300.084265 273.997208 267.720752
198502 39.030301 300.226115 274.201229 267.870794
198503 40.008083 300.660533 274.217239 267.884327
198504 42.034081 300.966987 273.853391 267.610031
198505 42.380462 300.962730 273.955285 267.748032
198506 43.226411 300.617260 274.598449 268.459725
198507 42.504625 300.230578 274.505989 268.365897
198508 41.031374 300.121443 274.434397 268.292528
198509 40.728931 300.304775 274.324739 268.150669
198510 41.304386 300.617567 274.320771 268.114357
198511 41.506861 300.790874 274.260404 268.042801
198512 41.550954 300.615397 274.818482 268.674330
198601 40.263734 300.559992 274.849088 268.651999
198602 40.722694 300.745025 274.520581 268.362185
198603 42.513434 301.032462 275.179803 268.961913
198604 43.791576 301.333693 274.678314 268.539975
198605 44.654187 301.185809 275.031108 268.907949
198606 43.006099 300.601956 274.831245 268.758993
198607 41.307175 299.924369 274.201392 268.037720
198608 40.349369 299.534913 273.364083 267.229417
198609 38.751233 299.527261 273.335899 267.108623
198610 37.715530 299.643949 273.143039 266.875791
198611 37.028679 299.651218 272.697607 266.399310
198612 37.001705 299.551550 272.427465 266.118304
198701 36.954144 299.443489 272.614094 266.361360
198702 36.685604 299.688058 272.598435 266.358287
198703 38.021412 299.992643 273.019991 266.691360
198704 39.628525 300.370598 272.706139 266.402949
198705 40.379992 300.248411 272.959878 266.761095
198706 40.464999 299.814679 272.846224 266.698713
198707 39.087051 299.418406 272.612566 266.427043
198708 37.503924 299.265056 272.749138 266.518167
198709 38.185698 299.296606 272.998134 266.756682
198710 38.423938 299.570876 272.690238 266.439413
198711 38.066169 299.592754 272.579182 266.336281
198712 37.060230 299.476283 272.246709 266.061097
198801 36.849337 299.390668 272.271994 266.086580
198802 36.954150 299.551649 272.881905 266.576891
198803 37.947292 299.910986 273.262522 266.935085
198804 39.818261 300.331657 273.170975 266.839937
198805 41.342655 300.160399 273.419378 267.221140
198806 39.899775 299.817732 273.120767 266.885873
198807 38.830300 299.459108 272.936664 266.659406
198808 38.817197 299.312850 273.066493 266.829321
198809 38.071223 299.454978 273.253068 266.937306
198810 38.312740 299.688970 273.298998 266.957463
198811 38.341150 299.733699 272.761265 266.518950
198812 37.788083 299.619498 272.512306 266.308802
198901 36.986523 299.547513 272.269216 266.060747
198902 37.018659 299.676274 272.737958 266.412081
198903 37.912023 300.057366 273.171694 266.820448
198904 39.557565 300.493210 273.024959 266.699767
198905 41.062005 300.485743 273.297324 267.030782
198906 41.926450 300.101349 273.714968 267.596830
198907 40.481315 299.791333 273.412802 267.318250
198908 39.771925 299.647720 273.575346 267.360770
198909 38.850760 299.768642 273.445706 267.190590
198910 39.301682 300.005499 273.544326 267.293625
198911 39.682095 300.039910 273.434778 267.227690
198912 38.532512 299.901022 273.542732 267.289562
199001 37.666610 299.856188 273.373608 267.121449
199002 38.108956 299.963254 273.686156 267.399060
199003 39.426478 300.396573 273.728472 267.394657
199004 41.043584 300.797968 273.805131 267.533347
199005 42.657932 300.726429 273.950790 267.672950
199006 42.112361 300.365450 273.980418 267.833523
199007 41.666021 300.087072 274.203710 267.988184
199008 40.688145 300.050669 273.831726 267.597250
199009 41.194943 300.211266 274.438268 268.176199
199010 40.654200 300.521718 274.140526 267.961964
199011 41.610985 300.677741 274.230732 268.045540
199012 41.607618 300.623295 274.831963 268.645810
