time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 42.889932 300.424892 276.270344 269.896549
198002 42.474139 300.666126 276.103676 269.731863
198003 43.841019 300.893019 276.627877 270.248589
198004 45.314600 301.167792 276.659680 270.232458
198005 46.653097 301.108045 276.784070 270.488468
198006 45.292200 300.795699 276.590098 270.331537
198007 44.864231 300.417563 276.819646 270.613021
198008 44.783113 300.206739 276.814352 270.584186
198009 44.737383 300.357167 276.670429 270.358051
198010 43.972842 300.604483 276.539425 270.154781
198011 43.587178 300.719486 276.566669 270.191065
198012 43.580361 300.679248 276.575885 270.269683
198101 42.461709 300.671499 276.424308 270.119405
198102 43.062727 300.765161 276.545495 270.220194
198103 44.263979 301.063467 276.806032 270.455706
198104 45.514868 301.292957 276.839595 270.502134
198105 46.454101 301.006897 276.812617 270.549085
198106 44.487066 300.400711 276.406684 270.178502
198107 43.668294 299.804866 275.991734 269.747560
198108 42.152035 299.533493 275.792832 269.438845
198109 41.507313 299.553188 275.467899 269.041721
198110 41.040529 299.772765 275.282844 268.798265
198111 39.844106 299.799834 274.864980 268.432794
198112 39.118146 299.690648 274.754823 268.303312
198201 39.482380 299.648048 274.814395 268.349654
198202 40.205720 299.804485 274.826881 268.394761
198203 40.124636 300.080683 275.467904 268.944072
198204 41.993611 300.378619 275.269969 268.803851
198205 42.448137 300.308361 275.326642 268.877430
198206 42.277823 299.885217 275.236061 268.891897
198207 42.231848 299.446486 275.205096 268.883662
198208 40.714286 299.167549 274.974723 268.639423
198209 40.655588 299.100157 274.628415 268.243648
198210 40.093624 299.246964 274.847597 268.363815
198211 38.857291 299.389235 274.551154 268.011251
198212 38.720354 299.265494 274.263339 267.794683
198301 38.280185 299.194257 273.785716 267.399357
198302 38.152910 299.332812 274.399353 267.909964
198303 38.652360 299.686469 274.761084 268.232754
198304 40.717871 300.096469 274.668452 268.134510
198305 42.271090 300.056228 274.859688 268.400541
198306 40.592507 299.736863 274.776890 268.377382
198307 41.107846 299.413149 275.029016 268.647998
198308 40.827568 299.253627 274.986892 268.627707
198309 40.777534 299.318710 275.284023 268.870585
198310 40.514417 299.522886 275.062117 268.583326
198311 39.858886 299.594506 274.873939 268.392219
198312 39.203503 299.509560 274.675183 268.205464
198401 39.792657 299.483087 274.459975 268.041755
198402 40.123496 299.672904 274.741705 268.317256
198403 39.994101 300.030546 274.874411 268.368441
198404 41.522851 300.464069 275.064705 268.534956
198405 42.737896 300.440156 275.395175 268.928961
198406 42.835731 300.075269 275.493165 269.144001
198407 42.042488 299.689866 275.687844 269.333227
198408 41.917346 299.530714 275.455720 269.073743
198409 41.206860 299.607789 275.371658 268.975494
198410 41.483359 299.803633 275.344453 268.888874
198411 40.536225 299.894298 275.083297 268.662848
198412 40.361314 299.772225 274.954657 268.525961
198501 40.290860 299.716526 274.737587 268.315354
198502 40.599656 299.832257 275.317954 268.948024
198503 41.101256 300.151337 275.695741 269.273664
198504 42.552543 300.488677 275.438406 268.991064
198505 42.570210 300.493624 275.573981 269.168048
198506 43.911301 300.131187 275.761927 269.448599
198507 42.568620 299.754961 275.567798 269.207542
198508 42.456616 299.460652 275.589535 269.258460
198509 41.773844 299.491936 275.430165 269.038461
198510 40.985889 299.601077 275.407101 268.946165
198511 40.039178 299.739064 275.203553 268.757801
198512 39.509620 299.616786 274.878662 268.448129
198601 40.282831 299.553744 275.018203 268.612715
198602 39.780793 299.789646 275.238109 268.789420
198603 39.571377 300.197369 275.030929 268.461327
198604 41.894951 300.521266 275.603085 269.071627
198605 42.769500 300.543419 275.681216 269.230880
198606 43.113022 300.170205 275.553885 269.247574
198607 42.581641 299.776386 275.641948 269.324942
198608 41.409488 299.594350 275.814961 269.463245
198609 42.546026 299.603193 275.874478 269.495247
198610 41.606913 299.808880 275.521454 269.056623
198611 40.676089 300.019682 275.207820 268.763714
198612 41.063534 299.937995 275.413703 269.016818
198701 40.656288 299.958303 275.349924 268.934937
198702 41.457814 300.096680 275.607400 269.213207
198703 41.974125 300.519056 275.841619 269.370527
198704 43.363251 300.868251 275.886343 269.408291
198705 44.980497 300.757724 276.235340 269.930462
198706 44.182832 300.296100 276.143607 269.877228
198707 43.235662 299.721726 275.873081 269.633238
198708 42.448170 299.452967 275.608834 269.308324
198709 41.463735 299.510585 275.539897 269.138552
198710 41.635976 299.612207 275.277080 268.841409
198711 39.519422 299.631815 275.174103 268.724608
198712 38.737707 299.596491 274.778588 268.314010
198801 38.941494 299.506233 274.538565 268.174568
198802 39.570720 299.690093 274.974771 268.474562
198803 39.460868 299.998247 275.130584 268.608913
198804 41.811077 300.380029 275.259842 268.764223
198805 42.299015 300.329943 275.492136 269.043532
198806 42.342126 299.994795 275.304838 268.908266
198807 42.832093 299.632475 275.456284 269.071368
198808 41.881615 299.443134 275.449141 269.096162
198809 42.137986 299.466831 275.525629 269.167312
198810 40.857708 299.642682 275.166202 268.754935
198811 40.244211 299.697579 274.862738 268.438559
198812 39.393922 299.574745 274.764664 268.307669
198901 39.384248 299.561963 274.944842 268.492711
198902 39.778921 299.743263 275.097965 268.675701
198903 40.313166 300.066440 275.155227 268.648116
198904 41.987845 300.486336 275.398193 268.916812
198905 43.054140 300.436499 275.593861 269.179825
198906 42.194780 300.039917 275.372863 268.983846
198907 42.224993 299.621768 275.529919 269.185776
198908 41.567293 299.416283 275.333756 269.018805
198909 41.356911 299.457544 275.325474 268.954076
198910 40.755545 299.660491 275.072837 268.629089
198911 40.290656 299.741329 275.153122 268.673622
198912 39.368258 299.667935 274.741321 268.324136
199001 40.322897 299.646175 274.617650 268.250970
199002 39.972841 299.727617 275.002640 268.651313
199003 40.022053 300.083968 275.112717 268.651058
199004 42.135310 300.442275 275.357312 268.853665
199005 42.496332 300.332503 275.468870 269.021502
199006 42.487226 299.914769 275.241836 268.882137
199007 42.418168 299.506326 275.240011 268.884757
199008 41.326323 299.273375 275.035946 268.711771
199009 40.620208 299.335863 275.212025 268.822000
199010 39.409397 299.466011 274.890783 268.423090
199011 39.359748 299.581239 274.664670 268.173269
199012 39.184952 299.603068 274.585250 268.074625
199101 39.822460 299.626015 274.558712 268.107455
199102 39.833499 299.800263 274.780644 268.335556
199103 40.584272 300.102868 275.371814 268.881823
199104 41.849300 300.499232 275.091884 268.590159
199105 43.451063 300.513628 275.574380 269.105856
199106 44.146163 300.233625 275.737719 269.423173
199107 43.239195 299.897875 276.096860 269.739749
199108 41.731327 299.744246 275.696717 269.317191
199109 41.996623 299.770421 275.692205 269.319242
199110 41.650937 299.941339 275.701567 269.254556
199111 41.989203 300.025071 275.327667 268.913098
199112 40.689097 299.926138 275.679678 269.218560
199201 40.933534 299.963766 275.475108 269.070486
199202 40.488486 300.135121 275.676088 269.243815
199203 40.985685 300.516461 275.826248 269.330066
199204 42.935496 300.879495 275.996993 269.513641
199205 44.087602 300.830240 276.155849 269.736825
199206 44.077591 300.473441 276.359078 270.024919
199207 44.217536 300.105555 276.289339 269.959441
199208 42.953930 299.941524 276.240565 269.932004
199209 41.899155 300.069473 275.927438 269.623387
199210 42.596260 300.316889 276.120735 269.738350
199211 42.897785 300.434766 276.105194 269.719398
199212 42.234935 300.381043 276.069369 269.643736
199301 42.393960 300.269370 276.067765 269.697301
199302 42.087978 300.472737 276.238361 269.853355
199303 43.065942 300.849882 276.266722 269.833670
199304 45.317101 301.095198 276.730417 270.334687
199305 45.576230 301.061875 276.592142 270.245741
199306 44.950585 300.559278 276.666496 270.423314
199307 44.897268 299.925433 276.191776 269.997860
199308 43.433398 299.547550 275.728509 269.480052
199309 42.877872 299.509223 275.423646 269.091536
199310 40.252587 299.614855 275.354076 268.934069
199311 39.321825 299.678470 274.882010 268.390138
199312 39.329956 299.578758 274.718486 268.233059
199401 39.452361 299.437907 274.640649 268.230682
199402 38.875302 299.561045 274.920914 268.469149
199403 39.689257 299.914344 274.764802 268.289826
199404 41.179019 300.111642 274.953402 268.487188
199405 41.492464 299.959415 275.032971 268.627311
199406 41.175808 299.607583 274.919929 268.488413
199407 40.881602 299.242643 274.753600 268.363787
199408 40.223996 298.988464 274.636562 268.264923
199409 40.048769 298.991825 274.566960 268.148173
199410 39.400774 299.134164 274.410343 267.958161
199411 38.170419 299.216009 274.395359 267.907716
199412 37.482149 299.226074 274.151446 267.602328
199501 38.465442 299.189690 274.185831 267.680793
199502 38.494564 299.386838 274.286334 267.817837
199503 38.930415 299.712260 274.633693 268.118792
199504 41.406278 300.076758 274.781494 268.273329
199505 41.725243 300.061397 274.960939 268.482061
199506 41.543743 299.717782 274.839225 268.421500
199507 41.723950 299.377772 275.121605 268.736629
199508 41.060913 299.193605 274.866462 268.525114
199509 40.268519 299.245986 274.988893 268.567339
199510 40.092889 299.473433 274.854475 268.386395
199511 39.185904 299.616057 274.652597 268.166761
199512 39.557499 299.614531 274.561067 268.085571
199601 39.345786 299.601847 274.585673 268.140565
199602 39.618587 299.723873 275.029196 268.594342
199603 40.650910 300.106714 275.089917 268.599331
199604 42.003638 300.447307 275.405334 268.878332
199605 42.930270 300.462119 275.563732 269.104770
199606 43.175472 300.120766 275.665473 269.311022
199607 42.659567 299.756188 275.605703 269.281824
199608 42.375606 299.626589 275.665946 269.327333
199609 41.976928 299.742660 275.833705 269.459882
199610 41.531508 299.914789 275.576184 269.177844
199611 40.942655 299.999386 275.495804 269.077269
199612 41.100207 299.932689 275.078289 268.676532
199701 40.676047 299.896381 275.148130 268.729928
199702 41.463082 299.981370 275.476974 269.087093
199703 41.330680 300.376468 275.537380 269.045114
199704 42.690361 300.703600 275.774153 269.261609
199705 43.883598 300.741613 275.872582 269.398525
199706 44.354932 300.457609 276.140316 269.823157
199707 43.305045 300.198236 276.059550 269.677982
199708 44.066665 300.119109 276.265931 269.937776
199709 43.824752 300.307598 276.469484 270.099096
199710 44.143439 300.614804 276.564575 270.154416
199711 45.448582 300.816555 276.641620 270.283815
199712 45.178781 300.825340 276.931961 270.615983
199801 43.265118 300.907302 276.766697 270.456560
199802 43.983312 301.057607 277.113806 270.784002
199803 45.314716 301.428652 277.108343 270.779155
199804 46.545742 301.701934 277.540295 271.210677
199805 48.721057 301.566438 277.454743 271.239809
199806 47.454365 301.082265 277.544566 271.355929
199807 45.699913 300.469831 276.859034 270.649014
199808 44.180444 300.131104 276.293620 270.062994
199809 44.099425 300.202223 276.379392 270.032424
199810 43.368539 300.322950 276.260735 269.890044
199811 42.607662 300.348296 275.742067 269.373023
199812 42.019825 300.201086 275.560362 269.180221
199901 41.104507 300.108525 275.589957 269.186240
199902 41.633618 300.206975 275.455623 269.073232
199903 42.103683 300.396377 275.928013 269.526199
199904 43.419575 300.682261 275.787732 269.359094
199905 42.790350 300.504011 275.745618 269.377790
199906 43.352044 300.088182 275.503948 269.210494
199907 42.487190 299.659028 275.640296 269.305689
199908 41.879219 299.397838 275.412945 269.086280
199909 41.382881 299.397242 275.220353 268.857090
199910 40.392043 299.521225 274.944648 268.502875
199911 39.767540 299.595799 274.756558 268.322154
199912 39.645856 299.494629 274.513106 268.105927
200001 39.423642 299.437514 274.214854 267.820482
200002 39.022754 299.648687 274.765702 268.298214
200003 40.092255 300.010031 274.992323 268.461534
200004 41.476139 300.311850 275.007787 268.518874
200005 42.580330 300.323065 275.113273 268.676719
200006 42.487418 300.013664 275.361599 268.975094
200007 42.748003 299.655679 275.518358 269.206013
200008 41.634550 299.494987 275.409605 269.098386
200009 41.191606 299.571408 275.417380 269.013228
200010 41.172983 299.678186 275.328973 268.920382
200011 39.860068 299.829200 275.084434 268.590145
200012 40.302272 299.747844 274.944025 268.481064
200101 39.762415 299.758236 274.924086 268.517583
200102 40.955019 299.881381 275.243906 268.799245
200103 41.104584 300.221656 275.511989 269.046049
200104 43.259489 300.590580 275.670357 269.195785
200105 43.657536 300.564578 275.815491 269.416110
200106 42.803108 300.212037 275.784640 269.415498
200107 42.677070 299.871520 275.747380 269.418734
200108 43.311531 299.753792 275.840697 269.525569
200109 42.520934 299.838221 275.859521 269.501096
200110 41.595410 300.058068 275.668214 269.225769
200111 41.301813 300.200993 275.545841 269.096622
