time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 40.087465 300.322088 277.483340 270.853815
198002 40.887885 300.472782 277.630038 271.019744
198003 41.456140 300.886644 278.057642 271.441408
198004 43.188968 301.172207 278.271280 271.621921
198005 44.427949 300.950074 278.421898 271.820824
198006 41.775648 300.413803 277.952154 271.344288
198007 41.373658 299.844241 277.713987 271.148921
198008 40.690230 299.670788 277.393243 270.786354
198009 40.945674 299.711381 277.803112 271.254821
198010 40.756385 300.029720 277.559775 270.932854
198011 41.654458 300.324911 277.574455 270.912297
198012 41.205257 300.404897 277.602798 270.969593
198101 40.965856 300.326115 277.779110 271.206195
198102 40.881601 300.560061 277.932870 271.348601
198103 41.792603 300.918031 278.074519 271.475715
198104 43.880174 301.356715 278.324320 271.690919
198105 45.317351 301.286255 278.665404 272.088546
198106 44.110700 300.606189 278.702052 272.218541
198107 41.593127 299.938132 277.898347 271.380711
198108 41.277656 299.578263 277.731367 271.209162
198109 40.900413 299.773617 277.564390 270.980934
198110 41.602919 300.025329 277.709524 271.109654
198111 40.124625 300.275525 277.512628 270.859475
198112 40.462544 300.217689 277.327292 270.651731
198201 40.511116 300.183970 277.355768 270.729074
198202 40.884998 300.303259 277.711059 271.116186
198203 40.508663 300.745919 277.647555 270.983007
198204 42.206476 301.016435 278.001931 271.320045
198205 42.572778 300.940419 277.992881 271.327012
198206 42.432431 300.363014 277.976675 271.397413
198207 40.468695 299.728178 277.522117 270.940272
198208 40.355937 299.449594 277.363173 270.762694
198209 40.007673 299.587253 277.239260 270.600061
198210 40.643986 299.940231 277.379339 270.721178
198211 40.271321 300.107716 277.304616 270.620989
198212 40.810551 300.134183 277.231785 270.542389
198301 40.378698 300.063675 277.234914 270.555674
198302 39.974647 300.175390 277.478497 270.857077
198303 41.267200 300.490719 277.758645 271.152761
198304 42.809352 300.894531 277.955875 271.290181
198305 43.428606 300.830467 277.984315 271.305928
198306 41.113977 300.250198 277.710971 271.080993
198307 40.703373 299.682315 277.219876 270.586860
198308 39.998533 299.399096 277.263699 270.665098
198309 40.379193 299.454811 277.283240 270.682582
198310 40.450325 299.824655 277.191641 270.518378
198311 40.477413 300.107655 277.349813 270.667759
198312 40.451386 300.137963 277.305946 270.650331
198401 40.193573 300.075133 277.309359 270.733479
198402 39.503234 300.258776 277.444570 270.851309
198403 40.675101 300.666029 277.690883 271.034560
198404 42.239635 300.984768 277.824041 271.125936
198405 43.534148 300.862191 278.206696 271.560718
198406 41.936667 300.274658 277.918006 271.334168
198407 41.687130 299.804380 277.544314 270.952808
198408 40.670957 299.561206 277.563493 270.992119
198409 40.565035 299.603244 277.654593 271.109657
198410 39.994094 299.969904 277.199525 270.518568
198411 41.479694 300.234499 277.340535 270.647000
198412 41.983540 300.279978 277.482052 270.837701
198501 41.121814 300.241492 277.559194 271.003174
198502 40.578915 300.499411 277.654658 271.029506
198503 41.729336 300.834015 278.064537 271.438730
198504 43.354023 301.114996 278.356801 271.717098
198505 44.047899 301.037159 278.259767 271.628751
198506 42.371808 300.516646 278.091148 271.483367
198507 41.101742 299.924597 277.716589 271.118013
198508 41.076883 299.715210 277.595607 271.008239
198509 40.726628 299.880668 277.715090 271.133167
198510 41.102126 300.163370 277.659517 271.032015
198511 41.622160 300.396520 277.812675 271.188250
198512 41.003985 300.499519 277.765923 271.142529
198601 41.013638 300.532427 277.734089 271.135644
198602 42.353216 300.631157 277.969003 271.396886
198603 42.795680 300.968570 278.441554 271.873532
198604 43.293377 301.244274 278.366182 271.743080
198605 44.411945 301.146036 278.475974 271.870781
198606 42.962633 300.612575 278.035801 271.443054
198607 41.734271 299.989298 278.016171 271.473803
198608 41.322714 299.701557 277.694435 271.152170
198609 41.421996 299.819437 277.837536 271.280793
198610 41.622025 300.122444 277.641967 271.023212
198611 41.907078 300.398398 277.740887 271.103815
198612 41.516837 300.508547 277.723243 271.089992
198701 41.613761 300.502150 277.984377 271.442623
198702 41.095397 300.762480 278.213494 271.669115
198703 43.783463 301.124860 278.492767 271.923205
198704 43.918745 301.423995 278.869841 272.312803
198705 45.353082 301.352589 278.817768 272.258015
198706 44.495485 300.848305 278.578010 272.037833
198707 42.877521 300.194001 278.298648 271.794083
198708 42.189245 299.911141 278.117628 271.607481
198709 41.995575 299.994002 278.023437 271.475151
198710 41.281943 300.326948 277.749564 271.121478
198711 41.618194 300.545672 277.778841 271.109352
198712 41.487129 300.550268 277.810014 271.181112
198801 41.123001 300.568936 277.785726 271.182419
198802 41.390822 300.677743 278.206395 271.672020
198803 42.731744 301.172488 278.346290 271.735857
198804 44.567777 301.608624 278.471340 271.828066
198805 45.386063 301.455026 278.790340 272.217015
198806 44.600267 300.921534 278.781452 272.282638
198807 43.531976 300.385416 278.454215 271.947011
198808 42.869325 300.106400 278.402633 271.914899
198809 42.825816 300.111245 278.319015 271.819342
198810 42.039079 300.449039 277.983138 271.392957
198811 42.826278 300.780358 278.127743 271.519056
198812 42.424881 300.875083 278.075611 271.452893
