time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 36.830829 299.291445 276.225769 269.528147
198002 37.217139 299.365363 276.441045 269.779957
198003 38.620569 299.642265 276.638556 269.955170
198004 38.393543 299.988090 276.679457 269.909036
198005 39.242443 299.886130 276.603771 269.825389
198006 37.961935 299.462307 276.416031 269.694318
198007 37.854941 299.076853 276.322288 269.631664
198008 37.792334 298.874614 276.494517 269.862523
198009 38.584994 298.975298 276.520900 269.865537
198010 38.633262 299.261504 276.559507 269.880947
198011 38.905489 299.554522 276.688317 269.978031
198012 37.918521 299.692980 276.661423 269.966923
198101 38.917897 299.697104 276.810241 270.185731
198102 38.671250 299.880751 277.234133 270.637116
198103 39.117004 300.128117 277.301674 270.706679
198104 40.736750 300.439876 277.453093 270.797857
198105 41.326161 300.334942 277.419478 270.751556
198106 40.419471 299.874143 277.303441 270.685040
198107 39.284705 299.428320 277.100614 270.509691
198108 40.526697 299.251006 277.031036 270.443132
198109 38.814986 299.290093 277.138077 270.564119
198110 38.357909 299.542126 276.852421 270.194165
198111 39.155879 299.828806 276.978447 270.302345
198112 39.270537 299.771513 277.016556 270.376580
198201 38.216495 299.719900 276.848660 270.238997
198202 38.786380 299.913703 276.918884 270.264621
198203 39.051116 300.204406 277.327086 270.673877
198204 40.723282 300.400695 277.572302 270.917744
198205 41.104368 300.328360 277.145850 270.433931
198206 40.286310 299.900102 277.079362 270.399906
198207 40.046439 299.421232 277.013012 270.401475
198208 39.625617 299.190923 277.059762 270.493452
198209 38.509154 299.261132 276.906124 270.324942
198210 38.518233 299.535361 276.980378 270.333575
198211 38.492982 299.646642 276.813616 270.125150
198212 38.385844 299.587848 276.734747 270.073268
198301 37.350294 299.575875 276.593677 269.959661
198302 37.417198 299.810796 276.724882 270.055423
198303 38.695962 300.070833 277.130219 270.450327
198304 39.982199 300.332780 277.261079 270.544599
198305 40.852489 300.135412 277.289898 270.599274
198306 38.731289 299.552504 276.903725 270.262294
198307 38.874074 299.150883 276.540636 269.894798
198308 38.024512 298.929591 276.715209 270.109717
198309 38.114547 298.934907 276.579089 269.957099
198310 36.975084 299.155974 276.380656 269.681855
198311 37.780736 299.360221 276.514365 269.801962
198312 36.516032 299.410366 276.092739 269.352979
198401 37.023174 299.316476 276.411820 269.757611
198402 36.163937 299.493990 276.272391 269.592291
198403 38.113894 299.788586 276.626912 269.914960
198404 38.925807 300.093914 276.862077 270.136225
198405 39.138114 300.068532 276.824362 270.081719
198406 39.228503 299.558777 276.719696 270.036468
198407 38.985223 299.120708 276.501540 269.854198
198408 38.461952 298.879716 276.487172 269.878212
198409 38.233417 299.013905 276.474451 269.792619
198410 38.351095 299.253651 276.456781 269.777628
198411 38.299240 299.447228 276.490968 269.784134
198412 37.551617 299.504338 276.647376 269.974607
198501 38.071345 299.432336 276.514839 269.884106
198502 37.416659 299.675069 276.749291 270.131315
198503 38.825667 300.125629 276.872712 270.186906
198504 40.326786 300.452285 277.332749 270.644599
198505 41.126848 300.400194 277.386326 270.689690
198506 40.602920 300.007486 277.153947 270.510315
198507 40.187471 299.527790 277.220056 270.658319
198508 39.455558 299.404831 277.190946 270.620729
198509 40.485801 299.492992 277.301871 270.747552
198510 40.368297 299.704685 277.186711 270.569306
198511 39.901189 299.946812 277.123540 270.459592
198512 40.140331 299.880658 277.338361 270.753458
198601 39.663537 299.774866 277.107983 270.553433
198602 38.825851 299.924761 277.108780 270.510508
198603 39.759838 300.266389 277.405427 270.778779
198604 41.165559 300.485471 277.708670 271.078974
198605 40.894215 300.310424 277.380319 270.714374
198606 40.019706 299.816084 276.981663 270.303119
198607 39.319383 299.354023 276.866267 270.245040
198608 38.997973 299.041028 276.991119 270.443950
198609 38.744061 299.051102 276.811798 270.214053
198610 37.347571 299.270016 276.582154 269.907867
198611 38.422860 299.487484 276.644201 269.948718
198612 37.465273 299.575554 276.344257 269.637686
198701 36.901139 299.569679 276.305205 269.609866
198702 38.055151 299.712762 276.722150 270.055681
198703 38.688783 299.963520 276.995247 270.370585
198704 39.341867 300.349830 277.152494 270.430706
198705 40.561847 300.344092 277.178284 270.458999
198706 40.200635 299.822568 277.101367 270.457601
198707 39.376403 299.323569 276.814701 270.200186
198708 39.467931 299.094786 277.001433 270.442002
198709 38.184965 299.118242 276.913624 270.328155
198710 38.692568 299.393433 276.877852 270.259328
198711 38.552432 299.602450 276.782640 270.100448
198712 37.654717 299.652419 276.579726 269.895522
198801 37.362322 299.622888 276.733315 270.105883
198802 38.058067 299.744985 276.928727 270.298994
198803 39.318361 300.097188 277.192244 270.530759
198804 40.616732 300.425452 277.455342 270.793509
198805 41.292698 300.394805 277.597322 270.951075
198806 40.478603 299.981282 277.478853 270.885931
198807 40.695002 299.563556 277.276330 270.700296
198808 40.002233 299.444960 277.280739 270.722696
198809 40.552043 299.577067 277.527793 270.974360
198810 40.867190 299.817739 277.480932 270.885378
198811 40.216898 300.028073 277.422876 270.788631
198812 39.753471 300.003730 277.349621 270.755300
198901 39.080686 300.097476 277.295160 270.685622
198902 39.697037 300.186091 277.460601 270.874815
198903 40.860483 300.440899 277.903303 271.352005
198904 42.365889 300.669471 278.010143 271.417563
198905 41.721009 300.551767 277.851070 271.220806
