time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 41.821351 300.683512 277.201726 270.773249
198002 42.278697 300.744189 277.371935 270.973673
198003 42.731908 300.870673 277.558747 271.126395
198004 42.559953 301.020513 277.447566 270.996297
198005 43.068739 300.943975 277.199812 270.712144
198006 43.011691 300.561203 276.957393 270.516918
198007 41.902673 300.146196 276.634857 270.204733
198008 41.433158 299.954223 276.535355 270.104220
198009 41.722131 299.996566 276.592003 270.161696
198010 40.465647 300.215238 276.729155 270.246019
198011 40.898318 300.357796 276.695497 270.181420
198012 40.281826 300.369635 276.622399 270.138912
198101 40.432415 300.356484 276.559025 270.087310
198102 40.788029 300.427443 276.696562 270.236323
198103 41.778145 300.729585 276.963588 270.492171
198104 43.228851 300.934545 277.260466 270.749411
198105 42.294577 300.942857 276.957187 270.440769
198106 42.754053 300.655680 276.868605 270.414087
198107 42.035273 300.193319 276.528197 270.141583
198108 41.344097 299.993446 276.420324 269.991053
198109 41.075662 300.131106 276.674393 270.197007
198110 40.829065 300.375433 276.865907 270.367986
198111 41.836517 300.547481 276.990707 270.493317
198112 41.648247 300.614873 277.123474 270.646062
198201 41.763264 300.682804 277.303689 270.877772
198202 42.520024 300.739792 277.458717 271.005248
198203 42.294769 300.916104 277.574567 271.131533
198204 43.420099 300.998514 277.561582 271.121941
198205 42.906430 301.004303 277.403208 270.947479
198206 43.038137 300.728267 277.190437 270.789259
198207 42.013334 300.302995 276.673234 270.265980
198208 41.734484 300.084874 276.645296 270.204858
198209 41.084387 300.163629 276.865795 270.426970
198210 41.117595 300.432067 276.868309 270.365007
198211 41.990447 300.560531 277.070336 270.611915
198212 41.945542 300.547119 277.119794 270.691791
198301 41.213817 300.469982 276.955832 270.499072
198302 41.127845 300.480361 277.002813 270.568582
198303 41.455202 300.621820 277.131177 270.652568
198304 42.492450 300.835190 277.117565 270.621070
198305 43.038954 300.771047 276.904955 270.414254
198306 41.550177 300.474085 276.678181 270.177006
198307 40.736721 300.104030 276.211782 269.760149
198308 41.922482 299.993778 276.409985 269.972596
198309 40.819591 300.168134 276.696314 270.233950
198310 41.752210 300.500624 276.954087 270.462746
198311 42.281969 300.639031 277.019946 270.536763
198312 42.518211 300.677558 277.157977 270.670115
198401 41.002322 300.682766 277.049012 270.619500
198402 42.460537 300.680242 277.318587 270.906094
198403 42.752473 300.964015 277.499103 271.043581
198404 43.804996 301.161114 277.534456 271.084115
198405 42.296481 301.036739 277.315160 270.853163
198406 41.491535 300.744615 277.049434 270.603831
198407 42.307264 300.240693 276.652642 270.297953
198408 42.643765 299.940548 276.824227 270.455752
198409 40.923077 299.930479 276.799710 270.370886
198410 40.564513 300.181031 276.884443 270.410250
198411 40.826197 300.372564 276.808205 270.305337
198412 41.487785 300.368958 276.850257 270.378131
198501 41.302373 300.431209 276.888030 270.432723
198502 40.997069 300.543703 277.037246 270.622329
198503 42.324786 300.785115 277.224256 270.776591
198504 43.451146 300.854236 277.379990 270.931112
198505 43.188057 300.719298 277.194120 270.738338
198506 41.996603 300.396803 276.727373 270.283612
198507 41.310502 300.033267 276.365745 269.933135
198508 41.081013 299.843297 276.265441 269.861584
198509 39.995850 299.869339 276.396770 269.959800
198510 39.812991 300.151009 276.636792 270.123401
198511 40.727655 300.313671 276.732806 270.244498
198512 40.902627 300.272869 276.770773 270.317610
198601 41.533637 300.182405 276.651050 270.225660
198602 40.256316 300.229923 276.610982 270.131885
198603 40.559318 300.514196 276.663703 270.137581
198604 41.796921 300.828317 277.021633 270.453008
198605 42.710468 300.882261 276.888064 270.341091
198606 42.560390 300.601311 276.832920 270.383976
198607 41.826288 300.193034 276.408995 269.967880
198608 41.744054 300.035190 276.504866 270.064658
198609 40.553768 300.089377 276.729478 270.268765
198610 40.930286 300.344102 277.021330 270.523899
198611 41.684252 300.576742 276.844619 270.301316
198612 42.909129 300.626483 277.070992 270.591360
198701 41.742758 300.704747 277.343221 270.923140
198702 41.421392 300.858226 277.509384 271.092517
198703 42.578161 301.132474 277.760290 271.336571
198704 44.683739 301.324042 277.951292 271.531520
198705 44.807703 301.224153 277.773357 271.373342
198706 44.292314 300.823868 277.325780 270.935865
198707 42.632123 300.349914 276.887575 270.512618
198708 42.470665 300.052356 276.894216 270.558681
198709 41.425209 300.118286 276.851162 270.398645
198710 40.708348 300.419896 276.978619 270.474698
198711 41.554080 300.582939 276.996918 270.515180
198712 41.019054 300.634696 276.970720 270.461136
198801 42.201856 300.604911 276.999057 270.528027
198802 41.460632 300.627003 277.185766 270.780645
198803 41.929605 300.775795 277.175322 270.689951
198804 43.154303 300.958555 277.276560 270.794928
198805 43.734919 300.802598 277.188197 270.733305
198806 42.239751 300.454938 276.771848 270.318154
198807 40.980555 300.051151 276.202682 269.799825
198808 41.886786 300.004080 276.362167 269.932685
198809 41.500258 300.231080 276.782614 270.315578
198810 41.868567 300.563464 277.088474 270.617480
198811 42.811577 300.767336 277.213810 270.724662
198812 43.658154 300.767456 277.279324 270.811238
198901 43.069480 300.806581 277.318660 270.893617
198902 42.569550 300.967786 277.453610 271.009243
198903 42.469322 301.300438 277.911803 271.478992
198904 44.739105 301.483611 278.024381 271.630598
198905 44.974808 301.349067 277.874431 271.463984
198906 44.459792 300.908952 277.449911 271.076126
198907 42.869799 300.398933 277.049815 270.680912
198908 42.897286 300.165492 276.903542 270.533868
198909 41.904278 300.257588 277.033441 270.605494
198910 41.589784 300.475256 277.208548 270.748661
198911 41.402752 300.729166 277.207743 270.704250
198912 43.064965 300.757452 277.408886 270.963117
199001 42.853407 300.738556 277.511349 271.122066
199002 41.889842 300.940818 277.531213 271.099116
199003 43.292428 301.179935 277.848827 271.432169
199004 44.776693 301.357172 277.967135 271.571013
199005 45.096829 301.187412 277.831093 271.464735
199006 43.860053 300.778440 277.223967 270.835468
199007 42.416479 300.331946 276.921047 270.570920
199008 42.439883 300.045022 276.815264 270.438072
199009 41.428583 300.121659 276.931452 270.509482
199010 41.210247 300.387253 277.057293 270.569203
199011 41.406901 300.571175 277.041399 270.557890
199012 41.581015 300.559494 277.078675 270.646451
199101 41.343972 300.540331 276.841879 270.408607
199102 41.539067 300.611395 277.103610 270.683842
199103 41.459240 300.920182 277.170877 270.675346
199104 43.987669 301.226182 277.509306 271.024140
199105 44.288795 301.184563 277.566287 271.151978
199106 43.991709 300.844612 277.309137 270.911018
199107 42.624805 300.363976 276.908042 270.549185
199108 42.730949 300.123160 276.749151 270.361007
199109 42.355399 300.159084 276.954882 270.496457
199110 41.568095 300.424703 277.020417 270.508145
199111 42.704691 300.660537 276.952568 270.399877
199112 42.853940 300.634248 277.141945 270.647049
199201 42.554462 300.674485 277.414980 270.969239
199202 42.026293 300.755917 277.790465 271.400784
199203 42.342344 301.050545 277.692507 271.238985
199204 44.065145 301.340651 277.697686 271.239276
199205 44.626643 301.293801 277.575244 271.141012
199206 43.681537 300.843888 277.300036 270.906703
199207 42.220395 300.301926 276.906591 270.563545
199208 41.558562 300.010900 276.746320 270.344712
199209 42.037198 300.102334 276.751835 270.299285
199210 41.884767 300.371261 276.896401 270.398516
199211 41.822448 300.569876 276.906924 270.408806
199212 41.671967 300.633577 276.947165 270.472811
199301 41.998372 300.617772 277.205125 270.794767
199302 41.317183 300.713998 277.103880 270.667168
199303 41.677868 300.920684 277.295908 270.844628
199304 43.328185 301.061481 277.355914 270.864861
199305 42.942102 300.968048 277.229354 270.782295
199306 42.208461 300.551707 276.872400 270.471128
199307 42.322487 300.119177 276.674830 270.296680
199308 41.727599 299.934728 276.672422 270.316014
199309 41.408451 299.957999 276.652352 270.241524
199310 40.417688 300.219242 276.775939 270.327071
199311 41.400208 300.360597 276.852348 270.375741
199312 40.318257 300.297160 276.879152 270.427654
199401 39.544609 300.301483 276.740706 270.277402
199402 40.930429 300.425740 276.578884 270.100061
199403 42.252246 300.773388 277.019224 270.515703
199404 43.136685 301.038500 277.306939 270.828536
199405 43.415751 301.044043 277.267933 270.812917
199406 43.477407 300.784977 277.083987 270.657174
199407 42.730880 300.352307 276.871069 270.469888
199408 42.042028 300.122464 276.891098 270.506201
199409 42.204275 300.217600 276.944458 270.489759
199410 41.926233 300.468930 277.047183 270.577726
199411 42.804411 300.625419 277.191980 270.709629
199412 42.426509 300.741768 277.318865 270.870397
199501 42.701626 300.762037 277.476661 271.094589
199502 43.499602 300.752222 277.481428 271.102746
199503 43.160324 300.855506 277.513031 271.091781
199504 43.509201 301.033994 277.489688 271.032037
199505 43.698805 300.915279 277.246339 270.793964
199506 42.433879 300.521339 277.080590 270.666897
199507 41.265170 300.150584 276.487221 270.040863
199508 41.517096 299.970447 276.527583 270.110626
199509 41.051863 300.071063 276.651926 270.212619
199510 41.479059 300.295877 276.779119 270.315499
199511 41.443359 300.464138 276.995894 270.531926
199512 41.202725 300.471017 276.889832 270.420731
199601 40.659993 300.419675 276.688246 270.229553
199602 41.178235 300.489271 276.839005 270.396877
199603 41.980658 300.717489 277.037671 270.533812
199604 43.374839 300.893950 277.259491 270.771116
199605 42.749049 300.894937 277.075231 270.596540
199606 43.001535 300.570087 276.889394 270.475808
199607 42.112805 300.261633 276.672069 270.238405
199608 42.701404 300.057831 276.850028 270.451629
199609 41.335676 300.162753 276.852958 270.402802
199610 41.397512 300.376929 276.904847 270.399080
199611 42.019441 300.563589 277.068234 270.581448
199612 41.970397 300.613158 277.065787 270.585779
199701 42.632965 300.550802 277.391235 270.986909
199702 41.546377 300.610805 277.385669 270.993301
199703 42.735768 300.830543 277.521293 271.096220
199704 43.737510 301.130497 277.721521 271.291246
199705 44.043489 301.045741 277.458369 271.006422
199706 42.730709 300.748986 277.131880 270.722974
199707 43.078437 300.355705 276.797914 270.417429
199708 42.443036 300.091584 276.885118 270.517129
199709 41.923822 300.113727 276.944956 270.528651
199710 42.024650 300.424445 277.050568 270.573083
199711 41.872221 300.650089 277.079914 270.581833
199712 41.926350 300.690695 277.119013 270.666669
199801 42.270283 300.674804 277.106250 270.670544
199802 41.731575 300.742001 277.447913 271.015651
199803 42.615955 301.087975 277.406869 270.935868
199804 44.881609 301.360437 277.847430 271.406519
199805 45.552229 301.345961 277.957069 271.570325
199806 44.372979 300.955474 277.568356 271.211358
199807 42.970306 300.557507 277.191535 270.841893
199808 43.220758 300.332401 277.102893 270.719677
199809 42.864588 300.328553 277.265850 270.866734
199810 42.625505 300.615019 277.458562 270.999934
199811 43.262358 300.754388 277.364352 270.908442
199812 42.576006 300.789324 277.454193 270.992153
199901 42.777748 300.830883 277.400258 270.980228
199902 43.156339 300.986047 277.846537 271.462399
199903 43.619064 301.227589 278.272666 271.932523
199904 44.706105 301.481099 278.074426 271.642600
199905 45.069375 301.276626 278.011524 271.662069
199906 44.832291 300.748611 277.443011 271.119713
199907 42.914389 300.149590 276.806596 270.452764
199908 41.815951 299.898915 276.657280 270.262102
199909 41.345608 299.975308 276.671483 270.247405
199910 40.626520 300.268806 276.824062 270.352303
199911 41.099860 300.355881 276.758615 270.247336
199912 40.662059 300.287944 276.632708 270.154142
200001 40.981595 300.194563 276.507611 270.055516
200002 40.294644 300.294660 276.452814 269.957671
200003 41.368507 300.539976 276.810728 270.303191
200004 42.462136 300.768796 276.973717 270.447051
200005 42.561395 300.732685 276.939474 270.436821
200006 41.940055 300.371511 276.682155 270.256539
200007 41.553636 299.999196 276.379222 269.931052
200008 42.166249 299.842373 276.309935 269.884873
200009 40.772353 299.960945 276.651337 270.177784
200010 40.928684 300.259333 276.733509 270.243016
