time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 43.719343 299.427666 277.222360 270.755078
198002 43.401512 299.450655 277.360276 270.897427
198003 44.034070 299.786596 277.428041 270.900162
198004 45.529806 300.106394 277.312051 270.661250
198005 44.909014 300.180879 277.197016 270.519574
198006 43.090235 299.519373 276.928885 270.308534
198007 42.325042 298.821673 276.532067 269.941505
198008 41.519475 298.707246 276.520113 269.951412
198009 41.966289 298.786486 276.755599 270.189682
198010 42.942584 299.351163 276.840227 270.213568
198011 42.989893 299.712202 277.059322 270.448001
198012 43.836040 299.682938 277.027731 270.469116
198101 42.755150 299.715324 277.035399 270.496332
198102 43.693154 299.567174 277.520631 271.049578
198103 45.349080 299.958277 277.641267 271.115051
198104 45.859954 300.505370 277.599860 270.955026
198105 46.441963 300.645484 277.529377 270.871188
198106 44.194098 299.995175 277.448959 270.888847
198107 43.893578 299.443972 277.336828 270.821034
198108 43.572846 299.090866 277.267194 270.790923
198109 44.299299 299.163030 277.281562 270.761646
198110 43.881098 299.698003 277.271529 270.697371
198111 44.834883 300.110969 277.320865 270.717460
198112 45.099686 300.115297 277.624371 271.106288
198201 43.904695 299.936219 277.660008 271.219533
198202 45.067012 299.877521 277.948843 271.529492
198203 45.437360 300.312166 278.184216 271.713907
198204 47.042269 300.847455 278.043806 271.468833
198205 47.119345 300.456897 277.762663 271.163765
198206 44.403361 299.850265 277.415047 270.852079
198207 43.277476 299.164377 276.955629 270.400627
198208 42.475321 298.738386 276.801147 270.264989
198209 42.551199 298.870061 276.878797 270.306404
198210 42.034016 299.196273 276.784998 270.152893
198211 42.966237 299.618792 276.722434 270.047165
198212 42.745495 299.628620 276.911832 270.323250
198301 41.835639 299.464577 277.056326 270.558518
198302 42.668260 299.358057 277.138470 270.628947
198303 43.367925 299.835512 277.208913 270.634770
198304 45.182216 300.203741 277.302329 270.638903
198305 44.708951 300.139449 277.203583 270.548995
198306 43.310385 299.559064 276.963470 270.386242
198307 42.210950 298.918042 276.607475 270.038414
198308 40.921006 298.747563 276.539750 269.958724
198309 41.750596 298.826698 276.739318 270.172625
198310 42.527918 299.367196 276.668095 270.011169
198311 43.744930 299.889926 276.892992 270.226997
198312 44.767127 299.924796 277.538330 271.028107
198401 43.424107 299.824593 277.544109 271.070553
198402 44.280351 299.948382 277.863671 271.425596
198403 46.140329 300.272802 278.120376 271.670989
198404 46.485520 300.560452 277.842951 271.270545
198405 47.517485 300.289539 277.628712 271.013546
198406 43.732391 299.784690 277.047427 270.417259
198407 42.722519 299.051269 276.673906 270.072338
198408 41.599468 298.719979 276.745637 270.215244
198409 41.734380 298.852165 276.828870 270.261375
198410 42.425348 299.164357 276.710835 270.087595
198411 42.294766 299.576934 276.745899 270.078943
198412 42.541856 299.687083 276.804819 270.190559
198501 43.210062 299.405375 277.072102 270.542723
198502 43.457258 299.302110 277.404944 270.953911
198503 42.717240 299.604164 277.287954 270.743091
198504 44.557819 299.885697 277.226500 270.588259
198505 44.181090 299.958041 276.968116 270.264214
198506 42.956920 299.372548 276.670829 270.038619
198507 41.590240 298.734352 276.293549 269.709486
198508 41.718363 298.522390 276.435648 269.859870
198509 40.998164 298.497190 276.459099 269.857559
198510 41.854598 299.006168 276.402335 269.722584
198511 42.525462 299.378898 276.646995 269.999364
198512 41.965707 299.552892 276.532894 269.928194
198601 42.194012 299.372889 276.870211 270.355295
198602 41.755374 299.236492 277.047695 270.533056
198603 42.484488 299.667395 277.180399 270.598418
198604 43.635558 300.134885 277.017912 270.304976
198605 45.033978 300.037300 277.045525 270.353904
198606 44.097022 299.551997 277.060740 270.482244
198607 42.813281 298.900798 276.789410 270.240668
198608 42.813053 298.646306 276.699912 270.170946
198609 42.341003 298.781791 276.809869 270.263206
198610 43.145873 299.174555 276.884057 270.273904
198611 42.763639 299.547173 276.750600 270.106703
198612 41.658140 299.867337 276.795716 270.209175
198701 42.564132 299.809579 276.999601 270.443664
198702 44.524519 299.761162 277.671618 271.199758
198703 44.816165 299.924823 277.745725 271.232782
198704 45.299293 300.356612 277.509712 270.878837
198705 45.984633 300.141916 277.276940 270.622806
198706 43.533264 299.631017 276.879114 270.224287
198707 42.347135 299.059000 276.877641 270.315730
198708 41.974412 298.766792 276.769262 270.235950
198709 42.480637 298.851611 276.858789 270.283206
198710 41.896250 299.371073 276.855922 270.244089
198711 42.435191 299.676405 276.994336 270.371552
198712 43.622550 299.804475 277.098133 270.516998
198801 42.921409 299.729260 277.275668 270.792151
198802 43.129251 299.695446 277.689133 271.244137
198803 45.159270 300.009798 277.712802 271.183405
198804 45.355606 300.446065 277.568671 270.965544
198805 46.671791 300.137748 277.507479 270.877496
198806 44.020925 299.724046 277.168295 270.558774
198807 43.341366 299.244792 277.088989 270.558898
198808 41.778337 298.779720 277.056934 270.561200
198809 42.229589 298.954194 277.130371 270.607263
198810 43.064408 299.449353 276.928887 270.322673
198811 43.643080 299.918117 277.163896 270.543941
198812 44.466696 300.061188 277.478744 270.938717
198901 44.327074 299.856157 277.645526 271.209993
198902 44.925593 299.827973 277.815089 271.406238
198903 45.691241 300.302572 278.138902 271.663029
198904 46.617441 300.634439 278.051337 271.506218
198905 46.672536 300.503687 277.849381 271.252457
198906 45.749731 300.029271 277.703149 271.153308
198907 44.286815 299.374987 277.332606 270.829516
198908 43.989802 299.056164 277.251297 270.763723
198909 43.313722 299.188053 277.213031 270.682267
198910 44.146155 299.637438 277.198903 270.601889
198911 45.228769 300.075266 277.561027 270.995161
198912 45.328567 300.328281 277.805570 271.316723
199001 44.175654 300.309989 277.741184 271.286492
199002 44.771205 300.265379 278.152550 271.746981
199003 45.899719 300.652725 278.335337 271.869401
199004 48.279525 301.067147 278.342926 271.795786
199005 48.798430 300.723790 278.414244 271.913260
199006 45.443764 300.159759 277.685595 271.133619
199007 43.776721 299.471776 277.347604 270.848742
199008 44.034690 299.092674 277.207961 270.723548
199009 44.537452 299.242757 277.470423 270.986251
199010 45.540647 299.782696 277.573593 271.020375
199011 44.271865 300.230705 277.591862 271.013592
199012 44.943978 300.207109 277.775360 271.264333
199101 44.794697 300.092229 277.730983 271.296567
199102 44.609208 300.029672 278.075964 271.655982
199103 46.472502 300.394785 278.174442 271.697869
199104 47.502787 300.683562 278.241458 271.684115
199105 47.466688 300.757038 278.038511 271.443240
199106 45.861851 300.136529 277.719502 271.187484
199107 44.651274 299.343799 277.357348 270.882595
199108 43.081034 298.886564 277.164516 270.676670
199109 42.442296 298.910166 277.018215 270.473598
199110 42.954343 299.345903 276.874165 270.227790
199111 44.534180 299.770208 277.075708 270.440876
199112 43.321906 299.894036 277.133434 270.553754
199201 43.244540 299.663848 277.165948 270.656060
199202 44.321069 299.425332 277.563159 271.100423
199203 44.346166 299.735838 277.461658 270.904423
199204 45.003039 300.198437 277.372838 270.722614
199205 44.751097 300.207677 277.109051 270.410824
199206 43.844394 299.336309 276.905864 270.288719
199207 42.150995 298.731869 276.481333 269.886691
199208 42.093708 298.477682 276.453547 269.895365
199209 41.770265 298.608926 276.558477 269.983007
199210 41.415293 299.037091 276.490175 269.841418
199211 42.551908 299.345693 276.672811 270.011166
199212 42.268100 299.453392 276.691946 270.086878
199301 42.738182 299.478400 277.021289 270.478167
199302 42.968420 299.502351 277.328134 270.848694
199303 44.078608 299.718490 277.388674 270.835255
199304 44.658935 300.046998 277.167044 270.515071
199305 43.934765 300.066350 276.863494 270.145187
199306 43.867080 299.247090 276.685589 270.043935
199307 40.984388 298.720917 276.322841 269.731220
199308 41.233210 298.504756 276.493255 269.916184
199309 42.235715 298.601525 276.596193 270.006452
199310 42.713872 299.176230 276.574505 269.918464
199311 43.334730 299.605085 276.814530 270.155161
199312 41.979038 299.835291 276.892136 270.280606
199401 43.068916 299.930107 277.311810 270.784366
199402 43.598112 299.869988 277.723987 271.277701
199403 45.115416 300.184273 277.922710 271.430826
199404 46.175985 300.538498 277.830615 271.229574
199405 47.330816 300.482893 277.697013 271.061539
199406 44.205665 299.746099 277.335668 270.758911
199407 42.781538 299.222472 277.019685 270.474715
199408 42.866254 298.810464 277.160510 270.666259
199409 42.840050 298.870704 277.081382 270.575866
199410 42.908348 299.475458 277.019868 270.409643
199411 43.942488 299.912042 277.315597 270.715578
199412 43.635212 300.021861 277.360175 270.808791
199501 42.809111 299.669871 277.383462 270.895226
199502 43.464421 299.690096 277.548797 271.089687
199503 45.081222 300.102767 277.789865 271.286018
199504 46.127306 300.323775 277.815900 271.239291
199505 46.650327 300.318228 277.545797 270.923208
199506 44.513913 299.499779 277.128043 270.553521
199507 42.188113 298.879186 276.704126 270.157199
199508 41.735742 298.632245 276.642538 270.093501
199509 42.230394 298.729521 276.841376 270.289908
199510 42.287741 299.361268 276.812631 270.177077
199511 44.102967 299.809341 277.044260 270.412103
199512 44.405508 299.777138 277.314787 270.775629
199601 43.601224 299.708714 277.250032 270.760120
199602 43.226386 299.693583 277.679068 271.224700
199603 43.698021 300.263257 277.764109 271.230617
199604 46.186343 300.634092 277.867636 271.272615
199605 46.789221 300.527567 277.718120 271.090974
199606 44.592891 299.648815 277.530267 271.020133
199607 42.717287 299.032685 276.923096 270.382925
199608 42.403810 298.733470 276.938238 270.430499
199609 43.030708 298.751749 276.915595 270.391887
199610 43.052387 299.283650 276.945473 270.330182
199611 43.270797 299.787079 277.022968 270.385837
199612 43.132427 299.909203 277.180365 270.599430
199701 44.334580 299.598830 277.300550 270.801768
199702 43.533756 299.640037 277.565803 271.119646
199703 44.786303 300.054380 277.644219 271.126280
199704 45.704404 300.385564 277.620180 270.989079
199705 46.561853 300.234686 277.690159 271.075693
199706 43.132145 299.622308 277.105296 270.511903
199707 42.287555 299.039887 276.899023 270.337865
199708 41.494117 298.796087 276.841842 270.305576
199709 43.707869 298.992145 277.101187 270.552904
199710 43.968149 299.506621 277.038466 270.439423
199711 44.736702 300.140173 277.342248 270.746052
199712 44.691776 300.222349 277.495537 270.967114
199801 44.834439 300.038577 277.730923 271.298185
199802 45.065397 300.003468 277.920508 271.470498
199803 46.751746 300.275155 278.162536 271.698636
199804 47.732791 300.708737 278.058490 271.486795
199805 48.241757 300.614455 277.998184 271.428905
199806 45.625845 300.072646 277.691948 271.166173
199807 43.390291 299.489573 277.409937 270.891953
199808 43.234105 299.105059 277.339434 270.876186
199809 44.064231 299.249052 277.386817 270.870239
199810 43.833210 299.969753 277.402490 270.819188
199811 46.180952 300.337074 277.798580 271.239275
199812 45.296485 300.417614 277.983808 271.480451
199901 45.194875 300.136681 278.031331 271.620741
199902 44.895336 300.358254 278.126123 271.703324
199903 47.188230 300.780244 278.690583 272.276576
199904 49.140356 301.169477 278.695681 272.193947
199905 49.563774 301.090104 278.704427 272.215235
199906 47.501715 300.291548 278.246789 271.802680
199907 44.726310 299.548251 277.683113 271.220823
199908 44.330243 299.165195 277.520376 271.069739
199909 44.678494 299.100265 277.464614 270.979100
199910 44.074386 299.672955 277.348698 270.784246
199911 45.375513 300.166623 277.527061 270.951245
199912 45.563781 300.164827 277.955720 271.491167
200001 45.161643 299.942191 277.660991 271.197349
