time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 41.453720 300.794844 277.035024 270.524877
198002 41.417525 300.802263 277.377380 270.887679
198003 42.034667 300.895758 277.608366 271.131440
198004 42.702685 301.099345 277.631577 271.053538
198005 43.660214 301.131502 277.245240 270.603182
198006 42.995758 300.858421 277.180244 270.582291
198007 42.950831 300.488904 277.038387 270.496451
198008 42.644271 300.352640 277.056015 270.511324
198009 43.143940 300.404097 277.257645 270.722013
198010 42.512692 300.489303 277.309502 270.744799
198011 41.960311 300.689426 277.179738 270.574166
198012 41.623508 300.717879 277.155666 270.585461
198101 41.427067 300.760308 277.252648 270.756262
198102 41.309625 300.917362 277.480092 271.009615
198103 42.294112 301.111201 277.665918 271.144872
198104 43.512267 301.296659 277.759052 271.191393
198105 44.190584 301.415831 277.447983 270.819178
198106 44.083274 301.177077 277.363984 270.749660
198107 43.598222 300.683328 277.388093 270.861226
198108 43.210761 300.406196 277.353653 270.857673
198109 42.794888 300.466191 277.319639 270.817249
198110 42.034542 300.655765 277.283624 270.716977
198111 42.536298 300.877101 277.311366 270.713903
198112 41.976211 301.000055 277.444431 270.902036
198201 42.706966 301.001776 277.589998 271.098643
198202 42.650765 301.163722 277.928315 271.475720
198203 43.048632 301.342122 278.060082 271.581272
198204 43.724465 301.526357 277.886954 271.327782
198205 44.474614 301.579774 277.766393 271.170592
198206 44.299668 301.248428 277.675553 271.119991
198207 43.266608 300.851367 277.386955 270.858230
198208 43.781587 300.672710 277.606422 271.110848
198209 43.736424 300.705254 277.608755 271.101948
198210 43.429573 300.887832 277.688048 271.156583
198211 43.609060 301.060432 277.768270 271.237582
198212 43.667468 301.200256 277.686115 271.149802
198301 43.975413 301.214758 277.785588 271.331940
198302 43.428364 301.294297 277.951655 271.522589
198303 43.500686 301.465590 278.130883 271.646356
198304 44.076278 301.632080 278.112378 271.569027
198305 44.891976 301.537696 277.869881 271.310009
198306 44.667371 301.171907 277.686764 271.167792
198307 43.132440 300.818666 277.491207 270.983969
198308 43.584432 300.574262 277.619406 271.139284
198309 42.161615 300.567763 277.452722 270.969030
198310 42.942123 300.777370 277.541918 270.986704
198311 43.331115 300.911140 277.682213 271.160208
198312 42.530643 300.995684 277.430045 270.876224
198401 41.394482 301.071573 277.621648 271.156063
198402 42.580288 301.209101 277.859038 271.423576
198403 43.633014 301.327241 278.036451 271.571463
198404 43.823523 301.367332 277.859858 271.326267
198405 44.016222 301.224994 277.528108 270.926665
198406 43.607955 300.887635 277.591956 271.049815
198407 42.276712 300.437502 277.119965 270.593773
198408 42.657808 300.159995 277.333706 270.851653
198409 41.156700 300.128335 277.115980 270.595002
198410 41.875310 300.336056 276.903504 270.308059
198411 41.420171 300.462677 277.046666 270.441465
198412 41.270347 300.588865 276.890357 270.303458
