time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 41.405942 300.784996 277.324202 270.802157
198002 41.526435 300.779160 277.324945 270.820994
198003 42.423786 300.913853 277.541893 270.975932
198004 42.928340 301.133533 277.491001 270.871620
198005 43.347998 301.073530 277.448566 270.824637
198006 42.513288 300.710028 277.401377 270.834758
198007 41.181663 300.233063 277.011074 270.472660
198008 42.115158 300.038358 276.977555 270.430128
198009 41.132459 299.985180 276.974858 270.432313
198010 41.776840 300.095921 277.087025 270.489849
198011 40.580521 300.262848 277.029145 270.423536
198012 39.466834 300.439406 276.787793 270.164456
198101 40.053368 300.471852 276.788867 270.223829
198102 41.821350 300.571554 277.058864 270.506765
198103 41.467858 300.705029 277.302670 270.739997
198104 42.017780 301.019126 277.250112 270.618205
198105 42.568128 301.060647 277.266768 270.628678
198106 41.805314 300.736451 276.998472 270.363776
198107 42.033868 300.409477 276.798877 270.197277
198108 42.491409 300.198618 277.044520 270.499725
198109 42.446369 300.238546 277.157560 270.614446
198110 42.310329 300.371764 277.061653 270.462780
198111 41.245478 300.435906 277.031512 270.421198
198112 40.754825 300.369388 276.926467 270.343199
198201 40.804294 300.212285 277.057861 270.535492
198202 39.509722 300.232139 276.948920 270.437006
198203 39.287264 300.497861 276.688318 270.037946
198204 41.414822 300.735337 276.802318 270.103357
198205 41.829115 300.727854 276.832311 270.153424
198206 41.165066 300.393820 276.631209 269.959541
198207 40.728350 299.981131 276.425089 269.828330
198208 39.259704 299.885918 276.277742 269.648621
198209 41.219775 299.953709 276.542176 269.911869
198210 40.899031 300.095992 276.685964 270.059294
198211 40.470948 300.134121 276.797198 270.169070
198212 39.436570 300.155485 276.543832 269.915352
198301 39.052594 300.130818 276.451927 269.843265
198302 39.369588 300.196278 276.510237 269.914711
198303 40.373658 300.495211 276.893607 270.287227
198304 41.184290 300.661751 276.965625 270.307158
198305 40.822526 300.591614 276.734283 270.032962
198306 41.305114 300.209323 276.430191 269.755243
198307 40.268480 299.869286 276.385198 269.773060
198308 39.913377 299.651857 276.297440 269.689398
198309 40.150915 299.630680 276.462405 269.858835
198310 39.633631 299.743910 276.392273 269.726715
198311 38.886900 299.837472 276.235613 269.568416
198312 38.571472 299.874606 276.094885 269.454273
198401 38.089287 299.940187 276.197802 269.577357
198402 39.027324 300.043162 276.315524 269.708609
198403 40.164201 300.405716 276.552315 269.908860
198404 41.201287 300.764062 276.808945 270.134634
198405 41.812587 300.797325 276.865731 270.176288
198406 41.268808 300.503380 276.728478 270.083607
198407 41.358921 300.141423 276.532495 269.913472
198408 40.777725 299.940261 276.645644 270.060193
198409 40.729745 299.866845 276.678716 270.100076
198410 40.468396 300.042924 276.670822 270.025186
198411 40.528294 300.181704 276.557465 269.894070
198412 40.289643 300.058363 276.388093 269.737781
198501 39.268397 300.006062 276.258528 269.643104
198502 39.489908 300.174088 276.419828 269.787054
198503 40.358497 300.487916 276.719004 270.080801
198504 41.149291 300.753853 276.893730 270.239121
198505 42.296872 300.777578 277.030106 270.357044
198506 41.118258 300.421044 276.598094 269.940953
198507 40.910285 300.054747 276.503428 269.877168
198508 41.136418 299.898604 276.790165 270.212303
198509 40.917835 299.918353 276.874344 270.298192
198510 40.217882 299.979029 276.662873 270.051113
198511 40.018274 300.103912 276.662500 270.008354
198512 39.142071 300.114468 276.350715 269.711739
198601 39.731648 300.080676 276.357200 269.740108
198602 39.944151 300.202293 276.683261 270.131555
198603 40.496275 300.492776 276.772409 270.175860
198604 41.760837 300.794594 277.044184 270.386233
198605 41.608095 300.710610 276.940449 270.288095
198606 40.526521 300.360193 276.683116 270.049549
198607 41.064155 299.955027 276.737937 270.171435
198608 40.804786 299.746177 276.857945 270.318757
