time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 40.574797 300.060158 276.514195 270.108634
198002 40.007820 300.264595 276.761333 270.358655
198003 41.282660 300.416308 277.074955 270.693154
198004 40.988307 300.645275 276.956443 270.511629
198005 42.038336 300.376160 276.597597 270.133295
198006 40.949753 299.936321 276.181137 269.719528
198007 39.680851 299.653101 276.008959 269.590806
198008 40.227571 299.515100 276.130304 269.745875
198009 39.895347 299.665472 276.209078 269.773678
198010 39.993530 299.950069 276.471227 270.025906
198011 40.847984 300.162045 276.467605 270.005756
198012 40.780768 300.215908 276.590855 270.144632
198101 40.687135 300.232713 276.657705 270.286187
198102 41.058169 300.286132 277.032016 270.742131
198103 40.872526 300.512298 277.317067 270.963634
198104 41.705683 300.719832 277.060106 270.646095
198105 41.663462 300.603624 276.672740 270.186407
198106 41.072005 300.108446 276.283116 269.839846
198107 40.744598 299.766881 276.287652 269.889559
198108 40.064709 299.588870 276.299420 269.925048
198109 39.870956 299.565852 276.347577 269.962607
198110 40.131465 299.803553 276.204517 269.731911
198111 39.796330 300.064440 276.135151 269.613366
198112 40.207736 300.100607 276.363461 269.920398
198201 40.664765 300.130309 276.749519 270.408136
198202 40.807107 300.231978 276.948228 270.614726
198203 40.235080 300.460487 276.919035 270.536987
198204 41.699880 300.513178 276.873376 270.471267
198205 41.603701 300.221066 276.467375 270.017880
198206 40.127619 299.799893 276.019173 269.561956
198207 38.573431 299.411120 275.780771 269.347821
198208 39.337998 299.144545 275.642648 269.216430
198209 39.237760 299.252326 275.692654 269.245562
198210 38.867311 299.470310 275.875225 269.388020
198211 38.943287 299.603131 275.982594 269.501257
198212 38.614131 299.663358 275.911339 269.427086
198301 38.929911 299.710267 275.974365 269.577385
198302 39.112254 299.739381 276.332486 269.918814
198303 38.473906 300.087655 276.247663 269.758922
198304 40.506887 300.331429 276.309418 269.760957
198305 40.503614 300.174228 275.992143 269.444232
198306 40.052290 299.846718 275.773629 269.273939
198307 38.958288 299.439682 275.594652 269.132007
198308 38.690054 299.383871 275.696540 269.251666
198309 39.370179 299.471041 275.859749 269.401050
198310 39.363473 299.699519 276.110289 269.629606
198311 39.411751 299.927689 276.218248 269.714065
198312 39.935275 300.027078 276.344808 269.894369
198401 39.464721 300.116542 276.509077 270.093457
198402 40.585069 300.254209 276.806783 270.434024
198403 41.769940 300.496088 277.197888 270.836762
198404 41.946586 300.733703 277.101094 270.660205
198405 41.949607 300.422133 276.782877 270.345792
198406 40.769828 299.978026 276.269261 269.829130
198407 39.825812 299.600974 275.923596 269.495485
198408 39.833798 299.433135 275.932578 269.521671
198409 40.016079 299.445008 276.117722 269.709803
198410 39.699717 299.639035 276.147973 269.682627
198411 39.044497 299.779369 276.115014 269.628395
198412 39.220803 299.732799 276.029337 269.565641
198501 37.902060 299.715710 276.033582 269.610253
198502 39.320176 299.823642 276.087548 269.642103
198503 39.858758 300.148634 276.388065 269.914314
198504 40.745482 300.326791 276.532754 270.053288
198505 40.460145 300.241004 276.278279 269.793909
198506 39.440888 299.928808 276.066124 269.599370
198507 40.002711 299.588495 275.897921 269.459681
198508 40.090590 299.433403 276.051532 269.661938
198509 39.521639 299.661249 276.104042 269.663302
198510 39.621488 299.890482 276.232232 269.760192
198511 40.309822 300.117293 276.372875 269.890370
198512 40.679040 300.172052 276.546011 270.121458
198601 40.627087 300.158564 276.649965 270.285790
198602 40.486530 300.313031 277.083415 270.755776
198603 41.438592 300.609068 277.186766 270.797426
198604 42.261801 300.781169 277.124163 270.697883
198605 42.654316 300.568932 276.875553 270.469006
198606 41.854026 300.131107 276.549501 270.136828
198607 40.236724 299.737544 276.240031 269.852683
198608 39.921954 299.528062 276.062146 269.661194
198609 40.283644 299.600780 276.383977 270.016648
198610 40.023488 299.864315 276.323926 269.869195
198611 40.583875 300.008735 276.445180 269.973686
198612 40.011852 300.067576 276.488806 270.055741
198701 40.675070 300.091508 276.465072 270.061651
198702 40.055212 300.299714 276.737363 270.354375
198703 40.971027 300.561654 276.915609 270.491354
198704 42.080022 300.666604 276.889349 270.444061
198705 41.831219 300.395823 276.640107 270.181722
198706 40.041065 299.936629 276.169570 269.726318
198707 39.319904 299.584425 275.904846 269.469025
198708 39.784224 299.433448 276.135273 269.725378
198709 40.101115 299.507185 276.134487 269.733167
198710 39.215460 299.737334 276.158088 269.671067
198711 39.830578 299.893927 276.142646 269.636007
198712 40.384275 299.918194 276.301348 269.855696
198801 39.765503 299.864145 276.398235 270.040598
198802 39.206038 300.008860 276.484353 270.098564
198803 40.311268 300.239871 276.607851 270.170330
198804 40.892270 300.424513 276.521632 270.032884
198805 40.565269 300.288726 276.280336 269.764685
198806 40.131439 299.929001 275.885225 269.394578
198807 38.980523 299.505597 275.937811 269.534763
198808 39.592258 299.385222 275.815872 269.409047
198809 39.845288 299.436582 275.964444 269.525997
198810 39.297883 299.676986 276.068074 269.590369
198811 38.988495 299.800639 276.161570 269.682923
198812 39.057102 299.756248 276.038517 269.580760
198901 38.622311 299.720509 276.069038 269.630219
198902 39.156518 299.872801 276.079836 269.656183
198903 40.151144 300.274550 276.493201 270.033862
198904 42.144448 300.535411 276.696759 270.248663
198905 41.715262 300.415847 276.561363 270.104288
198906 40.446837 300.024774 276.385357 269.963352
198907 40.366754 299.671955 276.239093 269.866894
198908 40.476371 299.593465 276.115365 269.733201
198909 40.170845 299.690696 276.385215 269.973901
198910 40.485695 299.872266 276.469718 270.052675
198911 40.655266 300.061547 276.429559 269.962224
198912 40.833719 300.113457 276.548689 270.115993
199001 40.617421 300.200614 276.796179 270.438402
199002 40.191697 300.353688 276.882872 270.515806
199003 40.969964 300.664072 277.074411 270.660927
199004 42.602912 300.842747 277.236034 270.802510
199005 42.236701 300.593062 276.950865 270.522992
199006 41.593225 300.094988 276.583995 270.190238
199007 39.869311 299.714521 276.119603 269.694185
199008 40.816783 299.595154 276.240029 269.834879
199009 40.438351 299.656135 276.428806 270.061913
199010 40.140584 299.874782 276.435284 270.006123
199011 39.941819 300.066239 276.619584 270.188679
199012 40.331075 300.113563 276.480959 270.072994
199101 40.785491 300.124675 276.495559 270.105102
199102 40.846602 300.222461 276.775458 270.408490
199103 41.261183 300.420486 276.967498 270.573603
199104 42.256023 300.477422 276.898592 270.472557
199105 41.888753 300.277528 276.637254 270.206070
199106 40.875727 299.927986 276.266193 269.823129
199107 39.551219 299.512610 275.932693 269.504025
199108 39.497236 299.225582 275.854818 269.467571
199109 39.276758 299.285975 275.932307 269.510595
199110 38.951822 299.469441 275.977741 269.522985
199111 38.866520 299.651673 275.975411 269.482880
199112 39.253500 299.583839 275.794035 269.325529
199201 38.442579 299.593152 275.630436 269.154365
199202 38.585217 299.744456 276.028594 269.588013
199203 39.619073 300.067522 276.322140 269.836708
199204 40.582395 300.279926 276.378919 269.885793
199205 41.171865 300.187664 276.104624 269.557519
199206 40.067499 299.791115 275.851412 269.357021
199207 38.540729 299.348957 275.645557 269.216462
199208 38.818705 299.194725 275.634004 269.202345
199209 40.015031 299.386275 275.789875 269.326866
199210 39.801110 299.669165 276.084731 269.595549
199211 39.995323 299.965258 276.108496 269.598522
199212 39.813532 300.015862 276.348558 269.881117
199301 40.171479 300.118198 276.630084 270.204995
199302 40.888757 300.309153 277.157929 270.802452
199303 41.646263 300.631249 277.243883 270.891194
199304 41.953366 300.770155 277.307315 270.943815
199305 42.335034 300.563493 276.914235 270.508067
199306 40.942020 300.091375 276.411207 269.993076
199307 40.374916 299.596759 276.112220 269.731528
199308 39.610676 299.436941 275.898515 269.496278
199309 39.470234 299.451439 276.018388 269.592258
199310 39.433088 299.713444 275.945189 269.453051
199311 40.275834 299.805372 276.061178 269.592765
199312 40.009575 299.817813 276.114361 269.668778
199401 39.525590 299.887144 276.149800 269.713369
199402 40.223111 299.911546 276.419871 270.044013
199403 40.075155 300.208673 276.378339 269.922385
199404 41.967343 300.413662 276.565416 270.084767
199405 41.489011 300.149433 276.272034 269.797519
199406 39.795994 299.788701 275.866101 269.390761
199407 39.713019 299.355180 275.836649 269.418914
199408 39.273273 299.222819 275.662804 269.227809
199409 39.075901 299.299132 275.903349 269.477854
199410 39.600784 299.494928 276.020098 269.553340
199411 38.853173 299.703296 275.959135 269.466271
199412 38.308508 299.697080 275.841444 269.364755
199501 38.778630 299.646556 275.852593 269.408243
199502 39.185910 299.908696 276.248628 269.819411
199503 40.335279 300.257749 276.496081 270.028965
199504 41.206047 300.526825 276.597123 270.094306
199505 41.295917 300.375606 276.541735 270.066879
199506 40.902871 299.937593 276.157120 269.711218
199507 39.722204 299.615681 275.878861 269.442955
199508 40.107853 299.517432 275.973415 269.581772
199509 39.711550 299.655228 276.212132 269.816955
199510 40.222620 299.901456 276.403709 269.936654
199511 40.209117 300.040759 276.558573 270.122948
199512 39.996899 300.092141 276.493809 270.070593
199601 40.679864 300.100100 276.625313 270.244588
199602 39.379600 300.295296 276.737707 270.356758
199603 40.058127 300.727874 276.939027 270.472577
199604 42.061711 300.788812 277.153043 270.716620
199605 41.883800 300.601748 276.966190 270.545539
199606 40.967834 300.284022 276.439221 270.001948
199607 40.277616 299.903732 276.376017 270.009729
199608 40.886922 299.681814 276.521886 270.173221
199609 40.726859 299.827602 276.576738 270.197777
199610 40.814596 300.110549 276.665779 270.236557
199611 41.731460 300.282692 276.735821 270.289147
199612 41.166757 300.379781 276.804943 270.387963
199701 41.217614 300.493231 277.155801 270.813483
199702 41.692158 300.635994 277.488982 271.172623
199703 42.017975 300.848878 277.608808 271.303419
199704 43.048372 301.011560 277.536726 271.186633
199705 43.716445 300.791054 277.326298 270.971594
199706 42.562500 300.257081 276.922455 270.592714
199707 41.212103 299.739630 276.471480 270.157256
199708 41.118242 299.602326 276.360570 270.000302
199709 41.425738 299.670675 276.636104 270.295339
199710 40.477007 299.883208 276.724498 270.352317
199711 40.840971 300.022941 276.634712 270.257494
199712 40.715724 299.969164 276.570048 270.209640
199801 40.542092 299.980554 276.384590 270.021758
199802 40.397571 300.051985 276.742765 270.366200
199803 40.149163 300.307214 276.725681 270.320154
199804 41.449234 300.436956 276.847379 270.412624
199805 41.298943 300.169948 276.537552 270.100437
199806 40.327916 299.763507 275.981124 269.531338
199807 39.632799 299.445004 275.872880 269.451389
199808 39.958699 299.240083 275.950366 269.564851
199809 39.579756 299.294083 276.020436 269.629307
199810 39.742477 299.430219 275.988786 269.551558
199811 39.987198 299.621327 276.104834 269.637493
199812 39.505939 299.714800 275.905110 269.459206
199901 38.649563 299.735621 275.984020 269.580318
199902 39.438373 299.859477 276.227894 269.836045
199903 40.293825 300.103676 276.515669 270.077182
199904 40.969570 300.408152 276.512392 270.044837
199905 41.202782 300.207377 276.389727 269.929050
199906 40.063374 299.868956 276.020816 269.545861
199907 39.852951 299.579457 275.858749 269.416400
199908 39.506479 299.525994 276.065813 269.662889
199909 39.949984 299.693267 276.214224 269.799608
199910 40.844915 299.919106 276.533058 270.093938
199911 39.810223 300.137481 276.418121 269.915969
199912 40.310559 300.194192 276.664104 270.243450
200001 40.278904 300.209668 276.845304 270.487460
200002 40.154368 300.437900 276.961051 270.572929
200003 41.884479 300.804705 277.251323 270.850365
200004 43.080536 300.959135 277.560527 271.179806
200005 42.733293 300.846537 277.222348 270.841657
200006 42.241676 300.477831 276.993115 270.624555
200007 41.887542 300.081859 276.732634 270.403327
200008 41.366056 299.882797 276.682037 270.353936
200009 42.349657 299.947684 276.815197 270.471757
200010 41.401937 300.255491 276.805146 270.372686
200011 41.458764 300.414130 276.966272 270.538573
200012 41.564517 300.526292 276.997334 270.598068
200101 41.830897 300.631590 277.523050 271.219228
200102 42.605766 300.896410 277.842491 271.546305
200103 42.915247 301.099317 277.956693 271.676432
200104 43.565055 301.291460 277.972920 271.665545
200105 44.160830 301.104726 277.580938 271.223906
200106 43.119167 300.532055 277.247739 270.912020
200107 40.753653 300.042823 276.700007 270.359797
200108 40.832872 299.828492 276.622625 270.298116
200109 41.003672 299.879663 276.641238 270.263954
