time(yyyymm) ts_sst
185001 26.439893
185002 26.601545
185003 26.795520
185004 27.111549
185005 27.302041
185006 26.954565
185007 26.428302
185008 26.106197
185009 26.223166
185010 26.410016
185011 26.718298
185012 26.699058
185101 26.618605
185102 26.768023
185103 27.094884
185104 27.263186
185105 27.224362
185106 26.907290
185107 26.499379
185108 26.306332
185109 26.490639
185110 26.624803
185111 26.782908
185112 26.672880
185201 26.511294
185202 26.640794
185203 26.986600
185204 27.304555
185205 27.275654
185206 26.955593
185207 26.622744
185208 26.350507
185209 26.459645
185210 26.658803
185211 26.829521
185212 26.682384
185301 26.677879
185302 26.843690
185303 27.228399
185304 27.371339
185305 27.219447
185306 26.793278
185307 26.501273
185308 26.132887
185309 26.219955
185310 26.558277
185311 26.831364
185312 26.779750
185401 26.638830
185402 26.849415
185403 27.178221
185404 27.389167
185405 27.287326
185406 26.957506
185407 26.414878
185408 26.142300
185409 26.290807
185410 26.525577
185411 26.618889
185412 26.568173
185501 26.685362
185502 26.787343
185503 27.108483
185504 27.369456
185505 27.199313
185506 26.812797
185507 26.305632
185508 26.227830
185509 26.301787
185510 26.465780
185511 26.790224
185512 26.802028
185601 26.660016
185602 26.849514
185603 27.010295
185604 27.215200
185605 27.295852
185606 26.647774
185607 26.331216
185608 26.047135
185609 26.380303
185610 26.573986
185611 26.461037
185612 26.335434
185701 26.284799
185702 26.599399
185703 26.738728
185704 27.042384
185705 26.980172
185706 26.690658
185707 26.234648
185708 25.945501
185709 26.130500
185710 26.307124
185711 26.360127
185712 26.356848
185801 26.504596
185802 26.582383
185803 26.908158
185804 27.184549
185805 27.022643
185806 26.662097
185807 26.217464
185808 26.238409
185809 26.350539
185810 26.635442
185811 26.606438
185812 26.437097
185901 26.324683
185902 26.625477
185903 26.999484
185904 27.320805
185905 27.224154
185906 26.898441
185907 26.240537
185908 26.234088
185909 26.164396
185910 26.462445
185911 26.578179
185912 26.681515
186001 26.502083
186002 26.657263
186003 26.975684
186004 27.242012
186005 27.175420
186006 26.693394
186007 26.386206
186008 26.195556
186009 26.293306
186010 26.629392
186011 26.616321
186012 26.514272
186101 26.469925
186102 26.411394
186103 26.828028
186104 27.286533
186105 26.975155
186106 26.676895
186107 26.464843
186108 26.252260
186109 26.202918
186110 26.497844
186111 26.619335
186112 26.557205
186201 26.518615
186202 26.818033
186203 27.086190
186204 27.351140
186205 27.362051
186206 26.861687
186207 26.439818
186208 26.193967
186209 26.268079
186210 26.460986
186211 26.426218
186212 26.269137
186301 26.314208
186302 26.734333
186303 26.902337
186304 27.209488
186305 26.999252
186306 26.552252
186307 26.094158
186308 25.972696
186309 26.156219
186310 26.398679
186311 26.388842
186312 26.519604
186401 26.068618
186402 26.141530
186403 26.728962
186404 27.185728
186405 27.052059
186406 26.787120
186407 26.327656
186408 26.046638
186409 26.268502
186410 26.495852
186411 26.837580
186412 26.681229
186501 26.709557
186502 27.085147
186503 27.285499
186504 27.310076
186505 27.191594
186506 26.975455
186507 26.459625
186508 26.326996
186509 26.397374
186510 26.575133
186511 26.823000
186512 26.842622
186601 26.941763
186602 27.135019
186603 27.212200
186604 27.342149
186605 27.086101
186606 27.103403
186607 26.637303
186608 26.355014
186609 26.190134
186610 26.449075
186611 26.692736
186612 26.402503
186701 26.673533
186702 26.852663
186703 27.238885
186704 27.419163
186705 27.352935
186706 26.943623
186707 26.461958
186708 26.316614
186709 26.306098
186710 26.528692
186711 26.715131
186712 26.596595
186801 26.684869
186802 26.930040
186803 27.336279
186804 27.429660
186805 27.323595
186806 26.862355
186807 26.337393
186808 26.093368
186809 26.397445
186810 26.591800
186811 26.857625
186812 26.759577
186901 26.616634
186902 26.775048
186903 27.166317
186904 27.415302
186905 27.325169
186906 26.896240
186907 26.511071
186908 26.328403
186909 26.193848
186910 26.449196
186911 26.589434
186912 26.499397
187001 26.533576
187002 26.743316
187003 27.017650
187004 27.278287
187005 26.954279
187006 26.712088
187007 26.324966
187008 26.200958
187009 26.359512
187010 26.446053
187011 26.409873
187012 26.487691
187101 26.502721
187102 26.690069
187103 27.134360
187104 27.311188
187105 27.259121
187106 26.871704
187107 26.374617
187108 26.093953
187109 26.137947
187110 26.413093
187111 26.559318
187112 26.656244
187201 26.469318
187202 26.777732
187203 26.984149
187204 27.257355
187205 27.173827
187206 26.885200
187207 26.462754
187208 26.227716
187209 26.206601
187210 26.400273
187211 26.557855
187212 26.452218
187301 26.538736
187302 26.651084
187303 26.857250
187304 27.228598
187305 27.222255
187306 26.644974
187307 26.167792
187308 26.063727
187309 26.316544
187310 26.339444
187311 26.399073
187312 26.451975
187401 26.426403
187402 26.447259
187403 26.834376
187404 27.070067
187405 27.103678
187406 26.613139
187407 26.193880
187408 25.800174
187409 26.032784
187410 26.022432
187411 26.246967
187412 26.292385
187501 26.478109
187502 26.808218
187503 26.934526
187504 27.168169
187505 27.125723
187506 26.671578
187507 26.228297
187508 25.869909
187509 26.112918
187510 26.569749
187511 26.767734
187512 26.641735
187601 26.525927
187602 26.658774
187603 27.122095
187604 27.252608
187605 27.090902
187606 26.630834
187607 26.214933
187608 25.971192
187609 26.028617
187610 26.374173
187611 26.600185
187612 26.601801
187701 26.610578
187702 26.990254
187703 27.132889
187704 27.498391
187705 27.362553
187706 27.043231
187707 26.800761
187708 26.669031
187709 26.949194
187710 27.196475
187711 27.266619
187712 27.267937
187801 27.330636
187802 27.580238
187803 27.737232
187804 27.976690
187805 27.809879
187806 27.358101
187807 26.740975
187808 26.412957
187809 26.322002
187810 26.617591
187811 26.782507
187812 26.649809
187901 26.767093
187902 26.951484
187903 27.100908
187904 27.338160
187905 27.220906
187906 26.790923
187907 26.321210
187908 26.114307
187909 26.150077
187910 26.304263
187911 26.431297
187912 26.291317
188001 26.205867
188002 26.671558
188003 27.058018
188004 27.232007
188005 26.991236
188006 26.565497
188007 26.045838
188008 26.104145
188009 26.032146
188010 26.387442
188011 26.617134
188012 26.720633
188101 26.780295
188102 26.976500
188103 27.332210
188104 27.690352
188105 27.493231
188106 26.940794
188107 26.519557
188108 26.280726
188109 26.332959
188110 26.472736
188111 26.688304
188112 26.561936
188201 26.611580
188202 26.800601
188203 27.118949
188204 27.394969
188205 27.171274
188206 26.628856
188207 26.167853
188208 26.002501
188209 26.172673
188210 26.378232
188211 26.494470
188212 26.433586
188301 26.496861
188302 26.616776
188303 27.028732
188304 27.304084
188305 27.290982
188306 26.851264
188307 26.318796
188308 26.189340
188309 26.188100
188310 26.299094
188311 26.479238
188312 26.330709
188401 26.286062
188402 26.727131
188403 27.010666
188404 27.356247
188405 27.369298
188406 26.819728
188407 26.211258
188408 26.070182
188409 26.260457
188410 26.406245
188411 26.505238
188412 26.540090
188501 26.574991
188502 26.689253
188503 26.988261
188504 27.212721
188505 27.171921
188506 26.667269
188507 26.209527
188508 26.048524
188509 26.334089
188510 26.729029
188511 26.801539
188512 26.708972
188601 26.729226
188602 26.780558
188603 27.149285
188604 27.382055
188605 27.295281
188606 26.740089
188607 26.324334
188608 26.031625
188609 26.100677
188610 26.285510
188611 26.394045
188612 26.229888
188701 26.349798
188702 26.439396
188703 26.778984
188704 27.084353
188705 26.940820
188706 26.497116
188707 26.195419
188708 25.952233
188709 26.037697
188710 26.320553
188711 26.519855
188712 26.486796
188801 26.523303
188802 26.783088
188803 27.214153
188804 27.459477
188805 27.352915
188806 26.840613
188807 26.426643
188808 26.232917
188809 26.482147
188810 26.825491
188811 27.060049
188812 27.011233
188901 27.027172
188902 27.179292
188903 27.474518
188904 27.544946
188905 27.422800
188906 26.930128
188907 26.427422
188908 26.161171
188909 26.186039
188910 26.292589
188911 26.361442
188912 26.410763
189001 26.452348
189002 26.585803
189003 26.931778
189004 27.112564
189005 26.989738
189006 26.459978
189007 25.922840
189008 25.626357
189009 25.673138
189010 25.923589
189011 26.113562
189012 26.330934
189101 26.385608
189102 26.652748
189103 26.992378
189104 27.369367
189105 27.335105
189106 26.793599
189107 26.294192
189108 26.111548
189109 26.180895
189110 26.571042
189111 26.631019
189112 26.618447
189201 26.586779
189202 26.840230
189203 26.999947
189204 27.126462
189205 27.074159
189206 26.567559
189207 26.000895
189208 25.778426
189209 25.839902
189210 25.994231
189211 26.078556
189212 26.178191
189301 26.245706
189302 26.452964
189303 26.736645
189304 26.972579
189305 26.849779
189306 26.399723
189307 26.087681
189308 25.920226
189309 25.920699
189310 26.225508
189311 26.230750
189312 26.295225
189401 26.207796
189402 26.456060
189403 26.776881
189404 27.048308
189405 26.912051
189406 26.509572
189407 26.127131
189408 25.885277
189409 25.943858
189410 26.218467
189411 26.369713
189412 26.378627
189501 26.489601
189502 26.634817
189503 26.970712
189504 27.241108
189505 27.122691
189506 26.624205
189507 26.277088
189508 26.219464
189509 26.353360
189510 26.645001
189511 26.833165
189512 26.711749
189601 26.629585
189602 26.875146
189603 27.269791
189604 27.517607
189605 27.389269
189606 26.974760
189607 26.568472
189608 26.412625
189609 26.522442
189610 26.732265
189611 27.094901
189612 27.018927
189701 26.969341
189702 27.094648
189703 27.464846
189704 27.673130
189705 27.487285
189706 27.064129
189707 26.655410
189708 26.473191
189709 26.458083
189710 26.725446
189711 26.620458
189712 26.521878
189801 26.501181
189802 26.647691
189803 26.868982
189804 27.137312
189805 27.082498
189806 26.679028
189807 26.173433
189808 25.851188
189809 26.058292
189810 26.384411
189811 26.512182
189812 26.442495
189901 26.391738
189902 26.579189
189903 26.914468
189904 27.163049
189905 27.215783
189906 26.743878
189907 26.407092
189908 26.283253
189909 26.307199
189910 26.608336
189911 26.747782
189912 26.773476
190001 26.773766
190002 27.033940
190003 27.251854
190004 27.575360
190005 27.431541
190006 27.097535
190007 26.618797
190008 26.294389
190009 26.397626
190010 26.673150
190011 26.785455
190012 26.886423
190101 26.904992
190102 26.916152
190103 27.173454
190104 27.483484
190105 27.288241
190106 26.880310
190107 26.328185
190108 26.205147
190109 26.138017
190110 26.428758
190111 26.617993
190112 26.568456
190201 26.498845
190202 26.706693
190203 26.994389
190204 27.371167
190205 27.339287
190206 26.926995
190207 26.510125
190208 26.294173
190209 26.322404
190210 26.556823
190211 26.705212
190212 26.708156
190301 26.727428
190302 26.811714
190303 27.026086
190304 27.203280
190305 27.136200
190306 26.708838
190307 26.210755
190308 25.990854
190309 26.082585
190310 26.298305
190311 26.315877
190312 26.250336
190401 26.226269
190402 26.380857
190403 26.755713
190404 26.947482
190405 26.912414
190406 26.482011
190407 26.059403
190408 25.943567
190409 26.087000
190410 26.403430
190411 26.599213
190412 26.584941
190501 26.519693
190502 26.730967
190503 27.009191
190504 27.216476
190505 27.295892
190506 26.877619
190507 26.453758
190508 26.299460
190509 26.407494
190510 26.644281
190511 26.865445
190512 26.826347
190601 26.850879
190602 27.085166
190603 27.273456
190604 27.414770
190605 27.268435
190606 26.776215
190607 26.352208
190608 26.100182
190609 26.138097
190610 26.324871
190611 26.457044
190612 26.478372
190701 26.442128
190702 26.678589
190703 26.896330
190704 27.172523
190705 27.084178
190706 26.733150
190707 26.179280
190708 25.911508
190709 26.062797
190710 26.427366
190711 26.601623
190712 26.450378
190801 26.386625
190802 26.484595
190803 26.738318
190804 26.989236
190805 26.919928
190806 26.490651
190807 26.070341
190808 25.937333
190809 26.026743
190810 26.167893
190811 26.235192
190812 26.201231
190901 26.318827
190902 26.449738
190903 26.794861
190904 27.065229
190905 27.015931
190906 26.542055
190907 26.071537
190908 25.895631
190909 25.968188
190910 26.154941
190911 26.261854
190912 26.320912
191001 26.330626
191002 26.464784
191003 26.679409
191004 26.911595
191005 26.884310
191006 26.598993
191007 26.180180
191008 25.936591
191009 26.016885
191010 26.146103
191011 26.307353
191012 26.285246
191101 26.326587
191102 26.408120
191103 26.740885
191104 26.867151
191105 26.901753
191106 26.490430
191107 26.037603
191108 25.908972
191109 26.052369
191110 26.393357
191111 26.669034
191112 26.693326
191201 26.769929
191202 26.913268
191203 27.227503
191204 27.544990
191205 27.311437
191206 26.954704
191207 26.437795
191208 26.217282
191209 26.336293
191210 26.454888
191211 26.562413
191212 26.490911
191301 26.515523
191302 26.769297
191303 26.923852
191304 27.147586
191305 27.172526
191306 26.787113
191307 26.355688
191308 26.116636
191309 26.181085
191310 26.376834
191311 26.635412
191312 26.622165
191401 26.623260
191402 26.797452
191403 27.105968
191404 27.379251
191405 27.272076
191406 26.885360
191407 26.425438
191408 26.320575
191409 26.359993
191410 26.579427
191411 26.793441
191412 26.768181
191501 26.751783
191502 26.950436
191503 27.326253
191504 27.510985
191505 27.538836
191506 27.143017
191507 26.700722
191508 26.407071
191509 26.412940
191510 26.571097
191511 26.708993
191512 26.516604
191601 26.469902
191602 26.742106
191603 26.997136
191604 27.257184
191605 27.097793
191606 26.608042
191607 26.156105
191608 25.907162
191609 26.010173
191610 26.083815
191611 26.108739
191612 26.023055
191701 26.100171
191702 26.433634
191703 26.752706
191704 27.045158
191705 26.968304
191706 26.727566
191707 26.424071
191708 26.124141
191709 26.172065
191710 26.270269
191711 26.208292
191712 26.279283
191801 26.279070
191802 26.384137
191803 26.799149
191804 27.043848
191805 27.131078
191806 26.705748
191807 26.364559
191808 26.265663
191809 26.366271
191810 26.647455
191811 26.921054
