time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 40.665374 300.246033 264.555857 249.624029
198002 40.468987 300.394697 264.825066 249.839920
198003 42.259138 300.666658 264.971180 249.920913
198004 44.094072 300.905492 265.145552 250.133077
198005 43.773106 300.811288 265.132963 250.249308
198006 42.306086 300.399611 264.802757 250.083483
198007 40.885233 299.861363 263.973025 249.449664
198008 40.702044 299.687920 263.793313 249.306791
198009 40.614666 299.798166 263.992725 249.453917
198010 41.169926 299.878215 264.173918 249.449494
198011 40.908256 300.035278 264.192443 249.382814
198012 40.609598 299.981574 264.231722 249.365600
198101 39.458227 299.888550 264.171531 249.332117
198102 40.673795 300.041752 264.422350 249.470199
198103 41.110285 300.423904 264.617688 249.657358
198104 42.839737 300.744456 264.835198 249.915783
198105 42.557889 300.778710 264.867870 249.990862
198106 40.785012 300.285212 264.314724 249.627141
198107 40.857375 299.867599 263.839565 249.263321
198108 39.347601 299.548455 263.760634 249.249686
198109 40.569029 299.644463 263.964837 249.302799
198110 40.663400 299.947229 264.229439 249.446266
198111 41.192488 300.118474 264.350643 249.466604
198112 41.818897 300.085208 264.377330 249.451588
198201 40.157025 300.066795 264.391470 249.382018
198202 40.656869 300.231533 264.391469 249.380097
198203 41.292833 300.607724 264.657221 249.682411
198204 42.739249 300.934942 264.742178 249.770670
198205 42.449939 300.845758 264.805690 249.959253
198206 41.985599 300.428771 264.423895 249.789590
198207 40.931401 299.899567 263.665498 249.209107
198208 41.001994 299.720820 263.645016 249.222497
198209 40.537498 299.874189 263.613962 249.158379
198210 40.550694 300.278015 263.753955 249.069245
198211 42.262647 300.477016 264.217821 249.469797
198212 42.244869 300.510570 264.452291 249.598658
198301 41.772794 300.505213 265.101452 250.220701
198302 41.536734 300.656947 265.147965 250.205793
198303 42.466908 300.882875 265.407035 250.488955
198304 43.271574 301.106526 265.324678 250.440690
198305 44.111648 300.903960 265.162523 250.362287
198306 42.749763 300.630192 264.649456 249.976070
198307 42.000238 300.052581 264.245059 249.682303
198308 41.610718 299.785177 264.059072 249.556983
198309 41.286637 299.875380 263.969315 249.383655
198310 41.240287 299.999243 263.979773 249.283973
198311 40.828920 300.102933 264.172209 249.300144
198312 40.374235 300.081820 264.104156 249.156819
198401 40.220601 300.142738 263.944378 248.993224
198402 41.047505 300.213658 264.285258 249.298729
198403 41.483773 300.546982 264.815503 249.699340
198404 42.498527 300.820617 264.746191 249.759683
198405 42.321694 300.609324 264.542314 249.660907
198406 41.165061 300.054602 264.129276 249.387539
198407 39.256281 299.684704 263.460304 248.806386
198408 39.603657 299.553453 263.732099 249.100057
198409 38.834608 299.777719 263.509686 248.803012
198410 40.154050 299.738217 263.918857 249.148272
198411 40.595061 299.913244 263.987145 249.088238
198412 40.153724 299.886341 264.206026 249.226684
198501 39.606429 299.881883 264.276635 249.208765
198502 40.536583 300.095878 264.309758 249.315790
198503 41.472546 300.299352 264.407099 249.434882
198504 42.521133 300.612322 264.474093 249.515363
198505 42.163027 300.517546 264.492543 249.673953
198506 39.960488 300.068488 263.995634 249.337158
198507 39.452811 299.697052 263.210086 248.621865
198508 40.292002 299.494784 263.517003 248.979301
198509 40.028251 299.569703 263.551349 248.975830
198510 40.018996 299.759774 263.791152 249.095786
198511 40.291549 299.953623 264.004350 249.127674
198512 40.049863 299.930551 264.162306 249.208704
198601 40.386758 299.822565 264.406746 249.457964
198602 39.372107 300.135148 264.145638 249.192386
198603 41.524240 300.453009 264.472626 249.480252
198604 42.335789 300.725856 264.789727 249.829791
198605 42.014115 300.732578 264.774542 249.881795
198606 41.547096 300.258779 264.362418 249.606533
198607 40.157427 299.800363 263.716891 249.111945
198608 40.054333 299.591344 263.997151 249.344427
198609 40.323066 299.691187 264.002995 249.292908
198610 40.009503 300.033424 264.233042 249.411049
198611 41.342319 300.180303 264.418205 249.481780
198612 41.607986 300.162178 264.671728 249.695401
198701 41.067724 300.169090 264.807698 249.800582
198702 41.681818 300.317484 265.006026 249.948249
198703 41.578619 300.800801 265.032827 249.980564
198704 43.637538 301.004244 265.291148 250.335603
198705 44.258042 301.034515 265.049440 250.168628
198706 42.947056 300.671265 265.054864 250.302003
198707 41.537993 300.241154 264.375183 249.784063
198708 41.257048 300.073873 264.292348 249.735556
198709 41.299582 300.153207 264.367260 249.768618
198710 41.542193 300.403978 264.684525 249.942278
198711 42.240480 300.564727 264.956371 250.107570
