time(yyyymm) ts_sst
185001 26.666885
185002 26.867367
185003 26.859901
185004 27.103140
185005 27.400697
185006 26.991536
185007 26.590376
185008 26.231367
185009 26.303904
185010 26.735398
185011 26.737247
185012 26.785220
185101 26.712113
185102 26.691124
185103 27.010130
185104 27.097390
185105 27.160636
185106 27.085135
185107 26.752480
185108 26.543402
185109 26.556967
185110 26.649503
185111 26.962591
185112 26.798785
185201 26.506187
185202 26.466759
185203 27.091966
185204 27.461857
185205 27.389214
185206 27.162822
185207 26.782048
185208 26.371626
185209 26.655689
185210 26.899292
185211 27.002903
185212 26.793295
185301 26.706615
185302 27.046626
185303 27.409364
185304 27.482550
185305 27.345546
185306 27.050901
185307 26.706886
185308 26.356966
185309 26.293095
185310 26.653187
185311 26.933584
185312 26.781024
185401 26.668621
185402 26.955386
185403 27.195372
185404 27.573174
185405 27.544336
185406 27.120300
185407 26.456450
185408 26.213399
185409 26.473713
185410 26.746461
185411 26.592992
185412 26.536182
185501 26.646523
185502 26.953669
185503 27.225540
185504 27.341377
185505 27.192649
185506 26.858894
185507 26.340130
185508 26.338212
185509 26.383899
185510 26.753484
185511 26.997768
185512 27.053716
185601 26.877073
185602 27.040621
185603 27.084832
185604 27.230183
185605 27.262808
185606 26.752024
185607 26.396745
185608 25.961984
185609 26.167223
185610 26.493783
185611 26.419868
185612 26.224616
185701 26.356759
185702 26.623450
185703 26.594103
185704 27.035388
185705 26.897685
185706 26.692245
185707 26.346327
185708 26.107639
185709 26.302395
185710 26.396373
185711 26.577322
185712 26.422169
185801 26.696988
185802 26.704866
185803 27.014289
185804 27.166777
185805 27.164747
185806 26.844916
185807 26.495306
185808 26.482825
185809 26.235743
185810 26.686079
185811 26.807722
185812 26.579844
185901 26.582503
185902 26.909318
185903 27.102874
185904 27.271899
185905 27.405453
185906 26.719164
185907 26.240686
185908 26.467958
185909 26.151574
185910 26.474150
185911 26.718504
185912 26.801011
186001 26.587010
186002 26.874272
186003 27.045228
186004 27.249611
186005 27.326114
186006 26.778170
186007 26.150353
186008 26.428355
186009 26.638118
186010 26.220816
186011 26.681007
186012 26.508025
186101 26.700364
186102 25.963856
186103 26.781722
186104 27.346789
186105 26.808399
186106 26.589360
186107 26.521341
186108 25.940154
186109 26.122573
186110 26.681765
186111 26.597125
186112 26.756647
186201 26.326992
186202 26.537538
186203 26.872099
186204 27.359809
186205 27.123206
186206 26.638019
186207 26.360417
186208 25.939016
186209 26.178787
186210 26.604809
186211 26.416260
186212 26.095031
186301 26.373634
186302 26.788517
186303 26.817220
186304 27.175329
186305 26.987563
186306 26.396689
186307 25.967650
186308 26.013067
186309 25.954660
186310 26.145483
186311 26.537547
186312 26.692241
186401 26.219715
186402 26.018580
186403 26.589325
186404 27.434708
186405 27.236848
186406 26.793957
186407 26.470613
186408 26.104503
186409 26.454178
186410 26.790651
186411 26.937768
186412 26.964900
186501 26.732950
186502 27.183547
186503 27.250971
186504 27.494747
186505 27.382994
186506 27.321308
186507 26.813562
186508 26.366483
186509 26.645171
186510 27.038948
186511 26.788161
186512 26.860550
186601 27.364598
186602 27.065318
186603 27.698752
186604 26.898059
186605 26.835241
186606 27.519392
186607 26.778298
186608 26.603916
186609 26.321888
186610 26.218355
186611 26.891511
186612 26.443130
186701 26.464663
186702 26.335095
186703 27.455819
186704 27.160340
186705 27.316518
186706 27.110537
186707 26.375122
186708 26.200565
186709 26.457093
186710 26.362430
186711 26.728617
186712 26.451451
186801 26.445318
186802 27.134551
186803 27.240870
186804 27.202416
186805 27.316855
186806 26.840172
186807 26.624547
186808 26.283812
186809 26.427579
186810 26.678205
186811 27.016661
186812 26.895176
186901 26.689632
186902 26.954517
186903 27.476261
186904 27.484837
186905 27.595199
186906 26.808982
186907 26.521437
186908 26.357394
186909 26.202695
186910 26.491058
186911 26.722233
186912 26.555676
187001 26.590792
187002 26.917581
187003 26.943652
187004 27.353392
187005 26.882110
187006 26.641475
187007 26.583427
187008 26.070420
187009 26.329841
187010 26.313069
187011 26.424800
187012 26.734146
187101 26.501987
187102 26.733737
187103 27.173041
187104 27.375725
187105 27.304760
187106 26.838257
187107 26.591451
187108 26.233212
187109 26.209478
187110 26.570669
187111 26.578123
187112 26.657526
187201 26.525941
187202 26.812335
187203 27.076621
187204 27.322311
187205 27.149699
187206 26.729790
187207 26.528704
187208 26.286783
187209 26.146585
187210 26.472816
187211 26.544690
187212 26.502885
187301 26.489601
187302 26.703164
187303 26.713905
187304 27.037641
187305 27.108319
187306 26.702308
187307 26.157770
187308 26.188044
187309 26.272038
187310 26.408296
187311 26.719301
187312 26.425985
187401 26.629212
187402 26.371102
187403 26.830699
187404 26.891843
187405 27.030062
187406 26.432954
187407 26.560629
187408 25.874279
187409 26.150677
187410 26.117306
187411 26.264674
187412 26.240346
187501 26.615094
187502 26.792109
187503 26.968956
187504 27.043030
187505 27.181442
187506 26.764934
187507 26.304161
187508 25.823121
187509 26.330968
187510 26.607149
187511 26.712878
187512 26.623377
187601 26.520475
187602 26.795762
187603 26.961162
187604 27.186902
187605 27.031402
187606 26.596318
187607 26.381154
187608 25.994914
187609 26.090896
187610 26.448787
187611 26.684181
187612 26.688607
187701 26.672275
187702 27.149123
187703 27.111718
187704 27.640943
187705 27.203936
187706 27.132376
187707 26.875837
187708 26.808950
187709 26.953462
187710 27.276455
187711 27.363733
187712 27.315061
187801 27.402161
187802 27.592388
187803 27.673452
187804 27.928335
187805 27.792322
187806 27.401407
187807 26.807166
187808 26.458209
187809 26.491375
187810 26.663138
187811 26.799826
187812 26.683718
187901 26.629814
187902 26.860106
187903 27.187088
187904 27.192758
187905 27.181196
187906 26.748372
187907 26.191369
187908 26.131387
187909 26.173840
187910 26.226264
187911 26.494883
187912 26.466778
188001 26.199408
188002 26.756585
188003 27.229025
188004 27.358971
188005 27.004668
