time(yyyymm) ts_sst
187001 26.677811
187002 26.666515
187003 27.140976
187004 27.294478
187005 27.131828
187006 26.659737
187007 26.274348
187008 26.160642
187009 26.297971
187010 26.478227
187011 26.665761
187012 26.533798
187101 26.621566
187102 26.764478
187103 27.130148
187104 27.447244
187105 27.308528
187106 26.856238
187107 26.422507
187108 26.211480
187109 26.224930
187110 26.412170
187111 26.722258
187112 26.575359
187201 26.516459
187202 26.674572
187203 27.061458
187204 27.229676
187205 27.227813
187206 26.817082
187207 26.412079
187208 26.162386
187209 26.262335
187210 26.394140
187211 26.630101
187212 26.487419
187301 26.575030
187302 26.625841
187303 26.897631
187304 27.356118
187305 27.201901
187306 26.703782
187307 26.320192
187308 26.155638
187309 26.298995
187310 26.338313
187311 26.488821
187312 26.386929
187401 26.477115
187402 26.560692
187403 26.885275
187404 27.153294
187405 27.101672
187406 26.722579
187407 26.302952
187408 25.924404
187409 26.042905
187410 26.133688
187411 26.316562
187412 26.368841
187501 26.551408
187502 26.808594
187503 27.129983
187504 27.273917
187505 27.236273
187506 26.696201
187507 26.099950
187508 26.018450
187509 26.162229
187510 26.453019
187511 26.748057
187512 26.505802
187601 26.495067
187602 26.638202
187603 27.084914
187604 27.180216
187605 27.073784
187606 26.608360
187607 26.246785
187608 26.103042
187609 26.154608
187610 26.454480
187611 26.601455
187612 26.627486
187701 26.632900
187702 27.010451
187703 27.315006
187704 27.497788
187705 27.442591
187706 27.112158
187707 26.774879
187708 26.569280
187709 26.901296
187710 27.145843
187711 27.286940
187712 27.344321
187801 27.356982
187802 27.593894
187803 27.759291
187804 27.973392
187805 27.852488
187806 27.376602
187807 26.817573
187808 26.473841
187809 26.465804
187810 26.642982
187811 26.751470
187812 26.766395
187901 26.813988
187902 26.900230
187903 27.214735
187904 27.340641
187905 27.269187
187906 26.853898
187907 26.410732
187908 26.097832
187909 26.294455
187910 26.387744
187911 26.524401
187912 26.540206
188001 26.567061
188002 26.860302
188003 27.129339
188004 27.347913
188005 27.135882
188006 26.605692
188007 26.272768
188008 26.143851
188009 26.261926
188010 26.561498
188011 26.805153
188012 26.818532
188101 26.761220
188102 26.938556
188103 27.449257
188104 27.720136
188105 27.651045
188106 27.100268
188107 26.641682
188108 26.348768
188109 26.377301
188110 26.573579
188111 26.650245
188112 26.643087
188201 26.642947
188202 26.860325
188203 27.220750
188204 27.518972
188205 27.351684
188206 26.810820
188207 26.330165
188208 26.176111
188209 26.242973
188210 26.471325
188211 26.562137
188212 26.489703
188301 26.662995
188302 26.847840
188303 27.136251
188304 27.448585
188305 27.317745
188306 27.002529
188307 26.486529
188308 26.180107
188309 26.251061
188310 26.381612
188311 26.650876
188312 26.531686
188401 26.572705
188402 26.766996
188403 27.184048
188404 27.497376
188405 27.462228
188406 26.968807
188407 26.481422
188408 26.352636
188409 26.402311
188410 26.548907
188411 26.677049
188412 26.725555
188501 26.719423
188502 26.872751
188503 27.248358
188504 27.462211
188505 27.460044
188506 26.858363
188507 26.378750
188508 26.309878
188509 26.482729
188510 26.681114
188511 26.886842
188512 26.875332
188601 26.825161
188602 26.926136
188603 27.422678
188604 27.659980
188605 27.413327
188606 26.815870
188607 26.417060
188608 26.190517
188609 26.293636
188610 26.401758
188611 26.524015
188612 26.366688
188701 26.433932
188702 26.687126
188703 26.990414
188704 27.185044
188705 27.134202
188706 26.782992
188707 26.399753
188708 26.111614
188709 26.219418
188710 26.498730
188711 26.691289
188712 26.649511
188801 26.620071
188802 26.923841
188803 27.282551
188804 27.498067
188805 27.481474
188806 26.987623
188807 26.505307
188808 26.362892
188809 26.501944
188810 26.911747
188811 27.148025
188812 27.084391
188901 27.081058
188902 27.216307
188903 27.523191
188904 27.689408
188905 27.640161
188906 27.042277
188907 26.531215
188908 26.236412
188909 26.409656
188910 26.435467
188911 26.616411
188912 26.525813
189001 26.330253
189002 26.549853
189003 27.024611
189004 27.217781
189005 27.087606
189006 26.549008
189007 26.122939
189008 25.817682
189009 25.928091
189010 26.200230
189011 26.358128
189012 26.472965
189101 26.486925
189102 26.711576
189103 27.184844
189104 27.507785
189105 27.480807
189106 26.994419
189107 26.475375
189108 26.224377
189109 26.321656
189110 26.561998
189111 26.708045
189112 26.693569
189201 26.655695
189202 26.938413
189203 27.138860
189204 27.286414
189205 27.235805
189206 26.779897
189207 26.210738
189208 25.994559
189209 26.089896
189210 26.065504
189211 26.340764
189212 26.306309
189301 26.376113
189302 26.533934
189303 26.956210
189304 27.094011
189305 27.052351
189306 26.670654
189307 26.258737
189308 25.997387
189309 26.086042
189310 26.305156
189311 26.489101
189312 26.427983
189401 26.408615
189402 26.562705
189403 26.859155
189404 27.165102
189405 27.077368
189406 26.596369
189407 26.267114
189408 25.974306
189409 26.063903
189410 26.314642
189411 26.473694
189412 26.528915
189501 26.518669
189502 26.778762
189503 27.080082
189504 27.316039
189505 27.256091
189506 26.890165
189507 26.421979
189508 26.398807
189509 26.507971
189510 26.731698
189511 26.923539
189512 26.845185
189601 26.872208
189602 27.004594
189603 27.338462
189604 27.623964
189605 27.587777
189606 27.040989
189607 26.654414
189608 26.469573
189609 26.604095
189610 26.771798
189611 27.126124
189612 27.073831
189701 27.017766
189702 27.231870
189703 27.565748
189704 27.760169
189705 27.647440
189706 27.159653
189707 26.726063
189708 26.545711
189709 26.529526
189710 26.799949
189711 26.740650
189712 26.678538
189801 26.603666
189802 26.777757
189803 27.050842
189804 27.369375
189805 27.285619
189806 26.807128
189807 26.341141
189808 26.084788
189809 26.239288
189810 26.592514
189811 26.673398
189812 26.613949
189901 26.586911
189902 26.763862
189903 27.146358
189904 27.424389
189905 27.451214
189906 26.981662
189907 26.545325
189908 26.498255
189909 26.423593
189910 26.800714
189911 27.000746
189912 27.000602
190001 26.991059
190002 27.228993
190003 27.469920
190004 27.737037
190005 27.619686
190006 27.204184
190007 26.730601
190008 26.463423
190009 26.638171
190010 26.736968
190011 26.884024
190012 26.986193
190101 26.994902
