time(yyyymm) ts_sst
185001 -0.378228
185002 -0.390816
185003 -0.820404
185004 -0.388761
185005 -0.045346
185006 -0.098356
185007 -0.140483
185008 -0.293815
185009 -0.215387
185010 -0.412669
185011 -0.070929
185012 -0.098862
185101 -0.344632
185102 -0.368761
185103 -0.334391
185104 -0.578522
185105 -0.301084
185106 -0.188838
185107 -0.026718
185108 -0.033336
185109 0.116041
185110 -0.156816
185111 0.046352
185112 -0.008882
185201 -0.451894
185202 -0.580347
185203 -0.463875
185204 -0.258176
185205 -0.150422
185206 0.145026
185207 0.196669
185208 -0.121148
185209 -0.092366
185210 0.033795
185211 -0.076164
185212 0.007773
185301 -0.115799
185302 -0.026949
185303 0.038725
185304 -0.244987
185305 -0.224431
185306 -0.202678
185307 0.057910
185308 -0.287075
185309 -0.287599
185310 -0.170694
185311 0.064405
185312 -0.051660
185401 -0.213748
185402 -0.271859
185403 -0.096743
185404 -0.121740
185405 -0.023825
185406 -0.050726
185407 -0.327933
185408 -0.200123
185409 -0.268778
185410 -0.051310
185411 -0.310087
185412 -0.447374
185501 -0.082821
185502 -0.159249
185503 -0.236110
185504 -0.329705
185505 -0.381526
185506 -0.338244
185507 -0.291595
185508 -0.195259
185509 -0.230217
185510 -0.043718
185511 0.001916
185512 -0.135023
185601 -0.248838
185602 -0.081399
185603 -0.322171
185604 -0.319381
185605 -0.087972
185606 -0.373390
185607 -0.372172
185608 -0.381232
185609 -0.246921
185610 -0.300899
185611 -0.489987
185612 -0.564842
185701 -0.418357
185702 -0.461434
185703 -0.828591
185704 -0.549634
185705 -0.490819
185706 -0.366376
185707 -0.514248
185708 -0.385820
185709 -0.248092
185710 -0.429917
185711 -0.592091
185712 -0.519992
185801 -0.517034
185802 -0.348228
185803 -0.497342
185804 -0.583101
185805 -0.802425
185806 -0.444473
185807 -0.217515
185808 -0.068291
185809 -0.322052
185810 -0.123392
185811 0.005648
185812 -0.194710
185901 -0.289238
185902 -0.245576
185903 -0.158999
185904 -0.050680
185905 -0.055626
185906 -0.052987
185907 -0.225308
185908 -0.107761
185909 -0.566981
185910 -0.253950
185911 -0.310235
185912 -0.235225
186001 -0.343258
186002 -0.491170
186003 -0.089781
186004 -0.260405
186005 -0.410554
186006 -0.339893
186007 -0.449256
186008 -0.173187
186009 -0.062960
186010 -0.412447
186011 -0.460919
186012 -0.248056
186101 -0.246405
186102 -0.998632
186103 -0.585880
186104 -0.243569
186105 -0.711086
186106 -0.488164
186107 -0.242151
186108 -0.227125
186109 -0.389824
186110 -0.359632
186111 -0.163157
186112 -0.197328
186201 -0.480076
186202 -0.645700
186203 -0.373397
186204 -0.195305
186205 -0.145309
186206 -0.268652
186207 -0.114006
186208 -0.428928
186209 -0.361327
186210 -0.123335
186211 -0.782220
186212 -0.365922
186301 -0.734103
186302 -0.444423
186303 -0.620686
186304 -0.346449
186305 -0.443364
186306 -0.296400
186307 -0.539102
186308 -0.355599
186309 -0.252003
186310 -0.357106
186311 -0.552472
186312 -0.318730
186401 -0.973705
186402 -0.944369
186403 -0.768458
186404 -0.761558
186405 -0.275100
186406 -0.303787
186407 -0.147562
186408 -0.562656
186409 -0.483016
186410 -0.399185
186411 -0.016372
186412 -0.385526
186501 -0.047905
186502 -0.050130
186503 -0.166486
186504 0.107570
186505 -0.232018
186506 0.010682
186507 -0.106889
186508 -0.187530
186509 -0.105167
186510 -0.183297
186511 -0.023058
186512 -0.206040
186601 -0.045210
186602 0.005818
186603 -0.328237
186604 -0.025973
186605 -0.358073
186606 0.252187
186607 0.017376
186608 -0.142948
186609 -0.285410
186610 -0.071293
186611 0.047579
186612 -0.567161
186701 -0.226542
186702 -0.076752
186703 0.182557
186704 -0.163747
186705 -0.047170
186706 -0.133520
186707 -0.089579
186708 -0.041299
186709 -0.099403
186710 0.023513
186711 -0.128176
186712 -0.251130
186801 -0.144806
186802 -0.203586
186803 0.189117
186804 -0.045541
186805 -0.069350
186806 -0.372759
186807 -0.365450
186808 -0.227454
186809 0.105183
186810 -0.138200
186811 -0.000590
186812 -0.192316
186901 -0.383889
186902 -0.230886
186903 -0.222545
186904 -0.073208
186905 -0.085698
186906 -0.284500
186907 -0.245920
186908 -0.087633
186909 -0.368452
186910 -0.235275
186911 -0.195672
186912 -0.154222
187001 -0.166474
187002 -0.091991
187003 -0.270945
187004 -0.213441
187005 -0.354213
187006 -0.401049
187007 -0.266415
187008 -0.120767
187009 -0.212341
187010 -0.270538
187011 -0.590643
187012 -0.171402
187101 -0.421789
187102 -0.387553
187103 -0.059034
187104 -0.148244
187105 -0.167625
187106 -0.173141
187107 0.066999
187108 -0.213478
187109 -0.403687
187110 -0.281798
187111 -0.234280
187112 -0.079498
187201 -0.353604
187202 -0.354765
187203 -0.528696
187204 -0.382996
187205 -0.357911
187206 -0.280788
187207 -0.142102
187208 0.079160
187209 -0.359365
187210 -0.285009
187211 -0.349383
187212 -0.480240
187301 -0.303620
187302 -0.374456
187303 -0.350589
187304 -0.140540
187305 -0.279550
187306 -0.556047
187307 -0.440503
187308 -0.318121
187309 -0.212406
187310 -0.307100
187311 -0.446247
187312 -0.313827
187401 -0.225734
187402 -0.650551
187403 -0.629721
187404 -0.873033
187405 -0.402316
187406 -0.727101
187407 -0.190872
187408 -0.648378
187409 -0.400316
187410 -0.796684
187411 -0.656863
187412 -0.470863
187501 -0.294632
187502 -0.151577
187503 -0.333537
187504 -0.538157
187505 -0.290469
187506 -0.458753
187507 -0.416907
187508 -0.415166
187509 0.009873
187510 -0.088472
187511 0.070298
187512 -0.238571
187601 -0.281157
187602 -0.254337
187603 -0.155806
187604 -0.259588
187605 -0.360095
187606 -0.416573
187607 -0.315042
187608 -0.470070
187609 -0.787775
187610 -0.453605
187611 -0.256456
187612 -0.232394
187701 -0.445448
187702 -0.000301
187703 -0.277159
187704 0.029296
187705 -0.302087
187706 0.053641
187707 0.211566
187708 0.294220
187709 0.512891
187710 0.565947
187711 0.262128
187712 0.511843
187801 0.884469
187802 0.717985
187803 0.313117
187804 0.563956
187805 0.438043
187806 0.394782
187807 0.164632
187808 0.058804
187809 -0.092030
187810 -0.083801
187811 -0.040118
187812 -0.228899
187901 -0.177561
187902 -0.080528
187903 -0.245223
187904 -0.305915
187905 -0.189619
187906 -0.245927
187907 -0.435413
187908 -0.135072
187909 -0.312985
187910 -0.389412
187911 -0.390192
187912 -0.498551
188001 -0.419423
188002 -0.076521
188003 0.141051
188004 -0.213920
188005 -0.332604
188006 -0.521400
188007 -0.535419
188008 -0.213655
188009 -0.378097
188010 -0.214338
188011 -0.177464
188012 -0.083449
188101 -0.136685
188102 -0.048572
188103 0.149818
188104 0.085025
188105 0.151646
188106 -0.029907
188107 -0.007726
188108 -0.039794
188109 -0.136572
188110 -0.193135
188111 -0.158806
188112 -0.141200
188201 -0.202897
188202 -0.184998
188203 -0.168767
188204 -0.100405
188205 -0.374622
188206 -0.473881
188207 -0.394548
188208 -0.384080
188209 -0.338161
188210 -0.420546
188211 -0.206370
188212 -0.374396
188301 -0.219765
188302 -0.376404
188303 -0.260344
188304 -0.442828
188305 -0.182372
188306 -0.240893
188307 -0.344024
188308 -0.501370
188309 -0.363512
188310 -0.553003
188311 -0.438994
188312 -0.449257
188401 -0.556234
188402 -0.303832
188403 -0.476868
188404 -0.474647
188405 -0.430688
188406 -0.410677
188407 -0.466098
188408 -0.430890
188409 -0.295987
188410 -0.317696
188411 -0.510180
188412 -0.265564
188501 -0.269114
188502 -0.239504
188503 -0.358613
188504 -0.338796
188505 -0.363670
188506 -0.466974
188507 -0.526170
188508 -0.641076
188509 -0.277480
188510 0.077316
188511 -0.041035
188512 -0.053366
188601 -0.152751
188602 -0.206851
188603 -0.135061
188604 -0.167395
188605 -0.025989
188606 -0.337039
188607 -0.346044
188608 -0.407232
188609 -0.526885
188610 -0.520461
188611 -0.471270
188612 -0.650859
188701 -0.577730
188702 -0.599696
188703 -0.550408
188704 -0.575460
188705 -0.651096
188706 -0.586839
188707 -0.409792
188708 -0.431968
188709 -0.404082
188710 -0.281459
188711 -0.289914
188712 -0.231357
188801 -0.357671
188802 -0.280947
188803 -0.038522
188804 -0.088547
188805 -0.111823
188806 -0.170340
188807 -0.068772
188808 -0.160275
188809 -0.018818
188810 0.181784
188811 0.263066
188812 0.346151
188901 0.471801
188902 0.316028
188903 0.238185
188904 0.224236
188905 0.034263
188906 -0.058744
188907 -0.109483
188908 -0.265760
188909 -0.277221
188910 -0.335232
188911 -0.380217
188912 -0.357337
189001 -0.541647
189002 -0.480063
189003 -0.431530
189004 -0.564290
189005 -0.422080
189006 -0.610392
189007 -0.638280
189008 -0.745573
189009 -0.830752
189010 -0.776457
189011 -0.782516
189012 -0.486780
189101 -0.465374
189102 -0.315912
189103 -0.234075
189104 -0.117916
189105 -0.057167
189106 -0.209009
189107 -0.308630
189108 -0.312536
189109 -0.371210
189110 -0.168298
189111 -0.286787
189112 -0.168472
189201 -0.274743
189202 -0.142896
189203 -0.282518
189204 -0.524007
189205 -0.470690
189206 -0.656235
189207 -0.710125
189208 -0.810033
189209 -0.747338
189210 -0.793041
189211 -0.853228
189212 -0.569896
189301 -0.581250
189302 -0.679720
189303 -0.575548
189304 -0.639720
189305 -0.622473
189306 -0.599407
189307 -0.475286
189308 -0.498879
189309 -0.644743
189310 -0.432778
189311 -0.526553
189312 -0.483431
189401 -0.551604
189402 -0.632397
189403 -0.610957
189404 -0.616314
189405 -0.638256
189406 -0.528504
189407 -0.549158
189408 -0.620687
189409 -0.514853
189410 -0.535325
189411 -0.533501
189412 -0.484125
189501 -0.142150
189502 -0.243763
189503 -0.341776
189504 -0.402834
189505 -0.289808
189506 -0.377548
189507 -0.432023
189508 -0.192520
189509 -0.196978
189510 -0.156035
189511 0.010580
189512 -0.116439
189601 -0.132067
189602 -0.136859
189603 -0.024727
189604 0.031553
189605 -0.115226
189606 -0.096735
189607 -0.042150
189608 0.015552
189609 0.052763
189610 -0.023751
189611 0.382542
189612 0.419276
189701 0.287539
189702 0.173450
189703 0.332898
189704 0.230043
189705 0.104500
189706 -0.026497
189707 -0.002075
189708 0.080240
189709 -0.041240
189710 -0.018834
189711 -0.246013
189712 -0.418093
189801 -0.276865
189802 -0.437271
189803 -0.532146
189804 -0.577522
189805 -0.472134
189806 -0.461925
189807 -0.591226
189808 -0.642447
189809 -0.423724
189810 -0.468184
189811 -0.408983
189812 -0.462386
189901 -0.463048
189902 -0.520008
189903 -0.507286
189904 -0.488761
189905 -0.253258
189906 -0.372629
189907 -0.417911
189908 -0.166484
189909 -0.213745
189910 -0.044121
189911 -0.003072
189912 0.051228
190001 -0.024531
190002 0.106673
190003 -0.055459
190004 0.104370
190005 -0.107673
190006 -0.103059
190007 -0.055015
190008 -0.183408
190009 -0.149053
190010 -0.032599
190011 -0.074016
190012 0.056360
190101 -0.048515
190102 -0.126700
190103 -0.102593
190104 -0.123156
190105 -0.212003
190106 -0.356305
190107 -0.424657
190108 -0.222532
190109 -0.488029
190110 -0.302071
190111 -0.155841
190112 -0.310247
190201 -0.380101
190202 -0.343261
190203 -0.452374
190204 -0.305746
190205 -0.300048
190206 -0.361061
190207 -0.204178
190208 -0.319275
190209 -0.343168
190210 -0.337263
190211 -0.308183
190212 -0.135045
190301 -0.195871
190302 -0.167796
190303 -0.342442
190304 -0.399747
190305 -0.369564
190306 -0.429699
190307 -0.485842
190308 -0.632322
190309 -0.688988
190310 -0.624620
190311 -0.708729
190312 -0.745910
190401 -0.919561
190402 -0.953488
190403 -0.788992
190404 -0.772273
190405 -0.770616
190406 -0.741508
190407 -0.627041
190408 -0.576598
190409 -0.487440
190410 -0.528981
190411 -0.455949
190412 -0.262305
190501 -0.435352
190502 -0.378422
190503 -0.441186
190504 -0.531001
190505 -0.214163
190506 -0.272978
190507 -0.325368
190508 -0.230710
190509 -0.393932
190510 -0.289942
190511 -0.207382
190512 -0.186098
190601 -0.114653
190602 -0.027419
190603 -0.180002
190604 -0.235120
190605 -0.465690
190606 -0.401903
190607 -0.413942
190608 -0.444793
190609 -0.430313
190610 -0.610617
190611 -0.546749
190612 -0.455287
190701 -0.446494
190702 -0.458090
190703 -0.439545
190704 -0.455224
190705 -0.476323
190706 -0.466810
190707 -0.466393
190708 -0.523829
190709 -0.456918
190710 -0.443723
190711 -0.386194
190712 -0.411212
190801 -0.405544
190802 -0.495296
190803 -0.629506
190804 -0.546321
190805 -0.587511
190806 -0.677454
190807 -0.700055
190808 -0.665989
190809 -0.587681
190810 -0.657448
190811 -0.687616
190812 -0.679029
190901 -0.585388
190902 -0.564497
190903 -0.578384
190904 -0.507123
190905 -0.499798
190906 -0.550938
190907 -0.684160
190908 -0.513138
190909 -0.559582
190910 -0.610982
190911 -0.622176
190912 -0.616506
191001 -0.508961
191002 -0.530543
191003 -0.577063
191004 -0.544471
191005 -0.537359
191006 -0.458936
191007 -0.523059
191008 -0.600330
191009 -0.482564
191010 -0.477840
191011 -0.559288
191012 -0.614089
191101 -0.488229
191102 -0.656913
191103 -0.585316
191104 -0.761766
191105 -0.693725
191106 -0.665642
191107 -0.622846
191108 -0.587894
191109 -0.571004
191110 -0.440496
191111 -0.335161
191112 -0.293908
191201 -0.171639
191202 -0.268532
191203 -0.174108
191204 -0.037384
191205 -0.289867
191206 -0.204103
191207 -0.284996
191208 -0.415501
191209 -0.331775
191210 -0.403386
191211 -0.508273
191212 -0.422743
191301 -0.471423
191302 -0.280754
191303 -0.478762
191304 -0.629721
191305 -0.321489
191306 -0.358862
191307 -0.325894
191308 -0.382619
191309 -0.415085
191310 -0.323912
191311 -0.265447
191312 -0.142714
191401 -0.175620
191402 -0.175369
