time(yyyymm) ts_cwv ts_sst ts_tlt ts_tmt
198001 41.658457 300.191264 278.340351 263.507491
198002 41.496278 300.375790 278.629818 263.729955
198003 43.429374 300.684964 278.758317 263.786595
198004 45.466802 300.928707 278.900619 263.978797
198005 45.580768 300.880213 278.967757 264.169721
198006 43.594386 300.377657 278.577522 263.963958
198007 42.248296 299.915089 277.837133 263.426418
198008 41.897815 299.690842 277.609038 263.264228
198009 41.824930 299.780852 277.777861 263.384241
198010 42.630006 299.943590 277.946559 263.353066
198011 42.334671 300.072849 277.911530 263.224844
198012 41.582688 299.985194 277.948781 263.189813
198101 40.682830 299.899298 277.870341 263.122756
198102 41.917091 300.103943 278.188676 263.317400
198103 42.758118 300.556653 278.540578 263.662768
198104 44.694912 300.732923 278.653773 263.829673
198105 44.190939 300.681966 278.651104 263.895809
198106 42.330196 300.230179 278.137635 263.567421
198107 42.023363 299.816761 277.634760 263.210665
198108 40.786761 299.626239 277.557108 263.181761
198109 41.866055 299.810637 277.846292 263.314598
198110 41.923496 300.006142 278.015604 263.355912
198111 42.297275 300.104939 278.120147 263.364834
198112 42.871083 300.156383 278.158457 263.339915
198201 40.934373 299.956636 278.183647 263.266445
198202 41.422455 300.083409 278.162882 263.261279
198203 41.958888 300.379131 278.386759 263.552635
198204 43.812771 300.699056 278.474869 263.647793
198205 42.938819 300.700594 278.592382 263.891514
198206 42.641299 300.254057 278.149101 263.671458
198207 41.634339 299.698373 277.344092 263.051922
198208 41.988023 299.541070 277.349962 263.097331
198209 41.229938 299.727559 277.290576 263.007882
198210 41.192509 300.061052 277.434121 262.920754
198211 42.894851 300.194466 277.852851 263.271052
198212 42.913066 300.311665 278.125493 263.417280
198301 42.231013 300.342902 278.796850 264.047939
198302 42.134478 300.523031 278.822526 264.028087
198303 43.178774 300.749715 279.028885 264.255469
198304 43.932287 300.925928 278.845260 264.117938
198305 44.645785 300.811931 278.742665 264.100416
198306 43.500088 300.503199 278.333017 263.812169
198307 42.567999 299.913749 277.919445 263.512488
198308 42.383590 299.674267 277.709656 263.365393
198309 42.075947 299.757077 277.601094 263.191257
198310 42.153856 299.819459 277.621078 263.093526
198311 41.496805 299.941547 277.797619 263.069498
198312 41.217804 299.954357 277.732530 262.914270
198401 40.952966 299.963889 277.650838 262.831275
198402 41.654092 300.130217 277.974258 263.119694
198403 42.277750 300.454342 278.417803 263.423752
198404 43.635414 300.675569 278.434761 263.575740
198405 43.580261 300.469546 278.189589 263.458741
198406 42.551100 300.000217 277.899719 263.283644
198407 40.780438 299.627607 277.272583 262.744157
198408 40.711705 299.421614 277.460872 262.958672
198409 40.414071 299.638893 277.294195 262.723638
198410 41.451833 299.685327 277.643746 262.974037
198411 42.098780 299.844982 277.695741 262.900595
198412 41.362971 299.728006 277.853542 262.981379
198501 40.541280 299.659021 277.900964 262.939325
198502 41.190175 299.861394 277.999559 263.101283
198503 42.536073 300.130371 278.109663 263.231156
198504 43.692506 300.346516 278.113491 263.270714
198505 43.285809 300.265643 278.087300 263.375893
198506 40.839757 299.823977 277.651520 263.099430
198507 40.727424 299.485184 276.956096 262.493046
198508 41.477764 299.285980 277.235119 262.823131
198509 41.412389 299.392974 277.291311 262.858457
198510 41.194288 299.586839 277.433393 262.883411
198511 41.637219 299.783586 277.684960 262.953556
198512 41.178267 299.782353 277.755588 262.921248
198601 41.434288 299.707056 277.955156 263.104675
198602 40.470098 299.974870 277.763617 262.935774
198603 42.703399 300.266554 278.176260 263.301682
198604 43.925400 300.522936 278.349806 263.511038
198605 43.154997 300.453711 278.353127 263.587142
198606 42.810036 300.097699 278.052729 263.420074
198607 41.225725 299.660819 277.415959 262.937113
198608 40.737959 299.403161 277.599172 263.075439
198609 41.617717 299.564845 277.655922 263.073442
198610 41.352872 299.859908 277.880992 263.193026
198611 42.551261 300.024741 278.049010 263.240590
198612 42.341690 299.964281 278.219337 263.370301
198701 41.588400 299.968428 278.425287 263.519996
198702 42.110979 300.151134 278.672616 263.694553
198703 42.380484 300.636132 278.700050 263.746737
198704 44.258797 300.799903 278.878787 264.042477
198705 45.144129 300.808018 278.584752 263.829706
198706 43.583464 300.410780 278.657295 264.009774
198707 41.948378 300.018721 278.036601 263.566337
198708 41.988715 299.832288 277.976915 263.548374
198709 42.488233 299.971472 278.106188 263.630262
198710 42.835775 300.201814 278.421026 263.802062
198711 43.799646 300.396411 278.735931 263.979212
198712 42.979672 300.345417 279.001908 264.059277
198801 43.208500 300.289718 278.705608 263.871446
198802 42.515942 300.445708 278.774608 263.969401
198803 43.416296 300.740949 279.292732 264.347516
198804 44.919553 300.877410 278.947103 264.099094
198805 44.374821 300.644246 278.932173 264.169363
198806 42.338722 300.133699 278.146839 263.593781
198807 41.657813 299.663422 277.783730 263.339237
198808 41.457678 299.487981 277.909534 263.370544
198809 41.652271 299.594346 277.983530 263.389379
198810 41.519309 299.710498 277.988089 263.315341
198811 41.483145 299.719430 277.973293 263.201320
198812 40.607948 299.642711 277.608011 262.842163
198901 40.893052 299.658155 277.777253 263.051467
198902 40.565391 299.830421 277.794870 262.936920
198903 40.811947 300.155132 277.896575 263.001903
198904 43.419822 300.416641 278.220775 263.426256
198905 43.089621 300.351138 278.256830 263.530631
198906 41.708426 299.943179 277.743036 263.178349
198907 41.163940 299.618738 277.459835 263.020306
198908 40.527308 299.420119 277.434437 263.055188
198909 41.521336 299.558071 277.560046 263.144639
198910 42.059385 299.750816 277.826545 263.249859
198911 42.028682 299.892163 278.195752 263.407075
198912 41.086535 299.882680 278.245994 263.444201
199001 41.868774 299.865918 278.212139 263.434770
199002 42.187272 300.225901 278.363641 263.471561
199003 43.628486 300.462994 278.553540 263.746107
199004 43.950551 300.779815 278.761345 263.997177
199005 44.903907 300.629561 278.817903 264.141597
199006 42.896604 300.140514 278.317197 263.796225
199007 41.234026 299.730989 277.626049 263.218622
199008 41.523509 299.582028 277.726244 263.341533
199009 41.950549 299.651593 277.825197 263.359904
199010 42.486426 299.923221 278.095872 263.503766
199011 42.857967 300.023470 278.246736 263.615326
199012 42.237288 300.036167 278.333034 263.603192
199101 41.412478 300.011703 278.641686 263.760527
199102 41.671498 300.182921 278.757396 263.866949
199103 41.878423 300.459922 278.830190 263.992028
199104 43.984512 300.753414 278.762907 263.911800
199105 43.350797 300.748594 278.962894 264.188987
199106 42.432983 300.330917 278.627191 264.016298
199107 42.304742 299.877411 277.852606 263.422169
199108 42.725229 299.633592 277.660918 263.359603
199109 40.988124 299.663483 277.736881 263.405575
199110 41.331799 299.869924 277.575727 263.112347
199111 42.300563 299.990912 277.982097 263.315843
199112 41.646162 300.033310 278.192442 263.448404
199201 40.816310 300.007402 278.266493 263.457181
199202 41.138389 300.205408 278.564334 263.755047
199203 42.830350 300.486307 278.762583 264.034812
199204 43.970361 300.788095 278.927060 264.171304
199205 44.713540 300.771399 278.810466 264.120836
199206 42.804810 300.266146 278.413741 263.856818
199207 41.666068 299.765451 277.549453 263.148746
199208 41.110616 299.475814 277.497839 263.156007
199209 41.087983 299.575867 277.449388 263.112898
199210 41.198044 299.743485 277.849285 263.290777
199211 41.015362 299.842531 277.767870 263.148417
199212 40.521342 299.799827 277.984269 263.295747
199301 40.028608 299.886163 277.994956 263.326015
199302 40.074932 300.086065 278.067274 263.324730
199303 42.290662 300.404408 278.377625 263.538373
199304 44.012875 300.702601 278.755047 263.953566
199305 44.241372 300.698172 278.814370 264.089284
199306 42.617176 300.229580 278.494170 263.898875
199307 41.551688 299.765816 277.891793 263.424108
199308 40.758507 299.513198 277.730398 263.252274
199309 41.488055 299.671922 277.739737 263.185278
199310 42.382730 299.891728 278.251484 263.549760
199311 42.467916 300.111578 278.592230 263.724871
199312 42.634026 300.057486 278.934659 263.993555
199401 40.924423 300.018031 278.674192 263.709361
199402 41.309967 300.113031 278.613294 263.686485
199403 42.555086 300.501539 278.647902 263.756191
199404 43.919818 300.711225 278.890196 263.983591
199405 43.955749 300.661697 278.952396 264.132955
199406 42.250468 300.164528 278.416016 263.753012
199407 41.523054 299.685922 277.904752 263.373621
199408 41.642487 299.518778 277.831240 263.329159
199409 40.915092 299.564180 278.051227 263.481647
199410 41.627728 299.927324 278.054860 263.321888
199411 42.546504 300.082354 278.472146 263.586403
199412 41.891674 300.045128 278.786390 263.899618
199501 41.485921 300.049181 278.764476 263.869805
199502 41.515065 300.311076 278.777928 263.827745
199503 42.433511 300.600024 278.822276 263.964305
199504 43.910353 300.802455 279.158840 264.273645
199505 43.423527 300.669112 278.832962 264.075419
199506 42.314557 300.341632 278.620960 263.986175
199507 42.186640 299.922144 277.902097 263.386310
199508 41.933187 299.620069 278.111295 263.607895
199509 41.561436 299.661523 278.201749 263.634275
199510 41.502291 299.811080 278.211005 263.568636
199511 41.517039 300.019207 278.310364 263.535989
199512 40.567218 299.989251 278.282792 263.433986
199601 40.700737 299.904796 278.187319 263.318036
199602 41.242640 300.135966 278.548464 263.651354
199603 42.310911 300.475219 278.878069 263.934230
199604 44.131452 300.661795 278.927045 264.001684
199605 42.976898 300.551085 278.785048 263.955109
199606 42.561386 300.227968 278.447167 263.721771
199607 40.826442 299.784092 278.024620 263.366124
199608 40.751669 299.565274 277.839324 263.211195
199609 41.261505 299.651412 278.190675 263.538731
199610 41.774477 299.830108 278.162929 263.499006
199611 41.283668 299.926108 278.137432 263.401362
199612 41.408783 299.860669 278.304165 263.436562
199701 40.222818 299.801135 278.270204 263.393352
199702 41.595542 299.984768 278.308504 263.510247
199703 42.667550 300.381590 278.378034 263.613017
199704 43.208277 300.659669 278.468631 263.648583
199705 43.649541 300.706629 278.756818 263.944916
199706 42.735561 300.387565 278.426255 263.768318
199707 43.207105 300.038734 278.389264 263.877767
199708 41.745435 299.838240 278.228609 263.710612
199709 42.107856 300.029240 278.433221 263.829187
199710 43.098722 300.357853 278.625239 263.917202
199711 43.193239 300.613242 278.934683 264.054918
199712 43.732459 300.617328 279.569734 264.520010
199801 43.227366 300.578966 279.974049 264.897180
199802 42.786526 300.809701 280.177483 265.145629
199803 43.941016 301.039623 280.142909 265.173121
199804 45.659974 301.159097 280.228956 265.318422
199805 45.775852 301.081057 279.880884 265.051941
199806 43.789016 300.551557 279.083329 264.362047
199807 42.852099 300.082224 278.316686 263.761036
199808 42.405167 299.860609 278.253690 263.775353
199809 41.915873 299.802158 278.197061 263.718970
199810 42.222968 299.923202 278.474304 263.874320
199811 42.002699 300.036963 278.326986 263.614068
199812 41.478143 299.902796 278.477200 263.623863
199901 40.572192 299.783352 278.257284 263.443421
199902 41.703084 300.010482 278.251337 263.409502
199903 43.346920 300.382262 278.574544 263.651217
199904 43.648052 300.529124 278.532803 263.707169
199905 42.684633 300.447219 278.290228 263.566823
199906 41.296621 300.034402 277.809744 263.276379
199907 41.274682 299.693920 277.413320 263.017783
199908 40.321038 299.412196 277.422078 263.038334
199909 40.609846 299.516731 277.492960 263.046243
199910 41.073132 299.682540 277.777256 263.191595
199911 41.343516 299.807306 277.899129 263.197884
199912 40.678851 299.810504 278.014409 263.231926
200001 39.841453 299.773512 277.963591 263.195484
200002 40.757883 300.026047 278.066195 263.266050
200003 42.036139 300.289016 278.252885 263.439652
200004 44.352164 300.596388 278.545766 263.718238
200005 43.519568 300.448535 278.535821 263.829994
200006 41.730358 300.016883 277.989574 263.425872
200007 40.914799 299.615713 277.495998 263.026707
200008 41.124360 299.540712 277.705149 263.190530
200009 41.290878 299.696587 277.879919 263.266749
200010 42.331424 299.860856 278.401167 263.563946
200011 41.603662 300.015624 278.635694 263.646581
200012 41.172873 299.872273 278.664166 263.652403
200101 40.751202 299.931178 278.312214 263.355672
200102 41.577418 300.101493 278.631603 263.632242
200103 42.377765 300.590408 278.676662 263.701126
200104 44.387535 300.814228 279.011293 264.113972
200105 43.405950 300.785993 278.885449 264.103685
200106 42.532823 300.346890 278.315705 263.640192
200107 41.293658 299.912057 277.864979 263.347552
200108 41.603139 299.682522 278.049950 263.604997
200109 41.331303 299.787541 277.854400 263.341672
200110 41.494881 299.975542 278.360285 263.691902
200111 42.166985 300.090068 278.443857 263.710510
200112 41.807251 300.045906 278.601067 263.734541
200201 41.350706 300.100964 278.636578 263.715527
200202 41.585825 300.235887 278.686517 263.812648
200203 43.473835 300.707633 278.955381 264.059393
200204 44.801648 300.966872 278.970925 264.135984
200205 44.349067 300.900552 279.163017 264.390332
200206 43.073235 300.521355 278.709783 264.027735
200207 41.680194 299.964117 278.410809 263.815900
200208 41.422920 299.711085 278.225981 263.629717
200209 41.471957 299.838766 278.416817 263.693960
200210 42.785569 300.131580 278.652049 263.794808
200211 43.250948 300.299666 278.826350 263.939179
200212 42.203948 300.409662 279.079213 264.116619
200301 41.776995 300.466838 279.188405 264.192987
200302 41.945431 300.629947 279.287124 264.305694
200303 42.458952 300.887096 279.170548 264.219537
200304 43.909694 301.069869 279.280559 264.346688
200305 44.013483 300.852097 279.128689 264.348627
200306 41.721481 300.486344 278.393432 263.771233
200307 42.505271 300.138084 278.170843 263.638516
200308 40.814693 299.995472 278.131923 263.641516
200309 41.407333 300.079959 278.261928 263.673897
200310 41.639396 300.370453 278.769170 263.965022
200311 43.000222 300.420278 278.948379 264.029070
200312 42.621050 300.363199 279.009280 264.051000
200401 41.207630 300.422682 279.133169 264.107611
200402 41.964573 300.537554 279.141217 264.147370
200403 43.428692 300.785590 279.199520 264.271772
200404 44.540056 301.038874 279.126286 264.266210
200405 43.856637 300.818121 279.030920 264.263542
200406 42.532518 300.345944 278.402318 263.789430
200407 41.298479 299.960059 277.699807 263.238547
200408 40.600064 299.839782 278.107666 263.602331
200409 41.686470 300.043864 278.065475 263.493795
200410 42.257172 300.238584 278.547559 263.785020
200411 42.676072 300.432514 278.773772 263.929238
200412 42.409907 300.440393 278.846962 263.970054
200501 41.668488 300.475551 278.937346 264.063660
200502 41.876981 300.604339 279.274168 264.370054
200503 42.369002 300.957568 279.447029 264.448603
200504 44.686956 301.140765 279.549095 264.611276
200505 43.704283 301.114689 279.255556 264.392004
200506 42.431184 300.594936 278.925185 264.182453
