time(yyyymm) ts_sst
198109 26.476036
198110 26.770007
198111 26.834114
198112 26.870505
198201 26.836183
198202 26.960959
198203 27.249852
198204 27.572192
198205 27.577794
198206 27.132585
198207 26.570298
198208 26.405815
198209 26.588356
198210 26.926359
198211 27.061176
198212 27.185720
198301 27.217523
198302 27.391271
198303 27.613700
198304 27.792337
198305 27.685947
198306 27.381526
198307 26.788921
198308 26.542750
198309 26.620679
198310 26.684092
198311 26.813682
198312 26.829177
198401 26.840611
198402 27.003935
198403 27.326479
198404 27.547152
198405 27.345283
198406 26.878157
198407 26.503649
198408 26.290231
198409 26.504912
198410 26.552591
198411 26.718532
198412 26.606259
198501 26.534012
198502 26.732878
198503 26.999530
198504 27.217903
198505 27.140348
198506 26.702688
198507 26.361703
198508 26.154262
198509 26.258645
198510 26.453038
198511 26.657063
198512 26.659148
198601 26.583988
198602 26.849286
198603 27.137343
198604 27.392847
198605 27.330409
198606 26.975302
198607 26.536009
198608 26.273219
198609 26.430607
198610 26.726845
198611 26.901071
198612 26.840982
198701 26.845092
198702 27.023264
198703 27.504444
198704 27.669493
198705 27.684938
198706 27.288247
198707 26.891937
198708 26.699313
198709 26.830812
198710 27.064391
198711 27.266410
198712 27.141613
198801 27.161777
198802 27.317611
198803 27.608705
198804 27.747821
198805 27.513911
198806 27.007699
198807 26.534838
198808 26.354856
198809 26.459419
198810 26.577806
198811 26.593566
198812 26.522032
198901 26.533108
198902 26.703596
198903 27.029360
198904 27.289999
198905 27.227405
198906 26.821350
198907 26.493306
198908 26.290676
198909 26.425278
198910 26.619157
198911 26.763727
198912 26.759502
199001 26.741445
199002 27.094964
199003 27.330603
199004 27.647548
199005 27.503876
199006 27.017595
199007 26.604107
199008 26.449338
199009 26.515451
199010 26.788773
199011 26.894012
199012 26.914358
199101 26.887667
199102 27.056918
199103 27.327845
199104 27.623344
199105 27.624516
199106 27.206960
199107 26.750626
199108 26.500932
199109 26.525529
199110 26.734968
199111 26.860993
199112 26.907168
199201 26.880734
199202 27.077674
199203 27.352656
199204 27.657473
199205 27.646426
199206 27.142571
199207 26.638243
199208 26.341425
199209 26.438748
199210 26.610847
199211 26.713152
199212 26.676549
199301 26.763305
199302 26.959206
199303 27.274855
199304 27.573914
199305 27.571600
199306 27.105307
199307 26.639841
199308 26.380037
199309 26.534755
199310 26.754641
199311 26.981390
199312 26.934750
199401 26.896145
199402 26.987253
199403 27.373286
199404 27.582743
199405 27.536801
199406 27.041513
199407 26.558747
199408 26.385244
199409 26.424993
199410 26.789348
199411 26.949456
199412 26.920740
199501 26.924966
199502 27.185442
199503 27.471515
199504 27.674934
199505 27.547926
199506 27.220789
199507 26.798393
199508 26.490671
199509 26.527347
199510 26.678480
199511 26.894498
199512 26.869169
199601 26.782404
199602 27.009106
199603 27.346659
199604 27.537624
199605 27.429249
199606 27.106148
199607 26.660395
199608 26.436017
199609 26.518744
199610 26.701329
199611 26.803267
199612 26.741961
199701 26.680864
199702 26.860203
199703 27.251885
199704 27.533046
199705 27.582381
199706 27.263478
199707 26.913034
199708 26.705083
199709 26.891771
199710 27.222303
199711 27.482046
199712 27.494759
199801 27.455834
199802 27.681123
199803 27.908439
199804 28.026719
199805 27.955730
199806 27.429945
199807 26.960085
199808 26.732116
199809 26.671528
199810 26.795426
199811 26.916124
199812 26.784770
199901 26.665250
199902 26.891021
199903 27.259227
199904 27.407344
199905 27.328900
199906 26.915989
199907 26.572869
199908 26.283797
199909 26.384040
199910 26.553667
199911 26.685568
199912 26.694901
200001 26.653577
200002 26.902366
200003 27.163932
200004 27.472185
200005 27.329860
200006 26.898442
200007 26.493400
200008 26.412271
200009 26.565094
200010 26.732336
200011 26.893094
200012 26.752753
200101 26.811200
200102 26.978495
200103 27.467910
200104 27.691002
200105 27.666224
200106 27.227246
200107 26.788263
200108 26.550376
200109 26.652508
200110 26.842639
200111 26.963473
200112 26.922880
200201 26.979118
200202 27.109797
200203 27.578138
200204 27.841014
200205 27.778221
200206 27.401032
200207 26.837829
200208 26.579071
200209 26.702377
200210 26.995880
200211 27.172162
200212 27.285938
200301 27.245633
200302 27.380956
200303 27.648196
200304 27.829444
200305 27.618100
200306 27.262821
200307 26.913900
200308 26.765931
200309 26.847351
200310 27.136361
200311 27.210840
200312 27.152548
200401 27.192094
200402 27.302041
200403 27.541622
200404 27.804375
200405 27.571251
200406 27.110627
200407 26.732097
200408 26.601069
200409 26.806084
200410 26.987633
200411 27.194343
200412 27.204795
200501 27.271259
200502 27.390801
200503 27.742711
200504 27.932800
200505 27.897356
200506 27.394829
200507 26.926235
200508 26.740997
200509 26.770060
200510 26.962715
200511 27.000403
200512 27.005664
200601 26.909687
200602 27.183541
200603 27.444593
200604 27.740184
200605 27.738982
200606 27.367144
200607 26.819566
200608 26.703520
200609 26.889907
200610 27.073733
200611 27.321337
200612 27.323109
200701 27.266624
200702 27.413068
200703 27.590675
200704 27.835872
200705 27.691220
200706 27.404728
200707 26.858694
200708 26.591612
200709 26.687449
200710 26.778899
200711 26.791500
200712 26.807455
200801 26.765804
200802 26.950450
200803 27.316243
200804 27.592348
200805 27.580482
200806 27.148863
200807 26.803842
200808 26.675257
200809 26.842313
200810 27.022925
200811 27.103894
200812 27.012656
200901 27.002846
200902 27.110668
200903 27.492107
200904 27.811208
200905 27.850932
200906 27.599714
200907 27.154284
200908 26.961281
200909 26.993836
200910 27.237156
200911 27.416679
200912 27.496847
201001 27.424070
201002 27.583622
201003 27.948804
201004 28.242266
201005 28.078075
201006 27.560422
201007 27.006376
201008 26.626945
201009 26.622649
201010 26.843613
201011 26.911442
201012 26.880260
201101 26.778479
201102 27.011018
201103 27.380670
201104 27.629714
201105 27.586186
201106 27.190773
201107 26.745003
201108 26.535293
201109 26.535870
201110 26.773134
201111 26.938530
201112 26.857403
201201 26.883223
201202 27.080787
201203 27.374645
201204 27.751212
201205 27.735859
201206 27.288023
201207 26.858479
201208 26.678321
201209 26.829958
201210 27.019615
201211 27.259678
201212 27.207465
201301 27.133580
201302 27.318624
201303 27.602475
201304 27.902437
201305 27.773113
201306 27.228605
201307 26.810970
201308 26.654320
201309 26.814802
201310 26.988343
201311 27.193728
201312 27.121576
201401 27.067885
201402 27.169467
201403 27.580007
201404 27.968170
201405 27.962542
201406 27.631172
201407 27.038362
201408 26.847923
201409 26.923613
201410 27.210788
201411 27.379871
201412 27.343664
201501 27.296828
201502 27.484723
201503 27.756217
201504 28.130880
201505 28.055153
201506 27.667382
201507 27.290508
201508 27.101519
201509 27.332984
201510 27.587727
201511 27.802428
201512 27.797516
