time(yyyymm) ts_cwv
198801 41.964218
198802 41.821567
198803 42.630951
198804 44.045712
198805 43.243072
198806 41.044483
198807 40.185414
198808 40.036036
198809 40.173948
198810 40.285151
198811 40.196448
198812 39.471871
198901 39.732259
198902 39.354577
198903 39.990648
198904 42.425228
198905 42.000104
198906 40.363540
198907 39.753033
198908 39.341556
198909 40.289489
198910 40.785212
198911 41.209745
198912 40.071356
199001 40.733885
199002 41.120395
199003 42.748513
199004 43.239225
199005 43.838774
199006 41.727170
199007 40.039866
199008 40.351339
199009 40.880745
199010 41.205470
199011 41.961265
199012 41.308538
199101 40.717931
199102 40.794781
199103 41.498584
199104 43.455642
199105 42.934241
199106 41.930981
199107 41.323761
199108 41.832706
199109 40.585388
199110 40.573818
199111 41.633818
199112 40.994743
199201 40.658028
199202 40.901153
199203 42.584533
199204 43.705854
199205 44.194803
199206 41.937990
199207 40.801814
199208 40.387291
199209 40.112403
199210 40.573701
199211 40.546350
199212 39.962357
199301 39.534368
199302 39.772728
199303 41.548818
199304 43.357603
199305 43.705309
199306 42.064396
199307 40.984295
199308 40.230327
199309 40.829935
199310 41.841354
199311 42.274172
199312 42.317304
199401 40.735607
199402 41.144900
199403 42.239174
199404 43.362887
199405 43.351167
199406 41.665427
199407 40.814796
199408 40.790320
199409 40.438686
199410 41.172718
199411 42.033516
199412 41.839202
199501 41.347400
199502 41.266209
199503 42.264404
199504 43.695769
199505 43.426085
199506 42.007488
199507 41.692377
199508 41.397836
199509 41.027358
199510 40.987298
199511 41.027087
199512 40.235097
199601 40.467284
199602 41.010311
199603 42.124515
199604 43.750462
199605 42.662791
199606 42.012992
199607 40.294133
199608 40.131315
199609 40.601475
199610 41.224110
199611 40.826944
199612 41.000213
199701 40.050628
199702 41.078906
199703 42.378346
199704 43.023669
199705 43.591743
199706 42.337676
199707 42.947837
199708 41.700963
199709 42.118408
199710 43.132444
199711 43.225655
199712 43.840517
199801 43.486162
199802 43.102266
199803 44.253689
199804 45.935454
199805 45.808675
199806 43.374734
199807 42.261197
199808 41.869976
199809 41.598114
199810 41.870845
199811 41.655354
199812 41.106038
199901 40.324357
199902 41.408579
199903 42.857761
199904 43.372575
199905 42.403625
199906 40.895950
199907 40.717559
199908 39.998094
199909 40.232333
199910 40.783229
199911 41.070064
199912 40.611872
200001 39.827759
200002 40.586575
200003 41.896314
200004 44.055597
200005 43.308990
200006 41.374946
200007 40.613246
200008 40.721438
200009 40.879118
200010 42.062349
200011 41.449217
200012 41.086686
200101 40.695131
200102 41.683878
200103 42.459771
200104 44.403764
200105 43.357700
200106 42.342373
200107 41.089818
200108 41.452922
200109 41.193297
200110 41.718380
200111 42.306184
200112 42.066415
200201 41.537787
200202 41.926104
200203 43.810035
200204 45.141537
200205 44.582980
200206 43.060696
200207 41.746587
200208 41.507146
200209 41.587873
200210 42.978639
200211 43.479862
200212 42.596683
200301 42.066799
200302 42.361624
200303 42.855704
200304 44.272608
200305 44.227913
200306 41.890678
200307 42.504074
200308 40.972672
200309 41.522030
200310 41.948166
200311 43.253618
200312 42.909080
200401 41.494570
200402 42.270978
200403 43.637625
200404 44.671811
200405 44.039593
200406 42.381097
200407 41.249797
200408 40.670231
200409 41.634891
200410 42.372691
200411 42.897198
200412 42.730385
200501 42.142895
200502 42.290149
200503 42.853429
200504 45.111156
200505 43.889525
200506 42.499130
200507 42.118938
200508 41.145656
200509 42.061188
200510 42.274380
200511 42.226978
200512 41.479653
200601 41.752220
200602 42.327231
200603 42.722473
200604 44.048430
200605 43.342894
200606 42.852509
200607 41.686289
200608 41.340456
200609 42.232797
200610 42.864236
200611 42.744818
200612 43.341246
200701 42.423610
200702 41.868589
200703 43.190499
200704 44.523702
200705 44.278784
200706 43.006323
200707 41.116389
200708 41.505293
200709 41.852947
200710 41.300676
200711 41.624470
200712 40.981556
200801 40.813511
200802 40.466061
200803 41.877379
200804 42.913773
200805 41.928438
200806 41.739018
200807 40.660168
200808 41.366008
200809 41.904119
200810 42.563603
200811 42.575505
200812 41.349915
200901 41.243917
200902 42.094129
200903 42.847376
200904 44.287155
200905 43.915107
200906 42.508459
200907 42.569003
200908 42.247216
200909 43.039633
200910 42.543542
200911 43.290373
200912 42.515965
201001 42.554268
201002 43.131795
201003 44.727430
201004 46.187936
201005 45.521492
