time(yyyymm) ts_tlt
198101 278.352243
198102 278.450074
198103 278.684972
198104 278.907673
198105 278.979338
198106 278.588333
198107 278.224865
198108 278.156409
198109 278.308839
198110 278.439170
198111 278.485169
198112 278.448666
198201 278.394244
198202 278.418548
198203 278.685477
198204 278.810317
198205 278.926894
198206 278.741323
198207 278.168266
198208 278.196280
198209 278.197534
198210 278.189265
198211 278.540690
198212 278.675651
198301 279.197793
198302 279.164229
198303 279.402380
198304 279.414308
198305 279.346892
198306 278.939839
198307 278.632530
198308 278.495908
198309 278.406120
198310 278.376316
198311 278.420734
198312 278.295600
198401 278.106411
198402 278.325393
198403 278.703918
198404 278.820312
198405 278.712472
198406 278.410742
198407 277.871623
198408 278.086541
198409 277.886797
198410 278.214811
198411 278.183256
198412 278.285861
198501 278.151874
198502 278.345956
198503 278.410314
198504 278.391189
198505 278.559093
198506 278.274101
198507 277.680050
198508 277.945200
198509 277.957553
198510 278.182514
198511 278.248510
198512 278.271512
198601 278.414818
198602 278.204529
198603 278.505810
198604 278.788463
198605 278.802638
198606 278.514211
198607 278.043260
198608 278.177690
198609 278.235620
198610 278.380742
198611 278.506914
198612 278.685052
198701 278.729346
198702 278.788767
198703 278.899790
198704 279.289338
198705 279.112591
198706 279.168963
198707 278.686323
198708 278.679955
198709 278.748996
198710 278.928796
198711 279.076997
198712 279.200215
198801 278.910552
198802 278.857854
198803 279.219662
198804 279.049891
198805 279.201024
198806 278.596786
198807 278.355013
198808 278.354623
198809 278.369613
198810 278.273974
198811 278.209347
198812 277.889956
198901 278.020568
198902 277.969471
198903 278.096503
198904 278.510376
198905 278.579444
198906 278.239897
198907 278.051439
198908 278.075484
198909 278.145257
198910 278.290283
198911 278.490934
198912 278.339289
199001 278.338548
199002 278.368617
199003 278.688610
199004 278.959047
199005 279.054774
199006 278.783599
199007 278.228511
199008 278.332634
199009 278.361133
199010 278.521307
199011 278.696392
199012 278.637274
199101 278.757699
199102 278.777463
199103 279.006837
199104 279.022981
199105 279.246236
199106 279.064194
199107 278.493758
199108 278.415959
199109 278.462223
199110 278.171305
199111 278.353932
199112 278.486009
199201 278.477109
199202 278.695023
199203 278.991977
199204 279.118737
199205 279.017162
199206 278.808130
199207 278.132603
199208 278.189464
199209 278.145009
199210 278.304348
199211 278.268997
199212 278.329034
199301 278.317715
199302 278.278033
199303 278.532014
199304 278.953475
199305 279.033307
199306 278.882436
199307 278.436464
199308 278.240323
199309 278.214744
199310 278.588520
199311 278.733694
199312 278.871310
199401 278.615588
199402 278.631868
199403 278.721907
199404 278.942895
199405 279.043002
199406 278.725887
199407 278.402916
199408 278.336394
199409 278.480176
199410 278.328691
199411 278.545398
199412 278.854715
199501 278.773571
199502 278.696812
199503 278.937639
199504 279.268388
199505 279.172558
199506 279.063124
199507 278.496468
199508 278.633436
199509 278.620734
199510 278.592163
199511 278.559744
199512 278.438224
199601 278.308827
199602 278.540952
199603 278.884911
199604 278.997102
199605 279.012015
199606 278.792388
199607 278.464174
199608 278.320731
199609 278.541432
199610 278.547232
199611 278.484224
199612 278.411953
199701 278.267653
199702 278.396769
199703 278.606465
199704 278.746822
199705 279.038075
199706 278.776954
199707 278.835313
199708 278.741410
199709 278.815781
199710 278.868188
199711 278.964104
199712 279.352455
199801 279.690069
199802 279.903167
199803 279.946624
199804 280.102804
199805 279.987578
199806 279.369125
199807 278.809844
199808 278.796878
199809 278.735632
199810 278.821365
199811 278.638283
199812 278.593416
199901 278.351879
199902 278.343424
199903 278.625665
199904 278.807616
199905 278.728994
199906 278.418574
199907 278.173425
199908 278.182700
199909 278.172466
199910 278.292297
199911 278.317262
199912 278.289791
200001 278.216418
200002 278.296223
200003 278.487415
200004 278.824601
200005 278.932268
200006 278.555246
200007 278.204948
200008 278.310162
200009 278.299839
200010 278.605572
200011 278.686020
200012 278.634613
200101 278.386750
200102 278.598731
200103 278.731753
200104 279.117920
200105 279.116453
200106 278.718864
200107 278.462670
200108 278.651729
200109 278.424226
200110 278.780613
200111 278.789753
200112 278.777326
200201 278.696032
200202 278.811795
200203 279.062449
200204 279.168857
200205 279.403605
200206 279.065390
200207 278.800929
200208 278.678396
200209 278.675356
200210 278.794349
200211 278.940621
200212 279.112578
200301 279.075548
200302 279.208015
200303 279.216685
200304 279.327095
200305 279.325538
200306 278.845592
200307 278.677731
200308 278.659312
200309 278.672186
200310 278.915427
200311 278.944523
200312 278.962535
200401 278.986594
200402 279.083037
200403 279.233595
200404 279.254033
200405 279.233870
200406 278.818306
200407 278.338884
200408 278.604098
200409 278.517633
200410 278.829269
200411 278.948547
200412 278.982086
200501 279.035348
200502 279.287540
200503 279.488511
200504 279.552020
200505 279.387481
200506 279.147550
200507 278.868934
200508 278.696425
200509 278.842447
200510 278.769587
200511 278.911850
200512 278.815694
200601 278.685568
200602 278.955708
200603 278.951411
200604 279.105043
200605 279.067073
200606 278.967793
200607 278.728502
200608 278.683900
200609 278.690439
200610 278.964901
200611 278.928602
200612 279.167515
200701 279.294953
200702 279.125793
200703 279.160213
200704 279.261216
200705 279.313414
200706 279.054344
200707 278.747594
200708 278.578133
200709 278.684767
200710 278.570029
200711 278.607847
200712 278.454712
200801 278.383440
200802 278.385401
200803 278.448400
200804 278.690490
200805 278.691135
200806 278.631883
200807 278.403786
200808 278.350334
200809 278.596385
200810 278.747265
200811 278.781801
200812 278.668549
200901 278.571746
200902 278.731070
200903 278.807182
200904 279.231274
200905 279.186802
200906 279.003815
200907 278.982324
200908 278.900131
200909 279.060545
200910 279.016211
200911 279.150302
200912 279.233484
201001 279.346476
201002 279.598958
201003 279.756669
201004 279.841376
201005 279.913324
201006 279.326592
201007 278.862646
201008 278.782723
201009 278.684835
201010 278.635305
201011 278.502861
201012 278.331731
201101 278.235643
201102 278.388505
201103 278.608284
201104 278.908428
201105 279.044485
201106 278.938684
201107 278.606052
201108 278.640325
201109 278.639989
201110 278.475101
201111 278.634994
201112 278.641157
201201 278.451523
201202 278.439213
201203 278.763119
201204 278.914093
201205 279.075246
201206 278.794000
201207 278.638900
201208 278.624754
201209 278.762693
201210 278.843659
201211 279.015795
201212 278.979510
201301 279.108614
201302 279.015319
201303 279.235842
201304 279.399447
201305 279.273420
201306 279.031903
201307 278.549224
201308 278.574208
201309 278.720078
201310 278.706096
201311 278.767186
201312 278.800843
201401 278.671303
201402 278.786769
201403 279.058146
201404 279.352048
201405 279.416469
201406 279.361047
201407 278.977295
201408 278.620797
201409 278.757627
201410 278.894980
201411 279.041544
201412 279.068034
201501 278.941103
201502 278.804793
201503 279.140153
201504 279.354181
201505 279.493078
201506 279.366388
201507 279.002771
201508 279.055927
201509 279.173496
201510 279.362381
201511 279.411430
201512 279.560490
201601 279.715547
201602 279.903499
201603 280.154990
201604 280.124279
201605 279.899613
201606 279.329912
201607 279.007373
201608 279.041800
201609 279.016906
201610 279.164564
201611 279.136012
201612 279.049850
201701 278.935772
201702 279.097385
201703 279.239659
201704 279.511418
201705 279.639242
201706 279.298226
201707 279.066961
201708 279.010575
201709 279.089853
201710 279.081992
201711 278.990872
201712 278.970885
201801 278.724797
201802 278.822927
201803 279.076312
201804 279.179655
201805 279.272067
201806 279.057831
201807 278.866209
201808 278.763727
201809 278.867415
201810 279.051574
201811 279.250470
201812 279.208742
201901 279.171990
201902 279.355988
201903 279.547211
201904 279.825663
201905 279.689777
201906 279.608681
201907 279.050792
201908 279.092722
201909 279.149713
201910 279.007001
201911 279.243143
201912 279.390237
202001 279.411594
202002 279.579889
202003 279.655455
202004 279.763253
202005 279.954621
202006 279.426003
202007 279.075368
202008 279.160516
202009 279.033803
202010 279.029642
202011 279.030928
202012 278.876364
202101 278.797106
202102 278.814345
202103 278.915102
202104 279.189915
202105 279.480090
202106 279.015314
202107 278.921483
202108 278.794623
202109 278.872934
202110 279.078559
202111 278.968278
202112 278.871646
202201 278.649705
202202 278.746392
202203 279.060669
202204 279.245184
202205 279.370967
202206 278.775653
202207 278.813699
202208 278.640656
202209 278.705478
202210 278.776112
202211 278.668749
202212 278.587634
202301 278.527829
202302 278.832283
202303 279.054998
202304 279.305169
202305 279.698082
202306 279.608354
202307 279.525499
202308 279.457349
202309 279.516446
202310 279.626885
202311 279.747855
202312 279.887576
202401 280.060085
202402 280.138648
202403 280.338418
202404 280.427842
202405 280.453764
202406 279.892368
202407 279.717310
202408 279.477545
202409 279.541857
202410 279.502273
202411 279.461301
202412 279.437383
