time(yyyymm) ts_tmt
198101 262.093270
198102 262.206266
198103 262.339713
198104 262.535801
198105 262.624206
198106 262.228458
198107 261.804149
198108 261.858588
198109 261.937129
198110 262.128201
198111 262.139285
198112 262.156858
198201 262.162626
198202 262.129148
198203 262.368690
198204 262.367506
198205 262.570267
198206 262.376355
198207 261.797712
198208 261.816441
198209 261.828228
198210 261.718283
198211 262.166710
198212 262.346423
198301 263.092782
198302 263.028306
198303 263.282748
198304 263.199869
198305 263.090057
198306 262.632484
198307 262.348732
198308 262.238956
198309 262.056028
198310 261.985686
198311 262.005840
198312 261.871068
198401 261.728459
198402 262.025104
198403 262.394062
198404 262.394299
198405 262.273338
198406 262.000453
198407 261.408449
198408 261.720213
198409 261.396172
198410 261.834841
198411 261.772596
198412 261.985084
198501 261.969759
198502 262.024632
198503 262.122818
198504 262.159381
198505 262.323941
198506 261.945566
198507 261.136265
198508 261.563833
198509 261.570254
198510 261.779731
198511 261.876406
198512 261.922748
198601 262.194539
198602 261.875347
198603 262.090585
198604 262.388298
198605 262.426636
198606 262.147546
198607 261.659183
198608 261.919214
198609 261.895858
198610 262.054253
198611 262.190652
198612 262.402248
198701 262.543263
198702 262.654988
198703 262.659246
198704 263.013516
198705 262.790202
198706 262.932965
198707 262.403923
198708 262.386068
198709 262.422981
198710 262.630965
198711 262.810022
198712 263.057411
198801 262.705436
198802 262.668567
198803 263.058701
198804 262.757408
198805 262.918810
198806 262.212334
198807 261.984513
198808 262.026417
198809 262.064879
198810 261.982020
198811 261.867781
198812 261.504057
198901 261.696190
198902 261.574633
198903 261.650823
198904 262.038593
198905 262.108664
198906 261.785578
198907 261.623758
198908 261.693264
198909 261.761649
198910 261.899150
198911 262.157218
198912 262.072236
199001 262.126464
199002 262.106950
199003 262.386307
199004 262.618915
199005 262.763514
199006 262.479050
199007 261.832424
199008 262.036401
199009 261.999551
199010 262.169862
199011 262.410156
199012 262.382340
199101 262.583427
199102 262.644984
199103 262.768036
199104 262.687295
199105 262.958442
199106 262.806560
199107 262.137275
199108 262.060692
199109 262.141383
199110 261.736296
199111 261.954380
199112 262.152264
199201 262.175338
199202 262.454006
199203 262.698216
199204 262.840357
199205 262.701450
199206 262.520062
199207 261.731412
199208 261.820325
199209 261.789568
199210 261.963165
199211 261.850607
199212 262.001807
199301 262.048314
199302 261.976829
199303 262.082100
199304 262.547404
199305 262.690321
199306 262.586221
199307 262.103860
199308 261.952340
199309 261.809414
199310 262.252179
199311 262.458783
199312 262.717571
199401 262.414384
199402 262.373972
199403 262.415744
199404 262.625458
199405 262.766807
199406 262.449960
199407 262.074352
199408 261.996421
199409 262.220661
199410 261.973687
199411 262.262989
199412 262.684893
199501 262.622412
199502 262.476455
199503 262.635513
199504 263.030671
199505 262.892016
199506 262.796294
199507 262.113816
199508 262.381525
199509 262.395436
199510 262.326624
199511 262.277439
199512 262.139146
199601 262.034671
199602 262.344124
199603 262.643173
199604 262.680721
199605 262.700443
199606 262.492440
199607 262.125663
199608 261.979116
199609 262.304084
199610 262.259473
199611 262.197035
199612 262.176054
199701 262.135111
199702 262.183581
199703 262.308004
199704 262.349531
199705 262.680998
199706 262.433154
199707 262.595920
199708 262.524277
199709 262.587421
199710 262.614738
199711 262.711203
199712 263.253970
199801 263.751633
199802 263.973687
199803 263.959127
199804 264.076966
199805 263.893562
199806 263.146321
199807 262.524869
199808 262.548231
199809 262.517251
199810 262.675485
199811 262.422038
199812 262.420688
199901 262.267475
199902 262.197101
199903 262.383427
199904 262.477446
199905 262.321888
199906 262.074621
199907 261.829299
199908 261.886542
199909 261.861499
199910 261.991257
199911 262.018181
199912 262.054707
200001 262.066276
200002 262.033080
200003 262.179810
200004 262.423020
200005 262.590359
200006 262.210651
200007 261.890138
200008 262.020370
200009 262.021650
200010 262.380712
200011 262.512501
200012 262.515587
200101 262.158253
200102 262.492615
200103 262.472389
200104 262.817001
200105 262.837940
200106 262.369897
200107 262.135401
200108 262.451834
200109 262.139178
200110 262.564140
200111 262.575972
200112 262.620928
200201 262.585616
200202 262.685307
200203 262.834682
200204 262.855149
200205 263.145634
200206 262.755941
200207 262.608362
200208 262.458377
200209 262.460436
200210 262.532979
200211 262.731803
200212 262.958152
200301 263.000808
200302 263.128798
200303 262.989311
200304 263.065673
200305 263.064677
200306 262.508371
200307 262.343464
200308 262.375868
200309 262.381687
200310 262.677246
200311 262.756744
200312 262.794212
200401 262.867774
200402 262.880207
200403 262.984003
200404 262.931357
200405 262.943567
200406 262.438770
200407 261.914319
200408 262.322038
200409 262.141746
200410 262.475193
200411 262.627455
200412 262.715794
200501 262.826973
200502 263.138406
200503 263.199388
200504 263.297659
200505 263.037743
200506 262.876298
200507 262.515789
200508 262.407841
200509 262.556537
200510 262.432925
200511 262.624178
200512 262.579327
200601 262.470821
200602 262.759098
200603 262.611503
200604 262.684139
200605 262.661375
200606 262.552802
200607 262.432847
200608 262.368655
200609 262.315705
200610 262.657637
200611 262.510117
200612 262.909097
200701 263.161253
200702 262.883696
200703 262.850221
200704 262.869847
200705 262.967616
200706 262.669555
200707 262.386825
200708 262.218512
200709 262.322722
200710 262.193089
200711 262.244107
200712 262.149840
200801 262.160410
200802 262.104261
200803 261.965689
200804 262.182309
200805 262.220159
200806 262.159685
200807 261.926102
200808 261.886383
200809 262.178836
200810 262.316944
200811 262.390499
200812 262.292054
200901 262.262708
200902 262.432318
200903 262.408650
200904 262.825962
200905 262.758253
200906 262.549078
200907 262.609354
200908 262.595115
200909 262.771299
200910 262.697127
200911 262.889966
200912 262.991153
201001 263.200773
201002 263.504506
201003 263.564375
201004 263.552452
201005 263.754381
201006 263.014032
201007 262.504505
201008 262.447981
201009 262.315893
201010 262.278217
201011 262.130312
201012 261.984694
201101 261.945923
201102 262.091542
201103 262.200429
201104 262.448070
201105 262.694942
201106 262.616326
201107 262.266055
201108 262.303348
201109 262.293483
201110 262.122294
201111 262.299637
201112 262.371692
201201 262.232801
201202 262.149874
201203 262.437837
201204 262.477804
201205 262.652672
201206 262.410595
201207 262.287323
201208 262.274938
201209 262.394828
201210 262.520245
201211 262.710526
201212 262.735701
201301 263.025680
201302 262.866075
201303 262.942693
201304 263.027956
201305 262.917428
201306 262.675069
201307 262.131271
201308 262.195853
201309 262.407137
201310 262.343419
201311 262.397974
201312 262.545389
201401 262.450176
201402 262.525470
201403 262.722129
201404 262.981475
201405 263.070166
201406 263.074054
201407 262.686323
201408 262.255699
201409 262.419951
201410 262.528885
201411 262.718170
201412 262.842835
201501 262.766382
201502 262.497634
201503 262.825969
201504 262.963348
201505 263.191765
201506 263.071061
201507 262.704045
201508 262.781989
201509 262.871950
201510 262.991196
201511 263.061115
201512 263.335891
201601 263.588267
201602 263.795304
201603 263.987722
201604 263.938749
201605 263.684949
201606 262.992650
201607 262.659365
201608 262.774172
201609 262.684900
201610 262.883631
201611 262.856057
201612 262.813787
201701 262.674055
201702 262.779151
201703 262.828377
201704 263.113443
201705 263.340957
201706 262.942290
201707 262.714380
201708 262.680192
201709 262.808606
201710 262.806259
201711 262.690923
201712 262.782939
201801 262.427791
201802 262.650280
201803 262.783536
201804 262.746741
201805 262.887833
201806 262.704487
201807 262.511486
201808 262.356444
201809 262.470421
201810 262.658406
201811 262.943316
201812 262.925260
201901 262.992697
201902 263.127357
201903 263.180604
201904 263.460375
201905 263.288149
201906 263.282085
201907 262.648856
201908 262.733554
201909 262.826163
201910 262.580936
201911 262.944858
201912 263.133358
202001 263.226605
202002 263.403563
202003 263.347172
202004 263.361107
202005 263.672772
202006 263.050224
202007 262.658186
202008 262.826804
202009 262.692147
202010 262.652998
202011 262.685983
202012 262.543110
202101 262.508607
202102 262.582893
202103 262.462278
202104 262.676968
202105 263.113384
202106 262.551727
202107 262.541482
202108 262.425557
202109 262.493412
202110 262.753367
202111 262.619910
202112 262.637491
202201 262.426461
202202 262.516615
202203 262.714309
202204 262.854660
202205 263.006564
202206 262.275529
202207 262.442439
202208 262.250507
202209 262.362954
202210 262.398782
202211 262.269601
202212 262.193959
202301 262.210792
202302 262.542726
202303 262.631800
202304 262.824842
202305 263.340560
202306 263.250382
202307 263.228676
202308 263.177424
202309 263.260925
202310 263.354730
202311 263.510785
202312 263.724895
202401 264.000864
202402 264.061020
202403 264.202846
202404 264.217450
202405 264.309187
202406 263.584942
202407 263.377042
202408 263.146742
202409 263.297611
202410 263.152490
202411 263.157214
202412 263.169687
