time(yyyymm) ts_tlt
198101 -0.420984
198102 -0.371531
198103 -0.364821
198104 -0.346890
198105 -0.338290
198106 -0.423415
198107 -0.455788
198108 -0.380689
198109 -0.303321
198110 -0.114937
198111 -0.283732
198112 -0.350255
198201 -0.287520
198202 -0.309621
198203 -0.208372
198204 -0.418592
198205 -0.298385
198206 -0.185201
198207 -0.403624
198208 -0.374560
198209 -0.334210
198210 -0.373191
198211 -0.166605
198212 -0.036264
198301 0.692012
198302 0.606988
198303 0.687351
198304 0.340402
198305 0.196210
198306 0.038645
198307 0.095757
198308 -0.017070
198309 -0.143790
198310 -0.151830
198311 -0.337974
198312 -0.521080
198401 -0.548495
198402 -0.326664
198403 -0.202488
198404 -0.364335
198405 -0.539645
198406 -0.551978
198407 -0.755600
198408 -0.483676
198409 -0.714646
198410 -0.309954
198411 -0.545122
198412 -0.451295
198501 -0.388644
198502 -0.440819
198503 -0.480787
198504 -0.586049
198505 -0.454159
198506 -0.559037
198507 -1.000807
198508 -0.642638
198509 -0.572156
198510 -0.302811
198511 -0.360143
198512 -0.405795
198601 -0.128857
198602 -0.420975
198603 -0.317664
198604 -0.306399
198605 -0.355720
198606 -0.311908
198607 -0.487973
198608 -0.282080
198609 -0.203256
198610 0.021515
198611 -0.129631
198612 0.017524
198701 0.224601
198702 0.229634
198703 0.150249
198704 0.302606
198705 0.027715
198706 0.423179
198707 0.227118
198708 0.238284
198709 0.301767
198710 0.511383
198711 0.496579
198712 0.609519
198801 0.417414
198802 0.312094
198803 0.475749
198804 0.029716
198805 0.131897
198806 -0.207845
198807 -0.155345
198808 -0.143312
198809 -0.103022
198810 -0.177194
198811 -0.422823
198812 -0.808193
198901 -0.530151
198902 -0.681900
198903 -0.734703
198904 -0.558041
198905 -0.581631
198906 -0.608260
198907 -0.487975
198908 -0.421019
198909 -0.339082
198910 -0.190459
198911 -0.152411
198912 -0.307550
199001 -0.179078
199002 -0.239237
199003 -0.066802
199004 -0.048554
199005 -0.017246
199006 0.021284
199007 -0.275718
199008 -0.146783
199009 -0.143135
199010 0.043060
199011 0.104600
199012 0.008762
199101 0.228268
199102 0.206331
199103 0.236670
