time(yyyymm) ts_tmt
198101 -0.361855
198102 -0.294840
198103 -0.245004
198104 -0.205864
198105 -0.187107
198106 -0.288979
198107 -0.414613
198108 -0.285333
198109 -0.296072
198110 -0.171907
198111 -0.309813
198112 -0.378947
198201 -0.285061
198202 -0.364166
198203 -0.212270
198204 -0.376154
198205 -0.245465
198206 -0.139296
198207 -0.431114
198208 -0.409742
198209 -0.431964
198210 -0.584022
198211 -0.276682
198212 -0.172268
198301 0.655832
198302 0.548559
198303 0.727309
198304 0.454114
198305 0.279242
198306 0.118339
198307 0.137302
198308 0.009115
198309 -0.196465
198310 -0.326407
198311 -0.448979
198312 -0.677541
198401 -0.734555
198402 -0.483200
198403 -0.227841
198404 -0.355687
198405 -0.557270
198406 -0.526003
198407 -0.834512
198408 -0.513954
198409 -0.869435
198410 -0.474342
198411 -0.685644
198412 -0.563910
198501 -0.479051
198502 -0.454021
198503 -0.468650
198504 -0.618984
198505 -0.505547
198506 -0.580712
198507 -1.114237
198508 -0.696000
198509 -0.678543
198510 -0.522109
198511 -0.530943
198512 -0.584211
198601 -0.212939
198602 -0.604519
198603 -0.441341
198604 -0.333816
198605 -0.372880
198606 -0.342838
198607 -0.545031
198608 -0.272866
198609 -0.314369
198610 -0.187863
198611 -0.172416
198612 -0.063631
198701 0.173351
198702 0.240376
198703 0.168262
198704 0.342356
198705 0.053345
198706 0.514186
198707 0.272582
198708 0.254895
198709 0.266255
198710 0.417936
198711 0.450363
198712 0.604939
198801 0.328822
198802 0.230748
198803 0.539638
198804 0.074902
198805 0.175099
198806 -0.225147
198807 -0.161764
198808 -0.123286
198809 -0.108863
198810 -0.252271
198811 -0.513372
198812 -0.977678
198901 -0.710569
198902 -0.859484
198903 -0.872762
198904 -0.652442
198905 -0.646971
198906 -0.672287
198907 -0.531709
198908 -0.477286
198909 -0.437544
198910 -0.347421
198911 -0.231719
198912 -0.419967
199001 -0.288132
199002 -0.326847
199003 -0.134308
199004 -0.075885
199005 -0.004592
199006 0.015201
199007 -0.337700
199008 -0.143449
199009 -0.203732
199010 -0.085045
199011 0.005008
199012 -0.114167
199101 0.173854
199102 0.205350
199103 0.237949
199104 -0.020981
199105 0.177244
199106 0.329362
199107 -0.033334
199108 -0.132696
199109 -0.059426
199110 -0.562844
199111 -0.479262
199112 -0.370955
199201 -0.271188
199202 -0.024078
199203 0.127461
199204 0.100540
199205 -0.113352
199206 0.001935
199207 -0.492506
199208 -0.408518
199209 -0.473179
199210 -0.353719
199211 -0.607384
199212 -0.549678
199301 -0.440219
199302 -0.554213
199303 -0.511607
199304 -0.215466
199305 -0.147588
199306 0.047651
199307 -0.133990
199308 -0.298881
199309 -0.453213
199310 -0.062146
199311 -0.007737
199312 0.160929
199401 -0.075177
199402 -0.150085
199403 -0.197625
199404 -0.162609
199405 -0.094577
199406 -0.114345
199407 -0.180449
199408 -0.266723
199409 -0.047691
199410 -0.325908
199411 -0.180956
199412 0.133361
199501 0.118340
199502 -0.065356
199503 -0.000270
199504 0.217527
199505 0.011950
199506 0.229174
199507 -0.150007
199508 0.101196
199509 0.098571
199510 -0.036258
199511 -0.231956
199512 -0.465010
199601 -0.511242
199602 -0.240274
199603 -0.017795
199604 -0.177063
199605 -0.201304
199606 -0.107187
199607 -0.171170
199608 -0.325557
199609 -0.024433
199610 -0.126058
199611 -0.345304
199612 -0.457977
199701 -0.443086
199702 -0.437815
199703 -0.389709
199704 -0.512423
199705 -0.246067
199706 -0.190287
199707 0.274704
199708 0.191011
199709 0.247223
199710 0.216531
199711 0.165685
199712 0.626858
199801 1.180976
199802 1.355547
199803 1.260577
199804 1.209773
199805 0.944480
199806 0.497384
199807 0.173041
199808 0.190536
199809 0.120200
199810 0.196833
199811 -0.204829
199812 -0.290544
199901 -0.394478
199902 -0.520651
199903 -0.405750
199904 -0.466281
199905 -0.706229
199906 -0.671882
199907 -0.611460
199908 -0.546702
199909 -0.582578
199910 -0.514492
199911 -0.618902
199912 -0.663364
200001 -0.605935
200002 -0.689661
200003 -0.610116
200004 -0.523795
