time(yyyymm) ts_tlt
198101 -0.433014
198102 -0.417721
198103 -0.351912
198104 -0.289221
198105 -0.272018
198106 -0.372864
198107 -0.416381
198108 -0.464397
198109 -0.294304
198110 -0.183612
198111 -0.221595
198112 -0.300576
198201 -0.297134
198202 -0.398662
198203 -0.276399
198204 -0.363510
198205 -0.275375
198206 -0.224887
198207 -0.457031
198208 -0.427645
198209 -0.442109
198210 -0.512697
198211 -0.213863
198212 -0.078123
198301 0.534403
198302 0.396727
198303 0.505144
198304 0.307637
198305 0.137946
198306 -0.016163
198307 0.042333
198308 -0.048640
198309 -0.187115
198310 -0.263390
198311 -0.283815
198312 -0.448866
198401 -0.576251
198402 -0.423424
198403 -0.151721
198404 -0.285822
198405 -0.483123
198406 -0.502782
198407 -0.692031
198408 -0.385714
198409 -0.627577
198410 -0.296413
198411 -0.388912
198412 -0.336586
198501 -0.455032
198502 -0.597362
198503 -0.623601
198504 -0.621510
198505 -0.484066
198506 -0.574862
198507 -0.952300
198508 -0.610216
198509 -0.690521
198510 -0.467776
198511 -0.400274
198512 -0.415264
198601 -0.242146
198602 -0.594141
198603 -0.455153
198604 -0.330515
198605 -0.332188
198606 -0.316774
198607 -0.473040
198608 -0.261191
198609 -0.265217
198610 -0.149828
198611 -0.147972
198612 -0.046256
198701 0.068429
198702 0.058821
198703 0.030246
198704 0.197150
198705 -0.061554
198706 0.338553
198707 0.162590
198708 0.156050
198709 0.169303
198710 0.304275
198711 0.380929
198712 0.557960
198801 0.240771
198802 0.093747
198803 0.370692
198804 -0.048273
198805 0.045843
198806 -0.301076
198807 -0.198799
198808 -0.153333
198809 -0.152694
198810 -0.319959
198811 -0.510022
198812 -0.875647
198901 -0.686319
198902 -0.847805
198903 -0.829119
198904 -0.604733
198905 -0.628661
198906 -0.667193
198907 -0.527982
198908 -0.462722
198909 -0.430138
198910 -0.355712
198911 -0.185717
198912 -0.407809
199001 -0.303195
199002 -0.384725
199003 -0.218717
199004 -0.135168
199005 -0.078249
199006 -0.067030
199007 -0.307784
199008 -0.184932
199009 -0.218417
199010 -0.110379
199011 0.001603
199012 -0.062234
199101 0.132024
199102 0.053279
199103 0.110880
199104 -0.068728
199105 0.101907
199106 0.211840
199107 -0.070274
199108 -0.162881
199109 -0.100774
199110 -0.563561
199111 -0.431280
199112 -0.315298
199201 -0.285850
199202 -0.089004
199203 0.013384
199204 -0.011761
199205 -0.183257
199206 -0.101968
199207 -0.482907
199208 -0.393728
199209 -0.470594
199210 -0.364328
199211 -0.501593
199212 -0.435298
199301 -0.413417
199302 -0.518596
199303 -0.473107
199304 -0.222773
199305 -0.182421
199306 -0.033076
199307 -0.125834
199308 -0.279230
199309 -0.387668
199310 -0.054781
199311 0.048727
199312 0.168037
199401 -0.078798
199402 -0.164113
199403 -0.219235
199404 -0.182092
199405 -0.132706
199406 -0.147806
199407 -0.153439
199408 -0.231922
199409 -0.045534
199410 -0.292990
199411 -0.101431
199412 0.182438
199501 0.098154
199502 -0.039379
199503 0.015633
199504 0.177446
199505 0.012014
199506 0.201197
199507 -0.076964
199508 0.124115
199509 0.092193
199510 -0.026964
199511 -0.151407
199512 -0.298862
199601 -0.399975
199602 -0.201423
199603 -0.017186
199604 -0.157260
199605 -0.154690
199606 -0.071876
199607 -0.075027
199608 -0.203851
199609 0.040126
199610 -0.064384
199611 -0.218966
199612 -0.311755
199701 -0.370655
199702 -0.409210
199703 -0.367037
199704 -0.392909
199705 -0.161061
199706 -0.133567
199707 0.307986
199708 0.196596
199709 0.263600
199710 0.217756
199711 0.231564
199712 0.657543
199801 1.093523
199802 1.185003
199803 1.068248
199804 1.044338
199805 0.842195
199806 0.479038
199807 0.237615
199808 0.278570
199809 0.191036
199810 0.236312
199811 -0.035235
199812 -0.141094
199901 -0.309910
199902 -0.454681
199903 -0.339257
199904 -0.361652
199905 -0.519393
199906 -0.503777
199907 -0.420530
199908 -0.369187
199909 -0.423259
199910 -0.366135
199911 -0.403070
199912 -0.457686
200001 -0.461020
200002 -0.547036
200003 -0.504196
200004 -0.376985
200005 -0.295932
200006 -0.374348
200007 -0.352390
200008 -0.222954
200009 -0.262770
200010 -0.000409
200011 0.034853
200012 -0.070664
200101 -0.329447
200102 -0.174596
200103 -0.221062
200104 -0.021371
200105 -0.078074
200106 -0.211134
200107 -0.106977
200108 0.112359
200109 -0.214399
200110 0.124360
200111 0.042378
200112 0.025810
200201 -0.028491
200202 -0.010336
200203 0.041549
200204 -0.071724
200205 0.148624
200206 0.094418
200207 0.260707
200208 0.107138
200209 0.050832
200210 0.060068
200211 0.146195
200212 0.310886
200301 0.328043
200302 0.399252
200303 0.182469
200304 0.112457
200305 0.048464
200306 -0.171397
200307 -0.000792
200308 0.036472
200309 -0.002136
200310 0.199150
200311 0.187544
200312 0.157760
200401 0.229945
200402 0.184004
200403 0.154833
200404 -0.018462
200405 -0.052679
200406 -0.241894
200407 -0.392095
200408 -0.044540
200409 -0.236889
200410 0.021349
200411 0.103254
200412 0.113620
200501 0.209959
200502 0.390793
200503 0.367709
200504 0.299570
200505 0.045272
200506 0.145033
200507 0.156891
200508 0.052450
200509 0.122430
200510 -0.035801
200511 0.073400
200512 -0.046718
200601 -0.160933
200602 0.041024
200603 -0.163712
200604 -0.199064
200605 -0.275627
200606 -0.113526
200607 0.062255
200608 0.017131
200609 -0.064413
200610 0.179215
200611 0.004597
200612 0.278718
200701 0.497561
200702 0.193523
200703 0.048519
200704 -0.051329
200705 -0.016535
200706 -0.005374
200707 0.052256
200708 -0.115382
200709 -0.065451
200710 -0.236522
200711 -0.265252
200712 -0.431118
200801 -0.442498
200802 -0.576375
200803 -0.743595
200804 -0.682063
200805 -0.694815
200806 -0.494232
200807 -0.368715
200808 -0.411689
200809 -0.189073
200810 -0.114006
200811 -0.129656
200812 -0.278074
200901 -0.321076
200902 -0.230997
200903 -0.354463
200904 -0.097996
200905 -0.190283
200906 -0.117695
200907 0.221594
200908 0.207964
200909 0.317619
200910 0.204792
200911 0.303013
200912 0.339332
201001 0.525924
201002 0.720379
201003 0.690287
201004 0.565585
201005 0.669329
201006 0.267181
201007 0.123338
201008 0.077373
201009 -0.081047
201010 -0.185784
201011 -0.384390
201012 -0.597931
201101 -0.655723
201102 -0.577596
201103 -0.565687
201104 -0.444295
201105 -0.284724
201106 -0.104404
201107 -0.113878
201108 -0.045874
201109 -0.083552
201110 -0.310176
201111 -0.215661
201112 -0.243934
201201 -0.386586
201202 -0.535592
201203 -0.371757
201204 -0.428266
201205 -0.293658
201206 -0.294963
201207 -0.083248
201208 -0.083100
201209 -0.012329
201210 0.023874
201211 0.124918
201212 0.072732
201301 0.297437
201302 0.067343
201303 0.055711
201304 0.044261
201305 -0.110180
201306 -0.065020
201307 -0.245126
201308 -0.181176
201309 -0.040358
201310 -0.161144
201311 -0.170708
201312 -0.131207
201401 -0.231790
201402 -0.196883
201403 -0.129620
201404 -0.002666
201405 0.046937
201406 0.306709
201407 0.242623
201408 -0.130007
201409 -0.014957
201410 0.020746
201411 0.130086
201412 0.139057
201501 0.081777
201502 -0.233743
201503 -0.029354
201504 0.014767
201505 0.146260
201506 0.298368
201507 0.267335
201508 0.365555
201509 0.390356
201510 0.409338
201511 0.407830
201512 0.589285
201601 0.825141
201602 0.903754
201603 1.013923
201604 0.877283
201605 0.616320
201606 0.258520
201607 0.287775
201608 0.369646
201609 0.223301
201610 0.346748
201611 0.258596
201612 0.131617
201701 0.037471
201702 0.041120
201703 -0.002058
201704 0.140369
201705 0.290318
201706 0.213329
201707 0.319496
201708 0.292140
201709 0.354841
201710 0.268749
201711 0.108843
201712 0.091036
201801 -0.212942
201802 -0.143165
201803 -0.060602
201804 -0.224517
201805 -0.126117
201806 -0.044961
201807 0.083696
201808 -0.031779
201809 0.040179
201810 0.167478
201811 0.317483
201812 0.192386
201901 0.251836
201902 0.321619
201903 0.318384
201904 0.423086
201905 0.249524
201906 0.485194
201907 0.199341
201908 0.270349
201909 0.357948
201910 0.132610
201911 0.364913
201912 0.430242
202001 0.485659
202002 0.607014
202003 0.490358
202004 0.327886
202005 0.542130
202006 0.269800
202007 0.242378
202008 0.399273
202009 0.246592
202010 0.158449
202011 0.116054
202012 -0.129657
202101 -0.202252
202102 -0.235547
202103 -0.372893
202104 -0.313058
202105 0.011266
202106 -0.196876
202107 0.083285
202108 -0.015968
202109 0.006591
202110 0.189093
202111 0.008219
202112 -0.075239
202201 -0.277358
202202 -0.277757
202203 -0.145115
202204 -0.158628
202205 -0.068813
202206 -0.420474
202207 0.010846
202208 -0.160338
202209 -0.096149
202210 -0.120160
202211 -0.320995
202212 -0.443046
202301 -0.460278
202302 -0.228006
202303 -0.185952
202304 -0.150242
202305 0.224947
202306 0.465422
202307 0.754450
202308 0.711825
202309 0.744420
202310 0.763279
202311 0.846156
202312 0.962969
202401 1.204299
202402 1.176258
202403 1.195852
202404 1.091122
202405 1.108557
202406 0.754508
202407 0.894664
202408 0.675661
202409 0.752496
202410 0.577523
202411 0.508890
202412 0.448403
