time(yyyymm) ts_tmt
198101 -0.360036
198102 -0.327818
198103 -0.270802
198104 -0.235057
198105 -0.216241
198106 -0.305482
198107 -0.390175
198108 -0.398027
198109 -0.287813
198110 -0.181942
198111 -0.246417
198112 -0.306782
198201 -0.298785
198202 -0.403267
198203 -0.253312
198204 -0.380816
198205 -0.258613
198206 -0.180461
198207 -0.402889
198208 -0.389755
198209 -0.415965
198210 -0.576500
198211 -0.226315
198212 -0.118771
198301 0.580527
198302 0.446321
198303 0.616392
198304 0.407605
198305 0.227965
198306 0.068618
198307 0.128327
198308 0.012131
198309 -0.190598
198310 -0.324358
198311 -0.371813
198312 -0.573298
198401 -0.716360
198402 -0.508369
198403 -0.218626
198404 -0.354938
198405 -0.540922
198406 -0.533857
198407 -0.769685
198408 -0.465566
198409 -0.820865
198410 -0.471906
198411 -0.606922
198412 -0.483280
198501 -0.506326
198502 -0.540822
198503 -0.536771
198504 -0.635084
198505 -0.536387
198506 -0.603344
198507 -1.054693
198508 -0.651268
198509 -0.696465
198510 -0.537528
198511 -0.486242
198512 -0.520805
198601 -0.245811
198602 -0.655084
198603 -0.510467
198604 -0.378206
198605 -0.405715
198606 -0.395692
198607 -0.537235
198608 -0.293199
198609 -0.341794
198610 -0.246773
198611 -0.174848
198612 -0.056463
198701 0.082138
198702 0.112608
198703 0.034712
198704 0.227955
198705 -0.059308
198706 0.385967
198707 0.200688
198708 0.177638
198709 0.181689
198710 0.307063
198711 0.412690
198712 0.593574
198801 0.237230
198802 0.116708
198803 0.434848
198804 -0.015517
198805 0.065222
198806 -0.311615
198807 -0.198728
198808 -0.164992
198809 -0.157102
198810 -0.318010
198811 -0.524373
198812 -0.933160
198901 -0.749970
198902 -0.935209
198903 -0.938781
198904 -0.679758
198905 -0.701803
198906 -0.729641
198907 -0.555445
198908 -0.495472
198909 -0.457826
198910 -0.396766
198911 -0.211455
198912 -0.443351
199001 -0.327950
199002 -0.413206
199003 -0.229825
199004 -0.147719
199005 -0.071994
199006 -0.072976
199007 -0.357182
199008 -0.171442
199009 -0.237926
199010 -0.142471
199011 0.010738
199012 -0.084588
199101 0.113217
199102 0.102279
199103 0.134758
199104 -0.083001
199105 0.104923
199106 0.244454
199107 -0.069166
199108 -0.158457
199109 -0.092419
199110 -0.591026
199111 -0.451038
199112 -0.334568
199201 -0.312354
199202 -0.116872
199203 0.030815
199204 0.026951
199205 -0.173106
199206 -0.068100
199207 -0.497493
199208 -0.416473
199209 -0.485022
199210 -0.383683
199211 -0.565804
199212 -0.494663
199301 -0.454027
199302 -0.599668
199303 -0.564470
199304 -0.253732
199305 -0.187611
199306 -0.009322
199307 -0.128773
199308 -0.292045
199309 -0.461671
199310 -0.096938
199311 0.028289
199312 0.191686
199401 -0.096555
199402 -0.210574
199403 -0.248384
199404 -0.188870
199405 -0.118914
199406 -0.141216
199407 -0.162518
199408 -0.265284
199409 -0.068481
199410 -0.358804
199411 -0.141291
199412 0.187486
199501 0.114312
199502 -0.100012
199503 -0.038395
199504 0.191820
199505 -0.008578
199506 0.185482
199507 -0.135870
199508 0.108134
199509 0.093649
199510 -0.042208
199511 -0.159162
199512 -0.363143
199601 -0.467746
199602 -0.245661
199603 -0.033160
199604 -0.175795
199605 -0.193100
199606 -0.112298
199607 -0.132201
199608 -0.279159
199609 0.004745
199610 -0.107079
199611 -0.241389
199612 -0.334454
199701 -0.376725
199702 -0.415044
199703 -0.379981
199704 -0.480506
199705 -0.219168
199706 -0.180520
199707 0.308689
199708 0.222601
199709 0.266850
199710 0.227153
199711 0.255721
199712 0.715655
199801 1.197517
199802 1.326597
199803 1.228439
199804 1.196266
199805 0.943521
199806 0.500346
199807 0.226431
199808 0.256968
199809 0.195235
199810 0.262906
199811 -0.053967
199812 -0.159093
199901 -0.317028
199902 -0.470728
199903 -0.367760
199904 -0.412070
199905 -0.625621
199906 -0.577212
199907 -0.483286
199908 -0.429137
199909 -0.490378
199910 -0.431191
199911 -0.477365
199912 -0.527142
200001 -0.518823
200002 -0.635485
200003 -0.570675
200004 -0.468364
200005 -0.363928
200006 -0.446714
200007 -0.418425
200008 -0.298214
200009 -0.328209
200010 -0.051186
200011 0.006545
200012 -0.068158
200101 -0.439381
200102 -0.187087
200103 -0.281450
200104 -0.075098
200105 -0.117678
200106 -0.289606
200107 -0.175522
200108 0.102182
200109 -0.248616
200110 0.100818
200111 0.026615
200112 0.010592
200201 -0.052318
200202 -0.035858
200203 0.022613
200204 -0.093959
200205 0.140534
200206 0.056722
200207 0.266482
200208 0.112770
200209 0.043990
200210 0.045702
200211 0.156454
200212 0.309403
200301 0.338218
200302 0.390968
200303 0.167494
200304 0.113470
200305 0.057100
200306 -0.194677
200307 -0.019305
200308 0.020784
200309 -0.024543
200310 0.203913
200311 0.198266
200312 0.158486
200401 0.233777
200402 0.155185
200403 0.166085
200404 -0.015362
200405 -0.051138
200406 -0.271966
200407 -0.429817
200408 -0.035180
200409 -0.254462
200410 0.008777
200411 0.088751
200412 0.092250
200501 0.195103
200502 0.431619
200503 0.386793
200504 0.354429
200505 0.037937
200506 0.171446
200507 0.161656
200508 0.063254
200509 0.157027
200510 -0.031363
200511 0.083755
200512 -0.051336
200601 -0.159940
200602 0.046455
200603 -0.194194
200604 -0.250342
200605 -0.320085
200606 -0.144108
