time(yyyymm) ts_cwv ts_sst
200206 39.614648 -0.088800
200207 38.738865 -0.375486
200208 38.397535 -0.732005
200209 38.756135 -0.694185
200210 40.109636 -0.235336
200211 40.199494 -0.107934
200212 39.531299 -0.165008
200301 39.220698 -0.210149
200302 39.556088 -0.041975
200303 40.322782 0.270360
200304 41.453449 0.467230
200305 41.186586 0.337294
200306 38.953928 -0.002284
200307 39.259176 -0.250765
200308 38.057906 -0.498598
200309 38.824641 -0.411516
200310 39.137549 -0.215253
200311 40.260080 -0.095514
200312 39.495413 -0.181701
200401 38.552633 -0.382026
200402 39.422151 -0.101236
200403 40.864467 0.198667
200404 41.835078 0.539442
200405 40.936616 0.333015
200406 39.401763 -0.188696
200407 38.161217 -0.525330
200408 37.801519 -0.671294
200409 38.745683 -0.493076
200410 39.511235 -0.246650
200411 39.929425 -0.177959
200412 39.623887 -0.170328
200501 39.180679 -0.249475
200502 39.459442 -0.160807
200503 40.239698 0.263827
200504 42.347558 0.580723
200505 41.115848 0.467533
200506 39.512878 0.026637
200507 38.846248 -0.289251
200508 38.218813 -0.537459
200509 38.910274 -0.550968
200510 39.481419 -0.333940
200511 39.211314 -0.346255
200512 38.481385 -0.490864
200601 38.549562 -0.508395
200602 39.573290 -0.217549
200603 40.262907 0.181274
200604 41.689276 0.454350
200605 41.150899 0.398979
200606 39.973496 -0.057126
200607 38.732025 -0.338208
200608 38.523552 -0.480106
200609 39.241636 -0.325908
200610 39.933324 -0.162812
200611 39.910994 -0.006407
200612 39.992296 -0.168036
200701 39.086808 -0.293572
200702 39.259659 -0.076311
200703 40.586164 0.180275
200704 41.815873 0.441739
200705 41.448119 0.288501
200706 39.638743 -0.029628
200707 38.161754 -0.418754
200708 38.194975 -0.653818
200709 38.849913 -0.747796
200710 38.339204 -0.689790
200711 38.390316 -0.705179
200712 37.925329 -0.821562
200801 37.898939 -0.812679
200802 37.614316 -0.671349
200803 39.516046 -0.094141
200804 40.476159 0.246867
200805 39.600297 0.116876
200806 38.811747 -0.230060
200807 37.355548 -0.564371
200808 38.105745 -0.641396
200809 38.740669 -0.522980
200810 39.459619 -0.379197
200811 39.608071 -0.285445
200812 38.477476 -0.433197
200901 38.324562 -0.452544
200902 39.269269 -0.233564
200903 40.501826 0.182589
200904 41.696400 0.490074
200905 41.166237 0.535695
200906 39.682279 0.272248
200907 39.377170 -0.097346
200908 39.271399 -0.257546
200909 40.091945 -0.208020
200910 39.652495 0.022281
200911 40.113029 0.178282
200912 39.637092 0.171678
201001 39.483664 0.066109
201002 40.466193 0.093929
201003 41.891033 0.434916
201004 43.460978 0.707885
201005 42.228009 0.490841
201006 39.923916 0.126567
201007 38.675333 -0.355876
201008 38.481294 -0.711124
201009 38.209925 -0.823380
201010 38.455996 -0.780731
201011 38.572922 -0.668671
201012 37.565451 -0.806021
201101 38.035357 -0.742248
201102 37.996528 -0.513818
201103 39.912104 -0.028288
201104 41.248784 0.287240
201105 41.325875 0.206767
201106 39.460727 -0.203871
201107 37.850861 -0.605117
201108 38.120917 -0.772995
201109 38.598033 -0.891703
201110 38.284614 -0.613088
201111 39.564836 -0.573076
201112 38.855759 -0.510840
201201 37.669618 -0.539951
201202 38.730791 -0.298777
201203 40.656020 0.062263
201204 41.922937 0.508688
201205 41.540416 0.366894
201206 39.217123 0.071800
201207 39.113095 -0.427015
201208 38.294259 -0.545201
201209 39.025275 -0.518436
201210 39.326885 -0.375140
201211 39.719282 -0.144123
201212 39.523790 -0.155934
201301 38.866784 -0.342278
201302 39.552273 -0.076743
